date,Close,Return,Quarter
2/1/2008,6353.200195,0.002,Q1
3/1/2008,6290.700195,-0.01,Q1
4/1/2008,6306.799805,0.003,Q1
7/1/2008,6161.600098,-0.023,Q1
8/1/2008,6128.100098,-0.005,Q1
9/1/2008,6087.700195,-0.007,Q1
10/1/2008,6078.700195,-0.001,Q1
11/1/2008,5981.600098,-0.016,Q1
14/1/2008,5980,0,Q1
15/1/2008,5960,-0.003,Q1
16/1/2008,5809.700195,-0.025,Q1
17/1/2008,5796.100098,-0.002,Q1
18/1/2008,5747.299805,-0.008,Q1
21/1/2008,5580.399902,-0.029,Q1
22/1/2008,5186.799805,-0.071,Q1
23/1/2008,5412.299805,0.043,Q1
24/1/2008,5580.399902,0.031,Q1
25/1/2008,5860.299805,0.05,Q1
29/1/2008,5716.5,-0.025,Q1
30/1/2008,5618.700195,-0.017,Q1
31/1/2008,5650.299805,0.006,Q1
1/2/2008,5842.899902,0.034,Q1
4/2/2008,5867.399902,0.004,Q1
5/2/2008,5792.899902,-0.013,Q1
6/2/2008,5609.399902,-0.032,Q1
7/2/2008,5596.700195,-0.002,Q1
8/2/2008,5658,0.011,Q1
11/2/2008,5537.600098,-0.021,Q1
12/2/2008,5608.100098,0.013,Q1
13/2/2008,5542.100098,-0.012,Q1
14/2/2008,5684.799805,0.026,Q1
15/2/2008,5606.600098,-0.014,Q1
18/2/2008,5558.399902,-0.009,Q1
19/2/2008,5619.100098,0.011,Q1
20/2/2008,5496.5,-0.022,Q1
21/2/2008,5583.399902,0.016,Q1
22/2/2008,5559.899902,-0.004,Q1
25/2/2008,5621.600098,0.011,Q1
26/2/2008,5666.100098,0.008,Q1
27/2/2008,5767.200195,0.018,Q1
28/2/2008,5651.200195,-0.02,Q1
29/2/2008,5572.100098,-0.014,Q1
3/3/2008,5405.799805,-0.03,Q1
4/3/2008,5380.299805,-0.005,Q1
5/3/2008,5376.600098,-0.001,Q1
6/3/2008,5435.5,0.011,Q1
7/3/2008,5264,-0.032,Q1
10/3/2008,5180.399902,-0.016,Q1
11/3/2008,5134.200195,-0.009,Q1
12/3/2008,5257.899902,0.024,Q1
13/3/2008,5135.899902,-0.023,Q1
14/3/2008,5206.899902,0.014,Q1
17/3/2008,5087,-0.023,Q1
18/3/2008,5086.100098,0,Q1
19/3/2008,5289.100098,0.04,Q1
20/3/2008,5127.5,-0.031,Q1
25/3/2008,5318.399902,0.037,Q1
26/3/2008,5381.399902,0.012,Q1
27/3/2008,5371.600098,-0.002,Q1
28/3/2008,5351.100098,-0.004,Q1
31/3/2008,5355.700195,0.001,Q1
1/4/2008,5361.200195,0.001,Q2
2/4/2008,5502.899902,0.026,Q2
3/4/2008,5608.899902,0.019,Q2
4/4/2008,5619.600098,0.002,Q2
7/4/2008,5625,0.001,Q2
8/4/2008,5571.5,-0.01,Q2
9/4/2008,5520.200195,-0.009,Q2
10/4/2008,5446.399902,-0.013,Q2
11/4/2008,5439.299805,-0.001,Q2
14/4/2008,5342.399902,-0.018,Q2
15/4/2008,5400.399902,0.011,Q2
16/4/2008,5470.299805,0.013,Q2
17/4/2008,5519,0.009,Q2
18/4/2008,5429.700195,-0.016,Q2
21/4/2008,5600.299805,0.031,Q2
22/4/2008,5564.600098,-0.006,Q2
23/4/2008,5652.899902,0.016,Q2
24/4/2008,5587.299805,-0.012,Q2
25/4/2008,5587.299805,0,Q2
28/4/2008,5602.700195,0.003,Q2
29/4/2008,5606.899902,0.001,Q2
30/4/2008,5595.399902,-0.002,Q2
1/5/2008,5585.799805,-0.002,Q2
2/5/2008,5700.399902,0.021,Q2
5/5/2008,5730.299805,0.005,Q2
6/5/2008,5701.399902,-0.005,Q2
7/5/2008,5668.399902,-0.006,Q2
8/5/2008,5723.200195,0.01,Q2
9/5/2008,5771.799805,0.008,Q2
12/5/2008,5828.5,0.01,Q2
13/5/2008,5812.700195,-0.003,Q2
14/5/2008,5872.700195,0.01,Q2
15/5/2008,5890.700195,0.003,Q2
16/5/2008,5931,0.007,Q2
19/5/2008,5949.399902,0.003,Q2
20/5/2008,5908.100098,-0.007,Q2
21/5/2008,5823.399902,-0.014,Q2
22/5/2008,5826.899902,0.001,Q2
23/5/2008,5768,-0.01,Q2
26/5/2008,5707,-0.011,Q2
27/5/2008,5714.399902,0.001,Q2
28/5/2008,5648.100098,-0.012,Q2
29/5/2008,5709.399902,0.011,Q2
30/5/2008,5654.700195,-0.01,Q2
2/6/2008,5662.299805,0.001,Q2
3/6/2008,5574.200195,-0.016,Q2
4/6/2008,5584.5,0.002,Q2
5/6/2008,5530.100098,-0.01,Q2
6/6/2008,5592.100098,0.011,Q2
10/6/2008,5437.5,-0.028,Q2
11/6/2008,5467.299805,0.005,Q2
12/6/2008,5329.200195,-0.025,Q2
13/6/2008,5378.100098,0.009,Q2
16/6/2008,5371.700195,-0.001,Q2
17/6/2008,5422.700195,0.009,Q2
18/6/2008,5443.200195,0.004,Q2
19/6/2008,5366.600098,-0.014,Q2
20/6/2008,5288.299805,-0.015,Q2
23/6/2008,5283.700195,-0.001,Q2
24/6/2008,5290,0.001,Q2
25/6/2008,5237.799805,-0.01,Q2
26/6/2008,5307,0.013,Q2
27/6/2008,5237,-0.013,Q2
30/6/2008,5215.299805,-0.004,Q2
1/7/2008,5138.899902,-0.015,Q3
2/7/2008,5094.799805,-0.009,Q3
3/7/2008,4998.299805,-0.019,Q3
4/7/2008,5082.100098,0.017,Q3
7/7/2008,5002.5,-0.016,Q3
8/7/2008,4932.899902,-0.014,Q3
9/7/2008,5011.899902,0.016,Q3
10/7/2008,4937.399902,-0.015,Q3
11/7/2008,4979.899902,0.009,Q3
14/7/2008,4921,-0.012,Q3
15/7/2008,4815.700195,-0.021,Q3
16/7/2008,4870.600098,0.011,Q3
17/7/2008,4901,0.006,Q3
18/7/2008,4840.399902,-0.012,Q3
21/7/2008,5011.799805,0.035,Q3
22/7/2008,5005.600098,-0.001,Q3
23/7/2008,5105.299805,0.02,Q3
24/7/2008,5144.100098,0.008,Q3
25/7/2008,4970.5,-0.034,Q3
28/7/2008,4922.100098,-0.01,Q3
29/7/2008,4847.399902,-0.015,Q3
30/7/2008,4936.700195,0.018,Q3
31/7/2008,4977.399902,0.008,Q3
1/8/2008,4904,-0.015,Q3
4/8/2008,4887.700195,-0.003,Q3
5/8/2008,4820.399902,-0.014,Q3
6/8/2008,4969.100098,0.031,Q3
7/8/2008,4983.299805,0.003,Q3
8/8/2008,4986.200195,0.001,Q3
11/8/2008,5026.100098,0.008,Q3
12/8/2008,5053.600098,0.005,Q3
13/8/2008,4951.600098,-0.02,Q3
14/8/2008,4981.100098,0.006,Q3
15/8/2008,4981.700195,0,Q3
18/8/2008,4985,0.001,Q3
19/8/2008,4866.399902,-0.024,Q3
20/8/2008,4929.5,0.013,Q3
21/8/2008,4875.200195,-0.011,Q3
22/8/2008,4931.399902,0.012,Q3
25/8/2008,5014.899902,0.017,Q3
26/8/2008,5007.5,-0.001,Q3
27/8/2008,5011.200195,0.001,Q3
28/8/2008,5066.5,0.011,Q3
29/8/2008,5135.600098,0.014,Q3
1/9/2008,5118.299805,-0.003,Q3
2/9/2008,5116,0,Q3
3/9/2008,5060,-0.011,Q3
4/9/2008,4979.5,-0.016,Q3
5/9/2008,4877.100098,-0.021,Q3
8/9/2008,5067.5,0.039,Q3
9/9/2008,4980.100098,-0.017,Q3
10/9/2008,4905.5,-0.015,Q3
11/9/2008,4814.299805,-0.019,Q3
12/9/2008,4903.799805,0.019,Q3
15/9/2008,4817.700195,-0.018,Q3
16/9/2008,4750.799805,-0.014,Q3
17/9/2008,4722.200195,-0.006,Q3
18/9/2008,4607.299805,-0.024,Q3
19/9/2008,4804.100098,0.043,Q3
22/9/2008,5020.5,0.045,Q3
23/9/2008,4923.5,-0.019,Q3
24/9/2008,4981.899902,0.012,Q3
25/9/2008,4927.399902,-0.011,Q3
26/9/2008,4904.799805,-0.005,Q3
29/9/2008,4807.399902,-0.02,Q3
30/9/2008,4600.5,-0.043,Q3
1/10/2008,4794.600098,0.042,Q4
2/10/2008,4761.100098,-0.007,Q4
3/10/2008,4695.399902,-0.014,Q4
6/10/2008,4540.399902,-0.033,Q4
7/10/2008,4618.700195,0.017,Q4
8/10/2008,4388.100098,-0.05,Q4
9/10/2008,4320.899902,-0.015,Q4
10/10/2008,3960.699951,-0.083,Q4
