name,ticker,code
AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,AAC,AAC.AX
ARDENT LEISURE GROUP,AAD,AAD.AX
AUSENCO LIMITED,AAX,AAX.AX
ADELAIDE BRIGHTON LIMITED,ABC,ABC.AX
ABACUS PROPERTY GROUP,ABP,ABP.AX
ACRUX LIMITED,ACR,ACR.AX
AINSWORTH GAME TECHNOLOGY LIMITED,AGI,AGI.AX
AGL ENERGY LIMITED,AGK,AGK.AX
ATLAS IRON LIMITED,AGO,AGO.AX
AUTOMOTIVE HOLDINGS GROUP LIMITED,AHE,AHE.AX
AUCKLAND INTERNATIONAL AIRPORT LIMITED,AIA,AIA.AX
ASCIANO LIMITED,AIO,AIO.AX
ASTRO JAPAN PROPERTY GROUP,AJA,AJA.AX
ARISTOCRAT LEISURE LIMITED,ALL,ALL.AX
ALS LIMITED,ALQ,ALQ.AX
ALTIUM LIMITED,ALU,ALU.AX
AUSTRALAND PROPERTY GROUP,ALZ,ALZ.AX
AMCOR LIMITED,AMC,AMC.AX
AMCOM TELECOMMUNICATIONS LIMITED,AMM,AMM.AX
AMP LIMITED,AMP,AMP.AX
AUSTIN ENGINEERING LIMITED,ANG,ANG.AX
ANSELL LIMITED,ANN,ANN.AX
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,ANZ,ANZ.AX
AVEO GROUP,AOG,AOG.AX
APA GROUP,APA,APA.AX
AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED,API,API.AX
APN NEWS & MEDIA LIMITED,APN,APN.AX
ASPEN GROUP,APZ,APZ.AX
ALACER GOLD CORP.,AQG,AQG.AX
ARENA REIT.,ARF,ARF.AX
ARRIUM LIMITED,ARI,ARI.AX
ARB CORPORATION LIMITED,ARP,ARP.AX
AUSDRILL LIMITED,ASL,ASL.AX
AUSNET SERVICES,AST,AST.AX
ASX LIMITED,ASX,ASX.AX
ALUMINA LIMITED,AWC,AWC.AX
AWE LIMITED,AWE,AWE.AX
AURIZON HOLDINGS LIMITED,AZJ,AZJ.AX
BILLABONG INTERNATIONAL LIMITED,BBG,BBG.AX
BC IRON LIMITED,BCI,BCI.AX
BEADELL RESOURCES LIMITED,BDR,BDR.AX
BENDIGO AND ADELAIDE BANK LIMITED,BEN,BEN.AX
BEGA CHEESE LIMITED,BGA,BGA.AX
BHP BILLITON LIMITED,BHP,BHP.AX
BRADKEN LIMITED,BKN,BKN.AX
BORAL LIMITED.,BLD,BLD.AX
BOART LONGYEAR LIMITED,BLY,BLY.AX
BIONOMICS LIMITED,BNO,BNO.AX
BANK OF QUEENSLAND LIMITED.,BOQ,BOQ.AX
BEACH ENERGY LIMITED,BPT,BPT.AX
BREVILLE GROUP LIMITED,BRG,BRG.AX
BATHURST RESOURCES LIMITED.,BRL,BRL.AX
BURU ENERGY LIMITED,BRU,BRU.AX
BLUESCOPE STEEL LIMITED,BSL,BSL.AX
BWP TRUST,BWP,BWP.AX
BRAMBLES LIMITED,BXB,BXB.AX
