date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.235,1.26,1.22,1.235,1794600,1.235
2015-06-29,1.25,1.26,1.24,1.24,1685800,1.24
2015-06-26,1.29,1.29,1.25,1.26,1211700,1.26
2015-06-25,1.305,1.315,1.285,1.29,1291600,1.29
2015-06-24,1.32,1.325,1.305,1.315,804300,1.315
2015-06-23,1.33,1.345,1.305,1.315,890900,1.315
2015-06-22,1.34,1.35,1.305,1.32,1113700,1.32
2015-06-19,1.31,1.35,1.31,1.35,1400800,1.35
2015-06-18,1.315,1.325,1.30,1.305,1820100,1.305
2015-06-17,1.325,1.355,1.31,1.335,1849900,1.335
2015-06-16,1.31,1.32,1.305,1.315,625900,1.315
2015-06-15,1.305,1.325,1.305,1.315,1253000,1.315
2015-06-12,1.345,1.365,1.315,1.33,988800,1.33
2015-06-11,1.315,1.345,1.305,1.345,1418900,1.345
2015-06-10,1.30,1.325,1.27,1.305,1405700,1.305
2015-06-09,1.335,1.34,1.30,1.30,1392500,1.30
2015-06-08,1.335,1.335,1.335,1.335,000,1.335
2015-06-05,1.33,1.355,1.315,1.335,928100,1.335
2015-06-04,1.335,1.36,1.325,1.325,1181700,1.325
2015-06-03,1.365,1.375,1.32,1.355,1511600,1.355
2015-06-02,1.39,1.40,1.365,1.38,1327300,1.38
2015-06-01,1.39,1.395,1.38,1.39,713500,1.39
2015-05-29,1.395,1.43,1.39,1.39,2086800,1.39
2015-05-28,1.395,1.415,1.375,1.385,1995400,1.385
2015-05-27,1.44,1.45,1.38,1.385,3101100,1.385
2015-05-26,1.425,1.445,1.42,1.44,760600,1.44
2015-05-25,1.455,1.465,1.42,1.43,1769400,1.43
2015-05-22,1.445,1.465,1.41,1.45,1305200,1.45
2015-05-21,1.46,1.46,1.43,1.44,1605200,1.44
2015-05-20,1.46,1.475,1.445,1.45,2005200,1.45
2015-05-19,1.45,1.47,1.445,1.445,3996000,1.445
2015-05-18,1.485,1.49,1.445,1.46,960500,1.46
2015-05-15,1.49,1.51,1.48,1.49,1613500,1.49
2015-05-14,1.525,1.54,1.49,1.51,915600,1.51
2015-05-13,1.54,1.58,1.512,1.53,1469200,1.53
2015-05-12,1.53,1.535,1.505,1.52,938400,1.52
2015-05-11,1.55,1.57,1.53,1.54,1036000,1.54
2015-05-08,1.52,1.56,1.52,1.53,1581000,1.53
2015-05-07,1.58,1.595,1.52,1.52,1541600,1.52
2015-05-06,1.635,1.64,1.58,1.58,1620400,1.58
2015-05-05,1.645,1.65,1.61,1.635,1117500,1.635
2015-05-04,1.60,1.635,1.60,1.63,805600,1.63
2015-05-01,1.62,1.622,1.60,1.60,779000,1.60
2015-04-30,1.61,1.63,1.605,1.62,931700,1.62
2015-04-29,1.645,1.66,1.615,1.615,1046900,1.615
2015-04-28,1.645,1.65,1.625,1.645,617900,1.645
2015-04-27,1.635,1.655,1.63,1.645,577000,1.645
2015-04-24,1.60,1.635,1.585,1.63,998900,1.63
2015-04-23,1.595,1.60,1.575,1.60,1182800,1.60
2015-04-22,1.62,1.64,1.59,1.595,495700,1.595
2015-04-21,1.64,1.65,1.60,1.63,1097800,1.63
2015-04-20,1.64,1.65,1.625,1.63,850800,1.63
2015-04-17,1.665,1.69,1.63,1.655,1272500,1.655
2015-04-16,1.64,1.67,1.635,1.665,1069900,1.665
2015-04-15,1.625,1.63,1.61,1.62,851000,1.62
2015-04-14,1.62,1.63,1.61,1.62,784000,1.62
2015-04-13,1.645,1.657,1.63,1.635,561700,1.635
2015-04-10,1.625,1.65,1.61,1.645,788300,1.645
2015-04-09,1.605,1.64,1.585,1.62,1327000,1.62
2015-04-08,1.605,1.615,1.595,1.605,561400,1.605
2015-04-07,1.62,1.635,1.60,1.605,465400,1.605
2015-04-06,1.61,1.61,1.61,1.61,000,1.61
2015-04-03,1.61,1.61,1.61,1.61,000,1.61
2015-04-02,1.615,1.645,1.605,1.61,814000,1.61
2015-04-01,1.575,1.63,1.575,1.615,967800,1.615
2015-03-31,1.595,1.645,1.595,1.605,980700,1.605
2015-03-30,1.61,1.62,1.585,1.605,988400,1.605
2015-03-27,1.60,1.62,1.59,1.62,904200,1.62
2015-03-26,1.62,1.62,1.575,1.59,1308600,1.59
2015-03-25,1.59,1.645,1.58,1.63,1901200,1.63
2015-03-24,1.57,1.595,1.565,1.585,280400,1.585
2015-03-23,1.58,1.595,1.565,1.585,996000,1.585
2015-03-20,1.605,1.605,1.565,1.575,10355800,1.575
2015-03-19,1.57,1.60,1.57,1.59,833600,1.59
2015-03-18,1.58,1.595,1.56,1.595,765000,1.595
2015-03-17,1.59,1.60,1.58,1.58,1447800,1.58
2015-03-16,1.595,1.61,1.582,1.59,541800,1.59
2015-03-13,1.585,1.61,1.582,1.595,979200,1.595
2015-03-12,1.565,1.59,1.565,1.585,696300,1.585
2015-03-11,1.56,1.58,1.55,1.575,472400,1.575
2015-03-10,1.60,1.60,1.557,1.575,951900,1.575
2015-03-09,1.595,1.60,1.57,1.585,626100,1.585
