date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.25,4.35,4.24,4.31,1311400,4.31
2015-06-29,4.32,4.34,4.27,4.29,1355000,4.29
2015-06-26,4.45,4.48,4.31,4.42,1550100,4.42
2015-06-25,4.54,4.55,4.47,4.47,1282500,4.47
2015-06-24,4.60,4.61,4.54,4.56,972300,4.56
2015-06-23,4.54,4.60,4.51,4.57,674300,4.57
2015-06-22,4.53,4.56,4.465,4.51,1004700,4.51
2015-06-19,4.53,4.61,4.53,4.53,2300700,4.53
2015-06-18,4.60,4.60,4.48,4.50,1797800,4.50
2015-06-17,4.50,4.59,4.47,4.57,1087700,4.57
2015-06-16,4.52,4.54,4.465,4.48,870000,4.48
2015-06-15,4.50,4.545,4.48,4.52,805300,4.52
2015-06-12,4.55,4.57,4.52,4.54,510700,4.54
2015-06-11,4.54,4.59,4.515,4.58,614800,4.58
2015-06-10,4.53,4.565,4.51,4.52,1434000,4.52
2015-06-09,4.56,4.63,4.50,4.55,1334100,4.55
2015-06-08,4.57,4.57,4.57,4.57,000,4.57
2015-06-05,4.60,4.62,4.51,4.57,1205500,4.57
2015-06-04,4.57,4.67,4.56,4.58,1689200,4.58
2015-06-03,4.51,4.58,4.48,4.51,1170000,4.51
2015-06-02,4.57,4.63,4.54,4.55,2387100,4.55
2015-06-01,4.62,4.64,4.48,4.59,1573800,4.59
2015-05-29,4.65,4.71,4.63,4.65,1829900,4.65
2015-05-28,4.80,4.80,4.60,4.65,1274200,4.65
2015-05-27,4.60,4.80,4.60,4.80,2428800,4.80
2015-05-26,4.54,4.60,4.54,4.58,2263500,4.58
2015-05-25,4.46,4.55,4.44,4.55,1217600,4.55
2015-05-22,4.49,4.53,4.45,4.46,846300,4.46
2015-05-21,4.32,4.49,4.31,4.48,2060000,4.48
2015-05-20,4.46,4.46,4.30,4.32,3672300,4.32
2015-05-19,4.53,4.53,4.445,4.45,1875300,4.45
2015-05-18,4.52,4.55,4.48,4.50,942300,4.50
2015-05-15,4.59,4.605,4.51,4.52,1636400,4.52
2015-05-14,4.50,4.54,4.49,4.53,1572200,4.53
2015-05-13,4.53,4.54,4.51,4.52,1408900,4.52
2015-05-12,4.52,4.61,4.52,4.56,1829700,4.56
2015-05-11,4.50,4.55,4.50,4.52,1472000,4.52
2015-05-08,4.42,4.50,4.42,4.48,854600,4.48
2015-05-07,4.44,4.50,4.39,4.48,933000,4.48
2015-05-06,4.51,4.53,4.45,4.47,1496100,4.47
2015-05-05,4.65,4.66,4.54,4.60,1121700,4.60
2015-05-04,4.54,4.645,4.54,4.60,1018400,4.60
2015-05-01,4.55,4.565,4.48,4.55,707500,4.55
2015-04-30,4.50,4.53,4.46,4.52,1133700,4.52
2015-04-29,4.62,4.64,4.50,4.54,1551600,4.54
2015-04-28,4.68,4.70,4.63,4.64,734600,4.64
2015-04-27,4.69,4.75,4.64,4.67,1297500,4.67
2015-04-24,4.56,4.69,4.55,4.66,1372100,4.66
2015-04-23,4.55,4.555,4.43,4.51,1091900,4.51
2015-04-22,4.55,4.59,4.53,4.54,802300,4.54
2015-04-21,4.48,4.56,4.46,4.55,1694800,4.55
2015-04-20,4.50,4.52,4.46,4.48,1027600,4.48
2015-04-17,4.56,4.61,4.52,4.55,1456000,4.55
2015-04-16,4.61,4.645,4.53,4.58,1195400,4.58
2015-04-15,4.52,4.545,4.45,4.52,1542600,4.52
2015-04-14,4.54,4.56,4.50,4.53,1485400,4.53
2015-04-13,4.63,4.65,4.56,4.57,820800,4.57
2015-04-10,4.61,4.64,4.555,4.63,1111200,4.63
2015-04-09,4.69,4.70,4.59,4.62,2283200,4.62
2015-04-08,4.59,4.71,4.59,4.69,769800,4.69
2015-04-07,4.56,4.64,4.56,4.61,1279400,4.61
2015-04-06,4.56,4.56,4.56,4.56,000,4.56
2015-04-03,4.56,4.56,4.56,4.56,000,4.56
2015-04-02,4.48,4.58,4.48,4.56,967300,4.56
2015-04-01,4.46,4.53,4.46,4.48,1239800,4.48
2015-03-31,4.49,4.57,4.49,4.53,1096000,4.53
2015-03-30,4.53,4.54,4.435,4.46,3385800,4.46
2015-03-27,4.40,4.57,4.40,4.57,1829100,4.57
2015-03-26,4.42,4.50,4.39,4.46,2003400,4.46
2015-03-25,4.59,4.60,4.49,4.52,1781000,4.52
2015-03-24,4.50,4.58,4.46,4.58,2471700,4.58
2015-03-23,4.49,4.51,4.43,4.49,2054000,4.49
2015-03-20,4.42,4.49,4.40,4.45,2249400,4.45
2015-03-19,4.36,4.46,4.36,4.43,1686500,4.43
2015-03-18,4.34,4.35,4.28,4.35,1825100,4.35
2015-03-17,4.38,4.41,4.34,4.36,3363200,4.36
2015-03-16,4.35,4.39,4.29,4.37,2148400,4.37
2015-03-13,4.42,4.44,4.37,4.41,3491400,4.41
2015-03-12,4.51,4.56,4.46,4.54,1867500,4.40429
2015-03-11,4.45,4.53,4.40,4.52,1491400,4.38488
2015-03-10,4.44,4.51,4.44,4.50,1814800,4.36548
2015-03-09,4.45,4.47,4.41,4.43,1689700,4.29757
2015-03-06,4.43,4.52,4.42,4.50,2640600,4.36548
2015-03-05,4.30,4.45,4.28,4.45,2502000,4.31698
2015-03-04,4.31,4.35,4.29,4.30,2007200,4.17146
2015-03-03,4.28,4.345,4.24,4.29,2012700,4.16176
2015-03-02,4.28,4.31,4.21,4.22,6062500,4.09385
2015-02-27,4.25,4.33,4.19,4.28,2929000,4.15206
2015-02-26,4.05,4.26,4.04,4.18,4371400,4.05505
2015-02-25,3.85,3.905,3.84,3.89,1083000,3.77372
2015-02-24,3.84,3.895,3.83,3.84,811500,3.72521
2015-02-23,3.81,3.86,3.77,3.85,1002900,3.73491
2015-02-20,3.83,3.86,3.73,3.80,2252500,3.68641
2015-02-19,3.88,3.90,3.80,3.83,1560800,3.71551
2015-02-18,3.87,3.93,3.85,3.92,980300,3.80282
2015-02-17,3.91,3.92,3.84,3.87,1163900,3.75431
2015-02-16,3.90,3.93,3.89,3.90,1092600,3.78342
2015-02-13,3.83,3.92,3.83,3.92,982800,3.80282
2015-02-12,3.90,3.91,3.82,3.84,1137200,3.72521
2015-02-11,3.88,3.92,3.855,3.86,879600,3.74461
2015-02-10,3.88,3.89,3.84,3.88,837000,3.76402
2015-02-09,3.87,3.91,3.84,3.89,1167100,3.77372
2015-02-06,3.84,3.90,3.79,3.87,1479200,3.75431
2015-02-05,3.81,3.85,3.78,3.85,1637700,3.73491
2015-02-04,3.77,3.84,3.77,3.82,2005500,3.70581
2015-02-03,3.67,3.75,3.66,3.74,1637600,3.6282
2015-02-02,3.59,3.68,3.56,3.65,1112500,3.54089
2015-01-30,3.63,3.65,3.58,3.58,1188400,3.47298
2015-01-29,3.57,3.63,3.54,3.62,1026400,3.51179
2015-01-28,3.58,3.60,3.55,3.59,701200,3.48268
2015-01-27,3.56,3.63,3.56,3.60,882400,3.49239
2015-01-26,3.56,3.56,3.56,3.56,000,3.45358
2015-01-23,3.57,3.595,3.54,3.56,1223600,3.45358
2015-01-22,3.67,3.67,3.50,3.53,1858300,3.42448
2015-01-21,3.60,3.72,3.59,3.67,1006600,3.56029
2015-01-20,3.58,3.635,3.57,3.59,1369200,3.48268
2015-01-19,3.60,3.65,3.58,3.58,1292100,3.47298
2015-01-16,3.61,3.645,3.54,3.57,1468800,3.46328
2015-01-15,3.61,3.65,3.605,3.61,1328400,3.50209
2015-01-14,3.70,3.72,3.62,3.64,1370700,3.53119
2015-01-13,3.66,3.71,3.65,3.71,1546600,3.5991
2015-01-12,3.65,3.69,3.63,3.66,895700,3.55059
2015-01-09,3.65,3.67,3.615,3.67,895300,3.56029
2015-01-08,3.62,3.64,3.60,3.63,821600,3.52149
2015-01-07,3.58,3.64,3.58,3.60,1033200,3.49239
2015-01-06,3.60,3.65,3.575,3.60,960100,3.49239
2015-01-05,3.63,3.65,3.60,3.65,1081700,3.54089
2015-01-02,3.61,3.63,3.56,3.63,289600,3.52149
2015-01-01,3.57,3.57,3.57,3.57,000,3.46328
2014-12-31,3.60,3.62,3.55,3.57,397800,3.46328
2014-12-30,3.62,3.62,3.57,3.58,604400,3.47298
2014-12-29,3.51,3.645,3.50,3.61,929500,3.50209
2014-12-26,3.52,3.52,3.52,3.52,000,3.41478
2014-12-25,3.52,3.52,3.52,3.52,000,3.41478
2014-12-24,3.55,3.56,3.51,3.52,651300,3.41478
2014-12-23,3.55,3.565,3.53,3.53,1603400,3.42448
2014-12-22,3.54,3.58,3.51,3.55,2018800,3.44388
2014-12-19,3.40,3.54,3.40,3.47,3131600,3.36627
2014-12-18,3.39,3.44,3.36,3.37,2663000,3.26926
2014-12-17,3.41,3.425,3.37,3.40,1857400,3.29836
2014-12-16,3.42,3.455,3.41,3.41,1073800,3.30807
2014-12-15,3.47,3.47,3.42,3.42,1121600,3.31777
2014-12-12,3.51,3.54,3.48,3.48,1140400,3.37597
2014-12-11,3.50,3.52,3.46,3.50,1959100,3.39537
2014-12-10,3.55,3.56,3.50,3.54,1630100,3.43418
2014-12-09,3.55,3.58,3.51,3.54,2581900,3.43418
2014-12-08,3.58,3.605,3.55,3.59,1852900,3.48268
2014-12-05,3.54,3.61,3.51,3.57,1959200,3.46328
2014-12-04,3.50,3.57,3.49,3.52,3412200,3.41478
2014-12-03,3.44,3.50,3.41,3.50,1423400,3.39537
2014-12-02,3.43,3.48,3.42,3.48,1088700,3.37597
2014-12-01,3.43,3.46,3.42,3.42,1390200,3.31777
2014-11-28,3.50,3.50,3.42,3.43,1182000,3.32747
2014-11-27,3.49,3.505,3.48,3.50,933000,3.39537
2014-11-26,3.44,3.49,3.43,3.49,1141200,3.38567
2014-11-25,3.45,3.46,3.39,3.43,1763700,3.32747
2014-11-24,3.41,3.49,3.41,3.45,1593800,3.34687
2014-11-21,3.42,3.43,3.38,3.38,1016700,3.27896
2014-11-20,3.42,3.50,3.41,3.41,4047700,3.30807
2014-11-19,3.50,3.51,3.47,3.49,1047600,3.38567
2014-11-18,3.50,3.52,3.46,3.51,1515300,3.40508
2014-11-17,3.50,3.50,3.45,3.47,862100,3.36627
2014-11-14,3.49,3.51,3.455,3.50,1234400,3.39537
2014-11-13,3.44,3.50,3.42,3.49,1686200,3.38567
2014-11-12,3.48,3.48,3.425,3.44,1392700,3.33717
2014-11-11,3.45,3.48,3.45,3.48,1454300,3.37597
2014-11-10,3.41,3.49,3.41,3.45,1551500,3.34687
2014-11-07,3.34,3.40,3.34,3.40,1888000,3.29836
2014-11-06,3.32,3.34,3.29,3.31,684600,3.21105
2014-11-05,3.30,3.32,3.28,3.30,647000,3.20135
2014-11-04,3.28,3.34,3.27,3.33,860400,3.23046
2014-11-03,3.34,3.35,3.27,3.29,868800,3.19165
2014-10-31,3.33,3.36,3.30,3.36,1282600,3.25956
2014-10-30,3.33,3.34,3.305,3.31,891200,3.21105
2014-10-29,3.36,3.36,3.30,3.32,1421400,3.22076
2014-10-28,3.33,3.35,3.29,3.31,1516700,3.21105
2014-10-27,3.36,3.39,3.30,3.33,1026800,3.23046
2014-10-24,3.38,3.39,3.35,3.36,1357700,3.25956
2014-10-23,3.33,3.36,3.31,3.34,1229100,3.24016
2014-10-22,3.33,3.37,3.31,3.36,1444000,3.25956
2014-10-21,3.25,3.31,3.25,3.28,1010600,3.18195
2014-10-20,3.26,3.27,3.225,3.26,755100,3.16255
2014-10-17,3.25,3.305,3.22,3.22,1461200,3.12374
2014-10-16,3.20,3.25,3.12,3.25,2092500,3.15285
2014-10-15,3.18,3.23,3.17,3.21,1019600,3.11404
2014-10-14,3.16,3.21,3.135,3.19,1486800,3.09464
2014-10-13,3.18,3.20,3.13,3.18,1134400,3.08494
2014-10-10,3.22,3.24,3.17,3.19,1908000,3.09464
2014-10-09,3.25,3.35,3.24,3.28,1636000,3.18195
2014-10-08,3.19,3.245,3.19,3.21,1492900,3.11404
2014-10-07,3.25,3.26,3.20,3.21,1631500,3.11404
2014-10-06,3.27,3.27,3.20,3.23,705500,3.13345
2014-10-03,3.23,3.27,3.20,3.24,889000,3.14315
2014-10-02,3.23,3.29,3.22,3.24,1352000,3.14315
2014-10-01,3.21,3.28,3.20,3.26,2238400,3.16255
