date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.93,2.97,2.89,2.92,1426200,2.83671
2015-06-29,2.98,3.04,2.885,2.97,1062200,2.88529
2015-06-26,3.01,3.03,2.95,2.98,1164200,2.895
2015-06-25,3.09,3.10,3.03,3.05,449900,2.963
2015-06-24,3.12,3.12,3.02,3.09,953500,3.00186
2015-06-23,3.07,3.11,3.04,3.11,673700,3.02129
2015-06-22,3.05,3.065,3.03,3.05,422500,2.963
2015-06-19,2.90,3.04,2.90,3.04,1938100,2.95329
2015-06-18,2.95,2.97,2.895,2.92,1613100,2.83671
2015-06-17,3.00,3.00,2.96,2.98,839100,2.895
2015-06-16,2.96,3.01,2.96,2.97,816000,2.88529
2015-06-15,2.92,3.005,2.92,2.96,1077800,2.87557
2015-06-12,2.86,2.98,2.86,2.95,1767200,2.86586
2015-06-11,2.87,2.88,2.85,2.86,645400,2.77842
2015-06-10,2.85,2.88,2.835,2.87,691500,2.78814
2015-06-09,2.86,2.89,2.84,2.85,721200,2.76871
2015-06-08,2.86,2.86,2.86,2.86,000,2.77842
2015-06-05,2.86,2.87,2.84,2.86,589500,2.77842
2015-06-04,2.89,2.90,2.85,2.86,938500,2.77842
2015-06-03,2.83,2.89,2.83,2.89,935400,2.80757
2015-06-02,2.91,2.92,2.83,2.83,357400,2.74928
2015-06-01,2.90,2.92,2.82,2.90,1021000,2.81728
2015-05-29,2.88,2.91,2.86,2.91,1619100,2.827
2015-05-28,2.89,2.89,2.86,2.87,920600,2.78814
2015-05-27,2.86,2.90,2.85,2.88,585500,2.79785
2015-05-26,2.87,2.89,2.85,2.87,937700,2.78814
2015-05-25,2.86,2.91,2.86,2.87,316000,2.78814
2015-05-22,2.89,2.89,2.86,2.87,337400,2.78814
2015-05-21,2.85,2.91,2.85,2.85,656700,2.76871
2015-05-20,2.87,2.89,2.85,2.86,869900,2.77842
2015-05-19,2.92,2.93,2.87,2.88,836600,2.79785
2015-05-18,2.91,2.94,2.90,2.90,704900,2.81728
2015-05-15,2.93,2.96,2.90,2.91,1433500,2.827
2015-05-14,2.91,2.94,2.90,2.91,576100,2.827
2015-05-13,2.92,2.95,2.91,2.93,819400,2.84643
2015-05-12,2.92,2.95,2.905,2.94,646700,2.85614
2015-05-11,2.96,2.965,2.92,2.92,748900,2.83671
2015-05-08,2.89,2.97,2.88,2.91,418100,2.827
2015-05-07,2.93,2.99,2.89,2.90,627500,2.81728
2015-05-06,3.01,3.06,2.98,3.02,587000,2.93386
