date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.41,2.59,2.41,2.57,905700,2.57
2015-06-29,2.50,2.50,2.42,2.44,717000,2.44
2015-06-26,2.61,2.63,2.52,2.53,736100,2.53
2015-06-25,2.63,2.63,2.60,2.60,830800,2.60
2015-06-24,2.61,2.65,2.605,2.63,458300,2.63
2015-06-23,2.64,2.68,2.60,2.62,499700,2.62
2015-06-22,2.63,2.67,2.595,2.61,748300,2.61
2015-06-19,2.63,2.705,2.63,2.63,1067200,2.63
2015-06-18,2.62,2.69,2.60,2.62,556900,2.62
2015-06-17,2.72,2.77,2.64,2.66,837100,2.66
2015-06-16,2.76,2.80,2.73,2.75,483800,2.75
2015-06-15,2.82,2.82,2.76,2.77,686300,2.77
2015-06-12,2.80,2.82,2.80,2.82,276200,2.82
2015-06-11,2.85,2.88,2.80,2.80,655400,2.80
2015-06-10,2.80,2.85,2.79,2.83,829500,2.83
2015-06-09,2.73,2.84,2.72,2.82,739200,2.82
2015-06-08,2.74,2.74,2.74,2.74,000,2.74
2015-06-05,2.80,2.80,2.70,2.74,1311400,2.74
2015-06-04,2.92,3.00,2.78,2.81,1966200,2.81
2015-06-03,3.07,3.07,2.96,3.02,705900,3.02
2015-06-02,3.06,3.14,3.01,3.06,495500,3.06
2015-06-01,3.09,3.11,3.02,3.07,570900,3.07
2015-05-29,3.01,3.16,3.00,3.10,1103500,3.10
2015-05-28,3.07,3.07,2.96,3.00,827200,3.00
2015-05-27,3.20,3.20,3.06,3.07,1677100,3.07
2015-05-26,3.19,3.285,3.19,3.21,461400,3.21
2015-05-25,3.12,3.22,3.12,3.22,392300,3.22
2015-05-22,3.15,3.18,3.12,3.12,293300,3.12
2015-05-21,3.03,3.18,3.01,3.13,532200,3.13
2015-05-20,3.10,3.12,3.04,3.07,689100,3.07
2015-05-19,3.11,3.13,3.10,3.11,582000,3.11
2015-05-18,3.10,3.135,3.09,3.11,569100,3.11
2015-05-15,3.04,3.12,3.03,3.12,772100,3.12
2015-05-14,3.02,3.05,2.98,3.03,834800,3.03
2015-05-13,2.90,3.02,2.90,3.01,601100,3.01
2015-05-12,2.91,2.92,2.89,2.92,643100,2.92
2015-05-11,2.92,2.93,2.90,2.91,761400,2.91
2015-05-08,2.89,2.93,2.87,2.91,880900,2.91
2015-05-07,2.84,2.90,2.82,2.88,450700,2.88
2015-05-06,2.84,2.87,2.83,2.84,701800,2.84
2015-05-05,2.85,2.88,2.85,2.87,265400,2.87
2015-05-04,2.84,2.90,2.83,2.86,640900,2.86
2015-05-01,2.83,2.87,2.76,2.85,1248000,2.85
2015-04-30,2.75,2.82,2.71,2.80,400800,2.80
2015-04-29,2.80,2.80,2.735,2.75,324800,2.75
2015-04-28,2.75,2.81,2.75,2.77,367200,2.77
2015-04-27,2.70,2.78,2.685,2.75,1022200,2.75
2015-04-24,2.70,2.75,2.68,2.70,660800,2.70
2015-04-23,2.68,2.70,2.66,2.67,618400,2.67
2015-04-22,2.60,2.71,2.60,2.67,2432500,2.67
2015-04-21,2.57,2.62,2.56,2.60,1116200,2.60
2015-04-20,2.58,2.58,2.54,2.55,613900,2.55
2015-04-17,2.62,2.64,2.59,2.60,648900,2.60
2015-04-16,2.55,2.65,2.55,2.61,885400,2.61
2015-04-15,2.67,2.68,2.52,2.52,943700,2.52
2015-04-14,2.64,2.69,2.61,2.66,542800,2.66
2015-04-13,2.81,2.82,2.62,2.62,902100,2.62
2015-04-10,2.81,2.85,2.80,2.81,706400,2.81
2015-04-09,2.86,2.86,2.80,2.80,772600,2.80
2015-04-08,2.85,2.90,2.83,2.88,465400,2.88
2015-04-07,2.83,2.90,2.81,2.87,483400,2.87
2015-04-06,2.83,2.83,2.83,2.83,000,2.83
2015-04-03,2.83,2.83,2.83,2.83,000,2.83
2015-04-02,2.85,2.88,2.785,2.83,946900,2.83
2015-04-01,2.88,2.90,2.83,2.85,1005700,2.85
2015-03-31,2.85,2.91,2.85,2.89,354600,2.89
2015-03-30,2.90,2.90,2.85,2.87,429600,2.87
2015-03-27,2.88,2.92,2.87,2.90,486800,2.90
2015-03-26,2.94,2.95,2.88,2.89,799500,2.89
2015-03-25,2.84,2.95,2.82,2.90,1486100,2.90
2015-03-24,2.80,2.83,2.79,2.80,692800,2.80
2015-03-23,2.85,2.85,2.75,2.80,703300,2.80
2015-03-20,2.75,2.92,2.75,2.90,1630200,2.82857
2015-03-19,2.61,2.80,2.61,2.75,1048000,2.68227
2015-03-18,2.62,2.65,2.59,2.64,794700,2.57498
2015-03-17,2.61,2.66,2.57,2.63,866500,2.56522
2015-03-16,2.61,2.63,2.60,2.60,430300,2.53596
2015-03-13,2.70,2.73,2.61,2.64,461800,2.57498
2015-03-12,2.70,2.75,2.67,2.69,672500,2.62374
2015-03-11,2.58,2.74,2.58,2.65,710300,2.58473
2015-03-10,2.62,2.68,2.60,2.63,613900,2.56522
2015-03-09,2.68,2.69,2.60,2.60,389400,2.53596
2015-03-06,2.71,2.74,2.66,2.71,463500,2.64325
2015-03-05,2.76,2.78,2.64,2.71,770500,2.64325
2015-03-04,2.63,2.79,2.625,2.75,1281900,2.68227
2015-03-03,2.52,2.65,2.51,2.60,1013500,2.53596
2015-03-02,2.52,2.53,2.46,2.47,731400,2.40916
2015-02-27,2.54,2.55,2.46,2.50,892400,2.43842
2015-02-26,2.56,2.59,2.45,2.54,1185900,2.47744
2015-02-25,2.70,2.73,2.35,2.59,2303000,2.52621
2015-02-24,2.58,2.69,2.55,2.66,1874300,2.59448
2015-02-23,2.82,2.88,2.63,2.65,1516600,2.58473
2015-02-20,2.93,2.93,2.81,2.87,760900,2.79931
2015-02-19,2.89,2.96,2.89,2.92,2001600,2.84808
2015-02-18,2.86,2.88,2.83,2.86,957200,2.78956
2015-02-17,2.84,2.86,2.82,2.84,1325500,2.77005
2015-02-16,2.74,2.89,2.71,2.85,1468400,2.7798
