date,Open,High,Low,Close,Volume,Adj Close
2015-05-22,15.05,15.28,15.02,15.18,1361400,15.18
2015-05-21,15.10,15.18,14.82,14.92,2517700,14.92
2015-05-20,15.00,15.07,14.80,14.90,1678300,14.90
2015-05-19,15.19,15.19,14.76,14.85,1763900,14.85
2015-05-18,15.09,15.15,14.92,14.94,952200,14.94
2015-05-15,14.99,15.08,14.935,15.05,1562300,15.05
2015-05-14,14.68,14.93,14.59,14.90,1288700,14.90
2015-05-13,14.90,14.90,14.665,14.70,1311500,14.70
2015-05-12,14.80,14.89,14.67,14.82,1607700,14.82
2015-05-11,14.95,14.95,14.64,14.71,1091600,14.71
2015-05-08,14.97,14.97,14.72,14.77,1605100,14.77
2015-05-07,14.70,14.78,14.55,14.63,1812200,14.63
2015-05-06,14.92,15.00,14.71,14.73,1821200,14.73
2015-05-05,15.20,15.35,15.02,15.10,1252700,15.10
2015-05-04,15.06,15.31,14.97,15.11,1376600,15.11
2015-05-01,15.26,15.265,14.95,15.04,1526600,15.04
2015-04-30,15.10,15.20,14.89,15.19,1850300,15.19
2015-04-29,15.39,15.45,15.165,15.18,1414600,15.18
2015-04-28,15.50,15.58,15.40,15.49,1268300,15.49
2015-04-27,15.49,15.55,15.44,15.53,1220100,15.53
2015-04-24,15.25,15.48,15.16,15.44,2020600,15.44
2015-04-23,14.99,15.05,14.83,15.04,2048400,15.04
2015-04-22,15.00,15.15,14.87,14.94,1211900,14.94
2015-04-21,15.16,15.20,14.955,15.08,1282400,15.08
2015-04-20,14.98,15.065,14.85,14.96,885400,14.96
2015-04-17,14.98,15.16,14.90,14.98,1216800,14.98
2015-04-16,15.12,15.24,15.00,15.07,1163100,15.07
2015-04-15,15.28,15.31,15.03,15.09,1304800,15.09
2015-04-14,15.19,15.31,15.16,15.31,1219500,15.31
2015-04-13,15.30,15.36,15.20,15.28,1405900,15.28
2015-04-10,15.10,15.14,15.00,15.11,1200200,15.11
2015-04-09,14.98,15.11,14.96,15.00,1109800,15.00
2015-04-08,15.14,15.29,14.98,15.04,1436800,15.04
2015-04-07,15.32,15.37,15.10,15.20,1143700,15.20
2015-04-06,15.12,15.12,15.12,15.12,000,15.12
2015-04-03,15.12,15.12,15.12,15.12,000,15.12
2015-04-02,15.10,15.21,15.09,15.12,1191900,15.12
2015-04-01,15.22,15.34,15.01,15.09,1299300,15.09
2015-03-31,15.33,15.37,15.18,15.20,1437100,15.20
2015-03-30,15.18,15.26,15.07,15.11,1334300,15.11
2015-03-27,14.87,15.35,14.78,15.31,3186700,15.31
2015-03-26,14.82,14.825,14.60,14.73,1639600,14.73
2015-03-25,14.85,14.92,14.77,14.82,1507100,14.82
2015-03-24,14.65,14.87,14.64,14.82,1522400,14.82
2015-03-23,14.58,14.79,14.52,14.73,1906900,14.73
2015-03-20,14.53,14.75,14.52,14.68,1955200,14.68
2015-03-19,14.37,14.70,14.36,14.64,2491800,14.64
2015-03-18,14.47,14.55,14.35,14.52,1627800,14.52
2015-03-17,14.63,14.72,14.47,14.59,1504100,14.59
2015-03-16,14.51,14.59,14.50,14.57,1184900,14.57
2015-03-13,14.56,14.69,14.53,14.58,1122000,14.58
2015-03-12,14.65,14.71,14.55,14.64,1426700,14.64
2015-03-11,14.66,14.70,14.53,14.69,1644100,14.69
2015-03-10,14.74,14.84,14.63,14.71,1313200,14.71
2015-03-09,14.85,14.94,14.70,14.73,1161700,14.73
2015-03-06,15.00,15.06,14.84,15.06,1443400,15.06
2015-03-05,15.01,15.14,14.98,15.14,1301100,15.14
2015-03-04,15.05,15.13,14.96,15.07,1259200,15.07
2015-03-03,15.14,15.19,14.96,15.10,1182800,15.10
2015-03-02,14.93,15.20,14.93,15.12,1811000,15.12
2015-02-27,15.00,15.11,14.86,15.05,2529400,15.05
2015-02-26,15.22,15.28,15.04,15.12,1675800,15.12
2015-02-25,15.29,15.29,15.15,15.24,1673600,15.24
2015-02-24,15.15,15.36,15.15,15.32,5024400,15.32
2015-02-23,15.40,15.48,15.32,15.46,1626500,15.03143
2015-02-20,15.50,15.53,15.33,15.40,1915700,14.97309
2015-02-19,15.45,15.55,15.33,15.51,2151700,15.08004
2015-02-18,15.20,15.29,15.07,15.26,2290400,14.83697
2015-02-17,15.00,15.18,14.93,15.18,1782100,14.75919
2015-02-16,14.98,15.04,14.91,15.03,1730600,14.61335
2015-02-13,14.79,15.00,14.75,14.98,1891500,14.56473
2015-02-12,15.00,15.07,14.72,14.88,3990000,14.46751
2015-02-11,14.65,15.08,14.62,15.08,2773000,14.66196
2015-02-10,14.27,14.55,14.27,14.46,1746600,14.05915
2015-02-09,14.58,14.58,14.39,14.51,1236000,14.10776
2015-02-06,14.54,14.73,14.48,14.66,1122100,14.25361
2015-02-05,14.35,14.64,14.27,14.51,1229000,14.10776
2015-02-04,14.54,14.68,14.42,14.64,1917000,14.23416
2015-02-03,14.43,14.56,14.27,14.46,1993800,14.05915
2015-02-02,14.20,14.41,14.16,14.37,1464600,13.97165
2015-01-30,14.40,14.40,14.20,14.20,3106900,13.80636
2015-01-29,13.96,14.39,13.92,14.39,2228600,13.99109
2015-01-28,14.15,14.15,13.85,14.07,1372300,13.67996
2015-01-27,14.28,14.29,14.07,14.19,1642100,13.79663
2015-01-26,13.97,13.97,13.97,13.97,000,13.58273
2015-01-23,14.00,14.05,13.85,13.97,973500,13.58273
2015-01-22,14.09,14.175,13.83,13.83,1224700,13.44661
2015-01-21,13.80,14.02,13.75,13.99,2222300,13.60218
2015-01-20,13.53,13.77,13.50,13.73,1632400,13.34939
2015-01-19,13.55,13.73,13.52,13.59,1090900,13.21327
2015-01-16,13.60,13.78,13.54,13.60,1617400,13.22299
2015-01-15,13.73,13.77,13.53,13.76,1724800,13.37856
2015-01-14,13.68,13.74,13.55,13.66,963800,13.28133
2015-01-13,13.55,13.73,13.55,13.68,934500,13.30077
2015-01-12,13.57,13.72,13.52,13.71,925500,13.32994
2015-01-09,13.52,13.74,13.52,13.73,1412900,13.34939
2015-01-08,13.59,13.65,13.50,13.57,1131100,13.19382
2015-01-07,13.25,13.57,13.12,13.51,1431000,13.13549
2015-01-06,13.41,13.59,13.37,13.46,1198900,13.08687
2015-01-05,13.41,13.69,13.41,13.64,1038000,13.26188
2015-01-02,13.60,13.60,13.34,13.47,359500,13.09659
2015-01-01,13.36,13.36,13.36,13.36,000,12.98964
2014-12-31,13.45,13.55,13.36,13.36,532500,12.98964
2014-12-30,13.55,13.59,13.38,13.40,905400,13.02853
2014-12-29,13.40,13.58,13.26,13.55,1012100,13.17438
2014-12-26,13.45,13.45,13.45,13.45,000,13.07715
2014-12-25,13.45,13.45,13.45,13.45,000,13.07715
2014-12-24,13.35,13.50,13.34,13.45,595200,13.07715
2014-12-23,13.49,13.58,13.35,13.35,929600,12.97992
2014-12-22,13.40,13.47,13.24,13.46,1081700,13.08687
2014-12-19,12.91,13.38,12.86,13.38,3881600,13.00909
2014-12-18,12.91,13.19,12.87,12.88,2578700,12.52295
2014-12-17,12.79,12.965,12.72,12.91,2006900,12.55212
2014-12-16,12.74,12.83,12.66,12.82,1630300,12.46461
2014-12-15,12.88,12.88,12.64,12.72,1739400,12.36739
2014-12-12,12.55,12.90,12.55,12.69,2452600,12.33822
2014-12-11,12.80,12.89,12.60,12.87,1731300,12.51323
2014-12-10,13.16,13.16,12.90,12.91,1800200,12.55212
2014-12-09,13.28,13.405,13.19,13.21,1569400,12.8438
2014-12-08,13.47,13.54,13.39,13.48,1178500,13.10632
2014-12-05,13.47,13.59,13.32,13.37,1213300,12.99937
2014-12-04,13.69,13.73,13.44,13.49,1003000,13.11604
2014-12-03,13.50,13.65,13.35,13.65,2021300,13.2716
2014-12-02,13.34,13.44,13.19,13.44,1820700,13.06743
2014-12-01,13.10,13.42,12.95,12.95,1241400,12.59101
2014-11-28,13.09,13.14,13.00,13.11,6590900,12.74657
2014-11-27,13.20,13.40,13.15,13.21,1040600,12.8438
