date,Open,High,Low,Close,Volume,Adj Close
2015-06-08,4.31,4.31,4.31,4.31,000,4.31
2015-06-05,4.37,4.43,4.25,4.31,717800,4.31
2015-06-04,4.45,4.46,4.34,4.37,783600,4.37
2015-06-03,4.47,4.47,4.40,4.43,583600,4.43
2015-06-02,4.62,4.64,4.47,4.49,571200,4.49
2015-06-01,4.65,4.68,4.51,4.62,633200,4.62
2015-05-29,4.63,4.67,4.60,4.60,680100,4.60
2015-05-28,4.55,4.63,4.54,4.61,538900,4.61
2015-05-27,4.54,4.57,4.50,4.55,261000,4.55
2015-05-26,4.57,4.59,4.54,4.57,317200,4.57
2015-05-25,4.53,4.60,4.51,4.60,645700,4.60
2015-05-22,4.54,4.58,4.50,4.52,326400,4.52
2015-05-21,4.43,4.54,4.42,4.50,902200,4.50
2015-05-20,4.45,4.49,4.38,4.43,1379400,4.43
2015-05-19,4.39,4.40,4.33,4.40,630100,4.40
2015-05-18,4.47,4.47,4.37,4.39,1163700,4.39
2015-05-15,4.54,4.59,4.45,4.48,1415500,4.48
2015-05-14,4.42,4.53,4.39,4.50,1059100,4.50
2015-05-13,4.33,4.47,4.30,4.42,902700,4.42
2015-05-12,4.22,4.33,4.205,4.32,889100,4.32
2015-05-11,4.24,4.28,4.16,4.21,822200,4.21
2015-05-08,4.17,4.28,4.14,4.23,765000,4.23
2015-05-07,4.15,4.21,4.14,4.17,527800,4.17
2015-05-06,4.28,4.33,4.18,4.19,698200,4.19
2015-05-05,4.30,4.37,4.28,4.31,576200,4.31
2015-05-04,4.30,4.32,4.26,4.29,523100,4.29
2015-05-01,4.22,4.28,4.20,4.28,217800,4.28
2015-04-30,4.25,4.29,4.22,4.27,558000,4.27
2015-04-29,4.27,4.30,4.245,4.27,877400,4.27
2015-04-28,4.30,4.30,4.22,4.26,829800,4.26
2015-04-27,4.29,4.33,4.27,4.29,743100,4.29
2015-04-24,4.16,4.30,4.16,4.30,842500,4.30
2015-04-23,4.17,4.18,4.13,4.15,532400,4.15
2015-04-22,4.17,4.20,4.15,4.17,306100,4.17
2015-04-21,4.18,4.20,4.13,4.17,533700,4.17
