date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.41,4.42,4.35,4.38,62700,4.38
2015-06-29,4.41,4.43,4.38,4.40,96700,4.40
2015-06-26,4.43,4.45,4.39,4.42,12100,4.42
2015-06-25,4.45,4.48,4.41,4.43,40400,4.43
2015-06-24,4.40,4.44,4.36,4.40,111500,4.40
2015-06-23,4.40,4.40,4.37,4.40,74500,4.40
2015-06-22,4.40,4.44,4.38,4.43,41700,4.43
2015-06-19,4.45,4.46,4.39,4.41,87800,4.41
2015-06-18,4.47,4.50,4.44,4.45,44300,4.45
2015-06-17,4.56,4.56,4.50,4.53,53200,4.53
2015-06-16,4.63,4.63,4.52,4.52,24000,4.52
2015-06-15,4.59,4.74,4.59,4.62,22600,4.62
2015-06-12,4.70,4.70,4.60,4.60,29900,4.60
2015-06-11,4.60,4.63,4.55,4.55,39400,4.55
2015-06-10,4.70,4.74,4.65,4.66,74400,4.66
2015-06-09,4.55,4.70,4.55,4.67,181100,4.67
2015-06-08,4.37,4.37,4.37,4.37,000,4.37
2015-06-05,4.50,4.60,4.37,4.37,41700,4.37
2015-06-04,4.41,4.49,4.41,4.47,57800,4.47
2015-06-03,4.41,4.43,4.37,4.40,80300,4.40
2015-06-02,4.52,4.52,4.425,4.44,56200,4.44
2015-06-01,4.53,4.54,4.44,4.47,33600,4.47
2015-05-29,4.61,4.65,4.48,4.54,70100,4.54
2015-05-28,4.52,4.61,4.51,4.58,36700,4.58
2015-05-27,4.50,4.53,4.49,4.51,48700,4.51
2015-05-26,4.45,4.52,4.45,4.49,121500,4.49
2015-05-25,4.47,4.49,4.42,4.46,45000,4.46
2015-05-22,4.44,4.48,4.41,4.41,40600,4.41
2015-05-21,4.33,4.415,4.31,4.39,27600,4.39
2015-05-20,4.30,4.35,4.30,4.32,66700,4.32
2015-05-19,4.28,4.34,4.25,4.31,37300,4.31
2015-05-18,4.24,4.33,4.24,4.32,183500,4.32
2015-05-15,4.34,4.34,4.18,4.23,145000,4.23
2015-05-14,4.22,4.24,4.21,4.24,122500,4.24
2015-05-13,4.27,4.34,4.24,4.27,129800,4.27
2015-05-12,4.31,4.31,4.23,4.27,131000,4.27
2015-05-11,4.34,4.34,4.31,4.31,273700,4.31
2015-05-08,4.34,4.39,4.34,4.35,286800,4.35
2015-05-07,4.33,4.37,4.33,4.34,119700,4.34
2015-05-06,4.40,4.41,4.35,4.39,101600,4.39
2015-05-05,4.46,4.51,4.44,4.46,376900,4.46
2015-05-04,4.39,4.47,4.39,4.47,61800,4.47
2015-05-01,4.44,4.45,4.38,4.38,96900,4.38
2015-04-30,4.35,4.48,4.32,4.43,131600,4.43
2015-04-29,4.46,4.46,4.38,4.38,102600,4.38
2015-04-28,4.50,4.50,4.46,4.46,39900,4.46
2015-04-27,4.42,4.59,4.42,4.53,28600,4.53
2015-04-24,4.46,4.51,4.45,4.50,128000,4.50
2015-04-23,4.52,4.54,4.44,4.44,91700,4.44
2015-04-22,4.57,4.61,4.51,4.56,121600,4.56
2015-04-21,4.57,4.59,4.54,4.57,296600,4.57
2015-04-20,4.55,4.59,4.52,4.56,107100,4.56
2015-04-17,4.52,4.62,4.52,4.60,34700,4.60
2015-04-16,4.62,4.73,4.41,4.51,91000,4.51
2015-04-15,4.61,4.63,4.55,4.57,557700,4.57
2015-04-14,4.61,4.62,4.56,4.59,319800,4.59
2015-04-13,4.50,4.62,4.49,4.60,345600,4.60
2015-04-10,4.51,4.61,4.48,4.50,66100,4.50
2015-04-09,4.50,4.55,4.48,4.55,43700,4.55
2015-04-08,4.48,4.49,4.46,4.48,300,4.48
2015-04-07,4.45,4.50,4.40,4.46,67000,4.46
2015-04-06,4.42,4.42,4.42,4.42,000,4.42
2015-04-03,4.42,4.42,4.42,4.42,000,4.42
2015-04-02,4.41,4.44,4.38,4.42,61800,4.42
2015-04-01,4.43,4.48,4.41,4.48,22700,4.48
2015-03-31,4.48,4.48,4.40,4.45,98000,4.45
2015-03-30,4.43,4.45,4.41,4.44,48800,4.44
2015-03-27,4.41,4.46,4.40,4.44,115700,4.44
2015-03-26,4.38,4.43,4.37,4.43,52600,4.43
2015-03-25,4.41,4.41,4.36,4.40,33200,4.40
2015-03-24,4.42,4.44,4.39,4.42,44100,4.42
2015-03-23,4.36,4.42,4.35,4.42,51500,4.42
2015-03-20,4.33,4.35,4.30,4.32,95100,4.32
2015-03-19,4.31,4.31,4.27,4.29,38100,4.29
2015-03-18,4.26,4.27,4.22,4.25,59100,4.25
2015-03-17,4.29,4.35,4.26,4.31,82000,4.31
2015-03-16,4.37,4.37,4.18,4.32,36700,4.2492
2015-03-13,4.35,4.40,4.32,4.32,47300,4.2492
2015-03-12,4.27,4.41,4.27,4.35,31900,4.27871
2015-03-11,4.29,4.33,4.24,4.26,224100,4.19018
2015-03-10,4.33,4.37,4.32,4.34,22100,4.26887
2015-03-09,4.33,4.40,4.30,4.30,55000,4.22953
2015-03-06,4.30,4.38,4.30,4.35,17100,4.27871
2015-03-05,4.39,4.39,4.30,4.33,160600,4.25904
2015-03-04,4.40,4.45,4.30,4.30,64900,4.22953
2015-03-03,4.30,4.45,4.30,4.41,80100,4.33772
2015-03-02,4.25,4.42,4.21,4.30,19100,4.22953
2015-02-27,4.12,4.22,4.10,4.21,535000,4.141
2015-02-26,4.10,4.15,4.09,4.11,22400,4.04264
2015-02-25,4.11,4.14,4.05,4.10,141700,4.03281
2015-02-24,4.10,4.12,4.10,4.11,554600,4.04264
2015-02-23,4.20,4.20,4.03,4.07,175400,4.0033
2015-02-20,4.25,4.30,4.20,4.22,196600,4.15084
2015-02-19,4.27,4.28,4.22,4.23,320000,4.16068
2015-02-18,4.26,4.29,4.23,4.27,9100,4.20002
2015-02-17,4.30,4.32,4.25,4.28,11400,4.20986
2015-02-16,4.30,4.32,4.23,4.24,14300,4.17051
2015-02-13,4.28,4.32,4.26,4.26,9900,4.19018
2015-02-12,4.32,4.33,4.29,4.29,5800,4.21969
2015-02-11,4.34,4.34,4.26,4.32,7600,4.2492
2015-02-10,4.22,4.31,4.22,4.30,116900,4.22953
2015-02-09,4.29,4.30,4.19,4.28,39300,4.20986
2015-02-06,4.30,4.34,4.26,4.29,7900,4.21969
2015-02-05,4.25,4.30,4.20,4.30,15800,4.22953
2015-02-04,4.29,4.29,4.00,4.20,41500,4.13117
2015-02-03,4.20,4.23,4.15,4.23,32300,4.16068
2015-02-02,4.19,4.19,4.13,4.19,33600,4.12133
2015-01-30,4.15,4.28,4.07,4.28,13500,4.20986
2015-01-29,4.25,4.25,4.06,4.10,56600,4.03281
2015-01-28,4.24,4.26,4.15,4.25,35800,4.18035
2015-01-27,4.13,4.25,4.13,4.22,54600,4.15084
2015-01-26,4.13,4.13,4.13,4.13,000,4.06231
2015-01-23,4.07,4.19,4.07,4.13,35900,4.06231
2015-01-22,4.15,4.15,4.07,4.07,44700,4.0033
2015-01-21,4.11,4.16,4.09,4.10,6900,4.03281
2015-01-20,4.18,4.18,4.11,4.11,64500,4.04264
2015-01-19,4.13,4.16,4.09,4.16,29200,4.09182
2015-01-16,4.16,4.19,4.12,4.13,52700,4.06231
2015-01-15,4.15,4.16,4.01,4.11,56700,4.04264
2015-01-14,4.15,4.16,4.09,4.15,60900,4.08199
2015-01-13,4.10,4.17,4.07,4.17,35000,4.10166
2015-01-12,4.10,4.11,4.04,4.07,29700,4.0033
2015-01-09,4.17,4.17,4.06,4.06,63600,3.99346
2015-01-08,4.19,4.19,4.14,4.14,5400,4.07215
2015-01-07,4.19,4.19,4.13,4.13,99200,4.06231
2015-01-06,4.10,4.13,4.02,4.11,184200,4.04264
2015-01-05,4.14,4.18,4.11,4.12,23200,4.05248
2015-01-02,4.19,4.21,4.17,4.21,1200,4.141
2015-01-01,4.11,4.11,4.11,4.11,000,4.04264
2014-12-31,4.16,4.16,4.05,4.11,33000,4.04264
2014-12-30,4.21,4.22,4.11,4.11,23100,4.04264
2014-12-29,4.40,4.40,4.18,4.21,22100,4.141
2014-12-26,4.25,4.25,4.25,4.25,000,4.18035
2014-12-25,4.25,4.25,4.25,4.25,000,4.18035
2014-12-24,4.14,4.25,4.14,4.25,8400,4.18035
2014-12-23,4.18,4.25,4.16,4.25,33200,4.18035
2014-12-22,4.18,4.25,4.13,4.25,58600,4.18035
2014-12-19,4.10,4.17,4.07,4.12,87800,4.05248
2014-12-18,4.06,4.11,4.04,4.11,46700,4.04264
2014-12-17,4.09,4.09,4.03,4.03,246200,3.96395
2014-12-16,3.99,4.05,3.98,4.04,56200,3.97379
2014-12-15,3.96,3.98,3.90,3.94,214800,3.87543
2014-12-12,3.93,3.98,3.93,3.96,18400,3.8951
2014-12-11,3.87,3.98,3.87,3.92,17000,3.85576
2014-12-10,3.98,3.98,3.855,3.87,25000,3.80657
2014-12-09,3.95,4.00,3.85,4.00,38900,3.93444
2014-12-08,3.87,3.90,3.85,3.88,31600,3.81641
