date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,6.43,6.65,6.42,6.65,5996200,6.65
2015-06-29,6.44,6.51,6.33,6.47,3224000,6.47
2015-06-26,6.62,6.63,6.46,6.52,3273400,6.52
2015-06-25,6.77,6.775,6.65,6.65,4037900,6.65
2015-06-24,6.83,6.83,6.75,6.80,1542100,6.80
2015-06-23,6.78,6.83,6.72,6.79,2567300,6.79
2015-06-22,6.82,6.82,6.68,6.74,2307600,6.74
2015-06-19,6.69,6.82,6.60,6.79,4569400,6.79
2015-06-18,6.61,6.72,6.60,6.66,5411200,6.66
2015-06-17,6.64,6.64,6.52,6.58,1630500,6.58
2015-06-16,6.57,6.63,6.52,6.54,3451200,6.54
2015-06-15,6.54,6.61,6.51,6.58,1560500,6.58
2015-06-12,6.64,6.65,6.55,6.59,1840600,6.59
2015-06-11,6.58,6.655,6.55,6.64,2443900,6.64
2015-06-10,6.52,6.57,6.47,6.53,2702800,6.53
2015-06-09,6.57,6.60,6.46,6.48,2500800,6.48
2015-06-08,6.53,6.53,6.53,6.53,000,6.53
2015-06-05,6.50,6.565,6.475,6.53,2235900,6.53
2015-06-04,6.65,6.65,6.495,6.51,4118700,6.51
2015-06-03,6.58,6.63,6.49,6.62,5231100,6.62
2015-06-02,6.68,6.73,6.52,6.52,2997600,6.52
2015-06-01,6.76,6.78,6.62,6.70,1912400,6.70
2015-05-29,6.81,6.85,6.76,6.76,5264500,6.76
2015-05-28,6.77,6.80,6.72,6.76,1977500,6.76
2015-05-27,6.76,6.82,6.74,6.78,3527000,6.78
2015-05-26,6.83,6.89,6.81,6.83,1777000,6.83
2015-05-25,6.75,6.865,6.72,6.84,2747100,6.84
2015-05-22,6.67,6.74,6.67,6.70,1901200,6.70
2015-05-21,6.59,6.68,6.59,6.63,3842000,6.63
2015-05-20,6.46,6.54,6.43,6.53,4607400,6.53
2015-05-19,6.51,6.51,6.375,6.42,3866600,6.42
2015-05-18,6.58,6.63,6.43,6.47,1877200,6.47
2015-05-15,6.53,6.57,6.51,6.56,1664000,6.56
2015-05-14,6.42,6.50,6.34,6.48,1824500,6.48
2015-05-13,6.52,6.53,6.44,6.50,2123000,6.50
2015-05-12,6.40,6.47,6.36,6.44,1905500,6.44
2015-05-11,6.54,6.54,6.33,6.37,2212000,6.37
2015-05-08,6.48,6.50,6.37,6.40,2563800,6.40
2015-05-07,6.44,6.50,6.38,6.46,3511600,6.46
2015-05-06,6.49,6.52,6.43,6.48,3120700,6.48
2015-05-05,6.64,6.72,6.51,6.57,4712200,6.57
2015-05-04,6.66,6.71,6.62,6.63,1876600,6.63
2015-05-01,6.57,6.65,6.53,6.65,1887000,6.65
2015-04-30,6.60,6.61,6.51,6.61,4053600,6.61
2015-04-29,6.67,6.70,6.60,6.61,2841600,6.61
2015-04-28,6.69,6.74,6.645,6.66,2104500,6.66
2015-04-27,6.65,6.72,6.65,6.70,1513400,6.70
2015-04-24,6.70,6.71,6.60,6.66,3417800,6.66
2015-04-23,6.65,6.695,6.58,6.61,3255200,6.61
2015-04-22,6.66,6.79,6.65,6.69,4720400,6.69
2015-04-21,6.48,6.72,6.46,6.65,6658600,6.65
2015-04-20,6.41,6.43,6.32,6.36,1902700,6.36
2015-04-17,6.48,6.52,6.43,6.46,1412800,6.46
2015-04-16,6.51,6.55,6.48,6.50,1532800,6.50
2015-04-15,6.51,6.53,6.43,6.50,2532500,6.50
2015-04-14,6.56,6.58,6.47,6.52,2451300,6.52
2015-04-13,6.53,6.55,6.49,6.51,1744600,6.51
2015-04-10,6.52,6.52,6.43,6.50,2917800,6.50
2015-04-09,6.36,6.47,6.36,6.45,2515400,6.45
2015-04-08,6.42,6.48,6.405,6.42,2166400,6.42
2015-04-07,6.49,6.50,6.375,6.42,2210600,6.42
2015-04-06,6.39,6.39,6.39,6.39,000,6.39
2015-04-03,6.39,6.39,6.39,6.39,000,6.39
2015-04-02,6.44,6.44,6.35,6.39,1500300,6.39
2015-04-01,6.32,6.44,6.31,6.33,2504700,6.33
2015-03-31,6.61,6.61,6.34,6.34,5050300,6.34
2015-03-30,6.43,6.48,6.41,6.44,1824700,6.44
2015-03-27,6.50,6.54,6.45,6.49,5645100,6.49
2015-03-26,6.49,6.53,6.46,6.49,3036700,6.49
2015-03-25,6.63,6.63,6.56,6.57,4437300,6.57
2015-03-24,6.55,6.615,6.54,6.59,2033700,6.59
2015-03-23,6.64,6.64,6.53,6.54,3490000,6.54
2015-03-20,6.63,6.63,6.58,6.59,4656400,6.59
2015-03-19,6.56,6.63,6.52,6.62,4819900,6.62
2015-03-18,6.45,6.46,6.35,6.46,2937300,6.46
2015-03-17,6.40,6.48,6.39,6.43,1682100,6.43
2015-03-16,6.40,6.45,6.31,6.37,1973300,6.37
2015-03-13,6.52,6.54,6.40,6.45,2557700,6.45
2015-03-12,6.36,6.51,6.35,6.45,3413700,6.45
2015-03-11,6.20,6.37,6.18,6.32,3920400,6.32
2015-03-10,6.22,6.32,6.22,6.26,6077600,6.26
2015-03-09,6.31,6.31,6.21,6.25,2074100,6.25
2015-03-06,6.33,6.38,6.29,6.32,2148700,6.32
2015-03-05,6.29,6.36,6.25,6.33,5142000,6.33
2015-03-04,6.41,6.42,6.26,6.29,7808200,6.29
2015-03-03,6.49,6.51,6.38,6.44,6978300,6.44
2015-03-02,6.40,6.51,6.38,6.40,3719400,6.40
2015-02-27,6.49,6.525,6.46,6.48,3767000,6.48
2015-02-26,6.51,6.52,6.37,6.49,2643400,6.49
2015-02-25,6.52,6.575,6.49,6.52,3028000,6.52
2015-02-24,6.43,6.57,6.42,6.50,3646200,6.50
2015-02-23,6.41,6.50,6.33,6.46,3067200,6.46
2015-02-20,6.50,6.50,6.37,6.39,3466000,6.39
2015-02-19,6.55,6.57,6.39,6.49,6823100,6.3721
2015-02-18,6.50,6.64,6.45,6.51,14399000,6.3918
2015-02-17,6.39,6.39,6.24,6.31,5721100,6.1954
2015-02-16,6.42,6.47,6.38,6.41,2831400,6.2936
2015-02-13,6.30,6.45,6.27,6.40,5265800,6.2838
2015-02-12,6.26,6.31,6.20,6.21,3759000,6.0972
2015-02-11,6.25,6.33,6.22,6.25,3115600,6.1365
2015-02-10,6.20,6.23,6.16,6.19,3196200,6.0776
2015-02-09,6.10,6.13,6.04,6.13,3271700,6.0187
2015-02-06,6.11,6.16,6.09,6.12,2954600,6.0089
2015-02-05,6.06,6.12,6.06,6.06,3971200,5.95
2015-02-04,6.10,6.10,6.02,6.09,6179800,5.9794
2015-02-03,6.00,6.02,5.93,6.00,5774700,5.891
2015-02-02,6.00,6.02,5.96,5.98,2148500,5.8714
2015-01-30,6.09,6.095,6.03,6.03,5873000,5.9205
2015-01-29,6.00,6.09,5.995,6.05,2079600,5.9401
2015-01-28,6.03,6.07,6.00,6.04,1795800,5.9303
2015-01-27,6.02,6.09,6.01,6.02,3253900,5.9107
2015-01-26,6.01,6.01,6.01,6.01,000,5.9009
2015-01-23,5.97,6.01,5.95,6.01,2355800,5.9009
2015-01-22,5.92,5.95,5.88,5.91,2343800,5.8027
2015-01-21,5.87,5.91,5.81,5.89,1918400,5.783
2015-01-20,5.75,5.82,5.74,5.82,1461400,5.7143
2015-01-19,5.83,5.88,5.79,5.81,2436500,5.7045
2015-01-16,5.75,5.78,5.70,5.77,2523900,5.6652
2015-01-15,5.88,5.88,5.76,5.84,4806600,5.7339
2015-01-14,5.98,5.98,5.84,5.88,2880600,5.7732
2015-01-13,5.92,6.015,5.915,6.00,2721800,5.891
2015-01-12,6.02,6.12,6.01,6.01,1591200,5.9009
2015-01-09,6.02,6.11,6.02,6.10,1626000,5.9892
2015-01-08,6.00,6.03,5.93,6.01,4829700,5.9009
2015-01-07,5.93,5.98,5.93,5.95,2729000,5.8419
2015-01-06,5.98,6.00,5.94,5.99,1977400,5.8812
2015-01-05,6.02,6.17,6.02,6.06,2221000,5.95
2015-01-02,6.05,6.10,6.01,6.08,616600,5.9696
2015-01-01,6.05,6.05,6.05,6.05,000,5.9401
2014-12-31,6.07,6.09,5.99,6.05,585500,5.9401
2014-12-30,6.11,6.13,6.04,6.05,1338600,5.9401
2014-12-29,6.05,6.12,5.94,6.11,1492300,5.999
2014-12-26,6.05,6.05,6.05,6.05,000,5.9401
2014-12-25,6.05,6.05,6.05,6.05,000,5.9401
2014-12-24,6.06,6.07,5.985,6.05,656300,5.9401
2014-12-23,6.10,6.11,5.99,6.01,2305300,5.9009
2014-12-22,6.03,6.10,5.97,6.07,3382600,5.9598
2014-12-19,5.87,6.03,5.87,6.02,7354300,5.9107
2014-12-18,5.75,5.86,5.74,5.82,7330500,5.7143
2014-12-17,5.56,5.78,5.56,5.75,5902200,5.6456
