date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.90,4.97,4.90,4.96,101600,4.96
2015-06-29,4.89,4.99,4.88,4.91,31900,4.91
2015-06-26,4.83,4.96,4.81,4.94,73500,4.94
2015-06-25,5.11,5.11,4.98,4.99,53800,4.83
2015-06-24,5.05,5.11,4.98,5.03,37200,4.869
2015-06-23,4.99,5.11,4.98,5.11,208600,4.946
2015-06-22,4.93,5.05,4.93,4.98,92400,4.82
2015-06-19,5.06,5.11,4.96,4.96,435900,4.801
2015-06-18,5.09,5.11,4.96,5.07,45500,4.907
2015-06-17,5.04,5.11,5.03,5.05,28700,4.888
2015-06-16,5.04,5.08,5.04,5.08,94600,4.917
2015-06-15,5.07,5.08,4.97,5.08,136400,4.917
2015-06-12,5.08,5.12,5.07,5.09,221700,4.927
2015-06-11,5.04,5.15,5.04,5.07,40200,4.907
2015-06-10,5.04,5.16,4.98,5.05,63500,4.888
2015-06-09,5.02,5.11,4.99,4.99,74700,4.83
2015-06-08,5.05,5.05,5.05,5.05,000,4.888
2015-06-05,5.05,5.11,5.01,5.05,75300,4.888
2015-06-04,5.07,5.15,5.05,5.05,97000,4.888
2015-06-03,5.08,5.095,5.05,5.07,173400,4.907
2015-06-02,5.10,5.11,5.06,5.08,117900,4.917
2015-06-01,5.10,5.11,5.07,5.10,403800,4.936
2015-05-29,5.26,5.26,5.08,5.10,2279100,4.936
2015-05-28,5.14,5.25,5.14,5.21,109700,5.043
2015-05-27,5.15,5.19,5.10,5.19,114800,5.024
2015-05-26,5.18,5.26,5.05,5.19,84600,5.024
2015-05-25,5.23,5.26,5.16,5.16,119300,4.995
2015-05-22,5.26,5.26,5.21,5.23,16600,5.062
2015-05-21,5.25,5.26,5.22,5.24,43300,5.072
2015-05-20,5.25,5.295,5.24,5.26,84700,5.091
2015-05-19,5.22,5.25,5.20,5.24,29700,5.072
2015-05-18,5.26,5.28,5.21,5.22,10400,5.053
2015-05-15,5.22,5.30,5.20,5.27,111400,5.101
2015-05-14,5.29,5.29,5.16,5.20,46700,5.033
2015-05-13,5.23,5.25,5.16,5.16,295500,4.995
2015-05-12,5.24,5.29,5.23,5.29,18900,5.12
2015-05-11,5.20,5.29,5.20,5.26,97600,5.091
2015-05-08,5.28,5.28,5.25,5.26,66300,5.091
2015-05-07,5.25,5.29,5.25,5.25,66200,5.082
2015-05-06,5.29,5.29,5.245,5.25,61400,5.082
2015-05-05,5.30,5.30,5.24,5.27,66800,5.101
2015-05-04,5.30,5.31,5.27,5.29,106800,5.12
2015-05-01,5.28,5.30,5.27,5.30,72100,5.13
2015-04-30,5.28,5.29,5.23,5.29,77300,5.12
2015-04-29,4.23,5.34,4.18,5.30,115700,5.13
2015-04-28,5.30,5.32,5.26,5.28,63100,5.111
2015-04-27,5.26,5.32,5.24,5.24,88800,5.072
2015-04-24,5.23,5.29,5.23,5.24,72000,5.072
2015-04-23,5.21,5.29,5.21,5.22,190600,5.053
2015-04-22,5.17,5.19,5.13,5.18,57300,5.014
2015-04-21,5.11,5.17,5.095,5.14,45900,4.975
2015-04-20,5.12,5.12,5.07,5.10,207700,4.936
2015-04-17,5.00,5.11,5.00,5.10,78800,4.936
2015-04-16,5.00,5.13,5.00,5.09,93400,4.927
2015-04-15,5.01,5.01,4.98,4.98,46700,4.82
2015-04-14,4.93,5.00,4.91,4.97,103400,4.811
2015-04-13,5.00,5.00,4.94,4.99,272000,4.83
2015-04-10,5.00,5.00,4.98,5.00,19200,4.84
2015-04-09,5.02,5.03,4.99,5.00,45700,4.84
2015-04-08,4.97,5.03,4.97,5.03,39600,4.869
2015-04-07,5.00,5.01,4.98,5.00,47900,4.84
2015-04-06,5.00,5.00,5.00,5.00,000,4.84
2015-04-03,5.00,5.00,5.00,5.00,000,4.84
2015-04-02,5.04,5.04,4.99,5.00,37000,4.84
2015-04-01,4.99,5.06,4.97,5.04,46900,4.878
2015-03-31,4.94,5.01,4.89,5.00,245900,4.84
2015-03-30,4.83,4.90,4.83,4.90,47000,4.743
2015-03-27,4.84,4.95,4.83,4.88,271800,4.724
2015-03-26,4.85,4.87,4.80,4.82,83300,4.665
2015-03-25,4.91,4.93,4.83,4.85,110800,4.694
2015-03-24,4.92,4.93,4.89,4.91,144000,4.753
2015-03-23,4.94,4.97,4.93,4.93,72100,4.772
2015-03-20,4.95,4.99,4.94,4.97,355400,4.811
2015-03-19,4.93,4.98,4.93,4.96,99400,4.801
2015-03-18,4.95,4.99,4.92,4.94,27400,4.782
2015-03-17,4.96,4.98,4.95,4.97,50400,4.811
2015-03-16,4.96,4.99,4.93,4.99,75400,4.83
2015-03-13,5.04,5.04,4.96,4.99,14100,4.83
2015-03-12,4.97,5.05,4.95,5.00,31700,4.84
2015-03-11,4.99,5.02,4.85,5.00,66600,4.84
2015-03-10,5.00,5.02,4.98,5.00,68500,4.84
2015-03-09,5.04,5.06,4.90,5.00,280400,4.84
2015-03-06,5.10,5.10,5.01,5.07,30000,4.907
2015-03-05,5.08,5.12,5.02,5.06,22000,4.898
2015-03-04,5.14,5.14,5.02,5.07,56900,4.907
2015-03-03,5.14,5.15,5.07,5.08,135400,4.917
