date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,5.67,5.90,5.59,5.85,2313000,5.85
2015-06-29,5.82,5.82,5.67,5.71,1711000,5.71
2015-06-26,6.00,6.03,5.80,5.92,2292800,5.92
2015-06-25,6.05,6.13,5.98,6.08,2120200,6.08
2015-06-24,6.05,6.15,6.01,6.07,2056500,6.07
2015-06-23,6.08,6.08,5.96,6.02,1640400,6.02
2015-06-22,6.16,6.22,5.97,6.00,1841200,6.00
2015-06-19,5.99,6.19,5.97,6.19,3101100,6.19
2015-06-18,5.99,6.06,5.92,5.98,2927900,5.98
2015-06-17,5.98,6.10,5.96,6.03,2483200,6.03
2015-06-16,6.00,6.05,5.94,5.98,1913500,5.98
2015-06-15,6.10,6.14,5.97,6.09,2344600,6.09
2015-06-12,6.06,6.10,6.03,6.07,1645000,6.07
2015-06-11,5.99,6.18,5.95,6.17,1933500,6.17
2015-06-10,5.90,6.05,5.85,5.99,1294000,5.99
2015-06-09,5.86,6.00,5.83,5.90,1611200,5.90
2015-06-08,6.02,6.02,6.02,6.02,000,5.90929
2015-06-05,5.98,6.11,5.84,6.02,1211500,5.90929
2015-06-04,5.82,5.98,5.70,5.91,2409800,5.80131
2015-06-03,5.96,5.96,5.61,5.84,2782800,5.7326
2015-06-02,6.24,6.30,6.06,6.08,2152700,5.96818
2015-06-01,5.99,6.26,5.97,6.25,2341800,6.13506
2015-05-29,6.04,6.15,5.75,6.12,42082600,6.00745
2015-05-28,6.43,6.64,5.83,6.04,6132500,5.92892
2015-05-27,5.88,6.66,5.88,6.43,3612400,6.31175
2015-05-26,6.23,6.255,6.01,6.12,2963700,6.00745
2015-05-25,6.25,6.30,6.19,6.23,1122800,6.11542
2015-05-22,6.09,6.28,6.07,6.25,1938300,6.13506
2015-05-21,5.89,6.19,5.88,6.17,2327700,6.05653
2015-05-20,5.90,5.99,5.76,5.88,2816400,5.77186
2015-05-19,6.12,6.18,5.94,5.97,2267500,5.86021
2015-05-18,6.06,6.29,6.05,6.21,1645400,6.09579
2015-05-15,6.39,6.40,5.93,6.09,3782100,5.978
2015-05-14,5.79,6.40,5.72,6.36,3443100,6.24303
2015-05-13,5.70,6.11,5.67,5.93,3968000,5.82094
2015-05-12,5.53,5.70,5.52,5.66,1775600,5.55591
2015-05-11,5.55,5.615,5.50,5.54,1335200,5.43811
2015-05-08,5.48,5.60,5.40,5.46,1818200,5.35959
2015-05-07,5.21,5.47,5.21,5.38,2038100,5.28106
2015-05-06,5.30,5.42,5.25,5.31,4158800,5.21234
2015-05-05,5.50,5.59,5.40,5.41,3022500,5.3105
2015-05-04,5.61,5.77,5.44,5.49,2233300,5.38903
2015-05-01,5.34,5.65,5.31,5.63,3367800,5.52646
2015-04-30,5.10,5.41,5.05,5.27,5636600,5.17308
2015-04-29,5.05,5.18,5.035,5.11,3019500,5.01602
2015-04-28,4.93,5.09,4.93,5.02,9512500,4.92768
2015-04-27,4.72,4.93,4.705,4.86,4168100,4.77062
2015-04-24,4.54,4.70,4.54,4.66,2672700,4.5743
2015-04-23,4.50,4.63,4.38,4.47,2963300,4.38779
2015-04-22,4.50,4.605,4.41,4.56,3056000,4.47614
2015-04-21,4.50,4.59,4.49,4.54,2886900,4.4565
2015-04-20,4.67,4.67,4.47,4.48,2909900,4.39761
2015-04-17,4.70,4.79,4.59,4.67,4568000,4.58411
