date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.48,4.49,4.37,4.43,364200,4.43
2015-06-29,4.63,4.63,4.50,4.55,406800,4.55
2015-06-26,4.65,4.67,4.62,4.64,137100,4.64
2015-06-25,4.68,4.70,4.60,4.67,275900,4.67
2015-06-24,4.56,4.70,4.56,4.63,296800,4.63
2015-06-23,4.61,4.68,4.55,4.56,107400,4.56
2015-06-22,4.65,4.67,4.60,4.61,137900,4.61
2015-06-19,4.56,4.76,4.55,4.70,880800,4.70
2015-06-18,4.60,4.63,4.57,4.60,327300,4.60
2015-06-17,4.63,4.63,4.54,4.60,224900,4.60
2015-06-16,4.55,4.77,4.54,4.60,271400,4.60
2015-06-15,4.61,4.63,4.48,4.54,192400,4.54
2015-06-12,4.50,4.77,4.50,4.61,361700,4.61
2015-06-11,4.54,4.54,4.46,4.50,486500,4.50
2015-06-10,4.50,4.56,4.44,4.50,289800,4.50
2015-06-09,4.42,4.45,4.36,4.43,207100,4.43
2015-06-08,4.45,4.45,4.45,4.45,000,4.45
2015-06-05,4.39,4.47,4.34,4.45,547000,4.45
2015-06-04,4.38,4.48,4.35,4.45,519600,4.45
2015-06-03,4.57,4.62,4.45,4.48,345500,4.48
2015-06-02,4.63,4.67,4.60,4.60,250100,4.60
2015-06-01,4.79,4.79,4.585,4.60,338800,4.60
2015-05-29,4.66,4.85,4.54,4.74,3146200,4.74
2015-05-28,4.88,4.89,4.64,4.66,489800,4.66
2015-05-27,4.80,4.94,4.80,4.89,501400,4.89
2015-05-26,4.75,4.81,4.52,4.80,917000,4.80
2015-05-25,4.97,4.99,4.79,4.79,258500,4.79
2015-05-22,5.00,5.00,4.90,4.95,104200,4.95
2015-05-21,4.98,5.00,4.905,4.94,133800,4.94
2015-05-20,5.00,5.00,4.95,4.98,220200,4.98
2015-05-19,4.97,4.99,4.89,4.99,165800,4.99
2015-05-18,4.98,5.05,4.97,4.97,317100,4.97
2015-05-15,5.07,5.07,4.98,5.00,178100,5.00
2015-05-14,5.09,5.10,4.95,5.02,277400,5.02
2015-05-13,5.06,5.11,4.97,5.10,640900,5.10
2015-05-12,4.92,4.95,4.73,4.92,2730800,4.92
2015-05-11,5.30,5.31,4.84,4.94,946400,4.94
2015-05-08,5.23,5.31,5.22,5.25,446600,5.25
2015-05-07,5.20,5.29,5.17,5.26,492300,5.26
2015-05-06,5.19,5.19,5.09,5.16,306900,5.16
2015-05-05,5.16,5.20,5.10,5.19,187800,5.19
2015-05-04,5.18,5.20,5.13,5.14,181800,5.14
2015-05-01,5.19,5.20,5.04,5.17,506000,5.17
