date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,13.54,13.75,13.52,13.72,3518000,13.72
2015-06-29,13.56,13.73,13.48,13.65,4300900,13.65
2015-06-26,14.00,14.07,13.62,13.74,4876100,13.74
2015-06-25,14.52,14.535,14.16,14.16,5726300,14.16
2015-06-24,14.50,14.60,14.45,14.55,3470000,14.55
2015-06-23,14.39,14.39,14.17,14.36,3939000,14.36
2015-06-22,14.22,14.29,14.16,14.25,2083000,14.25
2015-06-19,14.19,14.44,14.10,14.30,4035600,14.30
2015-06-18,14.60,14.63,14.25,14.31,5369800,14.31
2015-06-17,14.41,14.63,14.32,14.55,4065100,14.55
2015-06-16,14.59,14.63,14.37,14.37,2444800,14.37
2015-06-15,14.38,14.70,14.34,14.63,3160800,14.63
2015-06-12,14.38,14.44,14.30,14.41,2233300,14.41
2015-06-11,14.20,14.345,14.03,14.30,2790600,14.30
2015-06-10,14.10,14.16,14.04,14.10,2712800,14.10
2015-06-09,14.14,14.19,14.05,14.08,2609500,14.08
2015-06-08,14.14,14.14,14.14,14.14,000,14.14
2015-06-05,14.04,14.20,14.02,14.14,2352900,14.14
2015-06-04,14.20,14.24,14.08,14.14,2491300,14.14
2015-06-03,14.21,14.24,14.08,14.11,2621500,14.11
2015-06-02,14.75,14.78,14.28,14.32,2431200,14.32
2015-06-01,14.49,14.53,14.26,14.51,2739300,14.51
2015-05-29,14.48,14.74,14.46,14.50,5836700,14.50
2015-05-28,14.45,14.60,14.40,14.47,2954800,14.47
2015-05-27,14.20,14.39,14.17,14.32,3903700,14.32
2015-05-26,14.22,14.42,14.22,14.29,3142800,14.29
2015-05-25,14.07,14.29,14.04,14.24,3095100,14.24
2015-05-22,14.30,14.30,13.975,13.99,3326800,13.99
2015-05-21,14.05,14.25,13.95,14.19,4472500,14.19
2015-05-20,13.92,14.10,13.86,14.04,3524400,14.04
2015-05-19,13.90,13.99,13.77,13.86,4808500,13.86
2015-05-18,14.04,14.13,13.87,13.90,3239700,13.90
2015-05-15,13.89,14.07,13.84,14.00,3733400,14.00
2015-05-14,13.44,13.76,13.36,13.74,4195100,13.74
2015-05-13,13.74,13.75,13.44,13.54,2661000,13.54
2015-05-12,13.66,13.75,13.56,13.69,3106200,13.69
2015-05-11,13.79,13.79,13.52,13.57,3244200,13.57
2015-05-08,13.58,13.58,13.33,13.48,3064100,13.48
2015-05-07,13.35,13.50,13.21,13.45,4370000,13.45
2015-05-06,13.51,13.69,13.51,13.52,2997100,13.52
2015-05-05,13.96,14.01,13.60,13.71,3797200,13.71
2015-05-04,13.70,13.95,13.60,13.78,4500700,13.78
2015-05-01,13.69,13.69,13.44,13.55,2785700,13.55
2015-04-30,13.50,13.55,13.345,13.53,4257700,13.53
2015-04-29,13.83,13.87,13.49,13.54,6212500,13.54
2015-04-28,13.98,14.04,13.85,13.90,4268900,13.90
2015-04-27,14.32,14.32,13.96,14.04,4840300,14.04
2015-04-24,14.15,14.31,14.13,14.25,3692400,14.25
2015-04-23,14.16,14.20,14.00,14.07,3234800,14.07
2015-04-22,14.28,14.37,14.19,14.23,2529000,14.23
2015-04-21,14.31,14.41,14.26,14.32,2482200,14.32
2015-04-20,14.36,14.41,14.20,14.30,2749600,14.30
2015-04-17,14.48,14.61,14.295,14.40,3012300,14.40
2015-04-16,14.45,14.52,14.41,14.51,2310000,14.51
2015-04-15,14.70,14.70,14.42,14.45,3238900,14.45
2015-04-14,14.46,14.70,14.38,14.68,3269300,14.68
2015-04-13,14.32,14.42,14.235,14.42,2667900,14.42
2015-04-10,14.43,14.43,14.215,14.32,2508500,14.32
2015-04-09,14.38,14.395,14.24,14.26,2090500,14.26
2015-04-08,14.30,14.35,14.20,14.30,3982600,14.30
2015-04-07,14.35,14.44,14.21,14.27,3776900,14.27
2015-04-06,14.18,14.18,14.18,14.18,000,14.18
2015-04-03,14.18,14.18,14.18,14.18,000,14.18
2015-04-02,14.18,14.23,14.05,14.18,2741700,14.18
2015-04-01,13.80,14.13,13.80,14.02,5841500,14.02
2015-03-31,14.20,14.31,14.04,14.04,3623600,14.04
2015-03-30,14.02,14.13,14.02,14.06,3522900,14.06
2015-03-27,13.97,14.17,13.97,14.09,5081100,14.09
2015-03-26,14.16,14.20,13.97,14.00,5608600,14.00
2015-03-25,14.38,14.48,14.29,14.35,3592200,14.35
2015-03-24,14.45,14.66,14.37,14.41,3036300,14.41
2015-03-23,14.70,14.70,14.47,14.55,2214900,14.55
