date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.60,2.60,2.60,2.60,000,2.60
2015-06-26,2.60,2.60,2.60,2.60,000,2.60
2015-06-25,2.60,2.60,2.60,2.60,000,2.60
2015-06-24,2.62,2.65,2.55,2.60,5513400,2.60
2015-06-23,2.64,2.67,2.62,2.65,2575800,2.65
2015-06-22,2.61,2.64,2.57,2.62,546400,2.62
2015-06-19,2.55,2.60,2.53,2.60,363100,2.60
2015-06-18,2.54,2.55,2.47,2.54,1748500,2.54
2015-06-17,2.67,2.67,2.55,2.59,2124600,2.59
2015-06-16,2.70,2.77,2.66,2.66,3471000,2.66
2015-06-15,2.32,2.32,2.32,2.32,000,2.32
2015-06-12,2.35,2.37,2.32,2.32,125600,2.32
2015-06-11,2.31,2.39,2.31,2.35,788700,2.35
2015-06-10,2.30,2.34,2.28,2.34,157100,2.34
2015-06-09,2.31,2.33,2.26,2.31,227400,2.31
2015-06-08,2.30,2.30,2.30,2.30,000,2.30
2015-06-05,2.32,2.33,2.28,2.30,474900,2.30
2015-06-04,2.31,2.32,2.27,2.32,439000,2.32
2015-06-03,2.30,2.32,2.27,2.30,550100,2.30
2015-06-02,2.34,2.34,2.32,2.33,114100,2.33
2015-06-01,2.33,2.35,2.33,2.34,598000,2.34
2015-05-29,2.44,2.44,2.31,2.35,646300,2.35
2015-05-28,2.42,2.42,2.39,2.42,625600,2.42
2015-05-27,2.44,2.45,2.41,2.45,71500,2.45
2015-05-26,2.40,2.45,2.39,2.45,132000,2.45
2015-05-25,2.41,2.43,2.39,2.40,570900,2.40
2015-05-22,2.51,2.51,2.41,2.44,390700,2.44
2015-05-21,2.51,2.51,2.46,2.47,1076600,2.47
2015-05-20,2.46,2.51,2.46,2.51,80200,2.51
2015-05-19,2.50,2.50,2.46,2.49,260400,2.49
2015-05-18,2.47,2.51,2.45,2.48,287600,2.48
2015-05-15,2.40,2.49,2.40,2.45,442000,2.45
2015-05-14,2.40,2.40,2.35,2.39,53609100,2.39
2015-05-13,2.45,2.46,2.36,2.38,678800,2.38
2015-05-12,2.52,2.52,2.43,2.44,807600,2.44
2015-05-11,2.56,2.60,2.48,2.52,427900,2.52
2015-05-08,2.50,2.55,2.48,2.55,3994500,2.55
2015-05-07,2.44,2.50,2.38,2.47,919300,2.47
2015-05-06,2.38,2.39,2.31,2.38,823200,2.38
2015-05-05,2.36,2.42,2.345,2.40,1812900,2.40
2015-05-04,2.33,2.37,2.31,2.35,1250900,2.35
2015-05-01,2.34,2.345,2.29,2.32,1042300,2.32
2015-04-30,2.25,2.42,2.17,2.30,9544200,2.30
2015-04-29,2.71,2.71,2.67,2.70,29441600,2.70
