date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,5.90,6.02,5.84,6.02,9845600,6.02
2015-06-29,6.01,6.015,5.925,5.95,9509600,5.95
2015-06-26,6.12,6.14,6.025,6.12,10690500,6.12
2015-06-25,6.25,6.26,6.15,6.15,6198200,6.15
2015-06-24,6.29,6.30,6.23,6.25,4939500,6.25
2015-06-23,6.22,6.32,6.20,6.28,7803100,6.28
2015-06-22,6.14,6.19,6.11,6.16,4207000,6.16
2015-06-19,6.12,6.21,6.12,6.14,8580100,6.14
2015-06-18,6.18,6.20,6.05,6.06,14952200,6.06
2015-06-17,6.22,6.31,6.22,6.24,9305100,6.24
2015-06-16,6.27,6.29,6.14,6.18,9229100,6.18
2015-06-15,6.29,6.33,6.24,6.30,5668900,6.30
2015-06-12,6.37,6.38,6.27,6.33,4114300,6.33
2015-06-11,6.22,6.37,6.20,6.36,8077600,6.36
2015-06-10,6.06,6.15,6.01,6.13,5427500,6.13
2015-06-09,6.10,6.17,6.05,6.06,5965500,6.06
2015-06-08,6.14,6.14,6.14,6.14,000,6.14
2015-06-05,6.20,6.30,6.085,6.14,7799500,6.14
2015-06-04,6.37,6.38,6.20,6.20,9384000,6.20
2015-06-03,6.35,6.365,6.28,6.34,7343300,6.34
2015-06-02,6.62,6.64,6.38,6.39,7579700,6.39
2015-06-01,6.59,6.62,6.50,6.60,3935700,6.60
2015-05-29,6.60,6.715,6.57,6.66,8633500,6.66
2015-05-28,6.61,6.64,6.54,6.58,4396200,6.58
2015-05-27,6.62,6.64,6.57,6.60,5024900,6.60
2015-05-26,6.50,6.66,6.49,6.66,6799500,6.66
2015-05-25,6.40,6.54,6.40,6.53,5453800,6.53
2015-05-22,6.45,6.46,6.36,6.40,5579400,6.40
2015-05-21,6.40,6.44,6.35,6.44,8678000,6.44
2015-05-20,6.30,6.405,6.28,6.40,11555900,6.40
2015-05-19,6.44,6.47,6.29,6.29,9007200,6.29
2015-05-18,6.55,6.63,6.44,6.44,4626900,6.44
2015-05-15,6.55,6.60,6.54,6.60,9531400,6.60
2015-05-14,6.45,6.53,6.44,6.50,12700100,6.50
2015-05-13,6.40,6.51,6.34,6.50,10228000,6.50
2015-05-12,6.35,6.415,6.28,6.39,8021600,6.39
2015-05-11,6.46,6.48,6.34,6.35,6375300,6.35
2015-05-08,6.36,6.50,6.36,6.37,8682200,6.37
2015-05-07,6.30,6.42,6.25,6.33,9050700,6.33
2015-05-06,6.42,6.47,6.37,6.39,7889400,6.39
2015-05-05,6.58,6.64,6.47,6.55,8942700,6.55
2015-05-04,6.53,6.59,6.465,6.50,4639000,6.50
