date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.505,0.53,0.505,0.525,143000,0.525
2015-06-29,0.54,0.54,0.51,0.51,135000,0.51
2015-06-26,0.56,0.565,0.54,0.54,96100,0.54
2015-06-25,0.58,0.58,0.56,0.56,34500,0.56
2015-06-24,0.575,0.58,0.56,0.56,210800,0.56
2015-06-23,0.595,0.61,0.57,0.57,139600,0.57
2015-06-22,0.62,0.64,0.585,0.585,219600,0.585
2015-06-19,0.65,0.65,0.615,0.615,621400,0.615
2015-06-18,0.665,0.725,0.625,0.65,363000,0.65
2015-06-17,0.62,0.655,0.62,0.62,24800,0.62
2015-06-16,0.67,0.67,0.65,0.655,147000,0.655
2015-06-15,0.67,0.68,0.67,0.67,45600,0.67
2015-06-12,0.67,0.69,0.67,0.68,24100,0.68
2015-06-11,0.68,0.68,0.66,0.67,81200,0.67
2015-06-10,0.67,0.67,0.665,0.67,43800,0.67
2015-06-09,0.67,0.69,0.665,0.67,67900,0.67
2015-06-08,0.67,0.67,0.67,0.67,000,0.67
2015-06-05,0.67,0.67,0.66,0.67,39100,0.67
2015-06-04,0.68,0.695,0.655,0.66,75000,0.66
2015-06-03,0.69,0.69,0.68,0.68,39700,0.68
2015-06-02,0.735,0.735,0.695,0.70,91500,0.70
2015-06-01,0.73,0.73,0.73,0.73,1800,0.73
2015-05-29,0.735,0.735,0.725,0.73,54000,0.73
2015-05-28,0.73,0.745,0.725,0.745,67600,0.745
2015-05-27,0.73,0.765,0.725,0.73,71700,0.73
2015-05-26,0.76,0.76,0.73,0.73,16200,0.73
2015-05-25,0.75,0.75,0.73,0.73,27700,0.73
2015-05-22,0.775,0.775,0.76,0.76,23100,0.76
2015-05-21,0.83,0.83,0.76,0.775,19700,0.775
2015-05-20,0.775,0.835,0.775,0.835,73000,0.835
2015-05-19,0.76,0.775,0.76,0.77,53200,0.77
2015-05-18,0.735,0.755,0.73,0.75,31700,0.75
2015-05-15,0.73,0.73,0.73,0.73,10300,0.73
2015-05-14,0.735,0.735,0.73,0.73,21800,0.73
2015-05-13,0.735,0.74,0.73,0.74,31600,0.74
2015-05-12,0.78,0.78,0.73,0.74,112500,0.74
2015-05-11,0.83,0.855,0.76,0.76,98600,0.76
2015-05-08,0.70,0.87,0.70,0.825,460400,0.825
2015-05-07,0.68,0.68,0.66,0.66,34200,0.66
2015-05-06,0.67,0.695,0.66,0.68,83100,0.68
2015-05-05,0.70,0.72,0.68,0.70,12900,0.70
2015-05-04,0.73,0.73,0.70,0.725,15100,0.725
2015-05-01,0.72,0.74,0.70,0.735,30000,0.735
2015-04-30,0.74,0.74,0.74,0.74,000,0.74
2015-04-29,0.74,0.74,0.73,0.74,30700,0.74
2015-04-28,0.75,0.75,0.74,0.75,1800,0.75
2015-04-27,0.75,0.75,0.74,0.75,10600,0.75
2015-04-24,0.74,0.77,0.73,0.735,47900,0.735
2015-04-23,0.74,0.76,0.74,0.74,30000,0.74
2015-04-22,0.74,0.75,0.73,0.74,150200,0.74
2015-04-21,0.755,0.755,0.74,0.74,51100,0.74
2015-04-20,0.745,0.755,0.745,0.755,48200,0.755
2015-04-17,0.745,0.75,0.745,0.75,11900,0.75
2015-04-16,0.745,0.755,0.745,0.755,300,0.755
2015-04-15,0.745,0.755,0.745,0.755,5300,0.755
2015-04-14,0.75,0.76,0.745,0.745,62200,0.745
2015-04-13,0.78,0.79,0.755,0.755,143500,0.755
2015-04-10,0.755,0.78,0.755,0.78,20200,0.78
2015-04-09,0.77,0.77,0.77,0.77,22800,0.77
2015-04-08,0.75,0.775,0.75,0.775,17400,0.775
2015-04-07,0.755,0.785,0.75,0.77,36100,0.77
2015-04-06,0.795,0.795,0.795,0.795,000,0.795
2015-04-03,0.795,0.795,0.795,0.795,000,0.795
2015-04-02,0.75,0.80,0.75,0.795,25100,0.795
2015-04-01,0.77,0.77,0.77,0.77,000,0.77
2015-03-31,0.75,0.77,0.75,0.77,25400,0.77
2015-03-30,0.75,0.75,0.745,0.75,54400,0.75
2015-03-27,0.76,0.76,0.755,0.755,58800,0.755
2015-03-26,0.76,0.77,0.76,0.76,45500,0.76
2015-03-25,0.78,0.78,0.78,0.78,000,0.78
2015-03-24,0.77,0.78,0.76,0.78,46900,0.78
2015-03-23,0.77,0.77,0.76,0.76,47700,0.76
2015-03-20,0.76,0.78,0.76,0.77,25400,0.77
2015-03-19,0.77,0.77,0.76,0.76,15500,0.76
2015-03-18,0.77,0.77,0.77,0.77,6500,0.77
2015-03-17,0.76,0.795,0.745,0.79,87100,0.79
2015-03-16,0.76,0.765,0.76,0.76,27500,0.76
2015-03-13,0.76,0.765,0.75,0.765,21000,0.765
2015-03-12,0.75,0.76,0.75,0.75,33500,0.75
2015-03-11,0.75,0.76,0.75,0.755,119100,0.755
2015-03-10,0.76,0.76,0.75,0.76,91700,0.76
2015-03-09,0.775,0.775,0.75,0.76,193900,0.76
2015-03-06,0.775,0.79,0.775,0.775,13100,0.775
2015-03-05,0.765,0.77,0.765,0.77,38700,0.77
2015-03-04,0.78,0.78,0.765,0.765,35700,0.765
2015-03-03,0.805,0.81,0.78,0.78,17800,0.78
2015-03-02,0.85,0.85,0.79,0.825,77200,0.825
2015-02-27,0.77,0.825,0.77,0.825,54300,0.825
2015-02-26,0.76,0.77,0.76,0.76,1400,0.76
2015-02-25,0.76,0.77,0.76,0.76,19900,0.76
2015-02-24,0.76,0.785,0.76,0.76,27100,0.76
2015-02-23,0.765,0.765,0.75,0.755,114300,0.755
2015-02-20,0.75,0.785,0.75,0.785,94100,0.785
2015-02-19,0.73,0.76,0.73,0.76,93500,0.76
2015-02-18,0.725,0.735,0.725,0.73,14400,0.73
2015-02-17,0.73,0.73,0.73,0.73,10000,0.73
2015-02-16,0.71,0.74,0.71,0.735,37300,0.735
2015-02-13,0.675,0.70,0.665,0.70,25500,0.70
2015-02-12,0.66,0.68,0.65,0.67,27800,0.67
2015-02-11,0.67,0.67,0.655,0.66,38300,0.66
2015-02-10,0.69,0.70,0.68,0.70,12000,0.70
2015-02-09,0.725,0.725,0.687,0.695,54400,0.695
2015-02-06,0.72,0.74,0.71,0.725,31900,0.725
2015-02-05,0.715,0.74,0.70,0.715,68600,0.715
2015-02-04,0.71,0.72,0.695,0.715,48100,0.715
2015-02-03,0.68,0.70,0.68,0.70,28400,0.70
2015-02-02,0.69,0.69,0.68,0.68,46500,0.68
2015-01-30,0.72,0.72,0.645,0.695,59700,0.695
2015-01-29,0.73,0.73,0.68,0.72,68300,0.72
2015-01-28,0.735,0.74,0.73,0.73,4900,0.73
2015-01-27,0.76,0.76,0.74,0.74,19100,0.74
2015-01-26,0.76,0.76,0.76,0.76,000,0.76
2015-01-23,0.775,0.78,0.76,0.76,15900,0.76
2015-01-22,0.80,0.80,0.775,0.775,2200,0.775
2015-01-21,0.785,0.80,0.78,0.80,17600,0.80
2015-01-20,0.795,0.795,0.76,0.765,3700,0.765
2015-01-19,0.815,0.815,0.76,0.795,13900,0.795
2015-01-16,0.785,0.805,0.77,0.805,27200,0.805
2015-01-15,0.825,0.825,0.80,0.805,12500,0.805
2015-01-14,0.835,0.835,0.79,0.805,297400,0.805
2015-01-13,0.92,0.92,0.785,0.835,128700,0.835
2015-01-12,0.915,0.935,0.905,0.925,39000,0.925
2015-01-09,0.915,0.935,0.91,0.935,5900,0.935
2015-01-08,0.91,0.935,0.90,0.935,46500,0.935
2015-01-07,0.875,0.90,0.875,0.90,4000,0.90
2015-01-06,0.90,0.91,0.86,0.875,70200,0.875
2015-01-05,0.86,0.945,0.86,0.94,107100,0.94
2015-01-02,0.78,0.875,0.78,0.86,41400,0.86
2015-01-01,0.75,0.75,0.75,0.75,000,0.75
2014-12-31,0.745,0.75,0.71,0.75,28700,0.75
2014-12-30,0.72,0.74,0.71,0.74,26300,0.74
2014-12-29,0.74,0.74,0.74,0.74,2400,0.74
2014-12-26,0.74,0.74,0.74,0.74,000,0.74
2014-12-25,0.74,0.74,0.74,0.74,000,0.74
2014-12-24,0.722,0.74,0.705,0.74,4900,0.74
2014-12-23,0.74,0.74,0.705,0.735,67000,0.735
2014-12-22,0.715,0.74,0.705,0.72,61200,0.72
2014-12-19,0.74,0.745,0.71,0.74,44900,0.74
2014-12-18,0.74,0.74,0.725,0.73,124200,0.73
2014-12-17,0.725,0.75,0.71,0.735,47500,0.735
2014-12-16,0.72,0.76,0.72,0.76,28800,0.76
2014-12-15,0.73,0.73,0.705,0.715,53100,0.715
2014-12-12,0.755,0.76,0.735,0.735,118500,0.735
2014-12-11,0.765,0.77,0.755,0.755,30200,0.755
2014-12-10,0.78,0.78,0.78,0.78,000,0.78
2014-12-09,0.80,0.815,0.77,0.78,40200,0.78
2014-12-08,0.82,0.84,0.78,0.80,135500,0.80
2014-12-05,0.85,0.91,0.815,0.82,172200,0.82
2014-12-04,0.845,0.845,0.82,0.82,10700,0.82
2014-12-03,0.81,0.83,0.81,0.83,36000,0.83
2014-12-02,0.80,0.84,0.79,0.80,75400,0.80
2014-12-01,0.82,0.88,0.80,0.81,53800,0.81
2014-11-28,0.86,0.86,0.81,0.82,95800,0.82
2014-11-27,0.90,0.90,0.855,0.855,99000,0.855
2014-11-26,0.91,0.94,0.85,0.85,290200,0.85
2014-11-25,0.805,0.885,0.80,0.885,62300,0.885
2014-11-24,0.81,0.91,0.805,0.805,152000,0.805
2014-11-21,0.84,0.85,0.725,0.80,600900,0.80
2014-11-20,0.94,0.96,0.83,0.845,122000,0.845
2014-11-19,0.94,0.95,0.94,0.94,125200,0.94
2014-11-18,0.955,0.96,0.935,0.935,120900,0.935
2014-11-17,0.94,0.995,0.94,0.955,20600,0.955
2014-11-14,0.99,1.03,0.955,0.955,69400,0.955
2014-11-13,0.94,0.99,0.94,0.97,33900,0.97
2014-11-12,0.96,0.965,0.925,0.94,75600,0.94
2014-11-11,1.00,1.0175,0.92,0.945,227700,0.945
2014-11-10,1.00,1.015,1.00,1.00,63100,1.00
2014-11-07,1.05,1.05,1.00,1.00,62600,1.00
2014-11-06,1.09,1.09,1.03,1.03,97300,1.03
2014-11-05,1.12,1.13,1.08,1.08,146300,1.08
2014-11-04,1.12,1.125,1.08,1.12,137100,1.12
2014-11-03,1.12,1.125,1.12,1.12,35600,1.12
2014-10-31,1.12,1.125,1.12,1.12,42900,1.12
2014-10-30,1.11,1.125,1.055,1.11,142000,1.11
2014-10-29,1.12,1.145,1.09,1.11,54400,1.11
2014-10-28,1.105,1.15,1.105,1.125,71500,1.125
2014-10-27,1.10,1.125,1.10,1.105,32200,1.105
2014-10-24,1.155,1.16,1.09,1.09,74700,1.09
2014-10-23,1.16,1.16,1.13,1.155,25000,1.155
2014-10-22,1.095,1.16,1.095,1.16,53800,1.16
2014-10-21,1.055,1.09,1.05,1.09,53700,1.09
2014-10-20,1.09,1.09,1.00,1.09,191700,1.09
2014-10-17,1.05,1.09,1.05,1.09,68600,1.09
2014-10-16,1.06,1.06,1.05,1.05,8600,1.05
2014-10-15,1.04,1.08,1.04,1.065,94000,1.065
2014-10-14,1.065,1.065,1.045,1.05,65100,1.05
2014-10-13,1.04,1.08,1.04,1.055,75900,1.055
2014-10-10,1.055,1.10,1.03,1.05,118600,1.05
2014-10-09,1.14,1.14,1.04,1.055,130300,1.055
2014-10-08,1.155,1.16,1.14,1.14,21700,1.14
2014-10-07,1.17,1.175,1.155,1.16,48200,1.16
2014-10-06,1.165,1.18,1.165,1.17,36200,1.17
2014-10-03,1.167,1.17,1.165,1.165,41500,1.165
2014-10-02,1.165,1.17,1.16,1.165,36600,1.165
2014-10-01,1.165,1.18,1.165,1.165,6500,1.165
2014-09-30,1.17,1.18,1.16,1.165,56800,1.165
2014-09-29,1.17,1.18,1.16,1.17,32600,1.17
2014-09-26,1.16,1.17,1.16,1.16,27900,1.16
2014-09-25,1.17,1.19,1.17,1.175,57700,1.175
2014-09-24,1.172,1.175,1.17,1.17,217800,1.17
2014-09-23,1.17,1.18,1.17,1.175,212700,1.175
2014-09-22,1.17,1.185,1.17,1.17,70500,1.17
2014-09-19,1.152,1.17,1.15,1.17,2138200,1.17
2014-09-18,1.165,1.17,1.145,1.15,420200,1.15
2014-09-17,1.18,1.18,1.145,1.15,83600,1.15
2014-09-16,1.17,1.175,1.155,1.16,151300,1.16
2014-09-15,1.16,1.175,1.15,1.165,264000,1.165
2014-09-12,1.17,1.185,1.12,1.165,1256200,1.165
2014-09-11,1.295,1.295,1.18,1.18,437000,1.18
2014-09-10,1.31,1.31,1.28,1.28,134800,1.28
2014-09-09,1.31,1.36,1.30,1.36,25100,1.36
