date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,31.91,32.32,31.72,32.20,6185200,32.20
2015-06-29,32.50,32.57,32.04,32.07,4915400,32.07
2015-06-26,33.15,33.40,32.88,33.10,10627900,33.10
2015-06-25,33.40,33.63,33.27,33.44,3716600,33.44
2015-06-24,33.65,33.86,33.50,33.64,5366900,33.64
2015-06-23,33.30,33.56,33.21,33.43,5876300,33.43
2015-06-22,32.80,32.97,32.60,32.92,3753400,32.92
2015-06-19,32.68,32.79,32.53,32.76,5158400,32.76
2015-06-18,32.72,32.79,32.20,32.37,9279100,32.37
2015-06-17,32.65,32.97,32.56,32.86,6171500,32.86
2015-06-16,32.05,32.49,31.845,32.17,4753100,32.17
2015-06-15,31.52,31.95,31.41,31.85,4954500,31.85
2015-06-12,31.91,31.94,31.57,31.71,3964100,31.71
2015-06-11,31.35,31.81,31.31,31.81,6240200,31.81
2015-06-10,31.24,31.40,30.89,31.09,4891900,31.09
2015-06-09,31.42,31.69,31.125,31.16,5568900,31.16
2015-06-08,31.17,31.17,31.17,31.17,000,31.17
2015-06-05,31.40,31.45,30.94,31.17,6530800,31.17
2015-06-04,32.07,32.07,31.49,31.50,6966500,31.50
2015-06-03,32.40,32.415,31.88,31.92,8484700,31.92
2015-06-02,32.86,32.915,32.30,32.30,5058700,32.30
2015-06-01,32.98,33.07,32.56,32.72,5022400,32.72
2015-05-29,32.90,33.425,32.88,33.19,13143100,33.19
2015-05-28,32.72,32.88,32.57,32.72,7290300,32.72
2015-05-27,32.55,32.89,32.50,32.52,6453400,32.52
2015-05-26,32.23,32.76,32.20,32.69,4469900,32.69
2015-05-25,32.10,32.47,31.91,32.32,3726300,32.32
2015-05-22,32.40,32.40,31.96,32.05,4332100,32.05
2015-05-21,32.05,32.28,31.70,32.22,5818200,32.22
2015-05-20,32.15,32.19,31.78,31.89,7348500,31.89
2015-05-19,32.24,32.53,31.93,32.00,9509300,32.00
2015-05-18,32.95,33.00,32.28,32.28,6505400,32.28
2015-05-15,33.45,33.60,32.95,33.12,5945600,33.12
2015-05-14,33.19,33.47,32.86,33.02,6066400,33.02
2015-05-13,32.69,33.235,32.53,33.11,7413800,33.11
2015-05-12,32.15,32.53,31.92,32.41,6845400,32.41
2015-05-11,32.60,32.78,31.875,31.92,7625800,31.92
2015-05-08,32.85,32.92,32.30,32.35,9003500,32.35
2015-05-07,32.09,33.42,32.05,33.01,15467500,31.78143
2015-05-06,33.75,34.09,33.21,33.21,10035300,31.97399
2015-05-05,34.20,34.63,33.91,34.12,10688400,32.85012
2015-05-04,33.47,33.75,33.22,33.24,10246900,32.00287
2015-05-01,33.86,34.30,33.80,34.15,6043800,32.879
2015-04-30,34.20,34.30,33.82,33.99,10636100,32.72496
2015-04-29,35.30,35.56,34.75,34.75,6332300,33.45667
2015-04-28,35.52,35.62,35.33,35.41,5376800,34.09211
2015-04-27,35.70,35.80,35.45,35.58,6086300,34.25578
2015-04-24,35.50,35.74,35.36,35.72,7752000,34.39057
2015-04-23,35.55,35.60,35.16,35.26,3744900,33.94769
2015-04-22,35.65,35.67,35.20,35.49,4265300,34.16913
2015-04-21,35.95,35.97,35.64,35.76,3571300,34.42908
2015-04-20,35.23,35.74,35.08,35.64,4386300,34.31355
2015-04-17,35.90,35.98,35.475,35.60,5856200,34.27503
2015-04-16,36.25,36.29,35.93,36.02,4119700,34.6794
2015-04-15,36.50,36.50,35.83,35.94,5058600,34.60238
2015-04-14,36.50,36.68,36.27,36.32,5478400,34.96824
2015-04-13,36.85,36.98,36.72,36.74,2440600,35.37261
2015-04-10,36.65,36.85,36.41,36.80,2892800,35.43037
2015-04-09,36.80,36.92,36.52,36.62,3406300,35.25707
2015-04-08,36.90,37.05,36.66,36.79,3212400,35.42075
2015-04-07,37.05,37.25,36.51,36.90,4246800,35.52665
2015-04-06,36.67,36.67,36.67,36.67,000,35.30521
2015-04-03,36.67,36.67,36.67,36.67,000,35.30521
2015-04-02,36.46,36.78,36.46,36.67,3005800,35.30521
2015-04-01,36.32,36.66,36.32,36.45,5507000,35.0934
2015-03-31,36.55,36.82,36.55,36.64,4373800,35.27633
2015-03-30,36.55,36.59,36.30,36.36,4063000,35.00675
2015-03-27,36.39,36.80,36.31,36.80,11840200,35.43037
2015-03-26,36.87,36.90,36.40,36.40,6642900,35.04526
2015-03-25,36.70,37.19,36.70,37.19,4968700,35.80586
2015-03-24,36.69,36.94,36.61,36.89,3616200,35.51702
2015-03-23,36.89,37.05,36.76,36.80,3614900,35.43037
2015-03-20,36.58,36.87,36.46,36.79,7294900,35.42075
2015-03-19,36.29,36.68,36.11,36.63,8311900,35.2667
2015-03-18,35.74,35.97,35.50,35.92,4662600,34.58312
2015-03-17,35.82,36.05,35.77,35.91,4020500,34.5735
2015-03-16,35.50,35.68,35.20,35.55,3055400,34.2269
2015-03-13,35.65,35.81,35.30,35.44,2794800,34.12099
2015-03-12,35.16,35.75,35.14,35.64,3581700,34.31355
2015-03-11,35.00,35.35,34.90,35.22,3511500,33.90918
2015-03-10,35.29,35.53,35.11,35.30,3526700,33.9862
2015-03-09,35.15,35.33,35.05,35.16,3030200,33.85141
2015-03-06,35.39,35.67,35.25,35.39,3198600,34.07285
2015-03-05,35.50,35.63,35.295,35.50,6492400,34.17876
2015-03-04,35.85,35.89,35.41,35.52,3608600,34.19801
2015-03-03,35.73,36.09,35.43,35.66,4740500,34.3328
2015-03-02,35.36,35.88,35.35,35.70,4960400,34.37131
2015-02-27,35.30,35.51,34.97,35.34,11279700,34.02471
2015-02-26,35.22,35.31,35.03,35.16,3754900,33.85141
2015-02-25,35.38,35.52,35.27,35.31,3611300,33.99583
2015-02-24,35.04,35.31,34.74,35.29,6138000,33.97657
2015-02-23,34.94,35.12,34.75,35.04,3713700,33.73588
2015-02-20,34.98,35.08,34.76,34.81,3787600,33.51444
2015-02-19,35.16,35.21,34.83,35.00,4658300,33.69737
2015-02-18,35.14,35.14,34.57,35.13,7222300,33.82253
2015-02-17,34.79,35.27,34.55,34.99,9594800,33.68774
2015-02-16,35.74,35.87,35.33,35.87,3069100,34.53499
2015-02-13,35.09,35.75,35.06,35.74,7532300,34.40983
2015-02-12,35.15,35.23,34.94,34.98,5263700,33.67811
2015-02-11,35.05,35.26,34.835,35.09,4035100,33.78402
2015-02-10,34.98,34.98,34.79,34.90,2943700,33.60109
2015-02-09,34.75,34.98,34.55,34.98,3042200,33.67811
2015-02-06,35.02,35.27,34.70,34.90,5391200,33.60109
2015-02-05,34.60,35.07,34.43,34.98,6185600,33.67811
2015-02-04,34.59,34.74,34.32,34.62,7687600,33.33151
2015-02-03,33.49,34.14,33.46,34.11,8667200,32.84049
2015-02-02,33.00,33.48,33.00,33.37,4916700,32.12803
2015-01-30,33.16,33.27,32.96,33.00,11988300,31.7718
2015-01-29,32.39,33.07,32.35,32.95,6416700,31.72366
2015-01-28,32.50,32.73,32.23,32.64,5292600,31.4252
2015-01-27,32.32,32.61,32.22,32.57,5425400,31.35781
2015-01-26,32.20,32.20,32.20,32.20,000,31.00158
2015-01-23,32.06,32.27,32.00,32.20,5658300,31.00158
2015-01-22,31.82,31.98,31.69,31.77,4832300,30.58758
2015-01-21,31.61,31.81,31.47,31.63,5703600,30.45279
2015-01-20,31.30,31.61,31.22,31.51,4055000,30.33726
2015-01-19,31.60,31.65,31.16,31.28,4711200,30.11582
2015-01-16,31.26,31.40,31.05,31.26,4586300,30.09656
2015-01-15,31.50,31.54,31.24,31.50,7411400,30.32763
2015-01-14,32.23,32.23,31.615,31.67,4555300,30.4913
2015-01-13,32.00,32.18,31.88,32.16,3234600,30.96307
2015-01-12,32.10,32.39,32.10,32.23,2500100,31.03046
2015-01-09,32.15,32.45,32.12,32.39,4851600,31.18451
2015-01-08,31.92,32.09,31.70,31.91,3043600,30.72237
2015-01-07,31.78,31.91,31.46,31.72,4039900,30.53944
2015-01-06,31.84,32.01,31.59,31.78,4771000,30.59721
2015-01-05,32.21,32.41,32.00,32.17,2507200,30.97269
2015-01-02,32.09,32.29,31.91,32.23,1925800,31.03046
2015-01-01,32.09,32.09,32.09,32.09,000,30.89567
2014-12-31,32.05,32.18,32.00,32.09,1577900,30.89567
2014-12-30,32.27,32.48,31.98,32.04,3598600,30.84753
2014-12-29,32.08,32.30,32.01,32.23,3019000,31.03046
2014-12-26,32.00,32.00,32.00,32.00,000,30.80902
2014-12-25,32.00,32.00,32.00,32.00,000,30.80902
2014-12-24,31.90,32.00,31.72,32.00,1450700,30.80902
2014-12-23,31.99,32.17,31.87,31.87,2862400,30.68386
2014-12-22,31.69,32.09,31.53,32.09,5941100,30.89567
2014-12-19,31.45,31.68,31.24,31.68,13748800,30.50093
2014-12-18,30.62,31.21,30.62,30.98,9329300,29.82698
2014-12-17,30.60,30.87,30.47,30.47,6551300,29.33596
2014-12-16,30.70,30.88,30.56,30.74,5883000,29.59592
2014-12-15,30.72,30.96,30.56,30.76,3394000,29.61517
2014-12-12,31.08,31.27,30.85,31.00,5645700,29.84624
2014-12-11,31.21,31.47,31.06,31.21,5631900,30.04842
2014-12-10,31.85,31.90,31.31,31.49,6489900,30.318
2014-12-09,32.17,32.41,31.83,31.88,7077300,30.69349
2014-12-08,32.20,32.61,32.15,32.40,7400700,31.19414
2014-12-05,32.16,32.375,31.70,32.10,5210300,30.9053
2014-12-04,31.85,32.29,31.85,32.22,4394700,31.02083
2014-12-03,31.55,32.07,31.45,31.77,4754400,30.58758
2014-12-02,31.72,31.79,31.29,31.72,6312300,30.53944
2014-12-01,32.00,32.16,31.60,31.66,5269800,30.48168
2014-11-28,32.45,32.48,31.92,31.92,7872800,30.732
2014-11-27,32.29,32.59,32.29,32.45,4436900,31.24227
2014-11-26,32.13,32.42,32.11,32.38,4238200,31.17488
2014-11-25,31.85,32.10,31.67,32.10,5439500,30.9053
2014-11-24,31.90,32.05,31.72,31.87,4152600,30.68386
2014-11-21,32.13,32.23,31.67,31.82,4154900,30.63572
2014-11-20,31.73,32.15,31.67,31.94,6159300,30.75125
2014-11-19,31.90,31.95,31.69,31.77,3643100,30.58758
2014-11-18,31.95,32.10,31.63,31.83,3699600,30.64535
2014-11-17,32.30,32.35,31.835,31.90,5080500,30.71274
2014-11-14,32.09,32.39,31.79,32.33,5372200,31.12674
2014-11-13,32.25,32.305,31.97,32.05,5570500,30.85716
2014-11-12,32.40,32.46,32.13,32.21,6887900,31.0112
2014-11-11,32.68,32.80,32.36,32.51,6217000,31.30004
2014-11-10,32.65,32.67,32.24,32.52,7712700,31.30967
2014-11-07,32.68,32.88,32.63,32.88,12082300,31.65627
2014-11-06,33.80,33.89,33.515,33.60,6595400,31.04288
2014-11-05,33.58,33.79,33.36,33.79,6861300,31.21842
2014-11-04,33.85,33.85,33.54,33.65,5164400,31.08908
2014-11-03,33.53,33.63,33.40,33.58,4716400,31.0244
2014-10-31,33.48,33.51,33.23,33.50,14702900,30.95049
2014-10-30,33.09,33.31,32.94,33.26,4945600,30.72875
2014-10-29,33.41,33.41,32.82,32.93,7316200,30.42387
2014-10-28,33.40,33.59,33.21,33.41,5907500,30.86734
2014-10-27,33.18,33.38,33.11,33.345,3134500,30.80729
2014-10-24,33.06,33.22,32.96,33.02,4953700,30.50702
2014-10-23,32.78,32.98,32.73,32.93,5093300,30.42387
2014-10-22,32.81,32.97,32.63,32.88,6272900,30.37768
2014-10-21,32.59,32.65,32.36,32.47,4516600,29.99888
2014-10-20,32.40,32.55,32.32,32.45,5825400,29.9804
2014-10-17,31.84,32.115,31.78,31.93,7450100,29.49998
2014-10-16,31.14,31.71,30.91,31.58,8267600,29.17661
2014-10-15,31.10,31.46,31.025,31.37,5111400,28.98259
2014-10-14,30.80,31.29,30.80,31.15,5138700,28.77934
2014-10-13,30.85,31.15,30.75,31.01,5190500,28.64999
2014-10-10,31.31,31.49,31.21,31.22,6266700,28.84401
2014-10-09,31.69,31.97,31.54,31.82,5670000,29.39835
2014-10-08,31.11,31.46,30.97,31.30,4769000,28.91792
2014-10-07,31.78,31.835,30.885,31.51,6958100,29.11194
2014-10-06,31.83,31.86,31.48,31.55,2154900,29.14889
2014-10-03,31.21,31.73,31.16,31.64,5212900,29.23204
2014-10-02,31.16,31.51,31.11,31.22,4651900,28.84401
2014-10-01,30.74,31.445,30.59,31.43,6287800,29.03803
2014-09-30,30.51,30.92,30.47,30.92,6757400,28.56684
2014-09-29,30.97,30.99,30.51,30.53,4722500,28.20652
2014-09-26,31.05,31.20,30.95,30.99,10615300,28.63151
2014-09-25,31.75,31.76,31.31,31.32,5572100,28.9364
2014-09-24,31.44,31.59,31.24,31.38,4418700,28.99183
2014-09-23,31.15,31.83,31.13,31.65,8249700,29.24128
2014-09-22,31.99,32.00,31.11,31.21,5769100,28.83477
2014-09-19,31.49,31.92,31.45,31.92,7312900,29.49074
2014-09-18,31.13,31.68,31.13,31.42,10998200,29.02879
2014-09-17,32.22,32.25,31.375,31.43,10371300,29.03803
2014-09-16,32.35,32.49,32.06,32.12,5836400,29.67551
2014-09-15,32.50,32.70,32.345,32.37,5446000,29.90649
2014-09-12,33.18,33.20,32.67,32.83,5086100,30.33148
2014-09-11,33.43,33.46,33.10,33.14,4182900,30.61789
2014-09-10,33.31,33.465,33.22,33.36,3826400,30.82115
2014-09-09,33.24,33.48,33.22,33.48,3145000,30.93201
2014-09-08,33.50,33.50,33.16,33.28,2389000,30.74723
2014-09-05,33.45,33.535,33.31,33.34,2521400,30.80267
2014-09-04,33.53,33.67,33.39,33.52,3233300,30.96897
2014-09-03,33.44,33.84,33.44,33.67,4171600,31.10755
2014-09-02,33.45,33.61,33.35,33.61,2994500,31.05212
2014-09-01,33.45,33.58,33.34,33.43,1962200,30.88582
2014-08-29,33.40,33.50,33.27,33.43,5900000,30.88582
2014-08-28,33.56,33.56,33.30,33.37,3384600,30.83038
2014-08-27,33.35,33.56,33.30,33.54,3454100,30.98745
2014-08-26,33.28,33.40,33.19,33.30,3421800,30.76571
2014-08-25,33.40,33.525,33.16,33.22,3906700,30.6918
2014-08-22,33.37,33.52,33.32,33.47,3462500,30.92277
2014-08-21,33.53,33.54,33.18,33.21,5691200,30.68256
2014-08-20,32.94,33.33,32.91,33.27,4751600,30.738
2014-08-19,32.71,32.90,32.58,32.82,6666300,30.32224
2014-08-18,32.50,32.57,32.29,32.55,4281900,30.07279
2014-08-15,32.46,32.64,32.26,32.39,7115800,29.92497
2014-08-14,32.90,32.955,32.725,32.74,4949800,30.24833
2014-08-13,32.72,32.88,32.62,32.74,3101500,30.24833
2014-08-12,32.46,32.99,32.46,32.88,4877600,30.37768
2014-08-11,32.55,32.62,32.41,32.44,3530100,29.97116
2014-08-08,32.70,32.745,32.22,32.26,6309900,29.80486
2014-08-07,32.95,33.04,32.61,32.85,5144700,30.34996
2014-08-06,33.01,33.10,32.86,32.98,4210100,30.47006
2014-08-05,33.36,33.43,33.03,33.14,4071800,30.61789
2014-08-04,33.46,33.56,33.28,33.34,2772800,30.80267
2014-08-01,33.70,33.75,33.405,33.56,4835000,31.00593
2014-07-31,33.86,34.09,33.82,33.97,3760100,31.38472
2014-07-30,33.68,33.93,33.60,33.86,3809100,31.28309
2014-07-29,33.50,33.73,33.50,33.69,3006900,31.12603
2014-07-28,33.61,33.695,33.52,33.52,3286800,30.96897
2014-07-25,33.70,33.75,33.54,33.75,7039300,31.18146
2014-07-24,33.48,33.60,33.41,33.58,3233400,31.0244
2014-07-23,33.49,33.68,33.33,33.50,4925300,30.95049
2014-07-22,33.48,33.49,33.25,33.37,3660900,30.83038
2014-07-21,33.50,33.53,33.30,33.39,2575500,30.84886
2014-07-18,33.00,33.42,33.00,33.42,5678200,30.87658
2014-07-17,33.35,33.37,33.15,33.21,5214900,30.68256
2014-07-16,33.20,33.28,33.01,33.15,4394500,30.62713
2014-07-15,33.57,33.62,33.075,33.23,5552100,30.70104
2014-07-14,33.45,33.63,33.42,33.54,2595300,30.98745
2014-07-11,33.01,33.50,32.96,33.35,6113200,30.8119
2014-07-10,33.20,33.31,33.01,33.16,3222400,30.63637
2014-07-09,33.38,33.48,33.06,33.18,4327300,30.65484
2014-07-08,33.88,33.88,33.53,33.59,3739400,31.03364
2014-07-07,33.89,33.95,33.72,33.87,3491900,31.29233
2014-07-04,33.79,33.90,33.74,33.78,2910900,31.20918
2014-07-03,33.42,33.67,33.40,33.64,3435200,31.07984
2014-07-02,33.05,33.39,33.025,33.39,4318000,30.84886
2014-07-01,33.36,33.44,32.77,32.84,5481000,30.34072
2014-06-30,33.60,33.61,33.34,33.34,5368700,30.80267
2014-06-27,33.98,33.98,33.57,33.60,10899400,31.04288
2014-06-26,33.58,33.90,33.55,33.90,4971600,31.32005
2014-06-25,33.50,33.53,33.31,33.42,6138400,30.87658
2014-06-24,33.90,33.95,33.595,33.62,5083700,31.06136
2014-06-23,34.03,34.18,33.96,33.98,4744400,31.39396
2014-06-20,34.05,34.18,33.92,33.98,5632700,31.39396
2014-06-19,34.11,34.28,33.84,34.28,8383000,31.67113
2014-06-18,33.92,33.985,33.70,33.74,5360000,31.17223
2014-06-17,34.05,34.185,33.93,33.93,5771200,31.34777
2014-06-16,33.81,34.08,33.68,34.06,7484100,31.46787
2014-06-13,33.62,33.85,33.56,33.75,5663800,31.18146
2014-06-12,33.80,33.91,33.68,33.83,3323200,31.25538
2014-06-11,33.77,33.90,33.72,33.90,3202000,31.32005
2014-06-10,33.86,33.93,33.72,33.76,3273400,31.1907
2014-06-09,33.67,33.67,33.67,33.67,000,31.10755
2014-06-06,33.42,33.70,33.29,33.67,5057300,31.10755
2014-06-05,33.38,33.47,33.05,33.23,4580900,30.70104
2014-06-04,33.77,33.78,33.35,33.39,3811200,30.84886
2014-06-03,33.81,33.90,33.615,33.71,5953900,31.14451
2014-06-02,33.50,33.80,33.50,33.71,3090700,31.14451
2014-05-30,33.77,33.81,33.43,33.49,7989900,30.94125
2014-05-29,33.65,33.815,33.61,33.73,3133900,31.16299
2014-05-28,33.76,33.81,33.64,33.69,2568800,31.12603
2014-05-27,33.66,33.765,33.49,33.55,3140200,30.99668
2014-05-26,33.77,33.82,33.595,33.67,2448700,31.10755
2014-05-23,33.50,33.825,33.47,33.60,5643700,31.04288
2014-05-22,33.17,33.63,33.15,33.41,7202600,30.86734
2014-05-21,32.51,33.04,32.50,33.03,5915100,30.51626
2014-05-20,32.89,32.92,32.52,32.75,3932700,30.25757
2014-05-19,32.87,32.90,32.62,32.66,4476200,30.17442
2014-05-16,32.90,33.08,32.86,32.94,5180000,30.43311
2014-05-15,33.08,33.20,32.86,33.20,4822000,30.67332
2014-05-14,33.00,33.15,32.90,33.15,3690000,30.62713
2014-05-13,32.95,32.96,32.69,32.90,4786200,30.39615
2014-05-12,32.75,32.90,32.59,32.68,3862700,30.1929
2014-05-09,32.82,32.90,32.68,32.72,11134900,30.22985
2014-05-08,34.00,34.00,33.76,33.80,7238400,30.13219
2014-05-07,33.88,33.94,33.625,33.77,5881000,30.10544
2014-05-06,34.02,34.23,33.92,34.08,3935200,30.38181
2014-05-05,34.50,34.50,33.76,33.97,5708900,30.28374
2014-05-02,34.07,34.35,34.00,34.34,5700600,30.61359
2014-05-01,34.73,34.75,33.84,34.07,9031100,30.37289
2014-04-30,34.78,34.84,34.22,34.47,6368600,30.72948
2014-04-29,35.01,35.07,34.35,34.60,10478800,30.84537
2014-04-28,34.835,34.94,34.81,34.94,5902600,31.14848
2014-04-25,34.67,34.67,34.67,34.67,000,30.90778
2014-04-24,34.67,34.74,34.55,34.67,10602200,30.90778
2014-04-23,34.43,34.63,34.40,34.59,5068200,30.83646
2014-04-22,34.05,34.28,33.96,34.28,3760600,30.5601
2014-04-21,33.88,33.88,33.88,33.88,000,30.20351
2014-04-18,33.88,33.88,33.88,33.88,000,30.20351
2014-04-17,33.80,33.93,33.71,33.88,3863300,30.20351
2014-04-16,33.60,33.74,33.505,33.65,2586300,29.99847
2014-04-15,33.47,33.73,33.38,33.52,2908400,29.88257
2014-04-14,33.69,33.77,33.34,33.34,4048700,29.72211
2014-04-11,33.93,34.08,33.765,33.85,3945200,30.17676
2014-04-10,34.10,34.19,34.04,34.19,4352400,30.47987
2014-04-09,33.75,33.98,33.70,33.86,5444600,30.18568
2014-04-08,33.46,33.69,33.40,33.55,3935900,29.90932
2014-04-07,33.28,33.55,33.20,33.48,3251800,29.84691
2014-04-04,33.25,33.39,33.09,33.37,4287200,29.74885
2014-04-03,33.25,33.25,33.07,33.21,3150300,29.60621
2014-04-02,33.25,33.25,33.00,33.10,2905400,29.50815
2014-04-01,33.15,33.20,32.825,33.07,3835100,29.4814
2014-03-31,32.94,33.20,32.93,33.06,5243500,29.47249
2014-03-28,32.75,32.87,32.68,32.82,10190700,29.25853
2014-03-27,32.33,32.60,32.30,32.55,4554000,29.01783
2014-03-26,32.42,32.74,32.41,32.55,5667200,29.01783
2014-03-25,32.40,32.55,32.26,32.31,5313000,28.80388
2014-03-24,32.10,32.45,32.06,32.40,3068200,28.88411
2014-03-21,32.20,32.30,32.06,32.25,5456500,28.75039
2014-03-20,32.45,32.475,32.06,32.12,10509300,28.63449
2014-03-19,32.21,32.43,32.205,32.43,6076000,28.91085
2014-03-18,32.20,32.38,32.20,32.26,4265500,28.7593
2014-03-17,31.75,32.19,31.72,32.06,6144200,28.58101
2014-03-14,31.89,32.00,31.80,31.87,3978300,28.41162
2014-03-13,32.21,32.47,32.11,32.23,4068900,28.73256
2014-03-12,32.14,32.20,31.825,32.18,4733300,28.68798
2014-03-11,32.26,32.45,32.16,32.34,4250200,28.83062
2014-03-10,32.37,32.60,32.25,32.31,3836100,28.80388
2014-03-07,32.59,32.61,32.45,32.58,3420500,29.04458
2014-03-06,32.49,32.60,32.36,32.57,4447000,29.03566
2014-03-05,32.39,32.52,32.30,32.52,6689300,28.99109
2014-03-04,31.75,32.24,31.75,32.18,5055500,28.68798
2014-03-03,32.14,32.16,31.64,31.95,4850700,28.48294
2014-02-28,32.25,32.35,32.055,32.14,8522700,28.65232
2014-02-27,32.02,32.17,32.02,32.15,3050000,28.66124
2014-02-26,32.00,32.17,31.94,32.08,6166900,28.59884
2014-02-25,32.15,32.15,31.86,32.02,4040500,28.54535
2014-02-24,31.87,32.05,31.83,32.00,5049600,28.52752
2014-02-21,31.95,31.95,31.66,31.82,4822000,28.36705
2014-02-20,31.76,31.90,31.58,31.60,6965000,28.17092
2014-02-19,31.70,31.93,31.66,31.85,6235900,28.39379
2014-02-18,31.66,31.67,31.46,31.64,3603600,28.20658
2014-02-17,31.50,31.75,31.49,31.62,6740700,28.18875
2014-02-14,31.20,31.34,30.95,31.34,5020700,27.93914
2014-02-13,31.00,31.225,30.89,30.99,4896800,27.62712
2014-02-12,30.88,31.04,30.62,30.98,7853100,27.6182
2014-02-11,30.06,30.69,29.86,30.56,9845500,27.24378
2014-02-10,29.77,29.93,29.62,29.91,5128600,26.66431
2014-02-07,29.72,29.73,29.33,29.45,4815700,26.25423
2014-02-06,29.05,29.52,29.05,29.43,6756200,26.2364
2014-02-05,29.40,29.45,28.84,29.02,8225400,25.87089
2014-02-04,29.49,29.58,29.21,29.30,9021200,26.12051
2014-02-03,30.00,30.08,29.75,29.83,5432100,26.59299
2014-01-31,30.27,30.31,29.93,30.13,7716200,26.86044
2014-01-30,30.00,30.14,29.95,30.05,5868300,26.78912
2014-01-29,30.27,30.42,30.03,30.37,7214700,27.0744
2014-01-28,30.20,30.46,30.00,30.14,7883800,26.86935
2014-01-27,30.65,30.65,30.65,30.65,000,27.32401
2014-01-24,30.83,30.91,30.57,30.65,5342200,27.32401
2014-01-23,31.31,31.41,30.84,30.97,4593900,27.60929
2014-01-22,31.14,31.43,31.07,31.40,4708000,27.99262
2014-01-21,30.85,31.19,30.80,31.15,2830900,27.76975
2014-01-20,30.83,30.93,30.66,30.87,3726000,27.52014
2014-01-17,30.89,31.03,30.74,31.03,3407400,27.66278
2014-01-16,31.14,31.18,30.725,31.09,4956300,27.71626
2014-01-15,31.10,31.22,30.80,30.97,3993700,27.60929
2014-01-14,31.27,31.27,30.735,30.79,5117600,27.44882
2014-01-13,31.70,31.74,31.25,31.33,2436400,27.93022
2014-01-10,31.47,31.89,31.47,31.56,2710400,28.13526
2014-01-09,31.72,31.79,31.385,31.59,3990400,28.16201
2014-01-08,32.10,32.15,31.66,31.71,4299600,28.26898
2014-01-07,31.99,32.20,31.80,31.86,3794200,28.40271
2014-01-06,32.39,32.455,31.96,31.99,2870200,28.5186
2014-01-03,32.15,32.23,31.94,32.21,1895600,28.71473
