date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,8.16,8.26,8.12,8.24,5564400,8.24
2015-06-29,8.26,8.29,8.13,8.24,4528700,8.24
2015-06-26,8.59,8.62,8.38,8.38,3174400,8.38
2015-06-25,8.95,8.99,8.89,8.89,3416400,8.685
2015-06-24,9.12,9.12,8.88,8.98,3158800,8.77292
2015-06-23,9.12,9.23,9.00,9.08,3143800,8.87062
2015-06-22,8.75,8.95,8.71,8.91,2518600,8.70454
2015-06-19,8.70,8.845,8.665,8.79,3682300,8.58731
2015-06-18,8.70,8.76,8.59,8.63,4902500,8.431
2015-06-17,8.64,8.75,8.55,8.71,3852900,8.50915
2015-06-16,8.50,8.61,8.49,8.57,2171100,8.37238
2015-06-15,8.58,8.65,8.51,8.56,2076500,8.36261
2015-06-12,8.57,8.745,8.57,8.69,2142100,8.48961
2015-06-11,8.55,8.62,8.49,8.61,2791700,8.41146
2015-06-10,8.64,8.66,8.48,8.54,2822900,8.34307
2015-06-09,8.75,8.75,8.60,8.66,2900100,8.4603
2015-06-08,8.71,8.71,8.71,8.71,000,8.50915
2015-06-05,8.76,8.83,8.61,8.71,2363600,8.50915
2015-06-04,9.10,9.11,8.74,8.74,3185500,8.53846
2015-06-03,9.12,9.13,8.99,9.07,2579000,8.86085
2015-06-02,9.33,9.39,9.17,9.17,1992500,8.95854
2015-06-01,9.19,9.37,9.19,9.34,2334100,9.12462
2015-05-29,9.24,9.35,9.20,9.32,5275500,9.10508
2015-05-28,9.17,9.20,9.09,9.20,1692900,8.98785
2015-05-27,9.15,9.19,9.02,9.17,3451200,8.95854
2015-05-26,9.05,9.17,9.03,9.11,1362800,8.89993
2015-05-25,8.86,9.095,8.86,9.07,1662600,8.86085
2015-05-22,9.00,9.04,8.81,8.88,2124600,8.67523
2015-05-21,9.05,9.07,8.88,8.94,3561900,8.73385
2015-05-20,8.86,9.00,8.77,8.98,3307100,8.77292
2015-05-19,8.85,8.92,8.76,8.80,2622500,8.59708
2015-05-18,8.86,8.92,8.80,8.86,1744000,8.65569
2015-05-15,8.91,8.94,8.77,8.86,2181800,8.65569
2015-05-14,8.85,8.90,8.67,8.77,4102100,8.56777
2015-05-13,9.05,9.12,8.91,8.97,2725300,8.76316
2015-05-12,9.04,9.08,8.83,8.98,4642200,8.77292
2015-05-11,9.05,9.14,8.94,9.03,2675700,8.82177
2015-05-08,8.94,9.00,8.85,8.94,3504000,8.73385
2015-05-07,9.13,9.15,8.83,8.87,4427500,8.66546
2015-05-06,9.36,9.37,9.19,9.22,3810000,9.00739
2015-05-05,9.70,9.88,9.53,9.63,2421800,9.40794
2015-05-04,9.60,9.69,9.50,9.69,1638900,9.46655
2015-05-01,9.64,9.65,9.44,9.60,2692100,9.37863
2015-04-30,9.49,9.63,9.26,9.60,3718500,9.37863
2015-04-29,9.46,9.51,9.325,9.44,2293500,9.22232
2015-04-28,9.59,9.59,9.44,9.48,1337400,9.26139
2015-04-27,9.48,9.59,9.46,9.59,1790500,9.36886
2015-04-24,9.25,9.45,9.23,9.44,2190300,9.22232
2015-04-23,9.22,9.22,9.03,9.17,1393300,8.95854
2015-04-22,9.26,9.28,9.115,9.17,1417200,8.95854
2015-04-21,9.22,9.24,9.12,9.22,1698600,9.00739
2015-04-20,9.08,9.15,9.04,9.10,1311800,8.89016
2015-04-17,9.21,9.30,9.11,9.18,2140900,8.96831
2015-04-16,9.26,9.28,9.17,9.27,1712200,9.05624
2015-04-15,9.38,9.38,9.12,9.20,1590100,8.98785
2015-04-14,9.22,9.30,9.20,9.29,824000,9.07578
2015-04-13,9.38,9.39,9.215,9.30,1539100,9.08555
2015-04-10,9.38,9.45,9.34,9.37,1303000,9.15393
2015-04-09,9.35,9.35,9.24,9.30,2029100,9.08555
2015-04-08,9.24,9.36,9.19,9.25,1903200,9.0367
2015-04-07,9.00,9.27,8.99,9.23,3015100,9.01716
2015-04-06,9.01,9.01,9.01,9.01,000,8.80223
2015-04-03,9.01,9.01,9.01,9.01,000,8.80223
2015-04-02,9.17,9.17,8.98,9.01,2302600,8.80223
2015-04-01,9.05,9.14,8.92,8.96,1719900,8.75339
2015-03-31,9.06,9.08,9.00,9.05,3004900,8.84131
2015-03-30,9.00,9.07,8.84,8.85,2276100,8.64592
2015-03-27,8.91,9.07,8.91,9.07,2376900,8.86085
2015-03-26,8.87,8.92,8.78,8.85,2378900,8.64592
2015-03-25,8.85,8.97,8.85,8.92,2562600,8.71431
2015-03-24,8.83,8.97,8.82,8.87,1460100,8.66546
2015-03-23,9.00,9.00,8.775,8.85,2606600,8.64592
2015-03-20,8.97,8.99,8.77,8.99,8851500,8.78269
2015-03-19,8.82,8.97,8.80,8.97,4116200,8.76316
2015-03-18,8.86,8.86,8.58,8.66,3166300,8.4603
2015-03-17,8.89,8.98,8.68,8.86,2441000,8.65569
2015-03-16,8.76,8.86,8.52,8.70,2050400,8.49938
2015-03-13,8.99,9.00,8.84,8.85,1897400,8.64592
2015-03-12,8.95,8.99,8.88,8.96,3630300,8.75339
2015-03-11,8.72,9.00,8.72,8.99,3163600,8.78269
2015-03-10,9.00,9.00,8.80,8.83,3837400,8.62638
2015-03-09,9.14,9.19,8.95,8.96,3075300,8.75339
2015-03-06,9.30,9.39,9.24,9.39,2328700,9.17347
2015-03-05,9.16,9.30,9.08,9.30,1923800,9.08555
2015-03-04,9.30,9.30,9.11,9.23,3033300,9.01716
2015-03-03,9.66,9.69,9.17,9.27,3941100,9.05624
2015-03-02,9.25,9.67,9.24,9.66,3521600,9.43724
2015-02-27,9.05,9.21,8.975,9.19,3894900,8.97808
2015-02-26,9.10,9.14,8.95,9.05,2518400,8.84131
2015-02-25,8.95,9.08,8.82,9.08,2994700,8.87062
2015-02-24,8.75,8.86,8.67,8.77,1426700,8.56777
2015-02-23,8.74,8.79,8.70,8.76,944100,8.558
2015-02-20,8.79,8.88,8.71,8.72,970400,8.51892
2015-02-19,8.85,8.86,8.71,8.77,1665200,8.56777
2015-02-18,8.64,8.70,8.55,8.70,1724600,8.49938
2015-02-17,8.48,8.64,8.46,8.62,2017600,8.42123
2015-02-16,8.56,8.60,8.43,8.44,2352800,8.24538
2015-02-13,8.57,8.85,8.57,8.60,2564400,8.40169
2015-02-12,8.69,8.74,8.53,8.56,2372800,8.36261
2015-02-11,8.63,8.70,8.555,8.70,1439400,8.49938
2015-02-10,8.52,8.58,8.48,8.54,1243200,8.34307
2015-02-09,8.59,8.59,8.485,8.55,845800,8.35284
2015-02-06,8.63,8.65,8.505,8.56,1452500,8.36261
2015-02-05,8.55,8.61,8.51,8.54,1817600,8.34307
2015-02-04,8.51,8.645,8.45,8.62,2758400,8.42123
2015-02-03,8.35,8.40,8.23,8.40,1714700,8.2063
2015-02-02,8.19,8.34,8.15,8.33,2474100,8.13791
2015-01-30,8.15,8.20,8.10,8.12,2784900,7.93276
2015-01-29,8.07,8.13,8.04,8.10,1598500,7.91322
2015-01-28,8.10,8.13,8.03,8.11,1678400,7.92299
