date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.45,1.505,1.385,1.50,1511900,1.50
2015-06-29,1.61,1.61,1.515,1.52,983300,1.52
2015-06-26,1.665,1.665,1.625,1.645,491700,1.645
2015-06-25,1.69,1.725,1.64,1.67,801800,1.67
2015-06-24,1.65,1.695,1.64,1.64,511000,1.64
2015-06-23,1.675,1.695,1.65,1.65,699500,1.65
2015-06-22,1.75,1.75,1.675,1.675,400800,1.675
2015-06-19,1.68,1.80,1.68,1.75,2732400,1.75
2015-06-18,1.655,1.715,1.65,1.715,759500,1.715
2015-06-17,1.67,1.695,1.645,1.69,278900,1.69
2015-06-16,1.635,1.71,1.615,1.69,1758800,1.69
2015-06-15,1.71,1.71,1.635,1.635,473500,1.635
2015-06-12,1.725,1.745,1.71,1.735,445200,1.735
2015-06-11,1.705,1.745,1.695,1.74,484000,1.74
2015-06-10,1.68,1.725,1.68,1.705,527400,1.705
2015-06-09,1.685,1.725,1.66,1.725,923900,1.725
2015-06-08,1.725,1.725,1.725,1.725,000,1.725
2015-06-05,1.75,1.79,1.695,1.725,1423000,1.725
2015-06-04,1.70,1.807,1.695,1.79,1518600,1.79
2015-06-03,1.685,1.78,1.68,1.765,979500,1.765
2015-06-02,1.77,1.78,1.715,1.715,487400,1.715
2015-06-01,1.83,1.83,1.75,1.775,992700,1.775
2015-05-29,1.80,1.85,1.795,1.795,8914700,1.795
2015-05-28,1.88,1.88,1.805,1.82,1324800,1.82
2015-05-27,1.88,1.88,1.81,1.825,1068000,1.825
2015-05-26,1.79,1.885,1.79,1.88,1493300,1.88
2015-05-25,1.77,1.80,1.76,1.795,283500,1.795
2015-05-22,1.80,1.807,1.76,1.77,287300,1.77
2015-05-21,1.785,1.81,1.76,1.775,860600,1.775
2015-05-20,1.81,1.81,1.73,1.755,819500,1.755
2015-05-19,1.74,1.82,1.732,1.81,965100,1.81
2015-05-18,1.72,1.785,1.71,1.715,960800,1.715
2015-05-15,1.635,1.70,1.635,1.70,336500,1.70
2015-05-14,1.62,1.65,1.62,1.635,1523800,1.635
2015-05-13,1.59,1.635,1.585,1.635,1058000,1.635
2015-05-12,1.56,1.5975,1.54,1.59,1606200,1.59
2015-05-11,1.59,1.60,1.555,1.59,415700,1.59
2015-05-08,1.60,1.605,1.55,1.60,918000,1.60
2015-05-07,1.61,1.615,1.56,1.59,612700,1.59
2015-05-06,1.60,1.63,1.587,1.62,800900,1.62
2015-05-05,1.69,1.69,1.615,1.64,848600,1.61143
2015-05-04,1.615,1.69,1.615,1.675,2309900,1.64582
2015-05-01,1.65,1.65,1.61,1.615,520000,1.58686
2015-04-30,1.66,1.675,1.62,1.675,1065800,1.64582
2015-04-29,1.645,1.67,1.635,1.67,1330300,1.64091
2015-04-28,1.66,1.68,1.612,1.63,947800,1.6016
2015-04-27,1.64,1.68,1.61,1.68,1537900,1.65073
2015-04-24,1.63,1.635,1.605,1.625,1631400,1.59669
2015-04-23,1.665,1.675,1.62,1.645,718300,1.61634
2015-04-22,1.62,1.645,1.59,1.635,955600,1.60652
2015-04-21,1.655,1.655,1.61,1.625,714000,1.59669
2015-04-20,1.65,1.6875,1.62,1.675,754900,1.64582
2015-04-17,1.63,1.65,1.62,1.65,1605300,1.62125
2015-04-16,1.63,1.665,1.61,1.63,729500,1.6016
2015-04-15,1.67,1.67,1.63,1.65,610200,1.62125
2015-04-14,1.64,1.6775,1.635,1.67,868700,1.64091
2015-04-13,1.65,1.67,1.63,1.65,886300,1.62125
2015-04-10,1.62,1.68,1.61,1.65,1538600,1.62125
2015-04-09,1.60,1.62,1.585,1.62,1219200,1.59178
2015-04-08,1.69,1.6925,1.54,1.62,3013200,1.59178
2015-04-07,1.81,1.815,1.725,1.725,1587600,1.69495
2015-04-06,1.815,1.815,1.815,1.815,000,1.78338
2015-04-03,1.815,1.815,1.815,1.815,000,1.78338
2015-04-02,1.82,1.84,1.805,1.815,893300,1.78338
2015-04-01,1.80,1.84,1.782,1.82,1152100,1.78829
2015-03-31,1.735,1.85,1.735,1.815,1290200,1.78338
2015-03-30,1.87,1.87,1.735,1.75,1946300,1.71951
2015-03-27,1.83,1.905,1.81,1.87,2287500,1.83742
2015-03-26,1.75,1.875,1.715,1.79,2892000,1.75882
2015-03-25,1.64,1.77,1.62,1.76,2221000,1.72934
2015-03-24,1.54,1.64,1.54,1.625,2339800,1.59669
2015-03-23,1.575,1.58,1.45,1.55,2709400,1.523
2015-03-20,1.63,1.645,1.52,1.57,3837500,1.54265
2015-03-19,1.645,1.69,1.64,1.66,1074300,1.63108
2015-03-18,1.61,1.64,1.58,1.63,1451400,1.6016
2015-03-17,1.53,1.6575,1.53,1.625,1908900,1.59669
2015-03-16,1.515,1.53,1.487,1.53,730300,1.50335
2015-03-13,1.525,1.535,1.505,1.505,1154600,1.47878
2015-03-12,1.51,1.55,1.495,1.505,1924900,1.47878
2015-03-11,1.39,1.51,1.38,1.485,1954800,1.45913
2015-03-10,1.385,1.42,1.35,1.395,1244700,1.3707
2015-03-09,1.35,1.385,1.342,1.385,807700,1.36087
2015-03-06,1.34,1.36,1.32,1.345,859100,1.32157
2015-03-05,1.31,1.42,1.295,1.34,1906300,1.31666
2015-03-04,1.235,1.335,1.205,1.275,2381900,1.25279
2015-03-03,1.16,1.24,1.155,1.24,770400,1.2184
2015-03-02,1.14,1.165,1.14,1.155,467800,1.13488
2015-02-27,1.12,1.145,1.11,1.14,1096900,1.12014
2015-02-26,1.14,1.145,1.11,1.11,651500,1.09066
2015-02-25,1.10,1.14,1.10,1.14,609800,1.12014
2015-02-24,1.12,1.12,1.095,1.105,484100,1.08575
2015-02-23,1.095,1.135,1.092,1.11,582600,1.09066
2015-02-20,1.13,1.13,1.085,1.09,735400,1.07101
2015-02-19,1.135,1.14,1.125,1.125,395800,1.1054
2015-02-18,1.13,1.14,1.125,1.13,662100,1.11031
2015-02-17,1.13,1.145,1.12,1.13,410800,1.11031
2015-02-16,1.13,1.165,1.115,1.13,689700,1.11031
2015-02-13,1.115,1.13,1.11,1.13,446200,1.11031
2015-02-12,1.09,1.12,1.085,1.11,961200,1.09066
2015-02-11,1.105,1.135,1.075,1.085,1096900,1.0661
2015-02-10,1.085,1.14,1.075,1.095,1698300,1.07592
2015-02-09,1.01,1.06,1.007,1.06,953100,1.04153
2015-02-06,1.02,1.025,1.005,1.01,513100,0.9924
2015-02-05,1.03,1.03,1.01,1.02,498200,1.00223
2015-02-04,1.00,1.045,1.00,1.035,1661400,1.01697
2015-02-03,0.925,0.995,0.925,0.99,1854000,0.97275
2015-02-02,0.91,0.94,0.90,0.925,1320900,0.90889
2015-01-30,0.915,0.92,0.88,0.91,1557100,0.89415
2015-01-29,0.89,0.92,0.855,0.915,1251900,0.89906
2015-01-28,0.88,0.895,0.86,0.865,661100,0.84993
2015-01-27,0.86,0.88,0.852,0.875,749800,0.85976
2015-01-26,0.85,0.85,0.85,0.85,000,0.83519
2015-01-23,0.85,0.87,0.845,0.85,472300,0.83519
2015-01-22,0.85,0.855,0.845,0.845,322600,0.83028
2015-01-21,0.86,0.86,0.84,0.84,554200,0.82537
2015-01-20,0.85,0.86,0.84,0.845,405400,0.83028
2015-01-19,0.86,0.86,0.84,0.85,249000,0.83519
2015-01-16,0.86,0.86,0.83,0.83,869600,0.81554
2015-01-15,0.85,0.865,0.845,0.855,807400,0.8401
2015-01-14,0.845,0.88,0.84,0.84,1910600,0.82537
