date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.72,0.737,0.69,0.71,3406900,0.71
2015-06-29,0.725,0.7525,0.72,0.725,2251500,0.725
2015-06-26,0.765,0.77,0.735,0.745,2652700,0.745
2015-06-25,0.78,0.785,0.74,0.77,2999500,0.77
2015-06-24,0.795,0.80,0.77,0.78,1770200,0.78
2015-06-23,0.78,0.80,0.765,0.79,1856100,0.79
2015-06-22,0.79,0.805,0.77,0.775,2571200,0.775
2015-06-19,0.755,0.83,0.705,0.81,5808000,0.81
2015-06-18,0.77,0.78,0.76,0.77,4248100,0.77
2015-06-17,0.78,0.785,0.755,0.78,4412300,0.78
2015-06-16,0.78,0.79,0.75,0.775,3841900,0.775
2015-06-15,0.76,0.79,0.75,0.775,3086300,0.775
2015-06-12,0.78,0.785,0.765,0.77,1824900,0.77
2015-06-11,0.765,0.79,0.765,0.78,3031700,0.78
2015-06-10,0.775,0.775,0.745,0.765,2274100,0.765
2015-06-09,0.785,0.80,0.765,0.77,2212700,0.77
2015-06-08,0.77,0.77,0.77,0.77,000,0.77
2015-06-05,0.795,0.80,0.755,0.77,2182300,0.77
2015-06-04,0.815,0.832,0.79,0.79,2629100,0.79
2015-06-03,0.80,0.82,0.79,0.805,2130100,0.805
2015-06-02,0.83,0.84,0.79,0.805,3088500,0.805
2015-06-01,0.83,0.835,0.815,0.835,1970800,0.835
2015-05-29,0.82,0.88,0.82,0.845,6407600,0.845
2015-05-28,0.83,0.845,0.81,0.82,2802400,0.82
2015-05-27,0.82,0.84,0.81,0.83,3980300,0.83
2015-05-26,0.835,0.855,0.83,0.845,2601800,0.845
2015-05-25,0.84,0.87,0.825,0.855,3848500,0.855
2015-05-22,0.885,0.89,0.85,0.865,1990900,0.865
2015-05-21,0.91,0.915,0.84,0.885,110016200,0.885
2015-05-20,0.915,0.915,0.875,0.90,1448900,0.90
2015-05-19,0.91,0.915,0.89,0.91,1581100,0.91
2015-05-18,0.915,0.94,0.91,0.91,434900,0.91
2015-05-15,0.93,0.95,0.915,0.92,1728600,0.92
2015-05-14,0.915,0.93,0.91,0.92,1729100,0.92
2015-05-13,0.92,0.935,0.91,0.935,942900,0.935
2015-05-12,0.905,0.935,0.905,0.935,2525100,0.935
2015-05-11,0.91,0.92,0.905,0.905,675400,0.905
2015-05-08,0.915,0.93,0.905,0.91,1600400,0.91
2015-05-07,0.90,0.93,0.90,0.91,1674800,0.91
2015-05-06,0.93,0.96,0.902,0.91,5226900,0.91
2015-05-05,0.965,0.97,0.94,0.955,1624100,0.955
2015-05-04,0.935,0.955,0.935,0.95,2648200,0.95
2015-05-01,0.94,0.94,0.93,0.935,1210700,0.935
2015-04-30,0.925,0.94,0.915,0.94,2334900,0.94
2015-04-29,0.905,0.9325,0.905,0.925,2421000,0.925
2015-04-28,0.95,0.95,0.90,0.915,7994000,0.915
2015-04-27,0.925,0.95,0.91,0.94,2932500,0.94
2015-04-24,0.93,0.935,0.925,0.93,5917500,0.93
2015-04-23,0.93,0.93,0.915,0.93,7545700,0.93
2015-04-22,0.93,0.94,0.915,0.93,3203100,0.93
2015-04-21,0.91,0.935,0.895,0.935,6568900,0.935
2015-04-20,0.93,0.935,0.885,0.915,5594200,0.915
2015-04-17,0.94,0.96,0.93,0.935,2263900,0.935
2015-04-16,0.945,0.955,0.94,0.95,2245900,0.95
2015-04-15,0.945,0.95,0.92,0.94,3095800,0.94
2015-04-14,0.97,0.97,0.94,0.95,3686800,0.95
2015-04-13,0.98,0.985,0.965,0.97,2279300,0.97
