date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.32,1.33,1.32,1.33,1200,1.33
2015-06-29,1.305,1.33,1.29,1.33,83000,1.33
2015-06-26,1.255,1.305,1.255,1.305,33100,1.305
2015-06-25,1.355,1.355,1.325,1.35,37700,1.305
2015-06-24,1.325,1.355,1.325,1.355,99400,1.30983
2015-06-23,1.305,1.32,1.305,1.32,77100,1.276
2015-06-22,1.30,1.305,1.295,1.305,27000,1.2615
2015-06-19,1.315,1.315,1.30,1.30,38700,1.25667
2015-06-18,1.31,1.31,1.30,1.31,174900,1.26633
2015-06-17,1.315,1.315,1.30,1.30,94600,1.25667
2015-06-16,1.31,1.315,1.31,1.315,76600,1.27117
2015-06-15,1.31,1.31,1.305,1.305,26600,1.2615
2015-06-12,1.30,1.31,1.30,1.31,92500,1.26633
2015-06-11,1.305,1.305,1.30,1.305,79300,1.2615
2015-06-10,1.31,1.31,1.30,1.305,32200,1.2615
2015-06-09,1.31,1.32,1.30,1.30,78500,1.25667
2015-06-08,1.30,1.30,1.30,1.30,000,1.25667
2015-06-05,1.30,1.31,1.30,1.30,54200,1.25667
2015-06-04,1.31,1.31,1.30,1.31,8800,1.26633
2015-06-03,1.305,1.32,1.305,1.31,62500,1.26633
2015-06-02,1.305,1.31,1.30,1.305,175200,1.2615
2015-06-01,1.31,1.31,1.30,1.31,179800,1.26633
2015-05-29,1.305,1.32,1.305,1.31,103300,1.26633
2015-05-28,1.325,1.325,1.295,1.30,420100,1.25667
2015-05-27,1.31,1.315,1.285,1.31,244600,1.26633
2015-05-26,1.32,1.32,1.30,1.30,267700,1.25667
2015-05-25,1.33,1.33,1.32,1.33,27800,1.28567
2015-05-22,1.32,1.34,1.32,1.32,29500,1.276
2015-05-21,1.29,1.30,1.285,1.30,151300,1.25667
2015-05-20,1.29,1.29,1.29,1.29,200,1.247
2015-05-19,1.285,1.30,1.277,1.295,109000,1.25183
2015-05-18,1.275,1.275,1.27,1.275,308200,1.2325
2015-05-15,1.27,1.285,1.265,1.275,585800,1.2325
2015-05-14,1.265,1.265,1.265,1.265,35700,1.22283
2015-05-13,1.245,1.27,1.24,1.27,59500,1.22767
2015-05-12,1.24,1.25,1.24,1.245,143700,1.2035
2015-05-11,1.26,1.26,1.22,1.24,71200,1.19867
2015-05-08,1.255,1.26,1.25,1.25,105700,1.20833
2015-05-07,1.26,1.26,1.25,1.26,28400,1.218
2015-05-06,1.27,1.27,1.27,1.27,3300,1.22767
2015-05-05,1.265,1.27,1.26,1.27,39900,1.22767
2015-05-04,1.26,1.26,1.26,1.26,9100,1.218
2015-05-01,1.26,1.26,1.25,1.26,36200,1.218
2015-04-30,1.27,1.27,1.26,1.26,77600,1.218
2015-04-29,1.27,1.27,1.265,1.265,59600,1.22283
2015-04-28,1.265,1.275,1.265,1.275,26200,1.2325
2015-04-27,1.28,1.28,1.265,1.265,26900,1.22283
2015-04-24,1.265,1.27,1.265,1.27,77100,1.22767
2015-04-23,1.26,1.27,1.26,1.27,21700,1.22767
2015-04-22,1.255,1.265,1.255,1.26,14900,1.218
2015-04-21,1.265,1.27,1.255,1.265,20200,1.22283
2015-04-20,1.275,1.275,1.265,1.265,1400,1.22283
2015-04-17,1.27,1.27,1.265,1.27,18200,1.22767
2015-04-16,1.27,1.275,1.265,1.265,123400,1.22283
2015-04-15,1.265,1.265,1.24,1.26,12400,1.218
2015-04-14,1.27,1.28,1.26,1.27,248000,1.22767
2015-04-13,1.27,1.28,1.26,1.26,237300,1.218
2015-04-10,1.265,1.28,1.26,1.27,105300,1.22767
2015-04-09,1.265,1.275,1.265,1.265,127700,1.22283
2015-04-08,1.26,1.27,1.26,1.265,103700,1.22283
2015-04-07,1.265,1.28,1.26,1.28,82900,1.23733
2015-04-06,1.265,1.265,1.265,1.265,000,1.22283
2015-04-03,1.265,1.265,1.265,1.265,000,1.22283
2015-04-02,1.265,1.27,1.265,1.265,128100,1.22283
2015-04-01,1.27,1.28,1.265,1.28,80400,1.23733
2015-03-31,1.27,1.28,1.27,1.27,130900,1.22767
2015-03-30,1.26,1.27,1.26,1.27,149200,1.22767
2015-03-27,1.255,1.255,1.255,1.255,000,1.21317
2015-03-26,1.28,1.285,1.255,1.255,5100,1.21317
2015-03-25,1.255,1.285,1.255,1.285,37000,1.24217
2015-03-24,1.25,1.28,1.25,1.28,50900,1.23733
2015-03-23,1.25,1.25,1.25,1.25,165800,1.20833
2015-03-20,1.24,1.25,1.24,1.25,3800,1.20833
2015-03-19,1.24,1.27,1.24,1.26,33700,1.218
2015-03-18,1.23,1.24,1.23,1.24,34200,1.19867
2015-03-17,1.25,1.25,1.23,1.23,11000,1.189
2015-03-16,1.23,1.265,1.23,1.237,25500,1.19577
2015-03-13,1.26,1.265,1.26,1.26,2200,1.218
2015-03-12,1.255,1.26,1.255,1.26,74000,1.218
2015-03-11,1.215,1.27,1.215,1.27,3700,1.22767
2015-03-10,1.26,1.26,1.225,1.225,27100,1.18417
2015-03-09,1.26,1.27,1.26,1.26,109500,1.218
2015-03-06,1.27,1.285,1.26,1.285,50500,1.24217
2015-03-05,1.27,1.27,1.26,1.27,72000,1.22767
2015-03-04,1.27,1.275,1.27,1.27,77700,1.22767
2015-03-03,1.28,1.29,1.27,1.27,123700,1.22767
2015-03-02,1.265,1.265,1.255,1.265,78700,1.22283
2015-02-27,1.26,1.285,1.26,1.285,3387400,1.24217
2015-02-26,1.25,1.285,1.24,1.26,170700,1.218
2015-02-25,1.245,1.26,1.245,1.26,42200,1.218
2015-02-24,1.26,1.285,1.235,1.26,77100,1.218
2015-02-23,1.23,1.27,1.22,1.22,71800,1.17933
2015-02-20,1.225,1.27,1.225,1.245,9300,1.2035
2015-02-19,1.27,1.27,1.27,1.27,000,1.22767
2015-02-18,1.22,1.27,1.22,1.27,45500,1.22767
2015-02-17,1.26,1.275,1.215,1.22,14600,1.17933
2015-02-16,1.23,1.26,1.205,1.26,87800,1.218
2015-02-13,1.235,1.285,1.235,1.255,131400,1.21317
2015-02-12,1.26,1.26,1.21,1.24,110100,1.19867
2015-02-11,1.28,1.28,1.24,1.265,500,1.22283
2015-02-10,1.28,1.28,1.22,1.275,37400,1.2325
2015-02-09,1.27,1.29,1.24,1.255,59800,1.21317
2015-02-06,1.27,1.27,1.235,1.26,800,1.218
2015-02-05,1.27,1.27,1.235,1.26,37000,1.218
2015-02-04,1.265,1.27,1.22,1.27,72100,1.22767
2015-02-03,1.232,1.27,1.23,1.27,11400,1.22767
2015-02-02,1.24,1.27,1.24,1.24,33100,1.19867
2015-01-30,1.22,1.24,1.20,1.24,58800,1.19867
2015-01-29,1.21,1.23,1.20,1.23,17700,1.189
2015-01-28,1.21,1.23,1.185,1.21,13100,1.16967
2015-01-27,1.23,1.23,1.17,1.17,83700,1.131
2015-01-26,1.23,1.23,1.23,1.23,000,1.189
2015-01-23,1.24,1.24,1.22,1.23,25400,1.189
2015-01-22,1.27,1.275,1.225,1.245,41400,1.2035
2015-01-21,1.255,1.27,1.245,1.27,40900,1.22767
2015-01-20,1.235,1.255,1.225,1.255,26300,1.21317
2015-01-19,1.24,1.245,1.225,1.225,30200,1.18417
2015-01-16,1.245,1.25,1.225,1.24,29200,1.19867
2015-01-15,1.24,1.255,1.24,1.245,82800,1.2035
2015-01-14,1.255,1.27,1.235,1.25,1557200,1.20833
2015-01-13,1.27,1.27,1.25,1.255,5019300,1.21317
2015-01-12,1.255,1.255,1.255,1.255,000,1.21317
2015-01-09,1.255,1.265,1.25,1.255,115600,1.21317
2015-01-08,1.25,1.27,1.25,1.25,24700,1.20833
2015-01-07,1.26,1.27,1.23,1.26,16100,1.218
2015-01-06,1.26,1.26,1.23,1.26,1400,1.218
2015-01-05,1.25,1.295,1.235,1.26,21100,1.218
2015-01-02,1.225,1.255,1.225,1.25,11800,1.20833
2015-01-01,1.225,1.225,1.225,1.225,000,1.18417
2014-12-31,1.25,1.25,1.22,1.225,9600,1.18417
2014-12-30,1.245,1.245,1.245,1.245,100,1.2035
2014-12-29,1.27,1.27,1.205,1.245,3100,1.2035
2014-12-26,1.265,1.265,1.265,1.265,000,1.17933
2014-12-25,1.265,1.265,1.265,1.265,000,1.17933
2014-12-24,1.255,1.265,1.255,1.265,700,1.17933
2014-12-23,1.265,1.265,1.23,1.255,59000,1.17001
2014-12-22,1.26,1.2775,1.255,1.255,170300,1.17001
2014-12-19,1.27,1.27,1.27,1.27,000,1.18399
2014-12-18,1.27,1.275,1.26,1.27,31600,1.18399
2014-12-17,1.29,1.32,1.25,1.27,241700,1.18399
2014-12-16,1.29,1.29,1.255,1.26,36700,1.17467
2014-12-15,1.265,1.28,1.255,1.26,231600,1.17467
2014-12-12,1.29,1.29,1.255,1.255,44100,1.17001
2014-12-11,1.29,1.32,1.28,1.285,148300,1.19798
2014-12-10,1.29,1.30,1.29,1.29,17200,1.20264
2014-12-09,1.28,1.32,1.26,1.30,244400,1.21196
2014-12-08,1.32,1.32,1.27,1.30,93300,1.21196
2014-12-05,1.32,1.32,1.30,1.30,149400,1.21196
2014-12-04,1.32,1.32,1.305,1.305,9500,1.21662
2014-12-03,1.33,1.335,1.33,1.33,453300,1.23993
2014-12-02,1.33,1.33,1.28,1.31,144000,1.22129
2014-12-01,1.29,1.33,1.285,1.33,30500,1.23993
2014-11-28,1.32,1.33,1.32,1.325,20200,1.23527
2014-11-27,1.32,1.32,1.32,1.32,000,1.23061
2014-11-26,1.30,1.33,1.29,1.33,26400,1.23993
2014-11-25,1.30,1.30,1.30,1.30,000,1.21196
2014-11-24,1.33,1.33,1.30,1.30,12000,1.21196
2014-11-21,1.30,1.33,1.30,1.33,24100,1.23993
2014-11-20,1.33,1.33,1.31,1.315,96600,1.22595
2014-11-19,1.33,1.332,1.305,1.33,71300,1.23993
2014-11-18,1.33,1.335,1.33,1.33,33900,1.23993
2014-11-17,1.33,1.34,1.33,1.33,48200,1.23993
2014-11-14,1.315,1.33,1.305,1.32,10200,1.23061
2014-11-13,1.32,1.32,1.315,1.315,12200,1.22595
2014-11-12,1.32,1.32,1.32,1.32,2100,1.23061
2014-11-11,1.285,1.335,1.285,1.32,56600,1.23061
2014-11-10,1.35,1.35,1.315,1.34,95200,1.24925
2014-11-07,1.275,1.345,1.27,1.32,85500,1.23061
2014-11-06,1.315,1.315,1.255,1.255,43900,1.17001
2014-11-05,1.28,1.355,1.28,1.315,85800,1.22595
2014-11-04,1.26,1.275,1.26,1.275,15500,1.18866
2014-11-03,1.25,1.27,1.245,1.27,28800,1.18399
2014-10-31,1.27,1.27,1.235,1.24,3300,1.15603
2014-10-30,1.255,1.27,1.25,1.27,11600,1.18399
2014-10-29,1.27,1.27,1.26,1.26,600,1.17467
2014-10-28,1.25,1.27,1.245,1.27,310100,1.18399
2014-10-27,1.24,1.245,1.24,1.24,95600,1.15603
2014-10-24,1.24,1.25,1.24,1.25,20200,1.16535
2014-10-23,1.24,1.26,1.24,1.26,10300,1.17467
2014-10-22,1.24,1.25,1.225,1.225,9400,1.14204
2014-10-21,1.25,1.25,1.235,1.235,1500,1.15136
2014-10-20,1.26,1.265,1.24,1.24,54800,1.15603
2014-10-17,1.26,1.26,1.22,1.22,44800,1.13738
2014-10-16,1.26,1.265,1.225,1.265,62200,1.17933
2014-10-15,1.24,1.27,1.24,1.245,12500,1.16069
2014-10-14,1.245,1.28,1.22,1.24,37400,1.15603
2014-10-13,1.255,1.295,1.23,1.23,67200,1.1467
2014-10-10,1.24,1.295,1.235,1.275,85000,1.18866
2014-10-09,1.215,1.26,1.21,1.23,76400,1.1467
2014-10-08,1.22,1.26,1.215,1.215,27400,1.13272
2014-10-07,1.22,1.265,1.22,1.265,15800,1.17933
2014-10-06,1.215,1.26,1.205,1.205,16300,1.1234
2014-10-03,1.21,1.26,1.21,1.24,57100,1.15603
2014-10-02,1.245,1.262,1.195,1.205,241200,1.1234
2014-10-01,1.265,1.295,1.265,1.265,4900,1.17933
2014-09-30,1.25,1.27,1.245,1.25,19300,1.16535
2014-09-29,1.25,1.25,1.24,1.24,3300,1.15603
2014-09-26,1.24,1.29,1.24,1.24,11200,1.15603
2014-09-25,1.30,1.30,1.255,1.30,256200,1.21196
2014-09-24,1.26,1.33,1.25,1.28,85700,1.19332
2014-09-23,1.245,1.33,1.245,1.28,90100,1.19332
2014-09-22,1.26,1.28,1.22,1.22,10200,1.13738
2014-09-19,1.205,1.255,1.205,1.255,12860200,1.17001
2014-09-18,1.21,1.215,1.205,1.205,581900,1.1234
2014-09-17,1.23,1.245,1.21,1.215,75500,1.13272
2014-09-16,1.27,1.27,1.23,1.255,1430200,1.17001
2014-09-15,1.26,1.26,1.25,1.255,48600,1.17001
2014-09-12,1.25,1.26,1.25,1.25,480400,1.16535
2014-09-11,1.25,1.26,1.24,1.25,1256800,1.16535
2014-09-10,1.245,1.265,1.245,1.25,71100,1.16535
2014-09-09,1.24,1.28,1.235,1.28,2079000,1.19332
2014-09-08,1.23,1.245,1.23,1.235,129300,1.15136
2014-09-05,1.215,1.24,1.215,1.24,161800,1.15603
2014-09-04,1.245,1.257,1.215,1.215,932700,1.13272
2014-09-03,1.265,1.265,1.22,1.245,356600,1.16069
2014-09-02,1.27,1.27,1.26,1.27,68600,1.18399
2014-09-01,1.26,1.275,1.26,1.275,61000,1.18866
2014-08-29,1.27,1.28,1.26,1.27,145400,1.18399
2014-08-28,1.255,1.275,1.255,1.265,66200,1.17933
2014-08-27,1.25,1.27,1.25,1.265,127300,1.17933
2014-08-26,1.255,1.265,1.255,1.265,34100,1.17933
2014-08-25,1.24,1.265,1.205,1.255,288200,1.17001
2014-08-22,1.24,1.24,1.24,1.24,000,1.15603
2014-08-21,1.235,1.24,1.215,1.24,105700,1.15603
2014-08-20,1.23,1.235,1.195,1.235,29900,1.15136
2014-08-19,1.22,1.24,1.21,1.24,29800,1.15603
2014-08-18,1.23,1.23,1.185,1.19,64500,1.10941
2014-08-15,1.23,1.23,1.20,1.20,7000,1.11874
2014-08-14,1.195,1.21,1.19,1.19,9600,1.10941
2014-08-13,1.20,1.215,1.18,1.215,119500,1.13272
2014-08-12,1.21,1.215,1.19,1.215,159500,1.13272
2014-08-11,1.21,1.21,1.21,1.21,5500,1.12806
2014-08-08,1.205,1.23,1.205,1.23,59800,1.1467
2014-08-07,1.21,1.22,1.20,1.205,120000,1.1234
2014-08-06,1.215,1.22,1.205,1.215,68100,1.13272
2014-08-05,1.21,1.22,1.21,1.215,17100,1.13272
2014-08-04,1.21,1.24,1.20,1.205,42100,1.1234
2014-08-01,1.215,1.215,1.20,1.215,101800,1.13272
2014-07-31,1.24,1.24,1.22,1.22,19900,1.13738
2014-07-30,1.24,1.24,1.23,1.24,8800,1.15603
2014-07-29,1.25,1.25,1.22,1.22,18500,1.13738
2014-07-28,1.23,1.23,1.22,1.22,17000,1.13738
2014-07-25,1.225,1.225,1.225,1.225,900,1.14204
2014-07-24,1.255,1.26,1.23,1.24,147700,1.15603
2014-07-23,1.25,1.265,1.24,1.26,244100,1.17467
2014-07-22,1.26,1.265,1.23,1.255,153000,1.17001
2014-07-21,1.25,1.31,1.245,1.31,55200,1.22129
2014-07-18,1.225,1.315,1.22,1.315,123600,1.22595
2014-07-17,1.245,1.29,1.215,1.24,84800,1.15603
2014-07-16,1.21,1.30,1.21,1.235,19100,1.15136
2014-07-15,1.31,1.31,1.28,1.295,11800,1.2073
2014-07-14,1.30,1.31,1.27,1.27,13400,1.18399
2014-07-11,1.34,1.34,1.31,1.31,14700,1.22129
2014-07-10,1.235,1.355,1.235,1.35,283400,1.25858
2014-07-09,1.20,1.235,1.20,1.235,211500,1.15136
2014-07-08,1.21,1.23,1.21,1.23,97600,1.1467
2014-07-07,1.195,1.195,1.195,1.195,34500,1.11407
2014-07-04,1.19,1.20,1.19,1.20,2200,1.11874
2014-07-03,1.225,1.23,1.225,1.23,15900,1.1467
2014-07-02,1.19,1.21,1.19,1.21,13100,1.12806
2014-07-01,1.20,1.215,1.20,1.21,7000,1.12806
2014-06-30,1.21,1.215,1.21,1.21,35800,1.12806
2014-06-27,1.21,1.22,1.205,1.21,23600,1.12806
2014-06-26,1.20,1.22,1.20,1.21,37000,1.12806
2014-06-25,1.26,1.26,1.245,1.245,34100,1.1234
2014-06-24,1.24,1.26,1.24,1.26,78600,1.13693
2014-06-23,1.24,1.25,1.235,1.24,45500,1.11888
2014-06-20,1.225,1.25,1.225,1.245,64200,1.1234
2014-06-19,1.25,1.25,1.235,1.24,232300,1.11888
2014-06-18,1.225,1.245,1.22,1.24,109400,1.11888
2014-06-17,1.245,1.265,1.225,1.26,96700,1.13693
2014-06-16,1.27,1.28,1.25,1.26,232400,1.13693
2014-06-13,1.28,1.285,1.25,1.255,82300,1.13242
2014-06-12,1.26,1.29,1.26,1.285,4700,1.15949
2014-06-11,1.265,1.29,1.265,1.29,1863800,1.164
2014-06-10,1.25,1.29,1.24,1.29,61100,1.164
2014-06-09,1.295,1.295,1.295,1.295,000,1.16851
2014-06-06,1.265,1.295,1.255,1.295,30200,1.16851
2014-06-05,1.235,1.27,1.235,1.27,28200,1.14595
2014-06-04,1.27,1.29,1.26,1.285,8300,1.15949
2014-06-03,1.26,1.27,1.26,1.27,45900,1.14595
2014-06-02,1.26,1.27,1.255,1.265,70600,1.14144
2014-05-30,1.27,1.27,1.265,1.265,140800,1.14144
2014-05-29,1.27,1.28,1.265,1.27,72800,1.14595
2014-05-28,1.28,1.28,1.27,1.28,46500,1.15498
2014-05-27,1.28,1.30,1.275,1.28,22300,1.15498
2014-05-26,1.30,1.30,1.27,1.295,700200,1.16851
2014-05-23,1.30,1.30,1.30,1.30,2500,1.17302
2014-05-22,1.30,1.315,1.30,1.305,26800,1.17754
2014-05-21,1.28,1.32,1.28,1.315,21900,1.18656
2014-05-20,1.31,1.32,1.30,1.32,35300,1.19107
2014-05-19,1.34,1.34,1.305,1.32,21500,1.19107
