date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.46,1.545,1.455,1.535,428900,1.535
2015-06-29,1.55,1.555,1.465,1.49,524000,1.49
2015-06-26,1.55,1.59,1.545,1.56,179500,1.56
2015-06-25,1.62,1.645,1.62,1.635,238100,1.6095
2015-06-24,1.62,1.64,1.615,1.63,255800,1.6046
2015-06-23,1.615,1.625,1.605,1.625,128400,1.5997
2015-06-22,1.60,1.645,1.60,1.61,232900,1.5849
2015-06-19,1.60,1.615,1.585,1.60,182400,1.575
2015-06-18,1.60,1.605,1.585,1.60,313100,1.575
2015-06-17,1.60,1.645,1.595,1.602,176200,1.577
2015-06-16,1.60,1.645,1.60,1.60,253800,1.575
2015-06-15,1.63,1.65,1.59,1.60,438100,1.575
2015-06-12,1.65,1.67,1.605,1.63,270800,1.6046
2015-06-11,1.66,1.66,1.625,1.65,168300,1.6243
2015-06-10,1.645,1.645,1.595,1.61,159200,1.5849
2015-06-09,1.61,1.675,1.60,1.61,198700,1.5849
2015-06-08,1.615,1.615,1.615,1.615,000,1.5898
2015-06-05,1.61,1.635,1.58,1.615,268900,1.5898
2015-06-04,1.62,1.66,1.60,1.625,1213500,1.5997
2015-06-03,1.63,1.675,1.56,1.61,926000,1.5849
2015-06-02,1.64,1.6425,1.625,1.64,96600,1.6144
2015-06-01,1.62,1.64,1.615,1.615,121500,1.5898
2015-05-29,1.625,1.675,1.61,1.645,82500,1.6193
2015-05-28,1.625,1.645,1.61,1.62,533900,1.5947
2015-05-27,1.625,1.645,1.605,1.62,654700,1.5947
2015-05-26,1.645,1.665,1.61,1.655,253100,1.6292
2015-05-25,1.67,1.68,1.60,1.635,287100,1.6095
2015-05-22,1.70,1.705,1.642,1.665,818600,1.639
2015-05-21,1.75,1.757,1.70,1.70,224700,1.6735
2015-05-20,1.78,1.78,1.73,1.75,166000,1.7227
2015-05-19,1.78,1.795,1.77,1.78,91600,1.7522
2015-05-18,1.74,1.78,1.72,1.75,126800,1.7227
2015-05-15,1.79,1.80,1.74,1.75,140700,1.7227
2015-05-14,1.775,1.80,1.725,1.79,465800,1.7621
2015-05-13,1.79,1.79,1.74,1.74,255800,1.7129
2015-05-12,1.70,1.77,1.70,1.77,319500,1.7424
2015-05-11,1.72,1.74,1.70,1.71,742500,1.6833
2015-05-08,1.675,1.715,1.67,1.705,237700,1.6784
2015-05-07,1.70,1.70,1.66,1.675,308700,1.6489
2015-05-06,1.67,1.695,1.655,1.68,108100,1.6538
2015-05-05,1.69,1.69,1.67,1.68,80200,1.6538
2015-05-04,1.685,1.69,1.66,1.69,54800,1.6636
2015-05-01,1.67,1.69,1.655,1.685,84800,1.6587
2015-04-30,1.66,1.70,1.65,1.67,862300,1.644
2015-04-29,1.67,1.705,1.65,1.695,186600,1.6686
2015-04-28,1.68,1.705,1.665,1.70,267600,1.6735
2015-04-27,1.625,1.69,1.625,1.69,204100,1.6636
2015-04-24,1.66,1.67,1.645,1.665,343700,1.639
2015-04-23,1.65,1.672,1.625,1.655,229500,1.6292
2015-04-22,1.645,1.65,1.59,1.635,361800,1.6095
2015-04-21,1.66,1.67,1.63,1.64,199000,1.6144
2015-04-20,1.635,1.6675,1.63,1.665,88900,1.639
2015-04-17,1.69,1.69,1.62,1.65,3550300,1.6243
2015-04-16,1.62,1.705,1.62,1.685,506300,1.6587
2015-04-15,1.65,1.665,1.62,1.665,419100,1.639
2015-04-14,1.63,1.66,1.625,1.65,187900,1.6243
2015-04-13,1.65,1.6575,1.64,1.65,147700,1.6243
2015-04-10,1.655,1.655,1.645,1.65,154300,1.6243
2015-04-09,1.665,1.667,1.64,1.64,157900,1.6144
2015-04-08,1.65,1.67,1.64,1.65,103800,1.6243
2015-04-07,1.66,1.675,1.625,1.65,746100,1.6243
2015-04-06,1.66,1.66,1.66,1.66,000,1.6341
2015-04-03,1.66,1.66,1.66,1.66,000,1.6341
2015-04-02,1.645,1.68,1.645,1.66,1149000,1.6341
2015-04-01,1.655,1.665,1.60,1.665,220300,1.639
