date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.125,0.1375,0.12,0.135,14901100,0.135
2015-06-29,0.125,0.13,0.125,0.125,4954600,0.125
2015-06-26,0.135,0.135,0.125,0.13,29357100,0.13
2015-06-25,0.14,0.14,0.13,0.13,10077000,0.13
2015-06-24,0.14,0.145,0.135,0.14,14720400,0.14
2015-06-23,0.145,0.15,0.14,0.145,6276900,0.145
2015-06-22,0.145,0.15,0.14,0.15,6715900,0.15
2015-06-19,0.14,0.15,0.135,0.15,18626200,0.15
2015-06-18,0.14,0.14,0.135,0.135,9779000,0.135
2015-06-17,0.145,0.15,0.13,0.14,18329300,0.14
2015-06-16,0.155,0.155,0.145,0.145,12403300,0.145
2015-06-15,0.155,0.16,0.15,0.15,17198200,0.15
2015-06-12,0.16,0.1625,0.155,0.16,3926800,0.16
2015-06-11,0.16,0.165,0.155,0.16,11240600,0.16
2015-06-10,0.16,0.165,0.155,0.155,6647100,0.155
2015-06-09,0.16,0.165,0.16,0.16,7523200,0.16
2015-06-08,0.165,0.165,0.165,0.165,000,0.165
2015-06-05,0.17,0.17,0.165,0.165,3280100,0.165
2015-06-04,0.17,0.175,0.165,0.165,5189800,0.165
2015-06-03,0.175,0.175,0.17,0.17,6023300,0.17
2015-06-02,0.17,0.175,0.17,0.17,3498500,0.17
2015-06-01,0.17,0.175,0.17,0.17,2092800,0.17
2015-05-29,0.17,0.175,0.17,0.175,9883800,0.175
2015-05-28,0.17,0.175,0.17,0.175,7292300,0.175
2015-05-27,0.17,0.175,0.17,0.17,3168000,0.17
2015-05-26,0.175,0.185,0.17,0.175,21548300,0.175
2015-05-25,0.17,0.175,0.165,0.175,7574600,0.175
2015-05-22,0.17,0.175,0.165,0.17,4059500,0.17
2015-05-21,0.17,0.175,0.165,0.175,19145200,0.175
2015-05-20,0.175,0.175,0.165,0.165,16489100,0.165
2015-05-19,0.185,0.19,0.18,0.18,8200700,0.18
2015-05-18,0.19,0.19,0.18,0.19,8048800,0.19
2015-05-15,0.185,0.19,0.18,0.19,6784300,0.19
2015-05-14,0.19,0.195,0.185,0.185,9359300,0.185
2015-05-13,0.195,0.195,0.185,0.19,9077100,0.19
