date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.37,0.39,0.37,0.39,425500,0.39
2015-06-29,0.395,0.40,0.365,0.375,957600,0.375
2015-06-26,0.41,0.415,0.395,0.40,709200,0.40
2015-06-25,0.41,0.42,0.405,0.405,360000,0.405
2015-06-24,0.44,0.445,0.41,0.41,718200,0.41
2015-06-23,0.435,0.45,0.43,0.43,430800,0.43
2015-06-22,0.43,0.455,0.43,0.44,450600,0.44
2015-06-19,0.475,0.48,0.43,0.43,1316200,0.43
2015-06-18,0.475,0.48,0.465,0.47,472500,0.47
2015-06-17,0.46,0.48,0.45,0.475,445200,0.475
2015-06-16,0.46,0.49,0.45,0.45,1147500,0.45
2015-06-15,0.445,0.46,0.44,0.46,695700,0.46
2015-06-12,0.42,0.45,0.415,0.445,1134400,0.445
2015-06-11,0.415,0.43,0.415,0.425,296000,0.425
2015-06-10,0.43,0.43,0.42,0.425,219800,0.425
2015-06-09,0.42,0.43,0.41,0.43,305200,0.43
2015-06-08,0.43,0.43,0.43,0.43,000,0.43
2015-06-05,0.42,0.43,0.41,0.43,204900,0.43
2015-06-04,0.415,0.43,0.40,0.40,333000,0.40
2015-06-03,0.43,0.43,0.40,0.43,402100,0.43
2015-06-02,0.40,0.425,0.40,0.425,261300,0.425
2015-06-01,0.40,0.42,0.40,0.40,256000,0.40
2015-05-29,0.415,0.42,0.40,0.42,399100,0.42
2015-05-28,0.395,0.415,0.39,0.415,230700,0.415
2015-05-27,0.40,0.405,0.38,0.385,603400,0.385
2015-05-26,0.42,0.425,0.40,0.40,386100,0.40
2015-05-25,0.425,0.43,0.425,0.425,194200,0.425
2015-05-22,0.44,0.445,0.425,0.425,241700,0.425
2015-05-21,0.445,0.45,0.435,0.435,747600,0.435
2015-05-20,0.44,0.445,0.435,0.44,533700,0.44
2015-05-19,0.445,0.45,0.44,0.44,268900,0.44
2015-05-18,0.43,0.455,0.43,0.44,417800,0.44
2015-05-15,0.445,0.445,0.435,0.435,259300,0.435
2015-05-14,0.44,0.455,0.435,0.445,348300,0.445
2015-05-13,0.455,0.465,0.44,0.44,995700,0.44
2015-05-12,0.445,0.465,0.445,0.45,569800,0.45
2015-05-11,0.45,0.47,0.435,0.435,1019600,0.435
2015-05-08,0.425,0.445,0.42,0.445,652500,0.445
2015-05-07,0.415,0.43,0.415,0.425,319100,0.425
2015-05-06,0.43,0.435,0.415,0.42,735700,0.42
2015-05-05,0.415,0.435,0.41,0.43,685600,0.43
2015-05-04,0.435,0.44,0.415,0.415,753600,0.415
2015-05-01,0.445,0.455,0.41,0.43,1423000,0.43
2015-04-30,0.40,0.48,0.40,0.445,3109700,0.445
2015-04-29,0.37,0.40,0.37,0.395,2738800,0.395
2015-04-28,0.345,0.365,0.335,0.365,1379400,0.365
2015-04-27,0.31,0.345,0.31,0.33,1831900,0.33
2015-04-24,0.31,0.31,0.305,0.305,558700,0.305
2015-04-23,0.30,0.31,0.30,0.31,533200,0.31
2015-04-22,0.295,0.305,0.295,0.295,624300,0.295
