date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.485,1.54,1.465,1.53,19370000,1.53
2015-06-29,1.51,1.525,1.47,1.50,18212600,1.50
2015-06-26,1.555,1.57,1.505,1.515,16075800,1.515
2015-06-25,1.615,1.6225,1.552,1.565,18069000,1.565
2015-06-24,1.605,1.62,1.60,1.62,23697600,1.62
2015-06-23,1.57,1.62,1.565,1.595,21229400,1.595
2015-06-22,1.54,1.565,1.52,1.56,12516900,1.56
2015-06-19,1.545,1.57,1.52,1.545,17206200,1.545
2015-06-18,1.53,1.54,1.51,1.53,29828700,1.53
2015-06-17,1.58,1.58,1.52,1.55,23255000,1.55
2015-06-16,1.59,1.5925,1.555,1.565,21085100,1.565
2015-06-15,1.615,1.62,1.58,1.58,12222400,1.58
2015-06-12,1.63,1.64,1.605,1.64,7497400,1.64
2015-06-11,1.62,1.645,1.61,1.645,6139700,1.645
2015-06-10,1.59,1.63,1.57,1.61,7729700,1.61
2015-06-09,1.64,1.645,1.575,1.59,19698200,1.59
2015-06-08,1.645,1.645,1.645,1.645,000,1.645
2015-06-05,1.63,1.655,1.605,1.645,14442300,1.645
2015-06-04,1.69,1.70,1.625,1.63,17310200,1.63
2015-06-03,1.705,1.725,1.69,1.70,11330700,1.70
2015-06-02,1.775,1.795,1.69,1.70,12006700,1.70
2015-06-01,1.76,1.807,1.75,1.785,8898800,1.785
2015-05-29,1.725,1.78,1.712,1.77,23067800,1.77
2015-05-28,1.70,1.71,1.66,1.705,12649000,1.705
2015-05-27,1.70,1.705,1.655,1.70,15929000,1.70
2015-05-26,1.73,1.735,1.70,1.705,5601000,1.705
2015-05-25,1.715,1.74,1.715,1.725,6923700,1.725
2015-05-22,1.745,1.7575,1.72,1.725,5055700,1.725
2015-05-21,1.745,1.745,1.715,1.73,11131900,1.73
2015-05-20,1.72,1.735,1.71,1.73,9512600,1.73
2015-05-19,1.73,1.745,1.71,1.72,9999600,1.72
2015-05-18,1.70,1.7425,1.70,1.725,5990800,1.725
2015-05-15,1.73,1.745,1.70,1.705,6416300,1.705
2015-05-14,1.725,1.74,1.705,1.725,7075600,1.725
2015-05-13,1.71,1.775,1.70,1.745,6824200,1.745
2015-05-12,1.70,1.735,1.69,1.72,8621500,1.72
2015-05-11,1.695,1.745,1.695,1.71,7187900,1.71
2015-05-08,1.72,1.74,1.68,1.685,11741200,1.685
2015-05-07,1.72,1.75,1.705,1.735,18475700,1.735
2015-05-06,1.665,1.77,1.665,1.77,18367400,1.77
2015-05-05,1.70,1.72,1.665,1.70,16731200,1.70
2015-05-04,1.615,1.695,1.615,1.69,14939400,1.69
2015-05-01,1.54,1.63,1.535,1.62,13436800,1.62
2015-04-30,1.59,1.60,1.53,1.545,19982900,1.545
2015-04-29,1.64,1.64,1.60,1.61,10842600,1.61
2015-04-28,1.625,1.645,1.62,1.635,6266700,1.635
2015-04-27,1.62,1.645,1.62,1.635,10200500,1.635
2015-04-24,1.62,1.635,1.59,1.61,8614700,1.61
2015-04-23,1.63,1.65,1.605,1.62,15891000,1.62
2015-04-22,1.60,1.63,1.595,1.62,14388900,1.62
2015-04-21,1.615,1.63,1.605,1.61,9324400,1.61
2015-04-20,1.61,1.625,1.592,1.60,11871900,1.60
2015-04-17,1.64,1.645,1.615,1.63,4668500,1.63
2015-04-16,1.635,1.65,1.622,1.65,7982400,1.65
2015-04-15,1.64,1.655,1.595,1.63,16362000,1.63
2015-04-14,1.645,1.6625,1.62,1.64,14061900,1.64
2015-04-13,1.65,1.66,1.63,1.65,8626600,1.65
2015-04-10,1.67,1.675,1.615,1.64,11111600,1.64
2015-04-09,1.69,1.71,1.65,1.66,13232400,1.66
2015-04-08,1.62,1.64,1.605,1.63,14787400,1.63
2015-04-07,1.59,1.645,1.585,1.625,14677400,1.625
2015-04-06,1.575,1.575,1.575,1.575,000,1.575
2015-04-03,1.575,1.575,1.575,1.575,000,1.575
2015-04-02,1.56,1.59,1.555,1.575,11277100,1.575
2015-04-01,1.605,1.62,1.555,1.575,21967000,1.575
2015-03-31,1.63,1.64,1.595,1.605,25684200,1.605
2015-03-30,1.625,1.635,1.58,1.60,20986700,1.60
2015-03-27,1.665,1.68,1.63,1.64,11571000,1.64
2015-03-26,1.66,1.675,1.645,1.65,17089000,1.65
2015-03-25,1.645,1.705,1.635,1.685,15852400,1.685
2015-03-24,1.68,1.695,1.647,1.65,19224400,1.65
2015-03-23,1.72,1.73,1.685,1.70,9486300,1.70
2015-03-20,1.725,1.735,1.69,1.705,10109200,1.705
2015-03-19,1.695,1.74,1.695,1.72,13605600,1.72
2015-03-18,1.705,1.71,1.67,1.68,11120900,1.68
2015-03-17,1.705,1.71,1.685,1.70,12519400,1.70
2015-03-16,1.705,1.735,1.695,1.70,10333400,1.70
2015-03-13,1.735,1.7725,1.72,1.73,17877900,1.73
2015-03-12,1.75,1.76,1.71,1.735,16490900,1.735
2015-03-11,1.70,1.785,1.69,1.78,17303900,1.78
2015-03-10,1.70,1.73,1.68,1.72,17568400,1.72
2015-03-09,1.745,1.755,1.705,1.705,13990700,1.705
2015-03-06,1.75,1.795,1.745,1.77,15445000,1.77
2015-03-05,1.75,1.765,1.735,1.755,20197400,1.755
2015-03-04,1.82,1.83,1.76,1.78,20260800,1.78
2015-03-03,1.86,1.87,1.81,1.83,10942000,1.83
2015-03-02,1.85,1.895,1.845,1.87,9115100,1.841
2015-02-27,1.82,1.85,1.79,1.84,24894900,1.81147
2015-02-26,1.805,1.875,1.71,1.835,20928500,1.80654
2015-02-25,1.85,1.855,1.835,1.855,11206900,1.82623
2015-02-24,1.845,1.855,1.83,1.84,28144800,1.81147
2015-02-23,1.85,1.865,1.845,1.85,4885100,1.82131
2015-02-20,1.86,1.87,1.84,1.855,10690900,1.82623
2015-02-19,1.95,1.95,1.85,1.86,11379000,1.83116
2015-02-18,1.895,1.945,1.88,1.935,13390100,1.90499
2015-02-17,1.835,1.88,1.835,1.87,13913200,1.841
2015-02-16,1.865,1.885,1.83,1.835,9979100,1.80654
2015-02-13,1.84,1.87,1.825,1.86,11707200,1.83116
2015-02-12,1.80,1.8175,1.785,1.80,31025300,1.77209
2015-02-11,1.88,1.88,1.805,1.82,26220300,1.79178
2015-02-10,1.93,1.93,1.85,1.875,12028600,1.84592
2015-02-09,2.02,2.03,1.975,1.99,8159200,1.95914
2015-02-06,2.05,2.06,2.00,2.02,6821700,1.98867
2015-02-05,2.06,2.09,2.02,2.03,7640100,1.99852
2015-02-04,2.00,2.10,1.99,2.06,19167300,2.02805
2015-02-03,1.96,2.02,1.93,1.98,12287200,1.94929
2015-02-02,1.94,1.96,1.92,1.93,7123700,1.90007
2015-01-30,1.98,1.98,1.94,1.94,15037400,1.90991
2015-01-29,1.89,1.96,1.88,1.95,13906200,1.91976
2015-01-28,1.86,1.92,1.84,1.92,10361300,1.89022
2015-01-27,1.915,1.915,1.865,1.87,10163300,1.841
2015-01-26,1.915,1.915,1.915,1.915,000,1.8853
2015-01-23,1.915,1.93,1.90,1.915,9671300,1.8853
2015-01-22,1.87,1.915,1.835,1.90,19105300,1.87053
2015-01-21,1.83,1.875,1.80,1.875,20744800,1.84592
2015-01-20,1.79,1.845,1.772,1.835,8876200,1.80654
2015-01-19,1.805,1.8375,1.795,1.80,13258100,1.77209
2015-01-16,1.82,1.825,1.745,1.75,17697600,1.72286
2015-01-15,1.91,1.935,1.785,1.825,32563800,1.7967
2015-01-14,1.955,2.01,1.925,1.96,28299000,1.9296
2015-01-13,1.95,1.995,1.905,1.965,20643400,1.93453
2015-01-12,1.875,1.91,1.872,1.885,5843800,1.85577
2015-01-09,1.90,1.91,1.87,1.88,11707300,1.85084
2015-01-08,1.805,1.88,1.792,1.875,9830600,1.84592
2015-01-07,1.775,1.82,1.775,1.805,9661500,1.77701
2015-01-06,1.795,1.805,1.765,1.80,11940500,1.77209
2015-01-05,1.805,1.83,1.785,1.825,5855600,1.7967
2015-01-02,1.815,1.815,1.775,1.81,4204200,1.78193
2015-01-01,1.795,1.795,1.795,1.795,000,1.76716
2014-12-31,1.80,1.80,1.775,1.795,6362600,1.76716
2014-12-30,1.82,1.825,1.78,1.785,7790200,1.75732
2014-12-29,1.795,1.835,1.79,1.825,8300600,1.7967
2014-12-26,1.795,1.795,1.795,1.795,000,1.76716
2014-12-25,1.795,1.795,1.795,1.795,000,1.76716
2014-12-24,1.82,1.825,1.782,1.795,5053900,1.76716
2014-12-23,1.83,1.845,1.815,1.83,7740000,1.80162
2014-12-22,1.815,1.845,1.81,1.845,18298700,1.81639
2014-12-19,1.73,1.83,1.715,1.82,45349400,1.79178
2014-12-18,1.65,1.685,1.647,1.675,16016000,1.64902
2014-12-17,1.64,1.685,1.625,1.65,16051000,1.62441
2014-12-16,1.64,1.6475,1.625,1.635,18477700,1.60964
2014-12-15,1.64,1.645,1.60,1.625,11472100,1.5998
2014-12-12,1.65,1.665,1.63,1.64,7352700,1.61457
2014-12-11,1.67,1.68,1.63,1.655,11024400,1.62933
2014-12-10,1.73,1.755,1.70,1.70,14927000,1.67364
2014-12-09,1.73,1.7525,1.71,1.725,13593500,1.69825
2014-12-08,1.73,1.76,1.72,1.76,10052600,1.73271
2014-12-05,1.75,1.76,1.70,1.73,30275200,1.70317
2014-12-04,1.74,1.755,1.725,1.74,7929900,1.71302
2014-12-03,1.69,1.725,1.675,1.72,13930300,1.69333
2014-12-02,1.61,1.685,1.61,1.68,7869100,1.65395
2014-12-01,1.665,1.6725,1.592,1.60,14487300,1.57519
2014-11-28,1.695,1.715,1.667,1.67,13966400,1.6441
2014-11-27,1.69,1.735,1.685,1.705,10770600,1.67856
2014-11-26,1.665,1.70,1.66,1.70,5566300,1.67364
2014-11-25,1.70,1.715,1.65,1.68,12364900,1.65395
2014-11-24,1.735,1.745,1.71,1.72,9945600,1.69333
2014-11-21,1.65,1.725,1.65,1.72,10970700,1.69333
2014-11-20,1.70,1.71,1.65,1.65,9069900,1.62441
2014-11-19,1.73,1.735,1.70,1.70,7333700,1.67364
2014-11-18,1.73,1.74,1.71,1.725,4514700,1.69825
2014-11-17,1.725,1.74,1.70,1.72,5152900,1.69333
2014-11-14,1.715,1.7375,1.71,1.725,9507300,1.69825
2014-11-13,1.715,1.73,1.70,1.70,15147400,1.67364
2014-11-12,1.75,1.76,1.71,1.735,12595300,1.70809
2014-11-11,1.745,1.795,1.745,1.775,11721900,1.74747
2014-11-10,1.77,1.775,1.705,1.765,14174200,1.73763
2014-11-07,1.73,1.77,1.73,1.77,19261200,1.74255
