date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.21,1.235,1.185,1.21,5054300,1.21
2015-06-29,1.28,1.285,1.24,1.245,3936900,1.245
2015-06-26,1.32,1.335,1.29,1.30,2565600,1.30
2015-06-25,1.315,1.33,1.315,1.32,2733800,1.32
2015-06-24,1.36,1.365,1.315,1.335,2061000,1.335
2015-06-23,1.34,1.37,1.335,1.355,1279000,1.355
2015-06-22,1.35,1.352,1.325,1.33,1075000,1.33
2015-06-19,1.305,1.355,1.305,1.355,2189200,1.355
2015-06-18,1.31,1.33,1.30,1.30,2704000,1.30
2015-06-17,1.31,1.335,1.28,1.33,1685700,1.33
2015-06-16,1.31,1.35,1.28,1.30,3561000,1.30
2015-06-15,1.37,1.38,1.305,1.305,2105500,1.305
2015-06-12,1.37,1.395,1.355,1.365,1237500,1.365
2015-06-11,1.36,1.40,1.36,1.38,2080000,1.38
2015-06-10,1.40,1.40,1.355,1.355,1195000,1.355
2015-06-09,1.36,1.39,1.36,1.375,2773500,1.375
2015-06-08,1.385,1.385,1.385,1.385,000,1.385
2015-06-05,1.38,1.415,1.36,1.385,3788300,1.385
2015-06-04,1.41,1.415,1.37,1.385,1995100,1.385
2015-06-03,1.37,1.42,1.36,1.405,3013000,1.405
2015-06-02,1.41,1.415,1.35,1.365,2992100,1.365
2015-06-01,1.405,1.445,1.395,1.445,1277400,1.445
2015-05-29,1.395,1.43,1.38,1.43,2395200,1.43
2015-05-28,1.405,1.415,1.375,1.39,1665100,1.39
2015-05-27,1.425,1.425,1.385,1.39,1300100,1.39
2015-05-26,1.41,1.455,1.41,1.455,787800,1.455
2015-05-25,1.405,1.435,1.405,1.42,2835800,1.42
2015-05-22,1.39,1.425,1.38,1.41,2583200,1.41
2015-05-21,1.345,1.38,1.332,1.375,2312200,1.375
2015-05-20,1.35,1.355,1.29,1.35,2752400,1.35
2015-05-19,1.41,1.43,1.35,1.365,2423500,1.365
2015-05-18,1.415,1.445,1.41,1.415,1196100,1.415
2015-05-15,1.45,1.47,1.41,1.44,2233000,1.44
2015-05-14,1.45,1.47,1.42,1.47,2216800,1.47
2015-05-13,1.43,1.47,1.43,1.46,2440400,1.46
2015-05-12,1.44,1.45,1.412,1.42,1920200,1.42
2015-05-11,1.46,1.48,1.44,1.445,1127600,1.445
2015-05-08,1.49,1.505,1.435,1.455,1589600,1.455
2015-05-07,1.51,1.525,1.47,1.49,4680400,1.49
2015-05-06,1.48,1.595,1.48,1.57,5473400,1.57
2015-05-05,1.50,1.525,1.457,1.465,2515600,1.465
2015-05-04,1.46,1.4925,1.46,1.485,2750800,1.485
2015-05-01,1.44,1.495,1.43,1.46,4287100,1.46
2015-04-30,1.36,1.48,1.36,1.435,5408200,1.435
2015-04-29,1.38,1.395,1.33,1.39,2410100,1.39
2015-04-28,1.39,1.402,1.34,1.35,3036500,1.35
2015-04-27,1.41,1.41,1.385,1.395,1572500,1.395
2015-04-24,1.38,1.41,1.38,1.40,2631400,1.40
2015-04-23,1.34,1.36,1.322,1.355,1739200,1.355
2015-04-22,1.39,1.39,1.31,1.34,3176400,1.34
2015-04-21,1.385,1.405,1.375,1.395,2638500,1.395
2015-04-20,1.39,1.39,1.37,1.38,1235200,1.38
2015-04-17,1.395,1.41,1.367,1.39,3708800,1.39
2015-04-16,1.305,1.435,1.305,1.40,7891400,1.40
2015-04-15,1.235,1.27,1.23,1.26,5705300,1.26
2015-04-14,1.235,1.25,1.22,1.23,2359300,1.23
2015-04-13,1.25,1.255,1.235,1.24,1373100,1.24
2015-04-10,1.23,1.25,1.23,1.245,2102100,1.245
2015-04-09,1.22,1.24,1.215,1.225,3415400,1.225
2015-04-08,1.21,1.235,1.21,1.23,2239800,1.23
2015-04-07,1.19,1.22,1.19,1.19,2235400,1.19
2015-04-06,1.17,1.17,1.17,1.17,000,1.17
2015-04-03,1.17,1.17,1.17,1.17,000,1.17
