date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,5.05,5.14,5.05,5.13,7513400,5.13
2015-06-29,5.05,5.11,5.01,5.10,6072400,5.10
2015-06-26,5.28,5.28,5.10,5.10,9745500,5.10
2015-06-25,5.36,5.36,5.285,5.30,4531000,5.30
2015-06-24,5.38,5.39,5.34,5.35,10077000,5.35
2015-06-23,5.29,5.38,5.29,5.36,6981900,5.36
2015-06-22,5.27,5.28,5.20,5.24,13071500,5.24
2015-06-19,5.23,5.27,5.22,5.23,7066200,5.23
2015-06-18,5.20,5.23,5.15,5.17,8121800,5.17
2015-06-17,5.27,5.31,5.22,5.25,4506700,5.25
2015-06-16,5.32,5.37,5.24,5.27,8805400,5.27
2015-06-15,5.26,5.33,5.23,5.32,5305100,5.32
2015-06-12,5.31,5.31,5.25,5.27,2988500,5.27
2015-06-11,5.33,5.34,5.26,5.31,3845700,5.31
2015-06-10,5.25,5.30,5.17,5.27,5088700,5.27
2015-06-09,5.23,5.265,5.16,5.21,4335500,5.21
2015-06-08,5.19,5.19,5.19,5.19,000,5.19
2015-06-05,5.20,5.23,5.14,5.19,9579200,5.19
2015-06-04,5.25,5.27,5.15,5.18,6779300,5.18
2015-06-03,5.16,5.20,5.07,5.18,4978700,5.18
2015-06-02,5.26,5.32,5.19,5.20,4126300,5.20
2015-06-01,5.32,5.32,5.20,5.26,3103200,5.26
2015-05-29,5.28,5.36,5.25,5.34,7568600,5.34
2015-05-28,5.30,5.30,5.24,5.25,3085500,5.25
2015-05-27,5.26,5.33,5.26,5.30,5964300,5.30
2015-05-26,5.30,5.34,5.27,5.31,4669800,5.31
2015-05-25,5.29,5.37,5.24,5.35,3157900,5.35
2015-05-22,5.22,5.30,5.18,5.29,3955200,5.29
2015-05-21,5.23,5.24,5.18,5.19,4988000,5.19
2015-05-20,5.20,5.20,5.125,5.16,3795300,5.16
2015-05-19,5.19,5.20,5.13,5.16,8376500,5.16
2015-05-18,5.15,5.20,5.15,5.17,3416100,5.17
2015-05-15,5.12,5.19,5.10,5.18,6048200,5.18
2015-05-14,5.01,5.06,4.985,5.06,5016500,5.06
2015-05-13,4.93,5.08,4.93,5.07,6824200,5.07
2015-05-12,4.86,4.94,4.85,4.90,4665100,4.90
2015-05-11,4.90,4.97,4.88,4.88,2914900,4.88
2015-05-08,4.94,4.95,4.86,4.86,4513800,4.86
2015-05-07,4.81,4.92,4.80,4.87,8108800,4.87
2015-05-06,4.89,4.93,4.86,4.90,5411100,4.90
2015-05-05,4.95,5.04,4.92,5.00,11674700,5.00
2015-05-04,4.92,4.94,4.885,4.91,7317400,4.91
2015-05-01,4.83,4.905,4.80,4.90,6049200,4.90
2015-04-30,4.87,4.87,4.795,4.85,8040100,4.85
2015-04-29,4.89,4.95,4.86,4.87,12712300,4.87
2015-04-28,4.96,4.98,4.86,4.88,20688600,4.88
2015-04-27,5.00,5.04,4.955,5.00,7124400,5.00
2015-04-24,4.97,5.005,4.94,5.00,11315700,5.00
2015-04-23,4.84,4.96,4.79,4.93,13094300,4.93
2015-04-22,4.66,4.85,4.62,4.82,19339000,4.82
2015-04-21,4.65,4.68,4.61,4.64,5700500,4.64
2015-04-20,4.67,4.69,4.58,4.60,7591200,4.60
2015-04-17,4.72,4.72,4.66,4.67,7502400,4.67
2015-04-16,4.75,4.78,4.715,4.74,3948400,4.74
2015-04-15,4.81,4.83,4.72,4.74,4998300,4.74
2015-04-14,4.77,4.83,4.74,4.81,6885000,4.81
2015-04-13,4.86,4.87,4.75,4.79,4414800,4.79
2015-04-10,4.92,4.92,4.87,4.89,4096100,4.89
2015-04-09,4.92,4.95,4.865,4.88,3279800,4.88
2015-04-08,4.95,4.99,4.91,4.95,6035600,4.95
2015-04-07,4.90,4.98,4.88,4.95,7412900,4.95
2015-04-06,4.87,4.87,4.87,4.87,000,4.87
2015-04-03,4.87,4.87,4.87,4.87,000,4.87
2015-04-02,5.00,5.00,4.81,4.87,10007100,4.87
2015-04-01,4.87,4.89,4.80,4.81,3343100,4.81
2015-03-31,4.90,4.95,4.84,4.85,8417800,4.85
2015-03-30,4.86,4.89,4.825,4.88,3444200,4.88
2015-03-27,4.86,4.92,4.86,4.91,9362800,4.91
2015-03-26,4.90,4.93,4.86,4.89,3748600,4.89
2015-03-25,5.00,5.01,4.935,4.96,4563000,4.96
2015-03-24,5.04,5.05,4.99,5.01,3468400,5.01
2015-03-23,5.00,5.06,4.98,5.04,4821100,5.04
2015-03-20,5.00,5.01,4.97,5.00,5493100,5.00
2015-03-19,4.98,5.01,4.98,4.99,8931800,4.99
2015-03-18,4.92,4.95,4.87,4.95,9658900,4.95
2015-03-17,4.92,4.93,4.88,4.92,8279800,4.92
2015-03-16,4.85,4.89,4.83,4.87,7223300,4.87
2015-03-13,4.90,4.91,4.84,4.89,9568800,4.89
2015-03-12,4.79,4.88,4.775,4.88,10800400,4.88
2015-03-11,4.75,4.825,4.74,4.79,8815500,4.79
2015-03-10,4.79,4.80,4.76,4.79,12929400,4.79
2015-03-09,4.78,4.83,4.74,4.77,4580200,4.77
2015-03-06,4.80,4.84,4.78,4.81,9058000,4.81
2015-03-05,4.80,4.82,4.77,4.81,17647100,4.81
2015-03-04,4.74,4.80,4.70,4.77,18723700,4.77
2015-03-03,4.73,4.74,4.67,4.71,4591700,4.71
2015-03-02,4.70,4.78,4.63,4.69,5854000,4.69
2015-02-27,4.81,4.82,4.73,4.73,10783300,4.73
2015-02-26,4.92,4.95,4.86,4.89,81969000,4.789
2015-02-25,5.00,5.04,4.95,4.99,5945400,4.887
2015-02-24,5.00,5.00,4.93,4.95,3976400,4.848
2015-02-23,4.97,4.98,4.88,4.96,8948000,4.858
2015-02-20,5.00,5.02,4.91,4.92,10816100,4.818
2015-02-19,5.09,5.10,4.96,5.00,5870100,4.897
2015-02-18,4.90,5.05,4.90,5.03,6994200,4.926
2015-02-17,4.85,4.94,4.77,4.94,5216500,4.838
2015-02-16,5.15,5.15,4.83,4.88,9894600,4.779
2015-02-13,4.95,5.05,4.93,5.00,6215900,4.897
2015-02-12,4.98,4.99,4.87,4.88,9050400,4.779
2015-02-11,5.04,5.06,4.92,4.94,5011600,4.838
2015-02-10,5.05,5.05,4.95,4.98,3298200,4.877
2015-02-09,5.02,5.02,4.97,5.01,2522600,4.907
2015-02-06,5.05,5.05,4.98,5.02,3202400,4.916
2015-02-05,5.00,5.01,4.96,4.99,5469800,4.887
2015-02-04,5.05,5.05,4.965,4.99,3985300,4.887
