date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.55,0.58,0.55,0.575,574000,0.575
2015-06-29,0.58,0.58,0.555,0.56,705100,0.56
2015-06-26,0.575,0.59,0.565,0.57,691700,0.57
2015-06-25,0.56,0.61,0.56,0.565,2762900,0.565
2015-06-24,0.555,0.575,0.555,0.575,415400,0.575
2015-06-23,0.555,0.565,0.555,0.555,496500,0.555
2015-06-22,0.56,0.565,0.555,0.555,291000,0.555
2015-06-19,0.555,0.58,0.55,0.56,1642000,0.56
2015-06-18,0.56,0.56,0.545,0.55,958300,0.55
2015-06-17,0.55,0.56,0.55,0.555,921900,0.555
2015-06-16,0.57,0.575,0.555,0.555,823800,0.555
2015-06-15,0.57,0.58,0.565,0.565,301700,0.565
2015-06-12,0.565,0.58,0.56,0.57,694300,0.57
2015-06-11,0.56,0.58,0.545,0.565,2046200,0.565
2015-06-10,0.56,0.57,0.555,0.555,370400,0.555
2015-06-09,0.57,0.58,0.56,0.56,1053300,0.56
2015-06-08,0.57,0.57,0.57,0.57,000,0.57
2015-06-05,0.575,0.585,0.565,0.57,589800,0.57
2015-06-04,0.575,0.582,0.575,0.575,540600,0.575
2015-06-03,0.585,0.59,0.565,0.57,795500,0.57
2015-06-02,0.595,0.60,0.59,0.60,1002900,0.60
2015-06-01,0.60,0.615,0.58,0.585,738900,0.585
2015-05-29,0.615,0.62,0.59,0.60,1187600,0.60
2015-05-28,0.61,0.62,0.59,0.61,1490800,0.61
2015-05-27,0.615,0.62,0.58,0.595,2353400,0.595
2015-05-26,0.63,0.63,0.61,0.615,788100,0.615
2015-05-25,0.65,0.65,0.62,0.62,750500,0.62
2015-05-22,0.65,0.66,0.635,0.64,1747000,0.64
2015-05-21,0.67,0.67,0.635,0.645,1073300,0.645
2015-05-20,0.675,0.675,0.657,0.67,846700,0.67
2015-05-19,0.695,0.70,0.655,0.665,1247600,0.665
2015-05-18,0.70,0.705,0.66,0.66,694500,0.66
2015-05-15,0.68,0.712,0.68,0.705,1233800,0.705
2015-05-14,0.675,0.70,0.675,0.675,1100400,0.675
2015-05-13,0.67,0.705,0.67,0.685,1438100,0.685
2015-05-12,0.70,0.70,0.665,0.68,1619800,0.68
2015-05-11,0.69,0.70,0.685,0.70,1252500,0.70
2015-05-08,0.70,0.70,0.69,0.69,419400,0.69
2015-05-07,0.71,0.725,0.69,0.705,2669200,0.705
2015-05-06,0.675,0.722,0.665,0.715,4233400,0.715
2015-05-05,0.665,0.7075,0.665,0.705,4154500,0.705
2015-05-04,0.65,0.67,0.64,0.67,1413900,0.67
2015-05-01,0.64,0.647,0.62,0.64,786100,0.64
2015-04-30,0.595,0.6425,0.595,0.62,1590900,0.62
2015-04-29,0.605,0.605,0.60,0.605,371600,0.605
2015-04-28,0.59,0.605,0.59,0.605,393700,0.605
2015-04-27,0.59,0.60,0.585,0.59,1356100,0.59
2015-04-24,0.595,0.605,0.59,0.605,318800,0.605
2015-04-23,0.60,0.60,0.595,0.60,368000,0.60
2015-04-22,0.585,0.6025,0.585,0.60,652100,0.60
2015-04-21,0.58,0.59,0.58,0.585,790100,0.585
2015-04-20,0.55,0.585,0.55,0.585,1531300,0.585
2015-04-17,0.55,0.55,0.54,0.545,150100,0.545
2015-04-16,0.545,0.55,0.54,0.55,471000,0.55
2015-04-15,0.55,0.555,0.54,0.545,409300,0.545
2015-04-14,0.545,0.56,0.535,0.56,646700,0.56
2015-04-13,0.545,0.555,0.535,0.55,699800,0.55
2015-04-10,0.565,0.57,0.54,0.545,930000,0.545
2015-04-09,0.585,0.585,0.56,0.565,729700,0.565
2015-04-08,0.565,0.585,0.565,0.585,555500,0.585
2015-04-07,0.59,0.59,0.575,0.58,1098500,0.58
2015-04-06,0.595,0.595,0.595,0.595,000,0.595
2015-04-03,0.595,0.595,0.595,0.595,000,0.595
2015-04-02,0.59,0.595,0.58,0.595,1074000,0.595
2015-04-01,0.58,0.59,0.58,0.59,1490500,0.59
2015-03-31,0.60,0.60,0.58,0.58,1603400,0.58
2015-03-30,0.59,0.605,0.585,0.59,1594000,0.59
2015-03-27,0.60,0.61,0.595,0.61,2566300,0.61
2015-03-26,0.59,0.605,0.59,0.60,2387100,0.60
2015-03-25,0.605,0.605,0.595,0.605,1793100,0.605
2015-03-24,0.60,0.61,0.595,0.61,1319300,0.61
2015-03-23,0.60,0.605,0.595,0.605,808700,0.605
2015-03-20,0.60,0.615,0.595,0.60,1804500,0.60
2015-03-19,0.62,0.62,0.60,0.60,639600,0.60
2015-03-18,0.595,0.615,0.59,0.61,1806000,0.61
2015-03-17,0.60,0.60,0.585,0.59,942400,0.59
2015-03-16,0.575,0.595,0.572,0.59,10653600,0.59
2015-03-13,0.57,0.575,0.555,0.575,861700,0.575
2015-03-12,0.575,0.58,0.562,0.57,1486400,0.57
2015-03-11,0.585,0.585,0.575,0.585,839200,0.585
2015-03-10,0.56,0.595,0.56,0.595,5801800,0.595
2015-03-09,0.555,0.562,0.545,0.56,982300,0.56
2015-03-06,0.56,0.567,0.55,0.56,6512100,0.56
2015-03-05,0.56,0.565,0.54,0.55,2416000,0.55
2015-03-04,0.55,0.565,0.525,0.545,1251900,0.545
2015-03-03,0.59,0.59,0.51,0.56,1592700,0.56
2015-03-02,0.60,0.605,0.58,0.585,1960300,0.585
2015-02-27,0.615,0.62,0.605,0.61,1874000,0.61
2015-02-26,0.67,0.69,0.61,0.615,6379800,0.615
2015-02-25,0.64,0.645,0.615,0.64,765300,0.64
2015-02-24,0.635,0.64,0.62,0.64,2460000,0.64
2015-02-23,0.63,0.635,0.62,0.635,305800,0.635
2015-02-20,0.632,0.64,0.62,0.625,977000,0.625
2015-02-19,0.63,0.64,0.62,0.635,716900,0.635
2015-02-18,0.64,0.64,0.625,0.635,644100,0.635
2015-02-17,0.63,0.65,0.622,0.645,2217500,0.645
2015-02-16,0.605,0.63,0.60,0.625,1255000,0.625
2015-02-13,0.605,0.62,0.605,0.605,906100,0.605
2015-02-12,0.605,0.61,0.597,0.61,477200,0.61
2015-02-11,0.605,0.61,0.595,0.61,1092400,0.61
2015-02-10,0.62,0.62,0.585,0.595,1069200,0.595
2015-02-09,0.63,0.635,0.62,0.625,576900,0.625
2015-02-06,0.61,0.625,0.61,0.625,362200,0.625
2015-02-05,0.62,0.62,0.605,0.61,396800,0.61
2015-02-04,0.605,0.63,0.605,0.61,716900,0.61
2015-02-03,0.625,0.63,0.605,0.605,818400,0.605
2015-02-02,0.64,0.64,0.615,0.625,1616000,0.625
