date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,12.07,12.30,12.02,12.26,1852500,12.26
2015-06-29,12.22,12.29,12.06,12.21,1271000,12.21
2015-06-26,12.53,12.58,12.36,12.50,1284300,12.50
2015-06-25,12.66,12.69,12.59,12.61,1021100,12.61
2015-06-24,12.70,12.80,12.68,12.77,978800,12.77
2015-06-23,12.50,12.73,12.47,12.71,1730300,12.71
2015-06-22,12.35,12.49,12.31,12.44,791900,12.44
2015-06-19,12.40,12.47,12.32,12.44,1815200,12.44
2015-06-18,12.32,12.38,12.17,12.34,2256900,12.34
2015-06-17,12.20,12.39,12.16,12.36,1713400,12.36
2015-06-16,11.90,12.17,11.90,12.13,1262000,12.13
2015-06-15,11.86,11.95,11.80,11.93,1145100,11.93
2015-06-12,12.05,12.05,11.86,11.95,1292400,11.95
2015-06-11,12.06,12.09,11.92,12.08,1286100,12.08
2015-06-10,11.83,11.865,11.66,11.85,1517200,11.85
2015-06-09,11.65,11.81,11.64,11.75,1537900,11.75
2015-06-08,11.63,11.63,11.63,11.63,000,11.63
2015-06-05,11.79,11.79,11.53,11.63,1984800,11.63
2015-06-04,12.01,12.03,11.76,11.81,1391700,11.81
2015-06-03,12.07,12.09,11.91,11.96,1528900,11.96
2015-06-02,12.30,12.33,12.05,12.07,1050500,12.07
2015-06-01,12.25,12.28,12.05,12.26,1247200,12.26
2015-05-29,12.22,12.40,12.20,12.29,1677100,12.29
2015-05-28,12.32,12.33,12.055,12.18,968300,12.18
2015-05-27,12.27,12.31,12.18,12.28,851300,12.28
2015-05-26,12.21,12.36,12.21,12.30,939100,12.30
2015-05-25,12.13,12.31,12.12,12.22,922700,12.22
2015-05-22,12.15,12.19,12.04,12.16,834300,12.16
2015-05-21,12.04,12.10,12.00,12.09,1527100,12.09
2015-05-20,12.16,12.18,12.00,12.04,1265700,12.04
2015-05-19,12.29,12.40,12.07,12.09,1448700,12.09
2015-05-18,12.45,12.45,12.27,12.29,871500,12.29
2015-05-15,12.41,12.49,12.39,12.45,1210600,12.45
2015-05-14,12.30,12.33,12.22,12.33,889500,12.33
2015-05-13,12.39,12.39,12.19,12.29,1722700,12.29
2015-05-12,12.20,12.37,12.04,12.26,1948000,12.26
2015-05-11,12.29,12.33,11.98,12.12,1500700,12.12
2015-05-08,12.10,12.28,12.07,12.16,896300,12.16
2015-05-07,12.16,12.425,11.98,12.07,1452400,12.07
2015-05-06,12.34,12.35,12.13,12.18,1306300,12.18
2015-05-05,12.57,12.75,12.345,12.43,1918400,12.43
2015-05-04,12.44,12.58,12.42,12.51,1707500,12.51
2015-05-01,12.10,12.43,12.07,12.38,2032800,12.38
2015-04-30,11.90,12.09,11.80,12.09,2246000,12.09
2015-04-29,12.06,12.08,11.82,11.90,1501400,11.90
2015-04-28,12.11,12.11,12.03,12.05,1110400,12.05
2015-04-27,12.10,12.17,12.02,12.12,1023800,12.12
2015-04-24,12.02,12.21,12.02,12.10,1280500,12.10
2015-04-23,12.20,12.21,11.975,12.00,1676500,12.00
