date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.26,4.35,4.26,4.33,342700,4.33
2015-06-29,4.35,4.39,4.29,4.29,319200,4.29
2015-06-26,4.45,4.48,4.37,4.40,334100,4.40
2015-06-25,4.49,4.51,4.42,4.45,601700,4.45
2015-06-24,4.54,4.54,4.46,4.51,169400,4.51
2015-06-23,4.56,4.61,4.49,4.54,306200,4.54
2015-06-22,4.48,4.53,4.48,4.51,162200,4.51
2015-06-19,4.45,4.54,4.45,4.50,400900,4.50
2015-06-18,4.40,4.44,4.38,4.42,537400,4.42
2015-06-17,4.44,4.46,4.38,4.43,187200,4.43
2015-06-16,4.42,4.45,4.35,4.41,147900,4.41
2015-06-15,4.47,4.49,4.40,4.45,172900,4.45
2015-06-12,4.51,4.53,4.47,4.47,109200,4.47
2015-06-11,4.53,4.54,4.49,4.50,155700,4.50
2015-06-10,4.50,4.51,4.45,4.50,1244400,4.50
2015-06-09,4.51,4.51,4.41,4.48,440500,4.48
2015-06-08,4.50,4.50,4.50,4.50,000,4.50
2015-06-05,4.50,4.52,4.47,4.50,328600,4.50
2015-06-04,4.52,4.52,4.47,4.49,409300,4.49
2015-06-03,4.53,4.56,4.44,4.50,413500,4.50
2015-06-02,4.63,4.68,4.50,4.57,325300,4.57
2015-06-01,4.64,4.68,4.59,4.63,215300,4.63
2015-05-29,4.62,4.70,4.62,4.64,265300,4.64
2015-05-28,4.64,4.66,4.59,4.60,125500,4.60
2015-05-27,4.61,4.63,4.59,4.62,172100,4.62
2015-05-26,4.63,4.695,4.62,4.66,125900,4.66
2015-05-25,4.70,4.72,4.61,4.64,253600,4.64
2015-05-22,4.69,4.73,4.65,4.68,117500,4.68
2015-05-21,4.72,4.725,4.64,4.66,275100,4.66
2015-05-20,4.71,4.75,4.65,4.72,296400,4.72
2015-05-19,4.60,4.84,4.55,4.67,1639600,4.67
2015-05-18,5.04,5.05,4.87,4.87,111800,4.87
2015-05-15,4.98,5.04,4.97,5.04,132900,5.04
2015-05-14,4.89,4.97,4.87,4.97,82400,4.97
2015-05-13,4.87,4.99,4.87,4.99,70100,4.99
2015-05-12,4.87,4.98,4.87,4.96,48200,4.96
2015-05-11,5.00,5.00,4.87,4.89,87100,4.89
2015-05-08,4.80,4.89,4.80,4.88,102200,4.88
2015-05-07,4.90,4.93,4.79,4.84,175500,4.84
2015-05-06,4.99,4.99,4.90,4.92,144500,4.92
2015-05-05,4.99,5.07,4.99,5.02,244500,5.02
2015-05-04,4.97,5.00,4.91,4.99,86600,4.99
2015-05-01,4.84,4.95,4.84,4.90,125700,4.90
2015-04-30,4.93,4.93,4.83,4.83,218100,4.83
2015-04-29,5.03,5.04,4.94,4.95,82600,4.95
2015-04-28,5.03,5.04,5.00,5.01,81800,5.01
2015-04-27,4.97,5.05,4.95,5.05,192500,5.05
2015-04-24,4.90,4.99,4.87,4.99,100000,4.99
2015-04-23,4.86,4.89,4.83,4.88,42300,4.88
2015-04-22,4.84,4.94,4.84,4.86,103000,4.86
2015-04-21,4.87,4.89,4.83,4.85,107500,4.85
2015-04-20,4.80,4.89,4.79,4.83,80000,4.83
2015-04-17,4.83,4.88,4.80,4.82,319400,4.82
2015-04-16,4.89,4.97,4.84,4.88,128000,4.88
2015-04-15,4.93,4.94,4.84,4.89,114900,4.89
2015-04-14,4.96,4.98,4.86,4.93,107700,4.93
2015-04-13,5.06,5.09,4.93,4.99,59700,4.99
2015-04-10,5.09,5.09,5.04,5.05,57100,5.05
2015-04-09,5.00,5.08,4.98,5.05,191600,5.05
2015-04-08,4.90,5.02,4.90,5.00,91800,5.00
2015-04-07,4.91,5.07,4.89,4.90,167700,4.90
2015-04-06,4.88,4.88,4.88,4.88,000,4.88
2015-04-03,4.88,4.88,4.88,4.88,000,4.88
2015-04-02,4.80,4.89,4.78,4.88,141600,4.88
2015-04-01,4.78,4.81,4.76,4.78,155400,4.78
2015-03-31,4.77,4.80,4.76,4.80,215800,4.80
2015-03-30,4.82,4.87,4.77,4.78,149900,4.78
2015-03-27,4.85,4.89,4.84,4.87,141000,4.87
2015-03-26,4.85,4.90,4.85,4.86,259100,4.86
2015-03-25,4.91,4.91,4.84,4.85,126100,4.85
2015-03-24,4.81,4.91,4.81,4.86,87500,4.86
2015-03-23,4.86,4.88,4.79,4.83,142100,4.83
2015-03-20,4.86,4.92,4.86,4.90,199000,4.90
2015-03-19,4.75,4.86,4.75,4.84,413500,4.84
2015-03-18,4.75,4.75,4.70,4.75,165900,4.75
2015-03-17,4.76,4.79,4.72,4.73,133100,4.73
2015-03-16,4.73,4.79,4.71,4.73,173900,4.73
2015-03-13,4.72,4.75,4.69,4.73,149600,4.73
2015-03-12,4.71,4.80,4.70,4.71,144900,4.71
2015-03-11,4.62,4.79,4.61,4.69,314000,4.69
2015-03-10,4.66,4.73,4.64,4.65,299400,4.65
2015-03-09,4.76,4.85,4.64,4.67,460900,4.67
2015-03-06,4.85,4.86,4.76,4.77,222700,4.77
2015-03-05,4.82,4.86,4.80,4.85,134000,4.85
2015-03-04,4.85,4.89,4.81,4.83,152400,4.83
2015-03-03,4.93,4.96,4.81,4.85,270000,4.85
2015-03-02,4.83,4.98,4.80,4.91,325400,4.91
2015-02-27,4.81,4.81,4.715,4.80,738000,4.80
2015-02-26,4.87,4.87,4.74,4.79,227900,4.79
2015-02-25,4.89,4.90,4.87,4.89,284700,4.833
2015-02-24,4.87,4.98,4.86,4.88,222600,4.823
2015-02-23,4.98,4.98,4.87,4.89,417800,4.833
2015-02-20,5.06,5.07,4.83,4.93,356800,4.872
2015-02-19,5.07,5.17,5.01,5.04,326000,4.981
2015-02-18,5.24,5.25,4.88,5.05,368100,4.991
2015-02-17,5.22,5.25,5.21,5.23,111700,5.169
2015-02-16,5.17,5.24,5.10,5.23,94800,5.169
2015-02-13,5.25,5.32,5.15,5.15,308800,5.09
2015-02-12,5.13,5.25,5.13,5.25,272300,5.189
2015-02-11,5.13,5.14,5.06,5.11,120500,5.05
2015-02-10,5.11,5.15,5.09,5.11,80000,5.05
2015-02-09,5.07,5.13,5.07,5.11,143300,5.05
2015-02-06,5.14,5.16,5.08,5.08,75100,5.021
2015-02-05,5.06,5.15,5.06,5.13,132400,5.07
2015-02-04,5.10,5.10,5.03,5.07,127200,5.011
2015-02-03,5.11,5.11,5.02,5.09,169000,5.031
2015-02-02,5.06,5.14,5.03,5.09,139500,5.031
2015-01-30,5.14,5.14,5.04,5.11,177200,5.05
2015-01-29,5.06,5.14,5.03,5.13,140500,5.07
2015-01-28,5.05,5.12,5.05,5.10,195600,5.04
2015-01-27,5.03,5.10,5.02,5.07,183000,5.011
2015-01-26,5.02,5.02,5.02,5.02,000,4.961
2015-01-23,4.98,5.05,4.98,5.02,78800,4.961
2015-01-22,4.98,5.02,4.95,4.98,77500,4.922
2015-01-21,4.87,4.97,4.87,4.97,69900,4.912
2015-01-20,4.88,4.88,4.82,4.87,88100,4.813
2015-01-19,4.91,4.91,4.86,4.90,134700,4.843
2015-01-16,4.94,4.95,4.81,4.87,211500,4.813
2015-01-15,5.00,5.03,4.94,4.98,210700,4.922
2015-01-14,5.09,5.09,5.00,5.00,155300,4.942
2015-01-13,5.12,5.15,5.05,5.09,171400,5.031
2015-01-12,5.15,5.21,5.11,5.16,121400,5.10
2015-01-09,5.10,5.20,5.08,5.18,162700,5.119
2015-01-08,5.00,5.11,4.97,5.07,144600,5.011
2015-01-07,5.06,5.06,4.96,5.00,105800,4.942
2015-01-06,5.12,5.16,5.02,5.07,121800,5.011
2015-01-05,5.15,5.25,5.01,5.19,139900,5.129
2015-01-02,5.22,5.22,5.06,5.17,86600,5.11
2015-01-01,5.15,5.15,5.15,5.15,000,5.09
2014-12-31,5.16,5.21,5.15,5.15,133200,5.09
2014-12-30,5.11,5.19,5.09,5.11,118800,5.05
2014-12-29,4.97,5.13,4.94,5.13,78500,5.07
2014-12-26,4.96,4.96,4.96,4.96,000,4.902
2014-12-25,4.96,4.96,4.96,4.96,000,4.902
2014-12-24,4.95,4.99,4.90,4.96,112200,4.902
2014-12-23,5.01,5.07,4.94,4.94,172700,4.882
2014-12-22,4.91,5.02,4.91,5.01,214700,4.951
2014-12-19,4.82,4.92,4.79,4.90,473800,4.843
2014-12-18,4.78,4.90,4.76,4.78,320700,4.724
2014-12-17,4.80,4.80,4.73,4.77,259000,4.714
2014-12-16,4.78,4.79,4.73,4.77,315200,4.714
2014-12-15,4.87,4.90,4.76,4.79,186000,4.734
2014-12-12,4.85,4.97,4.82,4.92,233900,4.863
2014-12-11,4.80,4.86,4.78,4.86,188000,4.803
2014-12-10,4.85,4.87,4.78,4.85,146200,4.793
2014-12-09,4.92,4.95,4.84,4.84,202700,4.783
2014-12-08,4.93,4.97,4.92,4.96,84300,4.902
2014-12-05,5.02,5.02,4.92,4.93,136000,4.872
2014-12-04,4.97,5.04,4.95,5.02,135000,4.961
2014-12-03,4.90,5.03,4.90,5.03,277400,4.971
2014-12-02,5.00,5.03,4.90,4.96,293200,4.902
2014-12-01,5.12,5.16,4.97,5.00,235100,4.942
2014-11-28,5.31,5.31,5.12,5.13,343400,5.07
2014-11-27,5.28,5.34,5.28,5.30,219900,5.238
2014-11-26,5.29,5.31,5.27,5.28,234100,5.218
2014-11-25,5.29,5.35,5.19,5.21,2967500,5.149
2014-11-24,5.26,5.33,5.25,5.33,396000,5.268
2014-11-21,5.33,5.35,5.27,5.27,146400,5.208
2014-11-20,5.35,5.37,5.31,5.31,351300,5.248
2014-11-19,5.32,5.34,5.28,5.32,299300,5.258
2014-11-18,5.35,5.37,5.26,5.30,293100,5.238
2014-11-17,5.43,5.43,5.26,5.26,424600,5.199
2014-11-14,5.33,5.45,5.31,5.35,293700,5.287
2014-11-13,5.34,5.37,5.30,5.30,273300,5.238
2014-11-12,5.36,5.44,5.28,5.32,358800,5.258
2014-11-11,5.42,5.46,5.33,5.35,465100,5.287
2014-11-10,5.31,5.38,5.31,5.34,507300,5.278
2014-11-07,5.18,5.46,5.16,5.29,639700,5.228
2014-11-06,5.16,5.205,5.11,5.17,204200,5.11
2014-11-05,5.17,5.24,5.09,5.15,537700,5.09
2014-11-04,5.16,5.19,5.15,5.17,233500,5.11
2014-11-03,5.18,5.20,5.13,5.16,198500,5.10
2014-10-31,5.06,5.20,5.01,5.18,393500,5.119
2014-10-30,5.09,5.11,4.99,5.05,336600,4.991
2014-10-29,5.16,5.18,4.97,5.10,308800,5.04
2014-10-28,5.13,5.15,4.97,5.13,821700,5.07
2014-10-27,5.15,5.17,5.11,5.13,306400,5.07
2014-10-24,5.15,5.20,5.13,5.14,344900,5.08
2014-10-23,5.03,5.14,5.03,5.14,224300,5.08
2014-10-22,4.99,5.06,4.97,5.06,181500,5.001
2014-10-21,4.90,4.95,4.89,4.95,155200,4.892
2014-10-20,4.85,4.90,4.83,4.89,152700,4.833
2014-10-17,4.84,4.85,4.80,4.83,113800,4.774
2014-10-16,4.79,4.83,4.71,4.79,321100,4.734
2014-10-15,4.79,4.85,4.71,4.85,312500,4.793
2014-10-14,4.75,4.79,4.71,4.78,243400,4.724
2014-10-13,4.82,4.86,4.76,4.79,171900,4.734
2014-10-10,4.90,4.96,4.85,4.87,334100,4.813
2014-10-09,5.00,5.02,4.96,4.98,135700,4.922
2014-10-08,4.95,5.00,4.94,5.00,230900,4.942
2014-10-07,5.02,5.08,4.95,4.99,274200,4.932
2014-10-06,5.03,5.05,5.01,5.03,61200,4.971
2014-10-03,4.99,5.00,4.98,5.00,156000,4.942
2014-10-02,5.03,5.05,4.99,4.99,212000,4.932
2014-10-01,4.98,5.10,4.95,5.09,270600,5.031
2014-09-30,5.00,5.04,4.98,5.03,591200,4.971
2014-09-29,5.01,5.04,5.00,5.00,292600,4.942
2014-09-26,5.03,5.03,5.00,5.01,208700,4.951
2014-09-25,5.07,5.10,5.06,5.08,144300,5.021
2014-09-24,5.16,5.20,5.02,5.06,196200,5.001
2014-09-23,5.04,5.17,5.02,5.09,282300,5.031
2014-09-22,5.03,5.13,5.02,5.03,381400,4.971
2014-09-19,5.05,5.07,5.00,5.03,1948000,4.971
2014-09-18,5.01,5.07,5.00,5.02,320300,4.961
2014-09-17,5.03,5.04,4.93,4.97,379700,4.912
2014-09-16,5.15,5.17,4.99,5.03,255200,4.971
2014-09-15,5.15,5.18,5.01,5.15,169700,5.09
2014-09-12,5.20,5.24,5.17,5.20,274700,5.139
2014-09-11,5.25,5.25,5.17,5.20,362000,5.139
2014-09-10,5.22,5.29,5.22,5.24,341800,5.179
2014-09-09,5.15,5.27,5.105,5.27,397000,5.208
2014-09-08,5.12,5.16,5.11,5.16,247600,5.10
2014-09-05,5.12,5.15,5.08,5.14,256400,5.08
2014-09-04,5.07,5.15,5.03,5.13,259300,5.07
2014-09-03,5.00,5.11,4.99,5.05,174200,4.991
2014-09-02,5.02,5.06,4.99,5.04,112000,4.981
2014-09-01,5.06,5.09,5.02,5.02,122000,4.961
2014-08-29,5.00,5.07,4.99,5.06,123400,5.001
2014-08-28,5.02,5.06,4.86,4.99,308800,4.932
2014-08-27,5.08,5.12,5.04,5.06,142200,4.937
2014-08-26,5.22,5.22,4.98,5.10,282700,4.976
2014-08-25,5.24,5.27,5.19,5.27,123300,5.142
2014-08-22,5.31,5.31,5.17,5.25,143100,5.123
2014-08-21,5.38,5.41,5.28,5.30,234500,5.172
2014-08-20,5.20,5.32,5.20,5.29,311500,5.162
2014-08-19,5.20,5.20,5.16,5.20,165100,5.074
2014-08-18,5.10,5.19,5.10,5.15,201600,5.025
2014-08-15,4.98,5.15,4.97,5.07,402400,4.947
2014-08-14,4.90,4.98,4.88,4.97,390700,4.85
2014-08-13,4.89,4.91,4.87,4.90,133600,4.781
2014-08-12,4.88,4.90,4.87,4.90,163600,4.781
2014-08-11,4.90,4.92,4.85,4.87,220700,4.752
2014-08-08,4.87,4.91,4.85,4.90,638200,4.781
2014-08-07,4.87,4.88,4.82,4.87,170000,4.752
2014-08-06,4.88,4.92,4.85,4.87,225600,4.752
2014-08-05,4.86,4.92,4.84,4.88,193900,4.762
2014-08-04,4.85,4.88,4.83,4.85,134300,4.732
2014-08-01,4.84,4.90,4.81,4.85,232500,4.732
2014-07-31,4.86,4.90,4.85,4.88,172900,4.762
2014-07-30,4.93,4.96,4.88,4.91,152300,4.791
2014-07-29,4.85,4.90,4.82,4.90,114200,4.781
2014-07-28,4.85,4.87,4.84,4.85,181600,4.732
2014-07-25,4.85,4.89,4.80,4.86,238200,4.742
2014-07-24,4.92,4.92,4.85,4.85,64600,4.732
2014-07-23,4.93,4.94,4.90,4.91,96000,4.791
2014-07-22,4.91,4.93,4.89,4.93,130200,4.81
2014-07-21,4.90,4.93,4.88,4.93,171500,4.81
2014-07-18,4.93,4.95,4.85,4.87,113800,4.752
2014-07-17,4.98,4.99,4.92,4.93,181700,4.81
2014-07-16,4.90,4.94,4.86,4.93,107100,4.81
2014-07-15,4.92,4.94,4.85,4.94,169700,4.82
2014-07-14,4.84,4.92,4.83,4.92,132100,4.801
2014-07-11,4.84,4.88,4.82,4.82,145000,4.703
2014-07-10,4.85,4.90,4.85,4.88,93400,4.762
2014-07-09,4.88,4.89,4.82,4.85,102600,4.732
2014-07-08,4.87,4.91,4.85,4.91,175400,4.791
2014-07-07,4.88,4.90,4.85,4.85,142700,4.732
2014-07-04,4.88,4.90,4.85,4.90,112800,4.781
2014-07-03,4.86,4.88,4.84,4.86,331800,4.742
2014-07-02,4.86,4.94,4.86,4.87,157900,4.752
2014-07-01,4.89,4.95,4.84,4.95,168000,4.83
2014-06-30,4.85,4.93,4.80,4.87,187400,4.752
2014-06-27,4.94,4.96,4.84,4.85,132000,4.732
2014-06-26,4.87,4.96,4.82,4.95,99600,4.83
2014-06-25,4.90,4.91,4.79,4.90,222200,4.781
2014-06-24,4.97,4.98,4.88,4.93,133500,4.81
2014-06-23,4.98,5.05,4.96,5.03,125900,4.908
2014-06-20,5.01,5.04,4.96,4.97,137500,4.85
2014-06-19,5.02,5.05,4.85,5.05,330000,4.928
2014-06-18,4.91,4.94,4.87,4.88,73300,4.762
2014-06-17,4.81,4.94,4.79,4.91,132800,4.791
2014-06-16,4.82,4.84,4.74,4.80,406400,4.684
2014-06-13,5.00,5.01,4.86,4.90,349100,4.781
2014-06-12,5.05,5.12,5.02,5.03,78300,4.908
2014-06-11,5.15,5.15,5.08,5.10,157800,4.976
2014-06-10,5.18,5.20,5.14,5.17,109000,5.045
2014-06-09,5.16,5.16,5.16,5.16,000,5.035
2014-06-06,5.09,5.19,5.08,5.16,167300,5.035
2014-06-05,5.19,5.20,5.00,5.09,235000,4.967
2014-06-04,5.13,5.26,5.12,5.20,241400,5.074
2014-06-03,5.26,5.26,5.11,5.11,195400,4.986
2014-06-02,5.32,5.33,5.24,5.28,130300,5.152
2014-05-30,5.37,5.37,5.29,5.31,149300,5.181
2014-05-29,5.30,5.39,5.27,5.39,84100,5.259
2014-05-28,5.38,5.45,5.275,5.30,403800,5.172
2014-05-27,5.25,5.39,5.25,5.36,188000,5.23
2014-05-26,5.17,5.29,5.11,5.25,169700,5.123
2014-05-23,5.10,5.18,5.06,5.14,196900,5.015
2014-05-22,5.06,5.155,5.05,5.15,221900,5.025
2014-05-21,5.02,5.05,5.005,5.05,329300,4.928
2014-05-20,5.05,5.08,5.03,5.05,153800,4.928
2014-05-19,5.08,5.09,5.05,5.06,215000,4.937
2014-05-16,5.08,5.11,5.07,5.08,155400,4.957
2014-05-15,5.06,5.15,5.06,5.15,248700,5.025
2014-05-14,5.14,5.14,5.06,5.08,221200,4.957
2014-05-13,5.09,5.19,5.06,5.15,216200,5.025
2014-05-12,5.09,5.14,5.06,5.08,118900,4.957
2014-05-09,5.12,5.12,5.06,5.08,103500,4.957
2014-05-08,5.10,5.15,5.08,5.15,107500,5.025
2014-05-07,5.15,5.15,5.06,5.08,171000,4.957
2014-05-06,5.11,5.19,5.10,5.15,140400,5.025
2014-05-05,5.08,5.14,5.06,5.14,236600,5.015
2014-05-02,5.10,5.15,5.05,5.10,185200,4.976
2014-05-01,5.15,5.17,5.06,5.10,535100,4.976
2014-04-30,5.10,5.15,5.08,5.15,103600,5.025
2014-04-29,5.15,5.15,5.07,5.09,225000,4.967
2014-04-28,5.13,5.15,5.12,5.15,70800,5.025
2014-04-25,5.14,5.14,5.14,5.14,000,5.015
2014-04-24,5.19,5.20,5.12,5.14,162300,5.015
2014-04-23,5.03,5.19,5.02,5.19,250600,5.064
2014-04-22,5.00,5.03,4.96,5.03,225700,4.908
2014-04-21,4.99,4.99,4.99,4.99,000,4.869
2014-04-18,4.99,4.99,4.99,4.99,000,4.869
2014-04-17,5.03,5.03,4.96,4.99,147100,4.869
2014-04-16,4.99,5.03,4.91,5.02,194700,4.898
2014-04-15,4.92,4.99,4.89,4.95,232900,4.83
2014-04-14,5.05,5.05,4.69,4.86,564000,4.742
2014-04-11,5.13,5.13,5.04,5.07,129900,4.947
2014-04-10,5.20,5.20,5.13,5.19,177400,5.064
2014-04-09,5.08,5.20,5.07,5.20,313900,5.074
2014-04-08,5.00,5.10,4.96,5.03,438300,4.908
2014-04-07,5.13,5.18,4.98,5.00,599500,4.879
2014-04-04,5.17,5.20,5.16,5.17,197400,5.045
2014-04-03,5.17,5.24,5.16,5.17,344800,5.045
2014-04-02,5.34,5.35,5.10,5.16,421900,5.035
2014-04-01,5.25,5.35,5.22,5.34,279600,5.211
2014-03-31,5.41,5.44,5.21,5.26,300800,5.132
2014-03-28,5.40,5.41,5.28,5.41,297300,5.279
2014-03-27,5.42,5.46,5.36,5.38,276500,5.25
2014-03-26,5.41,5.49,5.40,5.49,306700,5.357
2014-03-25,5.48,5.50,5.36,5.39,300000,5.259
2014-03-24,5.55,5.56,5.50,5.55,607900,5.415
2014-03-21,5.50,5.59,5.44,5.55,9392600,5.415
2014-03-20,5.61,5.62,5.51,5.57,404100,5.435
2014-03-19,5.44,5.63,5.36,5.62,332100,5.484
2014-03-18,5.42,5.44,5.40,5.44,267300,5.308
2014-03-17,5.38,5.43,5.32,5.41,213600,5.279
