date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.45,1.462,1.40,1.435,1817400,1.435
2015-06-29,1.52,1.54,1.45,1.465,2640800,1.465
2015-06-26,1.71,1.74,1.455,1.525,5478200,1.525
2015-06-25,1.72,1.72,1.72,1.72,000,1.72
2015-06-24,1.83,1.83,1.715,1.72,2030700,1.72
2015-06-23,1.90,1.91,1.775,1.82,1772900,1.82
2015-06-22,1.97,1.97,1.865,1.87,1414900,1.87
2015-06-19,2.05,2.07,1.925,1.925,2415300,1.925
2015-06-18,2.07,2.09,1.94,1.995,2356600,1.995
2015-06-17,2.17,2.18,2.115,2.12,538200,2.12
2015-06-16,2.18,2.23,2.155,2.18,1181900,2.18
2015-06-15,2.18,2.22,2.16,2.19,646000,2.19
2015-06-12,2.23,2.26,2.18,2.21,897300,2.21
2015-06-11,2.22,2.26,2.18,2.25,835700,2.25
2015-06-10,2.32,2.32,2.15,2.17,923100,2.17
2015-06-09,2.35,2.35,2.28,2.32,1764100,2.32
2015-06-08,2.35,2.35,2.35,2.35,000,2.35
2015-06-05,2.23,2.36,2.20,2.35,1732200,2.35
2015-06-04,2.19,2.23,2.19,2.22,542200,2.22
2015-06-03,2.16,2.21,2.10,2.19,1517800,2.19
2015-06-02,2.13,2.15,2.07,2.09,773200,2.09
2015-06-01,2.16,2.18,2.12,2.13,707600,2.13
2015-05-29,2.16,2.20,2.14,2.19,710300,2.19
2015-05-28,2.20,2.21,2.09,2.15,1260600,2.15
2015-05-27,2.21,2.22,2.18,2.20,497000,2.20
2015-05-26,2.19,2.24,2.17,2.22,825200,2.22
2015-05-25,2.20,2.24,2.16,2.18,741800,2.18
2015-05-22,2.30,2.30,2.16,2.18,1052000,2.18
2015-05-21,2.35,2.40,2.24,2.26,1034200,2.26
2015-05-20,2.43,2.45,2.35,2.39,848300,2.39
2015-05-19,2.46,2.46,2.40,2.43,641300,2.43
2015-05-18,2.46,2.51,2.46,2.47,307400,2.47
2015-05-15,2.50,2.54,2.41,2.50,1542100,2.50
2015-05-14,2.46,2.51,2.45,2.51,625800,2.51
2015-05-13,2.48,2.55,2.47,2.50,474100,2.50
2015-05-12,2.47,2.50,2.44,2.50,932300,2.50
2015-05-11,2.50,2.52,2.455,2.46,554600,2.46
2015-05-08,2.45,2.53,2.41,2.50,645500,2.50
2015-05-07,2.36,2.49,2.35,2.44,947500,2.44
2015-05-06,2.40,2.45,2.38,2.42,843600,2.42
2015-05-05,2.36,2.45,2.36,2.44,1244900,2.44
