date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,5.80,5.88,5.77,5.85,3297100,5.85
2015-06-29,5.88,5.90,5.815,5.86,3363300,5.86
2015-06-26,6.00,6.02,5.95,5.98,4520800,5.98
2015-06-25,6.12,6.14,6.02,6.04,1774900,6.04
2015-06-24,6.16,6.19,6.095,6.15,1999600,6.15
2015-06-23,6.07,6.16,6.05,6.16,3349800,6.16
2015-06-22,6.03,6.05,5.995,6.04,2289900,6.04
2015-06-19,6.02,6.05,5.99,6.02,2254800,6.02
2015-06-18,6.05,6.05,5.98,6.00,4696900,6.00
2015-06-17,5.99,6.05,5.94,6.02,3058400,6.02
2015-06-16,5.98,6.02,5.94,5.98,1983400,5.98
2015-06-15,5.98,6.04,5.96,6.00,3197100,6.00
2015-06-12,5.96,5.97,5.92,5.97,2233900,5.97
2015-06-11,5.93,5.98,5.91,5.97,2204700,5.97
2015-06-10,5.92,5.95,5.87,5.90,2112300,5.90
2015-06-09,5.92,5.96,5.88,5.92,2910200,5.92
2015-06-08,5.90,5.90,5.90,5.90,000,5.90
2015-06-05,5.93,5.99,5.875,5.90,3449000,5.90
2015-06-04,6.00,6.02,5.92,5.94,3869400,5.94
2015-06-03,5.94,6.03,5.94,5.99,3227000,5.99
2015-06-02,6.16,6.17,6.00,6.03,8105600,6.03
2015-06-01,6.26,6.26,6.07,6.16,3102500,6.16
2015-05-29,6.29,6.36,6.26,6.26,4217500,6.26
2015-05-28,6.30,6.33,6.215,6.26,2415300,6.26
2015-05-27,6.29,6.31,6.26,6.27,3038300,6.27
2015-05-26,6.30,6.35,6.28,6.31,2872600,6.31
2015-05-25,6.34,6.36,6.275,6.32,1713300,6.32
2015-05-22,6.35,6.38,6.29,6.35,2293700,6.35
2015-05-21,6.34,6.36,6.28,6.29,5195500,6.29
2015-05-20,6.32,6.37,6.25,6.26,3367600,6.26
2015-05-19,6.39,6.39,6.28,6.28,3742300,6.28
2015-05-18,6.39,6.44,6.36,6.36,2504600,6.36
2015-05-15,6.42,6.465,6.36,6.40,4317200,6.40
2015-05-14,6.31,6.36,6.285,6.35,2880100,6.35
2015-05-13,6.27,6.35,6.24,6.35,3490700,6.35
2015-05-12,6.19,6.26,6.165,6.25,4754300,6.25
2015-05-11,6.25,6.29,6.185,6.21,5101000,6.21
2015-05-08,6.29,6.29,6.18,6.19,3670700,6.19
2015-05-07,6.06,6.24,6.02,6.21,3672700,6.21
2015-05-06,6.13,6.19,6.09,6.12,5174100,6.12
2015-05-05,6.36,6.36,6.185,6.22,6328900,6.22
2015-05-04,6.27,6.35,6.27,6.29,5171700,6.29
2015-05-01,6.29,6.36,6.26,6.30,2677100,6.30
2015-04-30,6.29,6.34,6.22,6.33,4050600,6.33
2015-04-29,6.49,6.49,6.345,6.35,3552300,6.35
2015-04-28,6.58,6.58,6.46,6.49,3220500,6.49
2015-04-27,6.53,6.575,6.52,6.55,2548300,6.55
2015-04-24,6.50,6.54,6.47,6.50,5151000,6.50
2015-04-23,6.50,6.51,6.43,6.51,2580100,6.51
2015-04-22,6.50,6.52,6.455,6.51,4584600,6.51
2015-04-21,6.46,6.50,6.425,6.48,2724100,6.48
2015-04-20,6.45,6.47,6.41,6.43,2060300,6.43
2015-04-17,6.48,6.52,6.46,6.49,3595800,6.49
2015-04-16,6.55,6.55,6.49,6.50,4365700,6.50
2015-04-15,6.62,6.62,6.47,6.50,5400600,6.50
2015-04-14,6.56,6.625,6.54,6.55,5054200,6.55
2015-04-13,6.60,6.65,6.555,6.58,1450800,6.58
2015-04-10,6.58,6.615,6.55,6.59,2151300,6.59
2015-04-09,6.64,6.65,6.57,6.59,2614400,6.59
2015-04-08,6.60,6.66,6.575,6.64,3116200,6.64
2015-04-07,6.48,6.58,6.47,6.54,2360700,6.54
2015-04-06,6.44,6.44,6.44,6.44,000,6.44
2015-04-03,6.44,6.44,6.44,6.44,000,6.44
2015-04-02,6.32,6.44,6.29,6.44,2187700,6.44
2015-04-01,6.35,6.405,6.28,6.32,3026300,6.32
2015-03-31,6.44,6.44,6.37,6.38,4502600,6.38
2015-03-30,6.39,6.395,6.30,6.35,2032300,6.35
2015-03-27,6.33,6.47,6.33,6.45,5681300,6.45
2015-03-26,6.30,6.34,6.26,6.30,2924400,6.30
2015-03-25,6.37,6.39,6.30,6.37,2143100,6.37
2015-03-24,6.22,6.36,6.22,6.34,2115200,6.34
2015-03-23,6.28,6.31,6.21,6.27,1752200,6.27
2015-03-20,6.25,6.33,6.22,6.28,3061800,6.28
2015-03-19,6.22,6.25,6.18,6.24,5728700,6.24
2015-03-18,6.04,6.12,6.04,6.12,3330300,6.12
2015-03-17,6.05,6.105,5.99,6.02,1588500,6.02
2015-03-16,6.10,6.10,6.00,6.02,1193100,6.02
2015-03-13,6.09,6.13,6.03,6.11,3313500,6.11
2015-03-12,6.05,6.135,6.035,6.09,1959600,6.09
2015-03-11,5.91,6.04,5.91,6.03,1880700,6.03
2015-03-10,6.05,6.09,5.96,5.98,2526300,5.98
2015-03-09,6.02,6.075,5.995,6.00,1032200,6.00
2015-03-06,6.09,6.12,6.07,6.09,2380800,6.09
2015-03-05,6.05,6.11,5.97,6.11,2813300,6.11
2015-03-04,6.14,6.14,6.03,6.03,1310100,6.03
2015-03-03,6.13,6.18,6.08,6.09,3960200,6.09
2015-03-02,6.18,6.185,6.10,6.12,1783600,6.12
2015-02-27,6.00,6.17,5.99,6.14,4118900,6.14
2015-02-26,6.03,6.03,5.93,6.03,2263500,6.03
2015-02-25,6.01,6.08,6.00,6.00,2757400,6.00
2015-02-24,6.04,6.08,5.97,6.01,2286100,6.01
2015-02-23,6.01,6.07,5.96,6.04,1646100,6.04
2015-02-20,6.00,6.05,5.97,6.00,2609000,6.00
2015-02-19,6.08,6.08,5.94,5.98,5518100,5.98
2015-02-18,6.00,6.08,5.975,6.04,4658000,6.04
2015-02-17,5.90,5.96,5.87,5.92,2877900,5.92
2015-02-16,6.03,6.08,5.95,5.97,2049600,5.84857
2015-02-13,5.95,6.11,5.95,6.03,5868400,5.90735
2015-02-12,5.81,6.00,5.80,5.94,13376700,5.81918
2015-02-11,5.73,5.86,5.68,5.79,4399000,5.67223
2015-02-10,5.89,5.89,5.82,5.86,6404500,5.74081
2015-02-09,5.77,5.87,5.76,5.87,4725500,5.7506
2015-02-06,5.77,5.79,5.65,5.76,4620300,5.64284
2015-02-05,5.85,5.85,5.77,5.81,4337100,5.69183
2015-02-04,5.71,5.89,5.71,5.79,5934600,5.67223
2015-02-03,5.63,5.65,5.57,5.64,5743000,5.52528
2015-02-02,5.61,5.63,5.52,5.61,3865900,5.49589
2015-01-30,5.69,5.69,5.58,5.60,5924300,5.4861
2015-01-29,5.38,5.58,5.38,5.57,3719400,5.45671
