date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.41,0.415,0.40,0.415,115900,0.415
2015-06-29,0.43,0.43,0.40,0.415,339200,0.415
2015-06-26,0.42,0.43,0.42,0.425,188800,0.425
2015-06-25,0.435,0.435,0.42,0.42,160900,0.42
2015-06-24,0.425,0.435,0.425,0.43,124000,0.43
2015-06-23,0.42,0.435,0.42,0.425,194500,0.425
2015-06-22,0.43,0.435,0.425,0.425,93300,0.425
2015-06-19,0.44,0.445,0.43,0.43,170000,0.43
2015-06-18,0.46,0.46,0.44,0.44,284200,0.44
2015-06-17,0.445,0.465,0.44,0.46,270900,0.46
2015-06-16,0.47,0.475,0.435,0.445,159200,0.445
2015-06-15,0.45,0.49,0.45,0.47,547300,0.47
2015-06-12,0.48,0.48,0.46,0.465,396300,0.465
2015-06-11,0.495,0.51,0.47,0.475,388100,0.475
2015-06-10,0.45,0.48,0.45,0.47,791200,0.47
2015-06-09,0.45,0.45,0.44,0.445,114300,0.445
2015-06-08,0.435,0.435,0.435,0.435,000,0.435
2015-06-05,0.43,0.46,0.425,0.435,556600,0.435
2015-06-04,0.39,0.43,0.39,0.425,468900,0.425
2015-06-03,0.40,0.40,0.38,0.39,284700,0.39
2015-06-02,0.40,0.405,0.40,0.40,176300,0.40
2015-06-01,0.405,0.405,0.40,0.40,213100,0.40
2015-05-29,0.41,0.41,0.40,0.405,110400,0.405
2015-05-28,0.42,0.42,0.40,0.40,246700,0.40
2015-05-27,0.41,0.42,0.41,0.42,141400,0.42
2015-05-26,0.425,0.425,0.41,0.415,374100,0.415
2015-05-25,0.42,0.43,0.42,0.425,73400,0.425
2015-05-22,0.415,0.42,0.415,0.42,104100,0.42
2015-05-21,0.42,0.42,0.415,0.42,83000,0.42
2015-05-20,0.425,0.43,0.415,0.42,101300,0.42
2015-05-19,0.42,0.42,0.41,0.415,98300,0.415
2015-05-18,0.41,0.425,0.41,0.42,117400,0.42
2015-05-15,0.42,0.42,0.41,0.41,178900,0.41
2015-05-14,0.41,0.42,0.41,0.42,43000,0.42
2015-05-13,0.405,0.42,0.405,0.415,48400,0.415
2015-05-12,0.415,0.425,0.405,0.405,150300,0.405
2015-05-11,0.42,0.425,0.415,0.415,273700,0.415
2015-05-08,0.415,0.43,0.415,0.43,78900,0.43
2015-05-07,0.405,0.42,0.405,0.42,199300,0.42
2015-05-06,0.41,0.415,0.41,0.41,136200,0.41
2015-05-05,0.405,0.41,0.405,0.41,116300,0.41
2015-05-04,0.405,0.415,0.405,0.405,127100,0.405
2015-05-01,0.41,0.41,0.405,0.405,35400,0.405
2015-04-30,0.412,0.4125,0.395,0.41,279400,0.41
2015-04-29,0.425,0.43,0.415,0.415,174600,0.415
2015-04-28,0.41,0.425,0.41,0.425,59800,0.425
2015-04-27,0.415,0.42,0.40,0.415,147600,0.415
2015-04-24,0.41,0.415,0.41,0.41,85400,0.41
2015-04-23,0.41,0.41,0.40,0.40,85700,0.40
2015-04-22,0.405,0.405,0.395,0.40,316700,0.40
2015-04-21,0.415,0.415,0.405,0.405,89200,0.405
2015-04-20,0.40,0.425,0.40,0.405,186500,0.405
2015-04-17,0.415,0.42,0.395,0.40,584400,0.40
2015-04-16,0.425,0.425,0.415,0.415,92200,0.415
2015-04-15,0.43,0.44,0.42,0.42,396700,0.42
2015-04-14,0.425,0.44,0.415,0.43,414800,0.43
2015-04-13,0.43,0.45,0.425,0.425,335700,0.425
