date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,12.53,12.80,12.51,12.77,1273300,12.77
2015-06-29,12.74,12.74,12.53,12.55,1146800,12.55
2015-06-26,13.05,13.05,12.79,12.86,1478800,12.86
2015-06-25,13.14,13.19,13.07,13.08,1057500,13.08
2015-06-24,13.22,13.26,13.17,13.17,1047500,13.17
2015-06-23,13.04,13.20,12.98,13.14,1428700,13.14
2015-06-22,12.84,13.02,12.75,12.96,758300,12.96
2015-06-19,12.87,12.98,12.84,12.84,1154300,12.84
2015-06-18,13.09,13.09,12.74,12.81,2016700,12.81
2015-06-17,12.87,13.02,12.79,13.00,985500,13.00
2015-06-16,12.65,12.80,12.60,12.70,1007100,12.70
2015-06-15,12.62,12.67,12.52,12.65,1038500,12.65
2015-06-12,12.82,12.84,12.63,12.67,705500,12.67
2015-06-11,12.70,12.83,12.65,12.81,1188000,12.81
2015-06-10,12.45,12.64,12.43,12.56,1027900,12.56
2015-06-09,12.49,12.58,12.40,12.45,1032800,12.45
2015-06-08,12.38,12.38,12.38,12.38,000,12.38
2015-06-05,12.60,12.60,12.27,12.38,1052300,12.38
2015-06-04,12.81,12.81,12.55,12.57,1045100,12.57
2015-06-03,12.84,12.86,12.69,12.74,1165300,12.74
2015-06-02,13.05,13.11,12.83,12.83,1299100,12.83
2015-06-01,13.13,13.14,12.92,13.04,1315600,13.04
2015-05-29,13.02,13.33,13.02,13.25,1645000,13.25
2015-05-28,13.25,13.25,12.99,13.05,863300,13.05
2015-05-27,13.20,13.28,13.10,13.17,869100,13.17
2015-05-26,13.06,13.26,13.06,13.24,843400,13.24
2015-05-25,13.00,13.22,13.00,13.12,1019700,13.12
2015-05-22,13.05,13.08,12.98,13.05,737000,13.05
2015-05-21,12.96,13.045,12.90,13.01,1312600,13.01
2015-05-20,12.98,13.03,12.88,12.93,1026100,12.93
2015-05-19,13.06,13.16,12.87,12.94,1909700,12.94
2015-05-18,13.21,13.22,13.00,13.02,726900,13.02
2015-05-15,13.20,13.27,13.06,13.22,778600,13.22
2015-05-14,13.11,13.17,13.00,13.12,763800,13.12
2015-05-13,13.14,13.20,13.07,13.16,1032200,13.16
2015-05-12,12.95,13.20,12.90,13.13,1243300,13.13
2015-05-11,13.20,13.30,12.92,12.99,943700,12.99
2015-05-08,12.89,13.23,12.89,13.07,1012700,13.07
2015-05-07,13.09,13.09,12.87,13.00,2269600,13.00
2015-05-06,13.20,13.29,13.085,13.17,1471400,13.17
2015-05-05,13.62,13.85,13.445,13.52,1461000,13.52
2015-05-04,13.57,13.64,13.45,13.59,1357500,13.59
2015-05-01,13.02,13.52,13.02,13.48,2044600,13.48
2015-04-30,12.95,13.02,12.80,13.02,1649000,13.02
2015-04-29,13.34,13.35,13.03,13.06,1004000,13.06
2015-04-28,13.34,13.43,13.23,13.33,1130900,13.33
2015-04-27,13.32,13.34,13.21,13.34,1277800,13.34
2015-04-24,12.98,13.33,12.93,13.32,2489500,13.32
2015-04-23,13.10,13.18,12.80,12.95,1948800,12.95
2015-04-22,13.24,13.31,13.07,13.09,1666300,13.09
2015-04-21,13.36,13.45,13.21,13.30,1318400,13.30
2015-04-20,13.47,13.47,13.31,13.38,1278400,13.38
2015-04-17,13.62,13.68,13.47,13.52,1063000,13.52
2015-04-16,13.62,13.70,13.51,13.68,1243400,13.68
2015-04-15,14.19,14.19,13.96,13.96,2514600,13.44571
2015-04-14,14.16,14.21,14.08,14.17,1692000,13.64798
2015-04-13,14.20,14.24,14.16,14.20,1508400,13.67687
2015-04-10,14.10,14.18,14.09,14.17,1686800,13.64798
2015-04-09,13.98,14.11,13.97,14.08,1637400,13.56129
2015-04-08,13.88,13.95,13.72,13.94,1833000,13.42645
2015-04-07,13.95,14.04,13.72,13.78,1640800,13.27235
2015-04-06,13.75,13.75,13.75,13.75,000,13.24345
2015-04-03,13.75,13.75,13.75,13.75,000,13.24345
2015-04-02,13.70,13.81,13.65,13.75,1649900,13.24345
2015-04-01,13.73,13.93,13.57,13.63,2530900,13.12787
2015-03-31,13.66,13.79,13.57,13.79,2759100,13.28198
2015-03-30,13.55,13.58,13.41,13.46,2697400,12.96413
2015-03-27,13.88,13.89,13.47,13.54,5181200,13.04119
2015-03-26,14.34,14.34,13.81,13.89,2598700,13.37829
2015-03-25,14.55,14.60,14.22,14.36,2174500,13.83098
2015-03-24,14.51,14.63,14.47,14.55,844000,14.01398
2015-03-23,14.58,14.68,14.455,14.56,978800,14.02361
2015-03-20,14.63,14.65,14.44,14.57,1979900,14.03324
2015-03-19,14.50,14.73,14.48,14.64,1672600,14.10066
2015-03-18,14.45,14.47,14.24,14.36,1036300,13.83098
2015-03-17,14.20,14.57,14.20,14.43,1424700,13.8984
