date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.05,1.0525,1.03,1.05,6720900,1.05
2015-06-29,1.05,1.06,1.035,1.055,3930500,1.055
2015-06-26,1.055,1.06,1.035,1.045,6803100,1.045
2015-06-25,1.07,1.08,1.057,1.06,3457800,1.06
2015-06-24,1.055,1.08,1.05,1.07,4070200,1.07
2015-06-23,1.06,1.065,1.05,1.055,4935500,1.055
2015-06-22,1.05,1.055,1.04,1.05,2141800,1.05
2015-06-19,1.055,1.06,1.045,1.05,19061200,1.05
2015-06-18,1.035,1.05,1.035,1.035,5279600,1.035
2015-06-17,1.04,1.05,1.025,1.05,3794400,1.05
2015-06-16,1.025,1.04,1.015,1.03,3521200,1.03
2015-06-15,1.06,1.065,1.025,1.04,6422000,1.04
2015-06-12,1.08,1.085,1.062,1.07,4541200,1.07
2015-06-11,1.08,1.09,1.075,1.085,2873300,1.085
2015-06-10,1.07,1.09,1.06,1.065,4131800,1.065
2015-06-09,1.055,1.075,1.05,1.055,3088800,1.055
2015-06-08,1.07,1.07,1.07,1.07,000,1.07
2015-06-05,1.045,1.075,1.04,1.07,5032800,1.07
2015-06-04,1.045,1.055,1.025,1.055,5196100,1.055
2015-06-03,1.06,1.075,1.035,1.045,5864500,1.045
2015-06-02,1.08,1.09,1.05,1.05,4657400,1.05
2015-06-01,1.105,1.11,1.06,1.075,6024600,1.075
2015-05-29,1.13,1.13,1.10,1.10,8603100,1.10
2015-05-28,1.125,1.135,1.115,1.13,3616900,1.13
2015-05-27,1.125,1.14,1.11,1.13,3098200,1.13
2015-05-26,1.115,1.14,1.115,1.14,3977600,1.14
2015-05-25,1.09,1.12,1.09,1.115,3653000,1.115
2015-05-22,1.085,1.105,1.08,1.09,4543100,1.09
2015-05-21,1.08,1.08,1.055,1.07,6338400,1.07
2015-05-20,1.08,1.085,1.05,1.065,9421300,1.065
2015-05-19,1.125,1.135,1.10,1.10,5465900,1.10
2015-05-18,1.14,1.145,1.135,1.14,4816900,1.14
2015-05-15,1.16,1.16,1.125,1.14,4546200,1.14
2015-05-14,1.14,1.155,1.135,1.155,3174500,1.155
2015-05-13,1.145,1.165,1.135,1.145,4566900,1.145
2015-05-12,1.095,1.145,1.08,1.13,6002600,1.13
2015-05-11,1.125,1.13,1.09,1.095,7326100,1.095
2015-05-08,1.11,1.12,1.105,1.115,7575800,1.115
2015-05-07,1.125,1.13,1.107,1.12,3392400,1.12
2015-05-06,1.155,1.17,1.125,1.13,4695800,1.13
2015-05-05,1.16,1.17,1.14,1.15,4241700,1.15
2015-05-04,1.14,1.165,1.12,1.16,6088000,1.16
2015-05-01,1.11,1.15,1.10,1.135,6738800,1.135
2015-04-30,1.165,1.165,1.105,1.11,9672500,1.11
2015-04-29,1.16,1.17,1.14,1.17,7831500,1.17
2015-04-28,1.16,1.167,1.15,1.155,5924100,1.155
2015-04-27,1.175,1.21,1.175,1.19,3878600,1.19
2015-04-24,1.20,1.22,1.17,1.175,11434600,1.175
2015-04-23,1.14,1.185,1.135,1.18,6784700,1.18
2015-04-22,1.125,1.14,1.122,1.135,9739200,1.135
2015-04-21,1.15,1.152,1.125,1.125,4088200,1.125
2015-04-20,1.16,1.17,1.14,1.14,4603200,1.14
2015-04-17,1.195,1.195,1.16,1.17,7785500,1.17
2015-04-16,1.145,1.205,1.14,1.195,15970000,1.195
2015-04-15,1.12,1.145,1.105,1.11,8887700,1.11
2015-04-14,1.10,1.11,1.085,1.10,5409800,1.10
2015-04-13,1.125,1.13,1.08,1.09,8662000,1.09
2015-04-10,1.12,1.145,1.11,1.125,5903500,1.125
2015-04-09,1.105,1.135,1.09,1.11,16116900,1.11
2015-04-08,1.095,1.16,1.085,1.145,17027800,1.145
2015-04-07,1.055,1.09,1.045,1.08,8233500,1.08
