date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,6.11,6.26,6.10,6.21,258300,6.21
2015-06-29,6.15,6.27,6.12,6.15,239200,6.15
2015-06-26,6.37,6.37,6.20,6.23,300700,6.23
2015-06-25,6.67,6.68,6.44,6.44,148200,6.44
2015-06-24,6.81,6.84,6.61,6.65,308300,6.65
2015-06-23,6.70,6.91,6.70,6.75,320200,6.75
2015-06-22,6.65,6.71,6.56,6.65,105700,6.65
2015-06-19,6.54,6.69,6.51,6.62,378700,6.62
2015-06-18,6.58,6.58,6.44,6.49,426400,6.49
2015-06-17,6.64,6.82,6.61,6.68,258600,6.68
2015-06-16,6.74,6.845,6.54,6.60,520100,6.60
2015-06-15,6.87,6.94,6.705,6.72,483800,6.72
2015-06-12,6.91,6.96,6.84,6.87,260800,6.87
2015-06-11,6.87,6.97,6.80,6.83,164400,6.83
2015-06-10,6.79,6.91,6.73,6.85,99800,6.85
2015-06-09,6.98,7.00,6.75,6.79,140000,6.79
2015-06-08,6.98,6.98,6.98,6.98,000,6.98
2015-06-05,6.93,7.01,6.81,6.98,133900,6.98
2015-06-04,7.12,7.16,6.88,6.93,179500,6.93
2015-06-03,7.22,7.225,6.99,7.06,308900,7.06
2015-06-02,7.35,7.57,7.23,7.27,159300,7.27
2015-06-01,7.47,7.55,7.23,7.37,193300,7.37
2015-05-29,7.56,7.67,7.37,7.53,290700,7.53
2015-05-28,7.67,7.70,7.56,7.58,90200,7.58
2015-05-27,7.64,7.70,7.53,7.65,157300,7.65
2015-05-26,7.53,7.75,7.53,7.70,116600,7.70
2015-05-25,7.68,7.76,7.48,7.54,209400,7.54
2015-05-22,7.78,7.80,7.64,7.69,96700,7.69
2015-05-21,7.60,7.72,7.52,7.71,290200,7.71
2015-05-20,7.80,7.80,7.59,7.66,224100,7.66
2015-05-19,7.86,7.92,7.72,7.80,179700,7.80
2015-05-18,7.79,8.10,7.79,7.87,168500,7.87
2015-05-15,7.85,8.09,7.78,7.80,220300,7.80
2015-05-14,7.70,7.85,7.68,7.85,133000,7.85
2015-05-13,7.65,7.83,7.65,7.79,179800,7.79
2015-05-12,7.45,7.72,7.41,7.63,610900,7.63
2015-05-11,7.65,7.65,7.48,7.48,116200,7.48
2015-05-08,7.51,7.60,7.46,7.49,77800,7.49
2015-05-07,7.51,7.63,7.49,7.53,172100,7.53
2015-05-06,7.52,7.75,7.52,7.70,185300,7.70
2015-05-05,7.95,8.08,7.82,7.86,170000,7.86
2015-05-04,7.63,7.94,7.62,7.87,254800,7.87
2015-05-01,7.60,7.69,7.53,7.65,114300,7.65
2015-04-30,7.52,7.75,7.49,7.70,211300,7.70
2015-04-29,7.89,7.89,7.60,7.63,164700,7.63
2015-04-28,7.89,7.99,7.89,7.91,180400,7.91
2015-04-27,7.78,7.96,7.74,7.83,236500,7.83
2015-04-24,7.54,7.76,7.53,7.76,178100,7.76
2015-04-23,7.54,7.54,7.43,7.50,93600,7.50
2015-04-22,7.49,7.59,7.48,7.51,86100,7.51
2015-04-21,7.48,7.56,7.48,7.53,100900,7.53
2015-04-20,7.50,7.555,7.39,7.50,179700,7.50
2015-04-17,7.54,7.61,7.50,7.57,179800,7.57
2015-04-16,7.36,7.60,7.34,7.59,223300,7.59
2015-04-15,7.57,7.57,7.17,7.23,182300,7.23
2015-04-14,7.48,7.58,7.45,7.54,344600,7.54
2015-04-13,7.67,7.70,7.48,7.51,107800,7.51
2015-04-10,7.60,7.67,7.53,7.64,102200,7.64
2015-04-09,7.62,7.69,7.58,7.59,113000,7.59
2015-04-08,7.49,7.64,7.48,7.61,132000,7.61
2015-04-07,7.46,7.60,7.41,7.51,357800,7.51
2015-04-06,7.48,7.48,7.48,7.48,000,7.48
2015-04-03,7.48,7.48,7.48,7.48,000,7.48
2015-04-02,7.52,7.52,7.38,7.48,178700,7.48
2015-04-01,7.45,7.62,7.41,7.52,337400,7.52
2015-03-31,7.51,7.66,7.49,7.55,245900,7.55
2015-03-30,7.47,7.52,7.43,7.49,568400,7.49
2015-03-27,7.50,7.55,7.49,7.51,177900,7.51
2015-03-26,7.45,7.54,7.45,7.50,194400,7.50
2015-03-25,7.55,7.61,7.52,7.56,230100,7.56
2015-03-24,7.42,7.58,7.40,7.55,154100,7.55
2015-03-23,7.44,7.55,7.42,7.50,300500,7.50
2015-03-20,7.58,7.62,7.48,7.50,223200,7.50
2015-03-19,7.36,7.65,7.34,7.53,406400,7.53
