date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.75,3.06,2.74,3.00,7246700,3.00
2015-06-29,2.79,2.79,2.70,2.77,6108500,2.77
2015-06-26,2.96,2.99,2.85,2.85,5285500,2.85
2015-06-25,3.08,3.08,2.97,2.99,3184700,2.99
2015-06-24,3.21,3.22,3.05,3.06,2680000,3.06
2015-06-23,3.23,3.25,3.18,3.23,1961600,3.23
2015-06-22,3.24,3.24,3.13,3.19,2343100,3.19
2015-06-19,3.15,3.24,3.15,3.23,5272000,3.23
2015-06-18,3.03,3.15,3.03,3.14,6671800,3.14
2015-06-17,3.06,3.11,2.945,3.07,4197200,3.07
2015-06-16,3.23,3.25,3.06,3.07,2222700,3.07
2015-06-15,3.23,3.27,3.21,3.25,2997000,3.25
2015-06-12,3.20,3.29,3.19,3.26,2622100,3.26
2015-06-11,3.14,3.28,3.14,3.21,3998400,3.21
2015-06-10,3.00,3.14,3.00,3.11,3589000,3.11
2015-06-09,3.03,3.08,2.97,3.01,4114000,3.01
2015-06-08,3.07,3.07,3.07,3.07,000,3.07
2015-06-05,3.08,3.12,3.02,3.07,4035800,3.07
2015-06-04,3.25,3.26,3.07,3.09,6569100,3.09
2015-06-03,3.21,3.34,3.21,3.25,4397500,3.25
2015-06-02,3.39,3.39,3.19,3.21,3513700,3.21
2015-06-01,3.43,3.45,3.31,3.36,2525700,3.36
2015-05-29,3.40,3.51,3.38,3.51,3925700,3.51
2015-05-28,3.60,3.60,3.35,3.41,3406500,3.41
2015-05-27,3.47,3.61,3.46,3.54,4428200,3.54
2015-05-26,3.35,3.56,3.35,3.53,3077000,3.53
2015-05-25,3.33,3.38,3.32,3.34,2173100,3.34
2015-05-22,3.38,3.41,3.31,3.33,2859400,3.33
2015-05-21,3.30,3.38,3.28,3.32,3473800,3.32
2015-05-20,3.42,3.42,3.28,3.30,4385400,3.30
2015-05-19,3.45,3.49,3.36,3.40,2628000,3.40
2015-05-18,3.45,3.53,3.45,3.46,1589000,3.46
2015-05-15,3.48,3.56,3.47,3.50,6367900,3.50
2015-05-14,3.55,3.57,3.43,3.44,4348000,3.44
2015-05-13,3.56,3.65,3.49,3.62,4714700,3.62
2015-05-12,3.53,3.57,3.48,3.54,3722800,3.54
2015-05-11,3.62,3.65,3.52,3.53,3012600,3.53
2015-05-08,3.57,3.64,3.55,3.58,2497800,3.58
2015-05-07,3.51,3.59,3.50,3.55,2064900,3.55
2015-05-06,3.60,3.70,3.56,3.58,3050500,3.58
2015-05-05,3.84,3.84,3.60,3.65,3931300,3.65
2015-05-04,3.60,3.79,3.60,3.79,2819700,3.79
2015-05-01,3.49,3.62,3.46,3.60,2693200,3.60
2015-04-30,3.52,3.55,3.47,3.50,3190500,3.50
2015-04-29,3.72,3.74,3.56,3.57,6806500,3.57
2015-04-28,3.68,3.77,3.67,3.72,7360700,3.72
2015-04-27,3.71,3.74,3.65,3.68,4624900,3.68
2015-04-24,3.69,3.79,3.69,3.72,5038100,3.72
2015-04-23,3.67,3.72,3.60,3.61,2615700,3.61
2015-04-22,3.66,3.69,3.56,3.61,3735600,3.61
2015-04-21,3.73,3.79,3.66,3.71,2639300,3.71
2015-04-20,3.89,3.89,3.70,3.73,4492100,3.73
2015-04-17,4.01,4.05,3.94,3.96,1909900,3.96
2015-04-16,4.05,4.10,4.00,4.04,2274800,4.04
2015-04-15,3.91,4.05,3.91,4.01,2304500,4.01
2015-04-14,3.96,4.02,3.87,3.92,4107300,3.92
2015-04-13,4.10,4.16,4.00,4.02,1787500,4.02
2015-04-10,4.10,4.13,4.05,4.11,846400,4.11
2015-04-09,4.11,4.15,4.02,4.07,1708600,4.07
2015-04-08,4.05,4.17,4.05,4.14,3494400,4.14
2015-04-07,4.10,4.11,4.02,4.06,2832500,4.06
2015-04-06,4.10,4.10,4.10,4.10,000,4.10
2015-04-03,4.10,4.10,4.10,4.10,000,4.10
2015-04-02,4.00,4.11,3.98,4.10,2612500,4.10
2015-04-01,4.14,4.15,4.03,4.04,3503500,4.04
2015-03-31,4.17,4.24,4.08,4.18,6416300,4.18
2015-03-30,4.31,4.32,4.16,4.17,5505400,4.17
2015-03-27,4.54,4.56,4.34,4.37,4336500,4.37
2015-03-26,4.52,4.56,4.46,4.54,3957000,4.54
2015-03-25,4.66,4.69,4.61,4.65,2619200,4.65
2015-03-24,4.49,4.67,4.49,4.64,3014800,4.64
2015-03-23,4.52,4.55,4.43,4.51,2140500,4.51
2015-03-20,4.60,4.60,4.50,4.52,4358200,4.52
2015-03-19,4.59,4.63,4.52,4.60,3738100,4.60
2015-03-18,4.48,4.51,4.36,4.47,3957900,4.47
2015-03-17,4.35,4.44,4.34,4.41,2765100,4.41
2015-03-16,4.37,4.43,4.32,4.35,1641600,4.35
2015-03-13,4.41,4.43,4.355,4.41,3320200,4.41
2015-03-12,4.40,4.44,4.34,4.41,2010400,4.41
2015-03-11,4.36,4.45,4.29,4.41,6189300,4.41
2015-03-10,4.51,4.53,4.39,4.42,6773700,4.42
2015-03-09,4.59,4.68,4.47,4.52,3208700,4.52
2015-03-06,4.73,4.75,4.64,4.67,3024400,4.67
2015-03-05,4.60,4.71,4.53,4.67,4857000,4.67
2015-03-04,4.78,4.79,4.63,4.64,2940600,4.64
2015-03-03,4.75,4.81,4.66,4.73,2093200,4.73
2015-03-02,4.80,4.84,4.715,4.74,4136400,4.69714
2015-02-27,4.90,4.93,4.80,4.82,2879800,4.77642
2015-02-26,4.94,4.975,4.83,4.87,4899400,4.82597
2015-02-25,5.02,5.06,4.93,4.96,2842900,4.91515
2015-02-24,5.12,5.20,4.93,4.96,8581000,4.91515
2015-02-23,5.24,5.24,4.95,5.10,8989400,5.05389
2015-02-20,5.59,5.59,5.53,5.55,1978500,5.49982
2015-02-19,5.60,5.67,5.52,5.53,1546900,5.48
2015-02-18,5.54,5.645,5.52,5.58,4536400,5.52955
2015-02-17,5.59,5.61,5.50,5.53,1615000,5.48
2015-02-16,5.61,5.70,5.58,5.60,2148200,5.54937
2015-02-13,5.48,5.66,5.48,5.63,2310900,5.5791
2015-02-12,5.35,5.53,5.35,5.43,2289300,5.3809
2015-02-11,5.52,5.54,5.25,5.30,3139900,5.25208
2015-02-10,5.50,5.52,5.43,5.47,1964100,5.42054
2015-02-09,5.42,5.50,5.40,5.45,2286100,5.40072
2015-02-06,5.35,5.53,5.28,5.44,3450700,5.39081
2015-02-05,5.28,5.38,5.28,5.31,1878600,5.26199
2015-02-04,5.25,5.44,5.25,5.40,5477300,5.35118
2015-02-03,5.11,5.15,4.99,5.14,4137500,5.09353
2015-02-02,5.02,5.14,4.90,5.08,4497700,5.03407
2015-01-30,5.07,5.14,5.02,5.03,4642000,4.98452
2015-01-29,5.00,5.065,4.96,5.01,3095400,4.9647
2015-01-28,5.10,5.10,5.01,5.06,2396000,5.01425
2015-01-27,5.26,5.26,5.13,5.17,1751500,5.12326
2015-01-26,5.26,5.26,5.26,5.26,000,5.21244
2015-01-23,5.29,5.35,5.24,5.26,1134800,5.21244
2015-01-22,5.20,5.32,5.17,5.22,1517900,5.1728
2015-01-21,5.06,5.17,5.03,5.17,1801300,5.12326
2015-01-20,4.99,5.12,4.91,5.06,899400,5.01425
2015-01-19,5.16,5.17,4.99,5.01,1292200,4.9647
2015-01-16,5.02,5.09,4.99,5.07,1250000,5.02416
2015-01-15,5.21,5.21,5.07,5.10,2069700,5.05389
2015-01-14,5.46,5.46,5.21,5.23,1676400,5.18271
2015-01-13,5.41,5.49,5.36,5.47,1373900,5.42054
2015-01-12,5.50,5.54,5.43,5.50,1256900,5.45027
2015-01-09,5.52,5.62,5.48,5.60,2163600,5.54937
2015-01-08,5.45,5.48,5.37,5.44,1378800,5.39081
