date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.00,3.09,3.00,3.06,3349900,3.06
2015-06-29,3.10,3.14,3.04,3.05,3506500,3.05
2015-06-26,3.14,3.16,3.09,3.13,2062700,3.13
2015-06-25,3.25,3.31,3.22,3.25,1479800,3.169
2015-06-24,3.33,3.34,3.26,3.26,1550400,3.17875
2015-06-23,3.29,3.33,3.26,3.33,1273300,3.24701
2015-06-22,3.18,3.27,3.18,3.25,1324600,3.169
2015-06-19,3.10,3.21,3.10,3.19,2170200,3.1105
2015-06-18,3.12,3.15,3.07,3.09,2243500,3.01299
2015-06-17,3.15,3.17,3.11,3.16,1471100,3.08124
2015-06-16,3.15,3.15,3.10,3.11,1087000,3.03249
2015-06-15,3.13,3.15,3.105,3.12,1214300,3.04224
2015-06-12,3.13,3.17,3.10,3.13,1598600,3.05199
2015-06-11,3.13,3.18,3.12,3.12,1459900,3.04224
2015-06-10,3.15,3.16,3.10,3.12,2157900,3.04224
2015-06-09,3.18,3.18,3.12,3.14,1450400,3.06174
2015-06-08,3.17,3.17,3.17,3.17,000,3.09099
2015-06-05,3.15,3.21,3.14,3.17,1463300,3.09099
2015-06-04,3.24,3.24,3.15,3.17,1333000,3.09099
2015-06-03,3.26,3.26,3.18,3.23,1460200,3.1495
2015-06-02,3.31,3.33,3.23,3.27,1585800,3.1885
2015-06-01,3.28,3.31,3.215,3.31,1563100,3.2275
2015-05-29,3.23,3.32,3.23,3.31,2389700,3.2275
2015-05-28,3.22,3.24,3.19,3.23,788100,3.1495
2015-05-27,3.21,3.23,3.15,3.22,1378900,3.13975
2015-05-26,3.19,3.23,3.18,3.22,1065200,3.13975
2015-05-25,3.16,3.19,3.15,3.17,942500,3.09099
2015-05-22,3.12,3.16,3.12,3.14,1591600,3.06174
2015-05-21,3.10,3.14,3.10,3.10,1570400,3.02274
2015-05-20,3.10,3.13,3.085,3.11,1207000,3.03249
2015-05-19,3.09,3.11,3.04,3.05,888800,2.97398
2015-05-18,3.10,3.12,3.08,3.09,903100,3.01299
2015-05-15,3.08,3.11,3.06,3.10,610100,3.02274
2015-05-14,3.04,3.07,3.03,3.05,885700,2.97398
2015-05-13,3.02,3.08,3.02,3.07,726600,2.99349
2015-05-12,3.03,3.05,2.98,3.04,1338200,2.96423
2015-05-11,3.05,3.09,3.02,3.05,687200,2.97398
2015-05-08,3.01,3.06,3.00,3.05,1100600,2.97398
2015-05-07,3.04,3.06,2.99,3.01,2447000,2.93498
2015-05-06,3.11,3.12,3.08,3.10,1717000,3.02274
2015-05-05,3.15,3.19,3.13,3.15,1401400,3.07149
2015-05-04,3.11,3.17,3.10,3.12,1183600,3.04224
2015-05-01,3.01,3.10,3.00,3.08,1122500,3.00324
2015-04-30,3.02,3.08,3.00,3.04,1473800,2.96423
2015-04-29,3.12,3.12,3.07,3.08,839900,3.00324
