date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,10.38,10.61,10.35,10.60,4865400,10.60
2015-06-29,10.42,10.54,10.26,10.50,4243100,10.50
2015-06-26,10.55,10.59,10.37,10.53,4219100,10.53
2015-06-25,10.83,10.86,10.55,10.56,5306800,10.56
2015-06-24,11.01,11.01,10.88,10.90,2538600,10.90
2015-06-23,10.93,11.06,10.93,11.01,3527600,11.01
2015-06-22,10.82,10.85,10.74,10.82,2401400,10.82
2015-06-19,10.70,10.90,10.70,10.84,5056300,10.84
2015-06-18,10.79,10.87,10.58,10.64,5845100,10.64
2015-06-17,10.99,10.99,10.835,10.90,4800400,10.90
2015-06-16,10.94,11.03,10.82,10.88,4278300,10.88
2015-06-15,10.80,10.93,10.80,10.88,3378600,10.88
2015-06-12,10.93,11.01,10.86,10.92,2031200,10.92
2015-06-11,10.96,11.03,10.88,10.97,2534200,10.97
2015-06-10,10.83,10.94,10.77,10.89,2387800,10.89
2015-06-09,11.03,11.03,10.83,10.89,2729000,10.89
2015-06-08,10.92,10.92,10.92,10.92,000,10.92
2015-06-05,11.02,11.08,10.89,10.92,2012100,10.92
2015-06-04,11.06,11.12,10.93,10.94,3513600,10.94
2015-06-03,11.00,11.08,10.90,11.00,4837300,11.00
2015-06-02,11.49,11.56,11.09,11.12,4184100,11.12
2015-06-01,11.37,11.44,11.24,11.34,3177000,11.34
2015-05-29,11.40,11.59,11.36,11.44,6390400,11.44
2015-05-28,11.45,11.52,11.35,11.37,3472800,11.37
2015-05-27,11.43,11.47,11.35,11.45,3851500,11.45
2015-05-26,11.42,11.55,11.39,11.43,3356800,11.43
2015-05-25,11.31,11.51,11.29,11.43,3024800,11.43
2015-05-22,11.15,11.31,11.15,11.27,3589200,11.27
2015-05-21,11.04,11.19,11.00,11.17,4081900,11.17
2015-05-20,10.87,10.96,10.73,10.91,4043800,10.91
2015-05-19,10.95,11.04,10.83,10.86,4181400,10.86
2015-05-18,11.15,11.20,10.89,10.95,3212200,10.95
2015-05-15,11.26,11.27,11.08,11.15,2653000,11.15
2015-05-14,10.92,11.13,10.87,11.13,4458700,11.13
2015-05-13,11.06,11.075,10.94,11.03,2584600,11.03
2015-05-12,11.03,11.11,10.98,11.06,3566700,11.06
2015-05-11,11.07,11.12,10.93,10.94,3981600,10.94
2015-05-08,10.83,10.97,10.76,10.92,4967200,10.92
2015-05-07,10.74,10.93,10.68,10.75,3628600,10.75
2015-05-06,10.80,10.92,10.685,10.83,6254900,10.83
2015-05-05,11.19,11.20,10.88,10.92,4707300,10.92
2015-05-04,11.03,11.27,11.01,11.14,3747500,11.14
2015-05-01,10.96,10.98,10.82,10.98,4142300,10.98
2015-04-30,10.71,10.86,10.66,10.83,4725900,10.83
2015-04-29,10.96,11.06,10.79,10.79,4487700,10.79
2015-04-28,11.01,11.06,10.93,10.94,5207800,10.94
2015-04-27,11.10,11.15,10.87,10.97,4585900,10.97
2015-04-24,10.88,11.06,10.86,11.04,4855300,11.04
2015-04-23,10.87,10.87,10.71,10.84,3869400,10.84
2015-04-22,11.04,11.09,10.80,10.87,5026200,10.87
2015-04-21,11.12,11.13,10.94,11.04,6303800,11.04
2015-04-20,11.50,11.50,11.26,11.31,2883700,11.31
2015-04-17,11.78,11.82,11.55,11.57,4182200,11.57
2015-04-16,11.85,11.90,11.735,11.80,4499100,11.80
2015-04-15,11.79,11.93,11.715,11.84,4050600,11.84
2015-04-14,11.52,11.76,11.50,11.74,2179200,11.74
2015-04-13,11.82,11.82,11.64,11.68,2290800,11.68
2015-04-10,11.85,11.88,11.72,11.79,2076600,11.79
2015-04-09,11.89,11.89,11.70,11.79,2628900,11.79
2015-04-08,11.84,11.94,11.83,11.89,4152700,11.89
2015-04-07,11.77,11.95,11.74,11.80,4820300,11.80
2015-04-06,11.54,11.54,11.54,11.54,000,11.54
2015-04-03,11.54,11.54,11.54,11.54,000,11.54
2015-04-02,11.41,11.64,11.40,11.54,2719500,11.54
2015-04-01,11.39,11.60,11.39,11.48,3061800,11.48
2015-03-31,11.59,11.61,11.48,11.52,5205500,11.52
2015-03-30,11.39,11.54,11.375,11.50,3099900,11.50
2015-03-27,11.29,11.55,11.29,11.54,2784400,11.54
2015-03-26,11.45,11.45,11.31,11.35,3890000,11.35
2015-03-25,11.62,11.695,11.55,11.57,2941000,11.57
2015-03-24,11.55,11.59,11.41,11.57,3706200,11.57
2015-03-23,11.70,11.70,11.52,11.55,2470200,11.55
2015-03-20,11.63,11.71,11.57,11.66,3463200,11.66
2015-03-19,11.60,11.73,11.50,11.59,5253000,11.59
2015-03-18,11.35,11.45,11.24,11.44,3591200,11.44
2015-03-17,11.45,11.51,11.33,11.35,4176400,11.35
2015-03-16,11.33,11.43,11.24,11.41,6000400,11.41
2015-03-13,11.40,11.43,11.30,11.35,5037900,11.35
2015-03-12,11.29,11.43,11.25,11.43,4628100,11.43
2015-03-11,11.10,11.30,11.10,11.23,5173600,11.23
2015-03-10,11.35,11.42,11.28,11.34,3572800,11.182
2015-03-09,11.24,11.34,11.24,11.28,2871600,11.12284
2015-03-06,11.26,11.31,11.19,11.30,2778000,11.14256
2015-03-05,11.21,11.25,11.10,11.25,5700700,11.09325
2015-03-04,11.14,11.24,11.11,11.21,3549400,11.05381
2015-03-03,11.12,11.23,11.00,11.08,7131300,10.92562
2015-03-02,10.96,11.19,10.82,11.08,4626500,10.92562
2015-02-27,10.82,11.12,10.75,11.10,9253000,10.94534
2015-02-26,10.68,10.77,10.65,10.74,3588800,10.59036
2015-02-25,10.64,10.75,10.57,10.68,4186100,10.5312
2015-02-24,10.61,10.64,10.41,10.60,5158800,10.45231
2015-02-23,10.51,10.75,10.27,10.70,6328000,10.55092
2015-02-20,10.80,10.86,10.68,10.72,2426600,10.57064
2015-02-19,10.97,10.98,10.71,10.77,3413400,10.61994
2015-02-18,10.56,10.88,10.50,10.82,7243700,10.66924
2015-02-17,10.39,10.44,10.32,10.44,2144000,10.29454
2015-02-16,10.43,10.43,10.29,10.42,3813500,10.27482
2015-02-13,10.15,10.47,10.15,10.41,5406000,10.26496
2015-02-12,10.29,10.32,10.07,10.07,8086900,9.92969
2015-02-11,10.49,10.59,10.30,10.32,2954400,10.17621
2015-02-10,10.53,10.53,10.36,10.40,4151000,10.2551
2015-02-09,10.46,10.54,10.39,10.46,3359800,10.31426
2015-02-06,10.55,10.62,10.40,10.45,3515700,10.3044
2015-02-05,10.59,10.64,10.46,10.49,4897300,10.34384
2015-02-04,10.58,10.58,10.48,10.53,5458300,10.38329
2015-02-03,10.59,10.59,10.41,10.50,3316800,10.3537
2015-02-02,10.59,10.62,10.47,10.48,4557600,10.33398
2015-01-30,10.70,10.78,10.60,10.60,6073300,10.45231
