date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.72,3.75,3.61,3.66,1217400,3.66
2015-06-29,3.85,3.86,3.68,3.73,1001700,3.73
2015-06-26,3.83,3.90,3.77,3.84,870900,3.84
2015-06-25,3.95,3.96,3.85,3.86,510700,3.86
2015-06-24,3.94,3.99,3.91,3.93,468300,3.93
2015-06-23,3.94,3.985,3.91,3.94,884400,3.94
2015-06-22,3.94,4.025,3.92,3.94,688100,3.94
2015-06-19,4.06,4.125,3.90,3.90,2094600,3.90
2015-06-18,4.18,4.18,3.94,4.02,1283400,4.02
2015-06-17,4.19,4.35,4.13,4.29,788700,4.29
2015-06-16,4.32,4.37,4.15,4.17,710700,4.17
2015-06-15,4.38,4.38,4.25,4.25,494000,4.25
2015-06-12,4.42,4.45,4.39,4.40,340800,4.40
2015-06-11,4.46,4.52,4.39,4.47,984800,4.47
2015-06-10,4.59,4.59,4.42,4.43,590300,4.43
2015-06-09,4.49,4.59,4.44,4.48,281800,4.48
2015-06-08,4.50,4.50,4.50,4.50,000,4.50
2015-06-05,4.54,4.57,4.42,4.50,188800,4.50
2015-06-04,4.68,4.69,4.46,4.55,494800,4.55
2015-06-03,4.66,4.81,4.59,4.63,646000,4.63
2015-06-02,4.92,4.93,4.66,4.68,409500,4.68
2015-06-01,4.93,4.94,4.79,4.87,444100,4.87
2015-05-29,5.09,5.10,4.94,4.94,571400,4.94
2015-05-28,5.06,5.12,5.02,5.08,331800,5.08
2015-05-27,4.94,5.13,4.94,5.04,413100,5.04
2015-05-26,5.06,5.09,4.96,4.98,760400,4.98
2015-05-25,4.98,5.09,4.96,5.05,190400,5.05
2015-05-22,4.83,4.99,4.83,4.97,250800,4.97
2015-05-21,4.87,4.93,4.76,4.83,194800,4.83
2015-05-20,4.85,4.87,4.74,4.82,256100,4.82
2015-05-19,4.92,4.96,4.82,4.84,450700,4.84
2015-05-18,4.93,4.99,4.91,4.93,315900,4.93
2015-05-15,4.92,4.99,4.89,4.96,448700,4.96
2015-05-14,4.92,4.94,4.71,4.91,233600,4.91
2015-05-13,4.88,4.98,4.83,4.95,227900,4.95
2015-05-12,4.85,4.94,4.84,4.92,212100,4.92
2015-05-11,4.87,4.94,4.86,4.86,297600,4.86
2015-05-08,4.72,5.00,4.72,4.86,707600,4.86
2015-05-07,4.60,4.84,4.60,4.81,500100,4.81
2015-05-06,4.58,4.88,4.58,4.79,615000,4.79
2015-05-05,4.80,4.87,4.70,4.70,241100,4.70
2015-05-04,4.68,4.75,4.55,4.71,231700,4.71
2015-05-01,4.50,4.74,4.45,4.70,273600,4.70
2015-04-30,4.45,4.62,4.45,4.53,330000,4.53
2015-04-29,4.59,4.59,4.49,4.52,342400,4.52
2015-04-28,4.65,4.71,4.54,4.60,154100,4.60
2015-04-27,4.62,4.65,4.55,4.64,237800,4.64
2015-04-24,4.51,4.63,4.48,4.61,291800,4.61
2015-04-23,4.53,4.53,4.42,4.46,260900,4.46
2015-04-22,4.50,4.60,4.46,4.52,718100,4.52
2015-04-21,4.51,4.55,4.46,4.49,266700,4.49
2015-04-20,4.59,4.60,4.41,4.50,322400,4.50
2015-04-17,4.74,4.75,4.56,4.60,437100,4.60
2015-04-16,4.82,4.90,4.70,4.73,343500,4.73
2015-04-15,4.79,4.81,4.58,4.76,681700,4.76
2015-04-14,4.76,4.81,4.71,4.80,319900,4.80
2015-04-13,4.74,4.87,4.71,4.76,417900,4.76
2015-04-10,4.78,4.78,4.65,4.75,314100,4.75
2015-04-09,4.65,4.83,4.65,4.77,280100,4.77
2015-04-08,4.59,4.72,4.555,4.65,787300,4.65
2015-04-07,4.58,4.67,4.54,4.58,483800,4.58
2015-04-06,4.58,4.58,4.58,4.58,000,4.58
2015-04-03,4.58,4.58,4.58,4.58,000,4.58
2015-04-02,4.63,4.66,4.54,4.58,389700,4.58
2015-04-01,4.57,4.73,4.57,4.63,456000,4.63
2015-03-31,4.66,4.78,4.61,4.64,373600,4.64
2015-03-30,4.82,4.84,4.65,4.66,151500,4.66
2015-03-27,4.71,4.92,4.71,4.85,421700,4.85
2015-03-26,4.88,4.99,4.83,4.88,433600,4.737
2015-03-25,4.99,5.03,4.86,4.98,572900,4.834
2015-03-24,4.83,4.95,4.81,4.89,269500,4.747
2015-03-23,4.98,4.99,4.87,4.90,418300,4.757
2015-03-20,5.00,5.05,4.96,5.00,404600,4.854
2015-03-19,4.99,5.04,4.95,5.01,477400,4.863
2015-03-18,4.95,5.02,4.91,4.98,405000,4.834
2015-03-17,5.05,5.05,4.90,4.96,426500,4.815
2015-03-16,5.02,5.11,4.86,5.03,417500,4.883
2015-03-13,5.15,5.15,4.99,5.04,308200,4.892
2015-03-12,5.01,5.20,5.00,5.16,336900,5.009
2015-03-11,5.03,5.08,4.98,5.00,167700,4.854
2015-03-10,5.05,5.16,5.04,5.07,151900,4.922
2015-03-09,5.13,5.20,5.04,5.09,202700,4.941
2015-03-06,5.28,5.31,5.11,5.16,204000,5.009
2015-03-05,5.11,5.31,5.11,5.27,359200,5.116
2015-03-04,5.21,5.37,5.09,5.30,547000,5.145
2015-03-03,5.40,5.40,5.19,5.22,499000,5.067
2015-03-02,5.14,5.59,5.13,5.49,638700,5.329
2015-02-27,4.81,5.14,4.70,5.11,546700,4.96
2015-02-26,4.92,5.05,4.91,4.97,192500,4.825
2015-02-25,5.16,5.16,4.96,5.01,421900,4.863
2015-02-24,4.97,5.14,4.97,5.13,314300,4.98
2015-02-23,5.00,5.07,4.93,4.96,248500,4.815
