date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,83.85,85.41,83.63,85.13,3200300,85.13
2015-06-29,85.39,85.46,84.36,84.69,2491500,84.69
2015-06-26,86.50,86.91,86.01,86.65,9994200,86.65
2015-06-25,86.63,87.60,86.20,87.29,2825000,87.29
2015-06-24,87.08,87.59,86.92,87.19,2945900,87.19
2015-06-23,86.46,86.90,86.01,86.76,2778100,86.76
2015-06-22,84.27,85.115,83.95,85.02,2080700,85.02
2015-06-19,84.19,84.49,83.935,84.47,3571700,84.47
2015-06-18,84.16,84.23,82.69,83.20,5263300,83.20
2015-06-17,83.50,84.46,83.32,84.26,3562500,84.26
2015-06-16,82.00,83.02,81.61,82.38,1996500,82.38
2015-06-15,80.90,81.90,80.22,81.89,2365700,81.89
2015-06-12,81.50,81.96,81.02,81.42,1828200,81.42
2015-06-11,80.30,81.49,80.30,81.41,2573700,81.41
2015-06-10,79.86,80.20,79.19,79.91,2239100,79.91
2015-06-09,80.30,81.23,79.80,79.82,2808000,79.82
2015-06-08,80.29,80.29,80.29,80.29,000,80.29
2015-06-05,80.38,80.81,79.79,80.29,2859200,80.29
2015-06-04,81.50,82.49,80.47,80.54,3774700,80.54
2015-06-03,82.50,82.67,81.56,81.57,3726000,81.57
2015-06-02,85.12,85.12,83.00,83.00,2612400,83.00
2015-06-01,84.84,85.00,83.55,84.48,2103900,84.48
2015-05-29,83.97,85.82,83.67,85.09,9099200,85.09
2015-05-28,84.37,84.435,83.225,83.50,2631500,83.50
2015-05-27,84.34,84.80,83.84,84.13,2223300,84.13
2015-05-26,84.00,84.75,83.87,84.64,2435700,84.64
2015-05-25,83.20,84.24,82.88,84.00,1489600,84.00
2015-05-22,83.89,83.89,82.78,83.11,1792200,83.11
2015-05-21,82.20,83.66,82.20,83.56,2873600,83.56
2015-05-20,82.55,83.34,82.35,82.49,2529400,82.49
2015-05-19,83.05,83.82,82.26,82.85,3088800,82.85
2015-05-18,84.84,84.87,83.00,83.00,3319300,83.00
