date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,9.00,9.15,8.94,9.15,3235100,9.15
2015-06-29,9.14,9.14,8.99,9.00,2282400,9.00
2015-06-26,9.29,9.30,9.15,9.23,2235500,9.23
2015-06-25,9.40,9.43,9.36,9.36,1551900,9.36
2015-06-24,9.43,9.50,9.39,9.44,1864800,9.44
2015-06-23,9.42,9.50,9.37,9.48,2076400,9.48
2015-06-22,9.25,9.35,9.25,9.33,1316500,9.33
2015-06-19,9.22,9.38,9.20,9.33,1490500,9.33
2015-06-18,9.27,9.29,9.13,9.22,3351400,9.22
2015-06-17,9.36,9.38,9.28,9.35,1601600,9.35
2015-06-16,9.46,9.46,9.32,9.35,1856100,9.35
2015-06-15,9.44,9.46,9.35,9.43,1410800,9.43
2015-06-12,9.45,9.49,9.40,9.45,4043800,9.45
2015-06-11,9.48,9.54,9.44,9.52,1208500,9.52
2015-06-10,9.35,9.47,9.32,9.41,1312200,9.41
2015-06-09,9.57,9.57,9.365,9.41,2538600,9.41
2015-06-08,9.54,9.54,9.54,9.54,000,9.54
2015-06-05,9.50,9.60,9.48,9.54,1535900,9.54
2015-06-04,9.72,9.75,9.50,9.52,2304300,9.52
2015-06-03,9.79,9.83,9.64,9.68,2011800,9.68
2015-06-02,9.98,10.02,9.82,9.86,1322100,9.86
2015-06-01,10.04,10.06,9.87,9.98,1689200,9.98
2015-05-29,10.09,10.12,10.05,10.09,4503300,10.09
2015-05-28,10.10,10.10,10.01,10.05,2172200,10.05
2015-05-27,10.15,10.16,10.01,10.04,1975300,10.04
2015-05-26,10.17,10.245,10.17,10.23,1433300,10.23
2015-05-25,10.15,10.185,10.11,10.15,1044500,10.15
2015-05-22,10.17,10.24,10.06,10.10,1382300,10.10
2015-05-21,10.07,10.14,10.06,10.13,1714200,10.13
2015-05-20,10.00,10.07,9.905,10.00,1788200,10.00
2015-05-19,10.00,10.10,9.99,10.02,2147300,10.02
2015-05-18,10.11,10.19,9.97,9.97,1566600,9.97
2015-05-15,10.26,10.26,10.14,10.20,1668800,10.20
2015-05-14,10.02,10.14,10.00,10.14,1578900,10.14
2015-05-13,10.21,10.21,10.05,10.08,2329100,10.08
2015-05-12,9.80,10.25,9.72,10.23,3516500,10.23
2015-05-11,10.00,10.05,9.78,9.80,2626200,9.80
2015-05-08,10.15,10.15,9.89,9.89,1940000,9.89
2015-05-07,9.94,10.08,9.89,10.03,1855500,10.03
2015-05-06,10.07,10.13,10.04,10.04,2643000,10.04
2015-05-05,10.33,10.38,10.15,10.24,1493100,10.24
2015-05-04,10.21,10.39,10.19,10.24,1819500,10.24
2015-05-01,10.27,10.28,10.17,10.21,1201700,10.21
2015-04-30,10.13,10.30,10.04,10.27,2030900,10.27
2015-04-29,10.30,10.33,10.11,10.11,2832300,10.11
2015-04-28,10.60,10.60,10.365,10.38,1946500,10.38
2015-04-27,10.53,10.61,10.52,10.61,1326400,10.61
2015-04-24,10.60,10.67,10.44,10.51,1634000,10.51
2015-04-23,10.48,10.505,10.43,10.50,1714100,10.50
2015-04-22,10.55,10.57,10.43,10.49,1760400,10.49
2015-04-21,10.55,10.62,10.48,10.52,1074500,10.52
2015-04-20,10.60,10.64,10.52,10.54,1004800,10.54
2015-04-17,10.76,10.84,10.63,10.65,998800,10.65
2015-04-16,10.84,10.87,10.72,10.80,1059300,10.80
2015-04-15,10.99,10.99,10.69,10.82,2049900,10.82
2015-04-14,10.81,10.90,10.73,10.84,1131700,10.84
2015-04-13,10.99,11.00,10.83,10.89,1014100,10.89
2015-04-10,10.82,11.00,10.80,11.00,912600,11.00
2015-04-09,10.79,10.99,10.79,10.87,1245000,10.87
2015-04-08,10.80,11.00,10.76,10.97,1557000,10.97
2015-04-07,10.70,10.89,10.70,10.80,1799600,10.80
2015-04-06,10.68,10.68,10.68,10.68,000,10.68
2015-04-03,10.68,10.68,10.68,10.68,000,10.68
2015-04-02,10.60,10.80,10.60,10.68,1026000,10.68
2015-04-01,10.77,10.90,10.67,10.75,1387500,10.75
2015-03-31,10.82,10.91,10.76,10.78,1409800,10.78
2015-03-30,10.61,10.76,10.57,10.73,1071600,10.73
2015-03-27,10.65,10.76,10.55,10.76,2130100,10.76
2015-03-26,10.59,10.75,10.54,10.65,1605500,10.65
2015-03-25,10.90,10.93,10.74,10.76,1679800,10.76
2015-03-24,10.70,10.84,10.70,10.79,1058100,10.79
2015-03-23,10.94,10.94,10.60,10.67,1730500,10.67
2015-03-20,10.67,10.94,10.66,10.94,2570200,10.94
2015-03-19,10.58,10.65,10.55,10.64,1813000,10.64
2015-03-18,10.36,10.50,10.34,10.48,2260400,10.48
2015-03-17,10.41,10.45,10.32,10.36,1550900,10.36
2015-03-16,10.48,10.48,10.35,10.42,1146200,10.42
2015-03-13,10.51,10.55,10.37,10.54,1426100,10.54
2015-03-12,10.50,10.68,10.48,10.53,1487700,10.53
2015-03-11,10.55,10.58,10.44,10.52,2046800,10.52
2015-03-10,10.51,10.70,10.51,10.65,1756000,10.65
2015-03-09,10.50,10.52,10.45,10.51,1581000,10.51
2015-03-06,10.42,10.56,10.39,10.54,1240100,10.54
2015-03-05,10.27,10.42,10.24,10.42,1269400,10.42
2015-03-04,10.37,10.45,10.23,10.26,1603400,10.26
2015-03-03,10.50,10.62,10.285,10.34,2389600,10.34
2015-03-02,10.40,10.64,10.40,10.49,1624300,10.49
2015-02-27,10.47,10.49,10.35,10.41,2058500,10.41
2015-02-26,10.43,10.47,10.35,10.42,1324000,10.42
2015-02-25,10.40,10.53,10.34,10.53,1985000,10.53
2015-02-24,10.33,10.42,10.16,10.32,2022900,10.32
2015-02-23,10.20,10.38,10.13,10.33,2525900,10.33
2015-02-20,10.25,10.42,10.15,10.20,3474500,10.20
2015-02-19,10.65,10.70,10.36,10.46,4289500,10.16929
2015-02-18,10.59,10.95,10.46,10.61,5381800,10.31512
2015-02-17,10.00,10.68,9.97,10.61,5021100,10.31512
2015-02-16,9.80,9.99,9.75,9.98,2597300,9.70263
2015-02-13,9.62,9.85,9.62,9.81,2137700,9.53735
2015-02-12,9.78,9.84,9.51,9.63,3071900,9.36235
