date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,12.05,12.17,11.88,12.17,86600,12.17
2015-06-29,12.22,12.25,11.81,12.11,186600,12.11
2015-06-26,12.15,12.28,12.01,12.27,117100,12.27
2015-06-25,12.40,12.52,12.26,12.26,117300,12.26
2015-06-24,12.38,12.54,12.27,12.40,175500,12.40
2015-06-23,12.18,12.40,12.18,12.31,167000,12.31
2015-06-22,11.85,12.17,11.85,12.13,146000,12.13
2015-06-19,11.90,12.03,11.69,11.85,1232200,11.85
2015-06-18,11.95,12.00,11.81,11.85,110000,11.85
2015-06-17,11.93,11.99,11.91,11.95,59000,11.95
2015-06-16,11.92,12.08,11.90,11.94,97200,11.94
2015-06-15,11.93,11.95,11.82,11.92,76700,11.92
2015-06-12,11.85,12.02,11.77,11.93,146900,11.93
2015-06-11,11.70,11.94,11.63,11.82,206800,11.82
2015-06-10,11.76,11.76,11.62,11.63,126900,11.63
2015-06-09,11.69,11.74,11.58,11.74,95500,11.74
2015-06-08,11.70,11.70,11.70,11.70,000,11.70
2015-06-05,11.59,11.75,11.56,11.70,156500,11.70
2015-06-04,11.44,11.61,11.44,11.54,83200,11.54
2015-06-03,11.75,11.75,11.20,11.32,115800,11.32
2015-06-02,11.80,11.80,11.74,11.75,67500,11.75
2015-06-01,11.80,11.80,11.76,11.80,101100,11.80
2015-05-29,11.75,11.83,11.62,11.80,64900,11.80
2015-05-28,11.77,11.80,11.71,11.76,82200,11.76
2015-05-27,11.76,11.80,11.72,11.77,48300,11.77
2015-05-26,11.72,11.87,11.72,11.80,77600,11.80
2015-05-25,11.91,12.11,11.76,11.80,63500,11.80
2015-05-22,11.91,12.20,11.75,11.80,181800,11.80
2015-05-21,11.85,12.00,11.82,11.97,80000,11.97
2015-05-20,11.70,11.92,11.67,11.85,67200,11.85
2015-05-19,11.67,11.71,11.60,11.71,55100,11.71
2015-05-18,11.41,11.75,11.41,11.65,52500,11.65
2015-05-15,11.40,11.49,11.35,11.41,59400,11.41
2015-05-14,11.30,11.33,11.21,11.28,111600,11.28
2015-05-13,11.27,11.33,11.24,11.30,87700,11.30
2015-05-12,11.28,11.28,11.12,11.18,57400,11.18
2015-05-11,11.34,11.44,11.19,11.23,92600,11.23
2015-05-08,11.39,11.40,11.30,11.34,46400,11.34
2015-05-07,11.35,11.40,11.35,11.36,26200,11.36
2015-05-06,11.70,11.70,11.34,11.40,43800,11.40
2015-05-05,11.52,11.58,11.34,11.40,59000,11.40
2015-05-04,11.32,11.74,11.32,11.58,60600,11.58
2015-05-01,11.48,11.48,11.27,11.29,90000,11.29
2015-04-30,11.50,11.65,11.38,11.48,123900,11.48
2015-04-29,11.46,11.50,11.40,11.45,77700,11.45
2015-04-28,11.35,11.50,11.35,11.48,69200,11.48
2015-04-27,11.29,11.44,11.25,11.34,67500,11.34
2015-04-24,11.20,11.29,11.09,11.29,41800,11.29
2015-04-23,11.23,11.25,11.11,11.20,35900,11.20
2015-04-22,10.75,11.23,10.75,11.18,117900,11.18
2015-04-21,10.58,10.73,10.53,10.73,147100,10.73
2015-04-20,10.83,10.83,10.49,10.55,135600,10.55
2015-04-17,10.84,10.89,10.79,10.82,108900,10.82
2015-04-16,10.98,11.01,10.92,10.92,78800,10.92
2015-04-15,10.97,10.99,10.90,10.95,44200,10.95
2015-04-14,11.25,11.25,10.82,10.94,122600,10.94
2015-04-13,11.19,11.28,11.10,11.25,75000,11.25
2015-04-10,11.15,11.25,11.10,11.19,36600,11.19
2015-04-09,11.50,11.525,11.32,11.36,73300,11.36
2015-04-08,11.75,11.75,11.39,11.49,38500,11.49
2015-04-07,11.80,11.82,11.19,11.43,66700,11.43
2015-04-06,11.72,11.72,11.72,11.72,000,11.72
2015-04-03,11.72,11.72,11.72,11.72,000,11.72
2015-04-02,11.56,11.80,11.56,11.72,162800,11.72
2015-04-01,11.54,11.67,11.42,11.48,142800,11.48
2015-03-31,11.61,11.67,11.49,11.56,61100,11.56
2015-03-30,11.61,11.67,11.45,11.57,66000,11.57
2015-03-27,11.62,11.70,11.48,11.55,88200,11.55
2015-03-26,11.70,11.70,11.56,11.68,60700,11.68
2015-03-25,11.50,11.56,11.43,11.56,191700,11.56
2015-03-24,11.48,11.50,11.30,11.48,132900,11.48
2015-03-23,11.28,11.73,11.27,11.47,97400,11.47
2015-03-20,10.81,11.20,10.76,11.12,162600,11.12
2015-03-19,10.85,10.86,10.73,10.81,48600,10.81
2015-03-18,10.78,10.83,10.70,10.80,131000,10.80
2015-03-17,10.86,10.92,10.81,10.83,32900,10.83
2015-03-16,11.04,11.04,10.85,10.86,26300,10.86
2015-03-13,11.09,11.19,10.95,11.04,53600,11.04
2015-03-12,10.78,11.16,10.78,11.09,50000,11.09
2015-03-11,10.84,10.96,10.78,10.78,83000,10.78
2015-03-10,10.87,10.97,10.83,10.96,99300,10.96
2015-03-09,11.17,11.23,10.66,10.87,123100,10.87
2015-03-06,11.75,11.75,11.11,11.25,78500,11.25
2015-03-05,11.94,11.94,11.77,11.82,70400,11.82
2015-03-04,11.75,12.00,11.68,11.90,155800,11.90
2015-03-03,11.68,11.75,11.68,11.75,55600,11.75
2015-03-02,11.58,11.74,11.51,11.67,52700,11.67
2015-02-27,11.56,11.58,11.48,11.54,42500,11.54
2015-02-26,11.45,11.69,11.45,11.57,41300,11.57
2015-02-25,11.47,11.55,11.37,11.50,85200,11.50
2015-02-24,11.35,11.54,11.35,11.52,51900,11.52
2015-02-23,11.50,11.59,11.19,11.45,180500,11.45
2015-02-20,12.14,12.14,11.65,11.65,88800,11.43
2015-02-19,12.05,12.12,12.00,12.00,80300,11.773
2015-02-18,11.85,12.05,11.78,12.05,181600,11.822
2015-02-17,11.92,11.98,11.75,11.90,104300,11.675
2015-02-16,11.99,12.00,11.94,11.94,73200,11.715
2015-02-13,12.00,12.07,11.90,11.93,74900,11.705
2015-02-12,11.86,12.00,11.84,11.99,83000,11.764
2015-02-11,11.75,11.96,11.74,11.83,66400,11.607
2015-02-10,11.74,11.85,11.65,11.84,44200,11.616
2015-02-09,11.50,11.81,11.50,11.80,107800,11.577
2015-02-06,11.80,11.80,11.41,11.50,89100,11.283
2015-02-05,11.84,11.84,11.70,11.80,85800,11.577
2015-02-04,11.60,11.95,11.60,11.82,158200,11.597
2015-02-03,11.88,11.90,11.22,11.48,157000,11.263
2015-02-02,11.71,12.10,11.71,11.90,122200,11.675
2015-01-30,11.50,11.80,11.44,11.70,159600,11.479
2015-01-29,11.15,11.65,10.95,11.60,142500,11.381
2015-01-28,11.05,11.19,10.93,11.19,26500,10.979
2015-01-27,11.07,11.20,11.07,11.07,75500,10.861
2015-01-26,11.07,11.07,11.07,11.07,000,10.861
2015-01-23,10.85,11.10,10.85,11.07,73100,10.861
