date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.68,0.70,0.665,0.70,806100,0.70
2015-06-29,0.695,0.70,0.68,0.685,317300,0.685
2015-06-26,0.705,0.73,0.70,0.70,520000,0.70
2015-06-25,0.74,0.74,0.70,0.705,946200,0.705
2015-06-24,0.74,0.76,0.71,0.715,919900,0.715
2015-06-23,0.74,0.74,0.72,0.725,903800,0.725
2015-06-22,0.775,0.775,0.72,0.72,868500,0.72
2015-06-19,0.76,0.79,0.755,0.77,1756200,0.77
2015-06-18,0.675,0.755,0.665,0.75,1396100,0.75
2015-06-17,0.68,0.68,0.68,0.68,000,0.68
2015-06-16,0.695,0.697,0.67,0.68,540900,0.68
2015-06-15,0.695,0.70,0.69,0.70,292400,0.70
2015-06-12,0.717,0.72,0.695,0.695,286100,0.695
2015-06-11,0.715,0.72,0.70,0.72,351400,0.72
2015-06-10,0.725,0.725,0.695,0.705,590800,0.705
2015-06-09,0.71,0.725,0.705,0.725,457200,0.725
2015-06-08,0.71,0.71,0.71,0.71,000,0.71
2015-06-05,0.745,0.75,0.71,0.71,1186500,0.71
2015-06-04,0.74,0.76,0.735,0.745,273600,0.745
2015-06-03,0.75,0.755,0.735,0.735,408800,0.735
2015-06-02,0.765,0.78,0.75,0.75,275800,0.75
2015-06-01,0.78,0.78,0.76,0.765,298300,0.765
2015-05-29,0.79,0.79,0.76,0.78,334700,0.78
2015-05-28,0.79,0.79,0.78,0.78,266100,0.78
2015-05-27,0.78,0.79,0.775,0.79,507600,0.79
2015-05-26,0.775,0.78,0.775,0.775,271100,0.775
2015-05-25,0.77,0.775,0.76,0.775,249800,0.775
2015-05-22,0.79,0.79,0.73,0.765,1508400,0.765
2015-05-21,0.78,0.795,0.78,0.785,177000,0.785
2015-05-20,0.79,0.80,0.785,0.79,148200,0.79
2015-05-19,0.79,0.795,0.78,0.795,297200,0.795
2015-05-18,0.795,0.80,0.785,0.785,348700,0.785
2015-05-15,0.81,0.82,0.795,0.795,414200,0.795
2015-05-14,0.825,0.825,0.805,0.81,379500,0.81
2015-05-13,0.79,0.825,0.785,0.825,291100,0.825
2015-05-12,0.79,0.80,0.785,0.785,323000,0.785
2015-05-11,0.80,0.805,0.78,0.80,318700,0.80
2015-05-08,0.83,0.835,0.80,0.80,386100,0.80
2015-05-07,0.82,0.835,0.81,0.835,215000,0.835
2015-05-06,0.85,0.85,0.81,0.815,552100,0.815
2015-05-05,0.86,0.875,0.84,0.84,446800,0.84
2015-05-04,0.885,0.885,0.85,0.86,301200,0.86
