date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.15,1.155,1.15,1.15,133200,1.15
2015-06-29,1.155,1.155,1.15,1.15,53400,1.15
2015-06-26,1.15,1.16,1.15,1.155,57000,1.155
2015-06-25,1.15,1.165,1.15,1.16,38400,1.16
2015-06-24,1.15,1.16,1.15,1.155,14100,1.155
2015-06-23,1.16,1.165,1.15,1.16,88900,1.16
2015-06-22,1.155,1.16,1.15,1.16,68800,1.16
2015-06-19,1.16,1.16,1.15,1.155,13800,1.155
2015-06-18,1.155,1.16,1.14,1.15,332000,1.15
2015-06-17,1.17,1.17,1.15,1.155,31600,1.155
2015-06-16,1.17,1.17,1.17,1.17,101500,1.17
2015-06-15,1.175,1.18,1.17,1.17,149000,1.17
2015-06-12,1.17,1.175,1.17,1.17,64400,1.17
2015-06-11,1.15,1.17,1.13,1.165,103900,1.165
2015-06-10,1.17,1.17,1.14,1.14,47300,1.14
2015-06-09,1.14,1.17,1.135,1.17,70200,1.17
2015-06-08,1.15,1.15,1.15,1.15,000,1.15
2015-06-05,1.15,1.15,1.13,1.15,203200,1.15
2015-06-04,1.14,1.16,1.14,1.16,78300,1.16
2015-06-03,1.13,1.15,1.13,1.15,88700,1.15
2015-06-02,1.12,1.125,1.115,1.12,188100,1.12
2015-06-01,1.105,1.12,1.105,1.12,69500,1.12
2015-05-29,1.10,1.107,1.10,1.105,99500,1.105
2015-05-28,1.11,1.11,1.10,1.10,51800,1.10
2015-05-27,1.10,1.105,1.10,1.105,44900,1.105
2015-05-26,1.12,1.13,1.10,1.10,139000,1.10
2015-05-25,1.125,1.13,1.125,1.125,146200,1.125
2015-05-22,1.12,1.135,1.12,1.13,70300,1.13
2015-05-21,1.14,1.145,1.12,1.12,242800,1.12
2015-05-20,1.13,1.15,1.11,1.15,94800,1.15
2015-05-19,1.13,1.13,1.10,1.13,107800,1.13
2015-05-18,1.185,1.185,1.08,1.11,223000,1.11
2015-05-15,1.22,1.22,1.185,1.19,30800,1.19
2015-05-14,1.22,1.22,1.21,1.21,5600,1.21
2015-05-13,1.20,1.215,1.185,1.215,47300,1.215
2015-05-12,1.255,1.255,1.185,1.20,123600,1.20
2015-05-11,1.25,1.27,1.24,1.24,270000,1.24
2015-05-08,1.25,1.26,1.235,1.25,136600,1.25
2015-05-07,1.20,1.235,1.195,1.235,51100,1.235
2015-05-06,1.245,1.245,1.20,1.21,117600,1.21
2015-05-05,1.20,1.26,1.20,1.24,243600,1.24
2015-05-04,1.15,1.19,1.15,1.185,135900,1.185
2015-05-01,1.15,1.15,1.135,1.14,163400,1.14
2015-04-30,1.145,1.15,1.14,1.15,197000,1.15
2015-04-29,1.11,1.15,1.11,1.145,288200,1.145
2015-04-28,1.08,1.11,1.07,1.11,264100,1.11
2015-04-27,1.06,1.08,1.025,1.08,279600,1.08
2015-04-24,1.065,1.065,1.06,1.06,618400,1.06
2015-04-23,1.07,1.07,1.05,1.06,160200,1.06
2015-04-22,1.06,1.07,1.06,1.07,148800,1.07
2015-04-21,1.065,1.065,1.05,1.065,192400,1.065
2015-04-20,1.05,1.07,1.04,1.07,192100,1.07
2015-04-17,1.07,1.07,1.065,1.07,318200,1.07
2015-04-16,1.07,1.07,1.065,1.07,32300,1.07
2015-04-15,1.075,1.075,1.03,1.065,308800,1.065
2015-04-14,1.06,1.075,1.06,1.07,111600,1.07
2015-04-13,1.055,1.09,1.055,1.075,113100,1.075
2015-04-10,1.07,1.08,1.06,1.065,40600,1.065
2015-04-09,1.025,1.08,1.025,1.08,137300,1.08
2015-04-08,1.00,1.025,1.00,1.02,145600,1.02
2015-04-07,1.01,1.025,1.00,1.01,82700,1.01
2015-04-06,1.01,1.01,1.01,1.01,000,1.01
2015-04-03,1.01,1.01,1.01,1.01,000,1.01
2015-04-02,0.99,1.015,0.99,1.01,350200,1.01
2015-04-01,0.96,0.995,0.94,0.99,97700,0.99
2015-03-31,1.00,1.00,0.937,0.99,380200,0.99
2015-03-30,1.00,1.01,0.99,1.00,260200,1.00
2015-03-27,0.99,1.01,0.99,1.00,260000,1.00
2015-03-26,1.02,1.02,0.99,1.00,99700,1.00
2015-03-25,1.04,1.05,1.02,1.02,100500,1.02
2015-03-24,1.05,1.065,1.035,1.04,116500,1.04
2015-03-23,1.06,1.065,1.05,1.065,129200,1.065
2015-03-20,1.07,1.08,1.055,1.06,64100,1.06
2015-03-19,1.05,1.07,1.045,1.07,170500,1.07
2015-03-18,1.04,1.05,1.035,1.05,130700,1.05
2015-03-17,1.08,1.08,1.03,1.045,112700,1.045
2015-03-16,1.07,1.10,1.06,1.08,208700,1.08
2015-03-13,1.08,1.08,1.05,1.07,92700,1.07
2015-03-12,1.075,1.11,1.04,1.075,170800,1.075
2015-03-11,0.98,1.045,0.97,1.045,117300,1.0236
2015-03-10,1.01,1.04,1.00,1.00,76100,0.9795
2015-03-09,1.01,1.02,1.00,1.02,100400,0.9991
2015-03-06,1.00,1.015,0.98,1.015,95200,0.9942
2015-03-05,0.97,1.02,0.97,1.005,555300,0.9844
2015-03-04,0.96,0.98,0.95,0.98,137400,0.9599
2015-03-03,0.96,0.98,0.95,0.95,92800,0.9305
2015-03-02,0.98,0.98,0.96,0.97,119100,0.9501
2015-02-27,0.95,0.985,0.95,0.985,67400,0.9648
2015-02-26,0.96,0.96,0.93,0.95,250400,0.9305
2015-02-25,0.98,0.98,0.955,0.975,34300,0.955
2015-02-24,0.96,0.98,0.95,0.98,262400,0.9599
2015-02-23,0.945,0.965,0.935,0.95,424300,0.9305
2015-02-20,0.96,0.96,0.905,0.935,144900,0.9158
2015-02-19,0.905,0.97,0.905,0.95,480600,0.9305
2015-02-18,0.87,0.875,0.83,0.86,113600,0.8424
2015-02-17,0.885,0.89,0.865,0.88,70300,0.862
2015-02-16,0.89,0.895,0.86,0.875,277700,0.8571
2015-02-13,0.855,0.865,0.855,0.855,233700,0.8375
2015-02-12,0.86,0.86,0.845,0.855,120200,0.8375
2015-02-11,0.85,0.86,0.845,0.85,190700,0.8326
2015-02-10,0.82,0.87,0.82,0.86,315700,0.8424
2015-02-09,0.815,0.83,0.815,0.83,135400,0.813
2015-02-06,0.795,0.815,0.79,0.815,206700,0.7983
2015-02-05,0.83,0.83,0.79,0.795,135100,0.7787
2015-02-04,0.83,0.84,0.82,0.82,74400,0.8032
2015-02-03,0.82,0.84,0.81,0.84,127600,0.8228
2015-02-02,0.82,0.82,0.80,0.82,65000,0.8032
2015-01-30,0.80,0.825,0.79,0.815,133700,0.7983
2015-01-29,0.80,0.80,0.79,0.80,60800,0.7836
2015-01-28,0.785,0.825,0.785,0.80,127200,0.7836
2015-01-27,0.77,0.81,0.76,0.81,177500,0.7934
2015-01-26,0.77,0.77,0.77,0.77,000,0.7542
2015-01-23,0.79,0.79,0.77,0.77,29700,0.7542
2015-01-22,0.80,0.80,0.785,0.795,40800,0.7787
2015-01-21,0.80,0.83,0.795,0.80,31100,0.7836
2015-01-20,0.79,0.80,0.755,0.80,70600,0.7836
2015-01-19,0.75,0.79,0.75,0.78,128100,0.764
2015-01-16,0.77,0.77,0.745,0.745,72700,0.7297
2015-01-15,0.755,0.77,0.74,0.77,63800,0.7542
2015-01-14,0.76,0.76,0.73,0.755,19200,0.7395
2015-01-13,0.765,0.765,0.76,0.76,14300,0.7444
2015-01-12,0.78,0.78,0.76,0.775,21800,0.7591
2015-01-09,0.76,0.775,0.74,0.775,78000,0.7591
2015-01-08,0.77,0.77,0.745,0.76,19600,0.7444
2015-01-07,0.745,0.79,0.745,0.76,63700,0.7444
2015-01-06,0.72,0.745,0.72,0.745,109600,0.7297
2015-01-05,0.73,0.75,0.725,0.745,77300,0.7297
2015-01-02,0.74,0.76,0.74,0.74,26900,0.7248
2015-01-01,0.76,0.76,0.76,0.76,000,0.7444
2014-12-31,0.76,0.76,0.74,0.76,33500,0.7444
2014-12-30,0.785,0.785,0.785,0.785,12300,0.7689
2014-12-29,0.78,0.795,0.775,0.795,14300,0.7787
2014-12-26,0.76,0.76,0.76,0.76,000,0.7444
2014-12-25,0.76,0.76,0.76,0.76,000,0.7444
2014-12-24,0.75,0.76,0.75,0.76,41200,0.7444
2014-12-23,0.75,0.75,0.74,0.75,12000,0.7346
2014-12-22,0.76,0.78,0.755,0.78,80200,0.764
2014-12-19,0.775,0.775,0.74,0.76,115000,0.7444
2014-12-18,0.74,0.775,0.74,0.775,167200,0.7591
2014-12-17,0.76,0.76,0.74,0.74,50400,0.7248
2014-12-16,0.77,0.77,0.765,0.77,57000,0.7542
2014-12-15,0.77,0.78,0.77,0.775,69600,0.7591
2014-12-12,0.79,0.79,0.78,0.78,140800,0.764
2014-12-11,0.77,0.805,0.77,0.805,85700,0.7885
2014-12-10,0.79,0.79,0.77,0.79,69500,0.7738
2014-12-09,0.765,0.79,0.76,0.79,37000,0.7738
2014-12-08,0.795,0.80,0.75,0.80,95900,0.7836
2014-12-05,0.755,0.79,0.74,0.79,125600,0.7738
2014-12-04,0.765,0.765,0.755,0.76,20200,0.7444
2014-12-03,0.79,0.79,0.755,0.775,42000,0.7591
2014-12-02,0.767,0.78,0.75,0.78,81100,0.764
2014-12-01,0.80,0.80,0.75,0.75,114400,0.7346
2014-11-28,0.797,0.805,0.795,0.795,63500,0.7787
2014-11-27,0.80,0.80,0.795,0.795,31600,0.7787
2014-11-26,0.80,0.80,0.795,0.795,22600,0.7787
2014-11-25,0.82,0.82,0.80,0.80,55600,0.7836
2014-11-24,0.81,0.825,0.805,0.82,132200,0.8032
2014-11-21,0.835,0.835,0.80,0.81,41000,0.7934
2014-11-20,0.83,0.83,0.82,0.825,37100,0.8081
2014-11-19,0.84,0.84,0.82,0.84,97000,0.8228
2014-11-18,0.82,0.84,0.82,0.83,42300,0.813
2014-11-17,0.815,0.825,0.805,0.825,36900,0.8081
2014-11-14,0.81,0.825,0.785,0.805,100100,0.7885
2014-11-13,0.847,0.8475,0.81,0.81,178800,0.7934
2014-11-12,0.865,0.865,0.847,0.85,70600,0.8326
2014-11-11,0.87,0.89,0.86,0.865,64400,0.8473
2014-11-10,0.865,0.88,0.85,0.87,103300,0.8522
2014-11-07,0.84,0.855,0.835,0.855,74600,0.8375
2014-11-06,0.85,0.86,0.802,0.83,128900,0.813
