date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.29,3.35,3.21,3.23,675600,3.23
2015-06-29,3.36,3.37,3.22,3.37,416200,3.37
2015-06-26,3.28,3.39,3.28,3.39,600300,3.39
2015-06-25,3.29,3.38,3.27,3.33,415800,3.33
2015-06-24,3.28,3.34,3.23,3.33,350100,3.33
2015-06-23,3.39,3.39,3.24,3.30,355500,3.30
2015-06-22,3.05,3.50,3.05,3.43,913100,3.43
2015-06-19,3.03,3.09,2.99,3.08,1701600,3.08
2015-06-18,2.98,3.07,2.97,2.99,656200,2.99
2015-06-17,3.06,3.07,2.96,3.03,520100,3.03
2015-06-16,3.05,3.06,3.00,3.06,491800,3.06
2015-06-15,3.00,3.06,2.96,3.05,361300,3.05
2015-06-12,3.02,3.03,2.99,3.02,245800,3.02
2015-06-11,2.96,3.065,2.96,3.05,906600,3.05
2015-06-10,2.95,2.97,2.91,2.95,876800,2.95
2015-06-09,2.89,2.97,2.89,2.94,752600,2.94
2015-06-08,2.89,2.89,2.89,2.89,000,2.89
2015-06-05,2.85,2.945,2.82,2.89,973100,2.89
2015-06-04,2.84,2.95,2.78,2.82,576900,2.82
2015-06-03,2.83,2.84,2.77,2.82,767800,2.82
2015-06-02,3.00,3.03,2.86,2.86,714000,2.86
2015-06-01,3.05,3.10,2.94,2.95,1051900,2.95
2015-05-29,3.04,3.10,3.01,3.05,757400,3.05
2015-05-28,2.96,3.05,2.96,3.05,527600,3.05
2015-05-27,2.89,2.98,2.88,2.90,440100,2.90
2015-05-26,2.89,2.97,2.85,2.95,425700,2.95
2015-05-25,2.84,2.89,2.70,2.86,1185500,2.86
2015-05-22,2.63,2.88,2.58,2.81,2901700,2.81
2015-05-21,2.42,2.44,2.18,2.36,8656800,2.36
2015-05-20,3.09,3.09,2.39,2.50,6935300,2.50
2015-05-19,3.49,3.49,3.41,3.44,1178200,3.44
2015-05-18,3.46,3.51,3.45,3.47,550900,3.47
2015-05-15,3.50,3.55,3.40,3.45,616200,3.45
2015-05-14,3.45,3.51,3.42,3.50,542500,3.50
2015-05-13,3.45,3.55,3.45,3.50,475300,3.50
2015-05-12,3.49,3.50,3.42,3.47,573000,3.47
2015-05-11,3.41,3.50,3.40,3.46,419600,3.46
2015-05-08,3.43,3.49,3.35,3.37,355800,3.37
2015-05-07,3.37,3.47,3.35,3.43,438600,3.43
2015-05-06,3.49,3.50,3.45,3.46,602900,3.46
2015-05-05,3.52,3.53,3.46,3.49,449800,3.49
2015-05-04,3.50,3.57,3.46,3.55,611400,3.55
2015-05-01,3.43,3.51,3.42,3.50,643500,3.50
2015-04-30,3.42,3.51,3.38,3.46,836100,3.46
2015-04-29,3.60,3.62,3.45,3.49,702500,3.49
2015-04-28,3.62,3.74,3.52,3.60,658700,3.60
2015-04-27,3.47,3.61,3.45,3.61,519000,3.61
2015-04-24,3.39,3.47,3.38,3.44,243700,3.44
2015-04-23,3.38,3.38,3.28,3.38,509500,3.38
2015-04-22,3.31,3.38,3.26,3.38,176200,3.38
2015-04-21,3.26,3.32,3.26,3.32,298200,3.32
2015-04-20,3.33,3.33,3.16,3.22,520900,3.22
2015-04-17,3.46,3.52,3.31,3.35,686100,3.35
2015-04-16,3.35,3.48,3.34,3.45,508500,3.45
2015-04-15,3.34,3.38,3.30,3.35,456200,3.35
2015-04-14,3.32,3.34,3.28,3.34,653200,3.34
