date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.41,1.73,1.395,1.70,1966100,1.70
2015-06-29,1.205,1.56,1.19,1.40,1481400,1.40
2015-06-26,1.175,1.215,1.17,1.20,281000,1.20
2015-06-25,1.19,1.22,1.135,1.17,349500,1.17
2015-06-24,1.17,1.20,1.155,1.19,152400,1.19
2015-06-23,1.19,1.195,1.15,1.165,234900,1.165
2015-06-22,1.20,1.23,1.16,1.19,384100,1.19
2015-06-19,1.26,1.29,1.21,1.21,622700,1.21
2015-06-18,1.295,1.295,1.255,1.26,336100,1.26
2015-06-17,1.295,1.295,1.265,1.27,122700,1.27
2015-06-16,1.295,1.295,1.255,1.295,211600,1.295
2015-06-15,1.295,1.295,1.255,1.26,58800,1.26
2015-06-12,1.24,1.30,1.235,1.30,321400,1.30
2015-06-11,1.245,1.275,1.24,1.26,110000,1.26
2015-06-10,1.23,1.275,1.215,1.26,123800,1.26
2015-06-09,1.25,1.25,1.225,1.235,140600,1.235
2015-06-08,1.25,1.25,1.25,1.25,000,1.25
2015-06-05,1.275,1.28,1.245,1.25,349200,1.25
2015-06-04,1.285,1.285,1.26,1.275,43900,1.275
2015-06-03,1.27,1.30,1.265,1.285,207400,1.285
2015-06-02,1.265,1.28,1.255,1.27,63200,1.27
2015-06-01,1.28,1.285,1.25,1.255,295300,1.255
2015-05-29,1.29,1.305,1.275,1.275,521200,1.275
2015-05-28,1.295,1.31,1.225,1.28,459700,1.28
2015-05-27,1.295,1.315,1.285,1.295,302700,1.295
2015-05-26,1.31,1.345,1.295,1.30,669200,1.30
2015-05-25,1.33,1.34,1.31,1.325,195400,1.325
2015-05-22,1.27,1.32,1.257,1.32,316600,1.32
2015-05-21,1.21,1.315,1.21,1.27,423700,1.27
2015-05-20,1.19,1.22,1.185,1.22,193400,1.22
2015-05-19,1.21,1.225,1.19,1.225,486700,1.225
2015-05-18,1.225,1.24,1.18,1.22,214400,1.22
2015-05-15,1.25,1.25,1.19,1.23,398500,1.23
2015-05-14,1.245,1.25,1.225,1.245,1231400,1.245
2015-05-13,1.235,1.245,1.21,1.225,278100,1.225
2015-05-12,1.20,1.235,1.20,1.225,168400,1.225
2015-05-11,1.195,1.225,1.19,1.215,87800,1.215
2015-05-08,1.235,1.24,1.195,1.195,309600,1.195
2015-05-07,1.25,1.255,1.215,1.22,137600,1.22
2015-05-06,1.29,1.305,1.245,1.25,1666400,1.25
2015-05-05,1.30,1.31,1.28,1.28,732400,1.28
2015-05-04,1.30,1.37,1.25,1.31,3531000,1.31
2015-05-01,1.41,1.41,1.41,1.41,000,1.41
2015-04-30,1.41,1.41,1.41,1.41,000,1.41
2015-04-29,1.41,1.41,1.41,1.41,000,1.41
2015-04-28,1.41,1.41,1.41,1.41,000,1.41
2015-04-27,1.41,1.41,1.41,1.41,000,1.41
2015-04-24,1.41,1.41,1.41,1.41,000,1.41
2015-04-23,1.41,1.41,1.41,1.41,000,1.41
2015-04-22,1.41,1.41,1.41,1.41,000,1.41
2015-04-21,1.41,1.41,1.41,1.41,000,1.41
2015-04-20,1.41,1.41,1.41,1.41,000,1.41
2015-04-17,1.41,1.41,1.41,1.41,000,1.41
2015-04-16,1.41,1.41,1.41,1.41,000,1.41
2015-04-15,1.41,1.41,1.41,1.41,000,1.41
2015-04-14,1.41,1.41,1.41,1.41,000,1.41
