date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,6.63,6.74,6.50,6.72,3114000,6.72
2015-06-29,6.70,6.70,6.55,6.62,1781300,6.62
2015-06-26,6.83,6.83,6.71,6.79,1592300,6.79
2015-06-25,7.03,7.03,6.88,6.89,1748000,6.89
2015-06-24,6.96,7.06,6.94,7.02,2698700,7.02
2015-06-23,6.93,6.99,6.91,6.96,1399800,6.96
2015-06-22,6.84,6.88,6.75,6.85,1080700,6.85
2015-06-19,6.81,6.87,6.775,6.83,1575400,6.83
2015-06-18,6.96,6.96,6.71,6.78,2720000,6.78
2015-06-17,6.80,7.02,6.78,7.01,2498200,7.01
2015-06-16,6.70,6.825,6.69,6.71,2440700,6.71
2015-06-15,6.73,6.80,6.66,6.67,2028600,6.67
2015-06-12,6.77,6.82,6.73,6.79,1194400,6.79
2015-06-11,6.70,6.81,6.68,6.80,1757600,6.80
2015-06-10,6.62,6.655,6.53,6.63,1651900,6.63
2015-06-09,6.58,6.68,6.58,6.62,2694800,6.62
2015-06-08,6.54,6.54,6.54,6.54,000,6.54
2015-06-05,6.48,6.58,6.46,6.54,2471000,6.54
2015-06-04,6.69,6.69,6.49,6.52,3288700,6.52
2015-06-03,6.71,6.74,6.61,6.64,3229600,6.64
2015-06-02,6.87,6.89,6.72,6.76,2512600,6.76
2015-06-01,6.97,6.97,6.705,6.81,2596200,6.81
2015-05-29,6.92,6.99,6.88,6.88,3141400,6.88
2015-05-28,7.05,7.06,6.915,6.93,1252000,6.93
2015-05-27,7.04,7.12,7.00,7.01,1707800,7.01
2015-05-26,7.00,7.13,6.99,7.08,1470400,7.08
2015-05-25,6.98,7.09,6.93,6.95,1434600,6.95
2015-05-22,6.95,7.08,6.925,6.98,2506500,6.98
2015-05-21,6.88,6.91,6.84,6.87,2466000,6.87
2015-05-20,6.96,6.98,6.81,6.83,2528000,6.83
2015-05-19,7.04,7.05,6.92,6.93,2635100,6.93
2015-05-18,7.23,7.27,7.06,7.06,1523700,7.06
2015-05-15,7.27,7.33,7.195,7.24,1548500,7.24
2015-05-14,7.16,7.25,7.12,7.25,3293600,7.25
2015-05-13,7.00,7.20,6.99,7.19,1488700,7.19
2015-05-12,7.00,7.05,6.95,7.01,1690200,7.01
2015-05-11,7.09,7.14,7.02,7.03,1826300,7.03
2015-05-08,6.97,7.09,6.97,7.01,1343200,7.01
2015-05-07,6.99,7.01,6.955,6.96,2171800,6.96
2015-05-06,7.02,7.035,6.94,7.00,2081800,7.00
2015-05-05,7.19,7.27,7.06,7.09,2385300,7.09
2015-05-04,7.10,7.145,7.03,7.12,1274900,7.12
2015-05-01,7.06,7.09,6.98,7.05,1639200,7.05
2015-04-30,7.01,7.09,6.90,7.07,2928900,7.07
2015-04-29,7.10,7.14,7.04,7.10,3404700,7.10
2015-04-28,7.10,7.24,7.075,7.08,2341400,7.08
2015-04-27,7.05,7.16,6.99,7.08,2781500,7.08
2015-04-24,7.05,7.09,7.00,7.04,3008600,7.04
2015-04-23,7.06,7.09,6.93,6.97,1758900,6.97
2015-04-22,7.17,7.225,6.98,6.99,2783300,6.99
2015-04-21,7.10,7.19,7.05,7.18,2222200,7.18
2015-04-20,6.95,7.01,6.76,6.99,3414500,6.99
2015-04-17,7.25,7.26,6.96,6.96,2943500,6.96
2015-04-16,7.37,7.38,7.20,7.23,2852200,7.23
2015-04-15,7.35,7.36,7.18,7.25,1722100,7.25
2015-04-14,7.25,7.41,7.22,7.33,1823700,7.33
2015-04-13,7.25,7.34,7.23,7.24,1174600,7.24
2015-04-10,7.15,7.22,7.07,7.20,1758000,7.20
2015-04-09,7.24,7.25,7.13,7.13,1438300,7.13
2015-04-08,7.14,7.25,7.12,7.22,2435000,7.22
2015-04-07,7.09,7.16,7.03,7.07,1632100,7.07
2015-04-06,7.05,7.05,7.05,7.05,000,7.05
2015-04-03,7.05,7.05,7.05,7.05,000,7.05
2015-04-02,7.08,7.10,6.985,7.05,1894100,7.05
2015-04-01,7.09,7.135,7.00,7.00,2561200,7.00
2015-03-31,7.08,7.25,7.08,7.17,1379100,7.17
2015-03-30,7.06,7.10,6.98,7.04,1435300,7.04
2015-03-27,7.10,7.20,7.01,7.10,3800400,7.10
2015-03-26,7.10,7.17,7.06,7.10,1450400,7.10
2015-03-25,7.27,7.27,7.13,7.21,2917100,7.21
2015-03-24,7.26,7.30,7.21,7.24,1805500,7.24
2015-03-23,7.23,7.26,7.18,7.21,1224200,7.21
2015-03-20,7.15,7.22,7.10,7.17,2288400,7.17
2015-03-19,7.04,7.18,7.02,7.14,3619700,7.14
2015-03-18,6.96,6.98,6.875,6.96,2970100,6.96
2015-03-17,7.00,7.05,6.97,7.02,1577100,7.02
2015-03-16,7.02,7.025,6.90,6.90,1746500,6.90
2015-03-13,7.05,7.14,6.90,7.02,2170300,7.02
2015-03-12,6.85,7.05,6.81,7.02,2276200,7.02
2015-03-11,6.81,6.88,6.75,6.87,1446000,6.87
2015-03-10,6.87,6.97,6.80,6.84,1733400,6.84
2015-03-09,6.90,7.02,6.79,6.80,2372500,6.80
2015-03-06,7.00,7.03,6.98,6.99,1371700,6.99
2015-03-05,6.96,6.99,6.87,6.98,1500500,6.98
2015-03-04,7.04,7.06,6.93,6.95,1745300,6.95
2015-03-03,7.04,7.08,6.91,7.01,2438500,7.01
2015-03-02,6.98,7.06,6.93,6.98,1881400,6.98
2015-02-27,7.10,7.115,7.02,7.02,2736600,6.832
2015-02-26,6.96,7.09,6.93,7.06,2304700,6.87
2015-02-25,7.12,7.12,6.97,6.97,2832000,6.783
2015-02-24,7.01,7.11,7.01,7.09,3377100,6.90
2015-02-23,7.05,7.13,6.91,6.95,2787000,6.763
2015-02-20,6.85,7.06,6.85,6.98,5247700,6.793
2015-02-19,6.63,6.79,6.61,6.78,8234800,6.598
