date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.46,4.53,4.41,4.52,2587300,4.52
2015-06-29,4.42,4.47,4.35,4.42,1739000,4.42
2015-06-26,4.50,4.53,4.405,4.47,1674700,4.47
2015-06-25,4.69,4.70,4.55,4.63,1213300,4.509
2015-06-24,4.80,4.81,4.68,4.69,1295700,4.56743
2015-06-23,4.79,4.79,4.69,4.78,2104300,4.65508
2015-06-22,4.58,4.71,4.54,4.71,1631900,4.58691
2015-06-19,4.42,4.59,4.42,4.56,4048200,4.44083
2015-06-18,4.48,4.52,4.37,4.40,2032600,4.28501
2015-06-17,4.53,4.56,4.45,4.50,2384600,4.3824
2015-06-16,4.61,4.62,4.485,4.49,1468000,4.37266
2015-06-15,4.54,4.61,4.49,4.59,1259600,4.47005
2015-06-12,4.59,4.62,4.56,4.59,1200000,4.47005
2015-06-11,4.61,4.64,4.58,4.62,1248500,4.49926
2015-06-10,4.55,4.62,4.53,4.60,1146800,4.47978
2015-06-09,4.64,4.675,4.55,4.56,886800,4.44083
2015-06-08,4.64,4.64,4.64,4.64,000,4.51874
2015-06-05,4.60,4.67,4.56,4.64,992000,4.51874
2015-06-04,4.71,4.72,4.60,4.60,1119100,4.47978
2015-06-03,4.79,4.81,4.68,4.70,1584800,4.57717
2015-06-02,4.82,4.88,4.765,4.86,1684200,4.73299
2015-06-01,4.78,4.83,4.76,4.82,1599600,4.69403
2015-05-29,4.77,4.82,4.75,4.79,2067800,4.66482
2015-05-28,4.78,4.82,4.72,4.77,2219800,4.64534
2015-05-27,4.81,4.84,4.75,4.78,3234500,4.65508
2015-05-26,4.88,4.90,4.86,4.87,1681100,4.74273
2015-05-25,4.93,4.95,4.85,4.87,1179900,4.74273
2015-05-22,4.85,4.93,4.83,4.93,1277000,4.80116
2015-05-21,4.83,4.865,4.82,4.84,2657000,4.71351
2015-05-20,4.92,4.97,4.90,4.92,749500,4.79142
2015-05-19,5.03,5.04,4.92,4.92,852400,4.79142
2015-05-18,4.97,5.08,4.97,5.01,840800,4.87907
2015-05-15,4.97,5.01,4.91,5.01,994300,4.87907
2015-05-14,4.90,4.945,4.865,4.90,1178900,4.77194
2015-05-13,4.85,4.92,4.84,4.92,923600,4.79142
2015-05-12,4.87,4.925,4.835,4.86,1427400,4.73299
2015-05-11,5.04,5.06,4.91,4.92,441000,4.79142
2015-05-08,4.90,5.09,4.88,5.00,592600,4.86933
2015-05-07,4.95,5.02,4.84,4.91,885500,4.78168
2015-05-06,5.06,5.13,4.99,4.99,994800,4.85959
2015-05-05,5.25,5.25,5.09,5.15,924300,5.01541
2015-05-04,5.20,5.25,5.135,5.15,923200,5.01541
2015-05-01,5.03,5.21,4.97,5.15,758400,5.01541
2015-04-30,5.04,5.14,4.85,5.13,898400,4.99593
2015-04-29,5.16,5.18,5.10,5.10,530700,4.96672
2015-04-28,5.18,5.20,5.15,5.18,739800,5.04463
2015-04-27,5.17,5.22,5.17,5.19,634300,5.05437
2015-04-24,5.13,5.22,5.13,5.20,418700,5.0641
2015-04-23,5.17,5.18,5.07,5.10,376700,4.96672
2015-04-22,5.19,5.22,5.14,5.17,528900,5.03489
2015-04-21,5.20,5.21,5.13,5.20,761700,5.0641
2015-04-20,5.14,5.17,5.02,5.15,417300,5.01541
2015-04-17,5.23,5.23,5.14,5.16,729400,5.02515
2015-04-16,5.21,5.29,5.18,5.22,642200,5.08358
2015-04-15,5.22,5.23,5.105,5.17,570100,5.03489
2015-04-14,5.27,5.28,5.195,5.22,323200,5.08358
2015-04-13,5.32,5.34,5.27,5.28,427300,5.14201
