date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.17,2.23,2.13,2.23,405100,2.23
2015-06-29,2.21,2.22,2.155,2.18,275700,2.18
2015-06-26,2.22,2.24,2.21,2.21,143700,2.21
2015-06-25,2.25,2.25,2.22,2.22,132700,2.22
2015-06-24,2.27,2.28,2.24,2.24,155200,2.24
2015-06-23,2.27,2.27,2.26,2.26,60200,2.26
2015-06-22,2.25,2.27,2.24,2.27,119900,2.27
2015-06-19,2.26,2.30,2.23,2.29,251100,2.29
2015-06-18,2.25,2.26,2.21,2.23,221600,2.23
2015-06-17,2.25,2.26,2.23,2.24,79600,2.24
2015-06-16,2.23,2.26,2.23,2.24,128900,2.24
2015-06-15,2.32,2.32,2.23,2.23,189500,2.23
2015-06-12,2.30,2.33,2.26,2.32,207500,2.32
2015-06-11,2.31,2.34,2.28,2.28,159900,2.28
2015-06-10,2.28,2.33,2.26,2.29,316100,2.29
2015-06-09,2.25,2.28,2.24,2.27,220200,2.27
2015-06-08,2.22,2.22,2.22,2.22,000,2.22
2015-06-05,2.23,2.25,2.20,2.22,404200,2.22
2015-06-04,2.26,2.26,2.23,2.23,113200,2.23
2015-06-03,2.25,2.27,2.24,2.24,168000,2.24
2015-06-02,2.28,2.29,2.25,2.25,140900,2.25
2015-06-01,2.28,2.29,2.26,2.26,208000,2.26
2015-05-29,2.26,2.29,2.26,2.27,217600,2.27
2015-05-28,2.27,2.28,2.25,2.25,164300,2.25
2015-05-27,2.27,2.28,2.255,2.27,225900,2.27
2015-05-26,2.27,2.28,2.25,2.27,199800,2.27
2015-05-25,2.29,2.31,2.24,2.26,181700,2.26
2015-05-22,2.25,2.31,2.25,2.28,765900,2.28
2015-05-21,2.24,2.28,2.23,2.26,174300,2.26
2015-05-20,2.26,2.27,2.23,2.23,643000,2.23
2015-05-19,2.25,2.28,2.24,2.26,171000,2.26
2015-05-18,2.31,2.34,2.24,2.25,267500,2.25
2015-05-15,2.24,2.32,2.23,2.30,300600,2.30
2015-05-14,2.24,2.25,2.23,2.24,107000,2.24
2015-05-13,2.26,2.26,2.23,2.24,214000,2.24
2015-05-12,2.26,2.28,2.23,2.24,626600,2.24
2015-05-11,2.32,2.33,2.26,2.26,137600,2.26
2015-05-08,2.30,2.35,2.30,2.30,208600,2.30
2015-05-07,2.30,2.33,2.27,2.33,241700,2.33
2015-05-06,2.30,2.32,2.27,2.31,216700,2.31
2015-05-05,2.30,2.32,2.27,2.29,216400,2.29
2015-05-04,2.28,2.30,2.27,2.29,138000,2.29
2015-05-01,2.23,2.28,2.22,2.28,162100,2.28
2015-04-30,2.27,2.27,2.21,2.23,284400,2.23
2015-04-29,2.26,2.29,2.24,2.25,359700,2.25
2015-04-28,2.27,2.28,2.26,2.27,61300,2.27
2015-04-27,2.28,2.30,2.26,2.26,104000,2.26
2015-04-24,2.25,2.29,2.25,2.27,135000,2.27
2015-04-23,2.30,2.30,2.25,2.27,167600,2.27
2015-04-22,2.29,2.30,2.27,2.28,163100,2.28
2015-04-21,2.27,2.29,2.25,2.27,167500,2.27
2015-04-20,2.28,2.30,2.27,2.27,1147200,2.27
2015-04-17,2.26,2.29,2.25,2.26,530300,2.26
2015-04-16,2.28,2.28,2.24,2.24,132400,2.24
2015-04-15,2.28,2.28,2.23,2.25,352900,2.25
2015-04-14,2.28,2.28,2.25,2.25,205500,2.25
2015-04-13,2.27,2.30,2.25,2.25,246200,2.25
2015-04-10,2.29,2.29,2.24,2.26,460900,2.26
2015-04-09,2.32,2.33,2.29,2.29,319600,2.29
2015-04-08,2.36,2.36,2.32,2.32,142800,2.32
2015-04-07,2.36,2.37,2.31,2.32,345300,2.32
2015-04-06,2.33,2.33,2.33,2.33,000,2.33
2015-04-03,2.33,2.33,2.33,2.33,000,2.33
2015-04-02,2.35,2.35,2.32,2.33,243700,2.33
2015-04-01,2.36,2.36,2.32,2.33,274900,2.33
