date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.015,1.03,1.01,1.025,5304800,1.025
2015-06-29,1.025,1.035,1.01,1.015,6612400,1.015
2015-06-26,1.035,1.035,1.015,1.03,6119600,1.03
2015-06-25,1.065,1.065,1.05,1.06,8212900,1.0401
2015-06-24,1.065,1.07,1.06,1.065,10500500,1.04501
2015-06-23,1.075,1.08,1.06,1.06,5411600,1.0401
2015-06-22,1.05,1.07,1.05,1.07,4633200,1.04991
2015-06-19,1.035,1.06,1.03,1.05,5207200,1.03029
2015-06-18,1.025,1.035,1.025,1.03,7491000,1.01066
2015-06-17,1.03,1.0375,1.005,1.03,9452000,1.01066
2015-06-16,1.05,1.06,1.04,1.045,2915100,1.02538
2015-06-15,1.04,1.055,1.03,1.05,3392900,1.03029
2015-06-12,1.065,1.065,1.035,1.04,3176300,1.02048
2015-06-11,1.05,1.065,1.05,1.065,3307300,1.04501
2015-06-10,1.045,1.055,1.035,1.05,3576600,1.03029
2015-06-09,1.06,1.06,1.045,1.045,2319300,1.02538
2015-06-08,1.055,1.055,1.055,1.055,000,1.03519
2015-06-05,1.055,1.065,1.045,1.055,5889000,1.03519
2015-06-04,1.065,1.07,1.05,1.06,7005100,1.0401
2015-06-03,1.08,1.08,1.065,1.065,3126400,1.04501
2015-06-02,1.09,1.09,1.075,1.08,3745800,1.05972
2015-06-01,1.085,1.09,1.075,1.09,2997800,1.06954
2015-05-29,1.09,1.09,1.085,1.085,4418400,1.06463
2015-05-28,1.095,1.10,1.08,1.09,2267300,1.06954
2015-05-27,1.09,1.10,1.085,1.09,3139600,1.06954
2015-05-26,1.09,1.10,1.085,1.10,2059900,1.07935
2015-05-25,1.09,1.1025,1.085,1.085,2558900,1.06463
2015-05-22,1.075,1.09,1.075,1.09,2061800,1.06954
2015-05-21,1.065,1.08,1.065,1.075,6629600,1.05482
2015-05-20,1.065,1.08,1.065,1.07,2946700,1.04991
2015-05-19,1.085,1.095,1.07,1.07,2402900,1.04991
2015-05-18,1.085,1.105,1.077,1.085,4351300,1.06463
2015-05-15,1.095,1.10,1.085,1.09,2830500,1.06954
2015-05-14,1.085,1.09,1.082,1.085,2487400,1.06463
2015-05-13,1.09,1.09,1.08,1.09,3497200,1.06954
2015-05-12,1.085,1.09,1.07,1.09,3950300,1.06954
2015-05-11,1.105,1.11,1.09,1.095,2238000,1.07444
