date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.57,2.62,2.56,2.57,118100,2.57
2015-06-29,2.62,2.62,2.52,2.57,194000,2.57
2015-06-26,2.63,2.64,2.60,2.62,176200,2.62
2015-06-25,2.64,2.67,2.59,2.62,134800,2.62
2015-06-24,2.63,2.64,2.61,2.63,449000,2.63
2015-06-23,2.62,2.65,2.56,2.63,571300,2.63
2015-06-22,2.66,2.68,2.63,2.64,143600,2.64
2015-06-19,2.58,2.72,2.58,2.69,105300,2.69
2015-06-18,2.64,2.64,2.56,2.60,290600,2.60
2015-06-17,2.73,2.73,2.64,2.67,61000,2.67
2015-06-16,2.72,2.73,2.71,2.71,42500,2.71
2015-06-15,2.74,2.75,2.71,2.74,32400,2.74
2015-06-12,2.77,2.775,2.73,2.77,141900,2.77
2015-06-11,2.79,2.79,2.75,2.76,69300,2.76
2015-06-10,2.88,2.88,2.80,2.86,42300,2.86
2015-06-09,2.88,2.90,2.86,2.87,43400,2.87
2015-06-08,2.93,2.93,2.93,2.93,000,2.93
2015-06-05,2.89,2.93,2.84,2.93,165000,2.93
2015-06-04,2.90,2.94,2.89,2.93,31800,2.93
2015-06-03,2.91,2.93,2.89,2.91,28700,2.91
2015-06-02,2.93,2.97,2.92,2.92,54000,2.92
2015-06-01,2.97,2.97,2.90,2.90,69300,2.90
2015-05-29,2.95,2.97,2.93,2.97,772000,2.97
2015-05-28,2.96,2.96,2.93,2.95,340800,2.95
2015-05-27,2.96,2.96,2.95,2.96,455200,2.96
2015-05-26,2.94,2.96,2.93,2.95,48700,2.95
2015-05-25,2.95,2.96,2.93,2.94,751000,2.94
2015-05-22,2.91,2.97,2.91,2.95,131000,2.95
2015-05-21,2.95,2.96,2.92,2.92,250400,2.92
2015-05-20,2.86,2.96,2.84,2.96,1495100,2.96
2015-05-19,2.84,2.87,2.84,2.85,150200,2.85
2015-05-18,2.82,2.85,2.81,2.84,125300,2.84
2015-05-15,2.76,2.83,2.75,2.82,256300,2.82
2015-05-14,2.72,2.76,2.69,2.76,361100,2.76
2015-05-13,2.78,2.79,2.71,2.75,175100,2.75
