date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.24,0.25,0.235,0.245,127500,0.245
2015-06-29,0.25,0.25,0.245,0.245,254000,0.245
2015-06-26,0.25,0.25,0.25,0.25,252700,0.25
2015-06-25,0.25,0.26,0.25,0.26,71700,0.26
2015-06-24,0.25,0.255,0.25,0.25,925100,0.25
2015-06-23,0.255,0.26,0.25,0.26,105900,0.26
2015-06-22,0.25,0.255,0.245,0.255,455000,0.255
2015-06-19,0.25,0.25,0.25,0.25,13200,0.25
2015-06-18,0.25,0.25,0.245,0.25,213000,0.25
2015-06-17,0.26,0.26,0.255,0.255,702400,0.255
2015-06-16,0.265,0.27,0.26,0.26,590000,0.26
2015-06-15,0.27,0.27,0.265,0.265,411400,0.265
2015-06-12,0.265,0.265,0.265,0.265,47100,0.265
2015-06-11,0.27,0.27,0.265,0.265,180000,0.265
2015-06-10,0.27,0.275,0.27,0.27,320800,0.27
2015-06-09,0.27,0.27,0.27,0.27,293800,0.27
2015-06-08,0.27,0.27,0.27,0.27,000,0.27
2015-06-05,0.27,0.275,0.27,0.27,114100,0.27
2015-06-04,0.275,0.275,0.27,0.27,106300,0.27
2015-06-03,0.27,0.275,0.27,0.27,86600,0.27
2015-06-02,0.275,0.275,0.27,0.27,426000,0.27
2015-06-01,0.27,0.275,0.265,0.275,86600,0.275
2015-05-29,0.26,0.275,0.26,0.27,1567800,0.27
2015-05-28,0.27,0.27,0.265,0.265,1320700,0.265
2015-05-27,0.275,0.275,0.27,0.27,239400,0.27
2015-05-26,0.275,0.28,0.27,0.275,639200,0.275
2015-05-25,0.275,0.285,0.275,0.28,504200,0.28
2015-05-22,0.29,0.29,0.275,0.275,519300,0.275
2015-05-21,0.27,0.295,0.27,0.285,908000,0.285
2015-05-20,0.265,0.27,0.265,0.27,625500,0.27
2015-05-19,0.27,0.275,0.265,0.265,365400,0.265
2015-05-18,0.27,0.275,0.27,0.27,169400,0.27
2015-05-15,0.27,0.27,0.265,0.265,2651300,0.265
2015-05-14,0.27,0.275,0.265,0.265,467600,0.265
2015-05-13,0.26,0.275,0.26,0.265,433200,0.265
2015-05-12,0.265,0.265,0.26,0.26,165800,0.26
2015-05-11,0.255,0.27,0.255,0.265,215300,0.265
2015-05-08,0.26,0.26,0.25,0.255,439500,0.255
2015-05-07,0.255,0.26,0.255,0.255,295200,0.255
2015-05-06,0.27,0.27,0.245,0.25,425500,0.25
2015-05-05,0.26,0.265,0.255,0.265,260400,0.265
2015-05-04,0.26,0.265,0.255,0.265,895600,0.265
2015-05-01,0.25,0.255,0.245,0.25,803300,0.25
2015-04-30,0.255,0.255,0.245,0.25,466500,0.25
2015-04-29,0.26,0.26,0.255,0.26,433300,0.26
2015-04-28,0.27,0.275,0.25,0.25,2808600,0.25
2015-04-27,0.235,0.275,0.235,0.26,1618200,0.26
2015-04-24,0.225,0.23,0.225,0.23,499900,0.23
2015-04-23,0.215,0.225,0.21,0.22,723200,0.22
2015-04-22,0.22,0.225,0.215,0.215,541300,0.215
2015-04-21,0.22,0.22,0.215,0.22,542800,0.22
2015-04-20,0.22,0.225,0.21,0.215,531700,0.215
2015-04-16,0.24,0.245,0.235,0.235,1288500,0.235
2015-04-15,0.215,0.23,0.21,0.23,1303000,0.23
2015-04-13,0.207,0.21,0.205,0.205,557600,0.205
2015-04-10,0.21,0.21,0.205,0.205,362500,0.205
2015-04-09,0.205,0.207,0.20,0.20,644700,0.20
2015-04-08,0.205,0.21,0.205,0.205,323500,0.205
2015-04-07,0.207,0.21,0.20,0.205,462800,0.205
2015-04-06,0.21,0.21,0.21,0.21,000,0.21
2015-04-03,0.21,0.21,0.21,0.21,000,0.21
2015-04-02,0.205,0.21,0.205,0.21,503800,0.21
2015-04-01,0.21,0.21,0.20,0.205,745900,0.205
2015-03-31,0.205,0.21,0.20,0.21,1155800,0.21
2015-03-30,0.215,0.215,0.20,0.205,1014600,0.205
2015-03-27,0.21,0.22,0.21,0.215,640900,0.215
2015-03-26,0.205,0.21,0.205,0.21,735300,0.21
2015-03-25,0.21,0.215,0.205,0.21,1289400,0.21
2015-03-24,0.20,0.21,0.20,0.21,326000,0.21
2015-03-23,0.20,0.20,0.195,0.20,732700,0.20
2015-03-20,0.205,0.21,0.20,0.20,5177900,0.20
2015-03-19,0.205,0.205,0.19,0.20,2548400,0.20
2015-03-18,0.205,0.21,0.20,0.20,1189500,0.20
2015-03-17,0.205,0.21,0.205,0.21,496400,0.21
2015-03-16,0.215,0.215,0.20,0.205,444000,0.205
2015-03-13,0.21,0.215,0.20,0.21,317300,0.21
2015-03-12,0.21,0.215,0.205,0.21,579600,0.21
2015-03-11,0.205,0.21,0.20,0.21,368100,0.21
2015-03-10,0.212,0.215,0.205,0.205,323400,0.205
2015-03-09,0.22,0.22,0.205,0.21,497400,0.21
2015-03-06,0.23,0.23,0.21,0.21,1431800,0.21
2015-03-05,0.23,0.23,0.22,0.22,611300,0.22
2015-03-04,0.225,0.23,0.225,0.23,582500,0.23
2015-03-03,0.23,0.23,0.225,0.225,41800,0.225
2015-03-02,0.225,0.235,0.225,0.23,346200,0.23
2015-02-27,0.225,0.2275,0.222,0.225,406800,0.225
2015-02-26,0.225,0.23,0.22,0.225,245400,0.225
2015-02-25,0.225,0.23,0.22,0.225,640400,0.225
2015-02-24,0.22,0.23,0.22,0.225,305100,0.225
2015-02-23,0.235,0.235,0.22,0.22,762600,0.22
2015-02-20,0.25,0.25,0.22,0.23,1281900,0.23
2015-02-19,0.257,0.26,0.24,0.245,1791600,0.245
2015-02-18,0.262,0.265,0.255,0.255,222500,0.255
2015-02-17,0.265,0.265,0.26,0.26,478400,0.26
2015-02-16,0.26,0.26,0.25,0.26,292300,0.26
2015-02-13,0.25,0.26,0.25,0.26,302200,0.26
2015-02-12,0.255,0.26,0.245,0.245,522500,0.245
2015-02-11,0.26,0.26,0.255,0.255,42500,0.255
2015-02-10,0.26,0.265,0.255,0.255,387400,0.255
2015-02-09,0.265,0.265,0.26,0.265,150800,0.265
2015-02-06,0.26,0.27,0.26,0.265,633800,0.265
2015-02-05,0.265,0.265,0.25,0.26,404100,0.26
2015-02-04,0.27,0.285,0.26,0.265,926800,0.265
2015-02-03,0.25,0.265,0.245,0.26,1061000,0.26
2015-02-02,0.245,0.25,0.24,0.24,308600,0.24
2015-01-30,0.25,0.255,0.235,0.245,739000,0.245
2015-01-29,0.262,0.265,0.24,0.25,1236600,0.25
2015-01-28,0.262,0.265,0.255,0.265,207300,0.265
2015-01-27,0.275,0.275,0.26,0.265,236200,0.265
2015-01-26,0.275,0.275,0.275,0.275,000,0.275
2015-01-23,0.27,0.275,0.27,0.275,83000,0.275
2015-01-22,0.27,0.28,0.26,0.265,644500,0.265
2015-01-21,0.29,0.29,0.27,0.27,276700,0.27
2015-01-20,0.295,0.30,0.29,0.295,712300,0.295
2015-01-19,0.295,0.31,0.285,0.295,195700,0.295
2015-01-16,0.30,0.30,0.29,0.295,91700,0.295
2015-01-15,0.30,0.305,0.295,0.30,739800,0.30
2015-01-14,0.305,0.305,0.29,0.30,78900,0.30
2015-01-13,0.305,0.305,0.30,0.30,63900,0.30
2015-01-12,0.305,0.315,0.30,0.305,228000,0.305
2015-01-09,0.31,0.32,0.30,0.30,56800,0.30
2015-01-08,0.31,0.31,0.285,0.295,407900,0.295
2015-01-07,0.30,0.31,0.29,0.295,69900,0.295
2015-01-06,0.325,0.325,0.30,0.315,548500,0.315
2015-01-05,0.335,0.335,0.33,0.335,47600,0.335
2015-01-02,0.32,0.345,0.315,0.345,75600,0.345
2015-01-01,0.31,0.31,0.31,0.31,000,0.31
2014-12-31,0.305,0.31,0.305,0.31,17400,0.31
2014-12-30,0.315,0.315,0.305,0.305,97700,0.305
2014-12-29,0.31,0.32,0.31,0.31,93400,0.31
2014-12-26,0.31,0.31,0.31,0.31,000,0.31
2014-12-25,0.31,0.31,0.31,0.31,000,0.31
2014-12-24,0.315,0.32,0.305,0.31,76000,0.31
2014-12-23,0.315,0.32,0.31,0.315,98000,0.315
2014-12-22,0.31,0.32,0.305,0.315,91500,0.315
2014-12-19,0.325,0.325,0.30,0.30,319700,0.30
2014-12-18,0.32,0.33,0.32,0.32,370500,0.32
2014-12-17,0.31,0.33,0.31,0.31,899700,0.31
2014-12-16,0.315,0.325,0.315,0.325,99100,0.325
2014-12-15,0.32,0.33,0.315,0.315,144800,0.315
2014-12-12,0.325,0.325,0.31,0.32,185400,0.32
2014-12-11,0.33,0.33,0.32,0.325,394600,0.325
2014-12-10,0.325,0.34,0.325,0.34,394100,0.34
2014-12-09,0.325,0.345,0.32,0.325,231300,0.325
2014-12-08,0.36,0.365,0.33,0.33,143800,0.33
2014-12-05,0.34,0.35,0.33,0.35,92400,0.35
2014-12-04,0.33,0.34,0.305,0.335,126000,0.335
2014-12-03,0.29,0.315,0.29,0.315,393800,0.315
2014-12-02,0.30,0.335,0.29,0.30,1240500,0.30
2014-12-01,0.34,0.34,0.28,0.285,520600,0.285
2014-11-28,0.385,0.385,0.31,0.355,658100,0.355
2014-11-27,0.39,0.40,0.39,0.395,257700,0.395
2014-11-26,0.395,0.40,0.387,0.40,148400,0.40
2014-11-25,0.39,0.41,0.385,0.41,195900,0.41
2014-11-24,0.405,0.41,0.385,0.405,375900,0.405
2014-11-21,0.40,0.405,0.40,0.405,297300,0.405
2014-11-20,0.395,0.405,0.385,0.405,114900,0.405
2014-11-19,0.395,0.405,0.395,0.405,132500,0.405
2014-11-18,0.415,0.42,0.39,0.405,117900,0.405
2014-11-17,0.42,0.425,0.41,0.41,89100,0.41
2014-11-14,0.39,0.425,0.39,0.425,1157600,0.425
2014-11-13,0.41,0.41,0.385,0.40,4009400,0.40
2014-11-12,0.405,0.41,0.385,0.405,302800,0.405
2014-11-11,0.385,0.415,0.385,0.405,518200,0.405
2014-11-10,0.395,0.415,0.395,0.40,185400,0.40
2014-11-07,0.40,0.40,0.39,0.39,206200,0.39
2014-11-06,0.405,0.41,0.38,0.38,684200,0.38
2014-11-05,0.402,0.41,0.395,0.41,534700,0.41
2014-11-04,0.40,0.405,0.395,0.405,83100,0.405
2014-11-03,0.405,0.41,0.40,0.40,145500,0.40
2014-10-31,0.405,0.41,0.40,0.405,196200,0.405
2014-10-30,0.405,0.41,0.39,0.40,195800,0.40
2014-10-29,0.40,0.405,0.395,0.405,202400,0.405
2014-10-28,0.40,0.40,0.39,0.39,198500,0.39
2014-10-27,0.40,0.40,0.40,0.40,67200,0.40
2014-10-24,0.405,0.4075,0.40,0.40,418400,0.40
2014-10-23,0.41,0.41,0.405,0.405,45200,0.405
2014-10-22,0.41,0.415,0.405,0.415,101100,0.415
2014-10-21,0.42,0.42,0.40,0.41,440200,0.41
2014-10-20,0.43,0.43,0.415,0.415,114500,0.415
2014-10-17,0.395,0.41,0.39,0.40,69400,0.40
2014-10-16,0.395,0.395,0.39,0.39,65600,0.39
2014-10-15,0.40,0.405,0.395,0.395,80000,0.395
2014-10-14,0.40,0.42,0.395,0.405,265800,0.405
2014-10-13,0.41,0.4125,0.40,0.40,333800,0.40
2014-10-10,0.445,0.445,0.415,0.42,221200,0.42
2014-10-09,0.45,0.45,0.445,0.445,147200,0.445
2014-10-08,0.455,0.46,0.445,0.445,245200,0.445
2014-10-07,0.465,0.475,0.465,0.465,108900,0.465
2014-10-06,0.465,0.47,0.46,0.47,66800,0.47
2014-10-03,0.455,0.465,0.455,0.46,327200,0.46
