date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,79.00,80.21,78.83,80.15,222900,80.15
2015-06-29,79.94,79.96,78.94,79.09,214100,79.09
2015-06-26,81.11,81.68,80.25,80.61,234400,80.61
2015-06-25,82.34,82.59,80.59,80.92,218600,80.92
2015-06-24,83.00,83.00,81.91,82.18,182500,82.18
2015-06-23,82.00,82.50,81.46,82.26,158900,82.26
2015-06-22,81.90,82.23,80.74,81.00,132800,81.00
2015-06-19,80.50,82.49,80.22,80.94,186100,80.94
2015-06-18,79.99,80.47,79.65,80.21,492500,80.21
2015-06-17,81.34,81.34,79.86,80.28,169700,80.28
2015-06-16,81.95,82.21,80.52,80.73,284300,80.73
2015-06-15,81.10,81.27,80.45,81.03,213000,81.03
2015-06-12,81.00,82.77,81.00,81.74,199100,81.74
2015-06-11,82.10,82.83,81.50,81.81,205200,81.81
2015-06-10,82.42,83.57,82.23,82.91,151700,82.91
2015-06-09,84.10,84.38,82.45,82.70,150600,82.70
2015-06-08,83.13,83.13,83.13,83.13,000,83.13
2015-06-05,83.10,84.18,82.66,83.13,146100,83.13
2015-06-04,84.41,84.41,82.06,82.20,226200,82.20
2015-06-03,85.00,85.19,83.87,84.10,225200,84.10
2015-06-02,86.90,87.80,85.41,85.41,179700,85.41
2015-06-01,87.95,87.95,85.72,87.09,232800,87.09
2015-05-29,87.90,89.325,87.75,88.55,184400,88.55
2015-05-28,88.20,88.30,86.825,87.50,127500,87.50
2015-05-27,86.82,88.38,86.75,87.50,179700,87.50
2015-05-26,86.87,88.67,86.63,88.66,167800,88.66
2015-05-25,86.00,88.45,86.00,87.46,119900,87.46
2015-05-22,88.55,88.55,86.53,87.92,188800,87.92
2015-05-21,87.01,89.81,86.20,88.45,580200,88.45
2015-05-20,79.41,84.62,79.15,84.37,429900,84.37
2015-05-19,78.78,79.86,78.78,79.15,208200,79.15
2015-05-18,79.20,79.90,78.73,78.93,197000,78.93
2015-05-15,80.00,80.00,78.76,79.09,200300,79.09
2015-05-14,78.57,80.01,78.05,79.30,194500,79.30
2015-05-13,79.49,80.26,79.03,79.23,154600,79.23
2015-05-12,79.99,80.57,78.98,80.37,201700,80.37
2015-05-11,81.00,81.91,79.90,80.00,123600,80.00
2015-05-08,79.61,81.33,79.61,80.43,234000,80.43
2015-05-07,80.50,81.35,80.00,80.50,284700,80.50
2015-05-06,82.50,82.93,81.19,82.50,204500,82.50
2015-05-05,83.76,84.295,82.50,83.01,195200,83.01
2015-05-04,83.01,84.10,82.58,83.51,167500,83.51
2015-05-01,83.95,83.95,82.17,83.01,187000,83.01
2015-04-30,81.90,83.80,79.80,83.63,358300,83.63
2015-04-29,85.00,85.48,83.23,83.39,234200,83.39
2015-04-28,87.72,87.74,84.96,85.00,308900,85.00
2015-04-27,87.97,88.92,87.23,88.65,177400,88.65
2015-04-24,89.00,89.46,87.88,87.97,168700,87.97
2015-04-23,88.03,88.93,86.33,88.75,188000,88.75
2015-04-22,88.86,89.87,87.61,88.00,141200,88.00
2015-04-21,87.88,89.04,87.88,88.79,177900,88.79
2015-04-20,88.36,88.36,86.92,87.60,166400,87.60
2015-04-17,90.05,90.20,88.59,88.75,135700,88.75
2015-04-16,90.41,90.59,89.89,90.49,250200,90.49
2015-04-15,90.43,90.43,89.60,89.89,216400,89.89
2015-04-14,90.00,90.46,89.61,90.25,114600,90.25
2015-04-13,89.95,90.53,89.78,90.15,266000,90.15
2015-04-10,90.63,90.63,89.34,89.97,201300,89.97
2015-04-09,90.90,90.95,89.91,90.00,250100,90.00
2015-04-08,91.19,91.19,90.40,90.76,179000,90.76
2015-04-07,91.41,91.65,90.70,91.20,203500,91.20
2015-04-06,91.26,91.26,91.26,91.26,000,91.26
2015-04-03,91.26,91.26,91.26,91.26,000,91.26
2015-04-02,92.44,92.50,91.09,91.26,154800,91.26
2015-04-01,90.49,92.41,89.63,91.80,359000,91.80
2015-03-31,90.39,91.38,90.34,90.53,280300,90.53
2015-03-30,90.33,90.55,89.61,89.99,154300,89.99
2015-03-27,90.00,91.27,89.97,90.85,184900,90.85
2015-03-26,91.84,92.17,90.17,90.36,204500,90.36
2015-03-25,92.89,93.97,92.25,93.08,264100,93.08
2015-03-24,91.40,92.35,91.23,91.76,187400,91.76
2015-03-23,92.50,92.99,91.01,91.41,202800,91.41
2015-03-20,91.47,93.09,91.15,92.35,205800,92.35
2015-03-19,92.20,92.83,91.22,91.50,317000,91.50
2015-03-18,89.61,91.18,88.88,91.05,224600,91.05
2015-03-17,90.00,90.25,89.03,89.54,218100,89.54
2015-03-16,89.50,89.90,89.01,89.36,148600,89.36
2015-03-13,90.25,90.65,89.15,89.70,171400,89.70
2015-03-12,89.32,91.21,89.20,90.66,287000,90.66
2015-03-11,89.22,90.695,88.73,89.17,269200,89.17
2015-03-10,88.89,89.26,88.65,88.99,276300,88.99
2015-03-09,88.60,89.10,87.67,88.09,196500,88.09
2015-03-06,88.87,89.13,88.64,89.02,305000,89.02
