date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,11.75,11.79,11.62,11.71,2095400,11.71
2015-06-29,11.86,11.94,11.72,11.82,1228600,11.82
2015-06-26,12.10,12.12,11.82,12.04,1636300,12.04
2015-06-25,12.47,12.47,12.18,12.18,879700,12.18
2015-06-24,12.47,12.67,12.43,12.47,1270600,12.47
2015-06-23,12.37,12.51,12.31,12.38,1032400,12.38
2015-06-22,12.22,12.33,12.18,12.31,510900,12.31
2015-06-19,12.12,12.32,12.12,12.25,1177500,12.25
2015-06-18,12.35,12.39,12.09,12.17,2064200,12.17
2015-06-17,12.49,12.49,12.35,12.43,1166400,12.43
2015-06-16,12.35,12.43,12.28,12.35,888800,12.35
2015-06-15,12.33,12.49,12.29,12.32,1068200,12.32
2015-06-12,12.32,12.475,12.31,12.41,862000,12.41
2015-06-11,12.29,12.375,12.23,12.35,1405200,12.35
2015-06-10,12.37,12.46,12.27,12.40,830900,12.40
2015-06-09,12.55,12.58,12.37,12.38,1446100,12.38
2015-06-08,12.41,12.41,12.41,12.41,000,12.41
2015-06-05,12.46,12.63,12.32,12.41,1117100,12.41
2015-06-04,12.59,12.74,12.44,12.53,1623300,12.53
2015-06-03,12.50,12.57,12.36,12.56,1586600,12.56
2015-06-02,12.70,12.775,12.48,12.53,1659600,12.53
2015-06-01,12.71,12.74,12.47,12.64,1347500,12.64
2015-05-29,12.84,13.01,12.76,12.88,2766800,12.88
2015-05-28,12.63,12.70,12.58,12.67,1561900,12.67
2015-05-27,12.40,12.61,12.36,12.61,2143500,12.61
2015-05-26,12.30,12.43,12.30,12.37,1136200,12.37
2015-05-25,12.25,12.405,12.25,12.35,799000,12.35
2015-05-22,12.40,12.40,12.26,12.30,909600,12.30
2015-05-21,12.37,12.43,12.27,12.35,1215700,12.35
2015-05-20,12.17,12.32,12.15,12.27,1462000,12.27
2015-05-19,12.31,12.37,12.13,12.15,1245500,12.15
