date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.17,4.26,4.14,4.24,1946800,4.24
2015-06-29,4.17,4.24,4.13,4.20,1929300,4.20
2015-06-26,4.28,4.28,4.16,4.21,2471600,4.21
2015-06-25,4.49,4.50,4.42,4.42,1136800,4.282
2015-06-24,4.54,4.54,4.46,4.46,865200,4.32075
2015-06-23,4.47,4.53,4.43,4.50,2127200,4.3595
2015-06-22,4.38,4.47,4.38,4.45,1365900,4.31106
2015-06-19,4.31,4.41,4.29,4.39,2235300,4.25294
2015-06-18,4.31,4.34,4.22,4.28,1574900,4.14637
2015-06-17,4.34,4.37,4.28,4.32,1405400,4.18512
2015-06-16,4.31,4.36,4.29,4.32,1049800,4.18512
2015-06-15,4.29,4.36,4.27,4.35,1349700,4.21419
2015-06-12,4.33,4.36,4.30,4.33,800000,4.19481
2015-06-11,4.31,4.35,4.30,4.34,1662400,4.2045
2015-06-10,4.16,4.32,4.16,4.31,1273900,4.17543
2015-06-09,4.32,4.36,4.24,4.24,1706300,4.10762
2015-06-08,4.31,4.31,4.31,4.31,000,4.17543
2015-06-05,4.32,4.44,4.26,4.31,1054700,4.17543
2015-06-04,4.40,4.40,4.29,4.31,952700,4.17543
2015-06-03,4.41,4.46,4.36,4.40,1125800,4.26262
2015-06-02,4.53,4.54,4.385,4.45,1197300,4.31106
2015-06-01,4.45,4.53,4.36,4.51,1591200,4.36919
2015-05-29,4.44,4.51,4.42,4.48,1304000,4.34013
2015-05-28,4.43,4.44,4.37,4.43,661500,4.29169
2015-05-27,4.38,4.42,4.30,4.41,1168500,4.27231
2015-05-26,4.37,4.43,4.34,4.41,1005500,4.27231
2015-05-25,4.41,4.42,4.36,4.36,1438000,4.22387
2015-05-22,4.39,4.45,4.38,4.45,649700,4.31106
2015-05-21,4.38,4.40,4.34,4.37,1043700,4.23356
2015-05-20,4.37,4.42,4.34,4.41,785400,4.27231
2015-05-19,4.42,4.445,4.37,4.39,941800,4.25294
2015-05-18,4.42,4.46,4.41,4.43,1055200,4.29169
2015-05-15,4.40,4.445,4.385,4.43,1192500,4.29169
2015-05-14,4.38,4.40,4.33,4.40,969900,4.26262
2015-05-13,4.35,4.40,4.34,4.38,919500,4.24325
2015-05-12,4.26,4.415,4.24,4.38,2371300,4.24325
2015-05-11,4.34,4.37,4.28,4.28,620900,4.14637
2015-05-08,4.26,4.37,4.24,4.34,1493600,4.2045
2015-05-07,4.29,4.375,4.235,4.28,2147000,4.14637
2015-05-06,4.43,4.44,4.37,4.40,1503200,4.26262
2015-05-05,4.41,4.48,4.37,4.45,1478100,4.31106
2015-05-04,4.37,4.43,4.33,4.40,628100,4.26262
2015-05-01,4.25,4.34,4.24,4.33,1649500,4.19481
2015-04-30,4.30,4.34,4.24,4.31,1171500,4.17543
2015-04-29,4.38,4.40,4.33,4.35,1540300,4.21419
2015-04-28,4.36,4.40,4.35,4.39,991200,4.25294
2015-04-27,4.32,4.39,4.315,4.34,476900,4.2045
2015-04-24,4.31,4.39,4.31,4.34,961500,4.2045
2015-04-23,4.32,4.33,4.27,4.28,501600,4.14637
2015-04-22,4.31,4.35,4.28,4.32,978200,4.18512
2015-04-21,4.39,4.39,4.295,4.31,753300,4.17543
2015-04-20,4.31,4.37,4.22,4.37,914400,4.23356
2015-04-17,4.41,4.41,4.31,4.33,777900,4.19481
2015-04-16,4.40,4.46,4.36,4.40,625400,4.26262
2015-04-15,4.36,4.36,4.31,4.36,671100,4.22387
2015-04-14,4.41,4.42,4.35,4.37,685000,4.23356
2015-04-13,4.45,4.46,4.40,4.41,496200,4.27231
2015-04-10,4.45,4.46,4.41,4.44,353900,4.30138
2015-04-09,4.46,4.47,4.415,4.46,1200900,4.32075
2015-04-08,4.39,4.46,4.36,4.45,1579100,4.31106
2015-04-07,4.28,4.41,4.28,4.40,1790800,4.26262
2015-04-06,4.25,4.25,4.25,4.25,000,4.11731
2015-04-03,4.25,4.25,4.25,4.25,000,4.11731
2015-04-02,4.29,4.31,4.25,4.25,1697300,4.11731
2015-04-01,4.29,4.305,4.25,4.28,1011700,4.14637
2015-03-31,4.33,4.33,4.27,4.29,1731300,4.15606
2015-03-30,4.31,4.33,4.28,4.29,1595500,4.15606
2015-03-27,4.35,4.37,4.30,4.31,1358700,4.17543
2015-03-26,4.38,4.43,4.30,4.36,1495000,4.22387
2015-03-25,4.50,4.53,4.45,4.49,1846300,4.34981
2015-03-24,4.42,4.47,4.38,4.47,1405800,4.33044
2015-03-23,4.39,4.425,4.37,4.41,449300,4.27231
2015-03-20,4.41,4.42,4.36,4.41,2158000,4.27231
2015-03-19,4.40,4.425,4.38,4.42,1598500,4.282
2015-03-18,4.37,4.37,4.27,4.33,824600,4.19481
2015-03-17,4.49,4.49,4.36,4.37,1009600,4.23356
2015-03-16,4.42,4.465,4.38,4.46,789400,4.32075
2015-03-13,4.45,4.47,4.40,4.45,991800,4.31106
2015-03-12,4.36,4.48,4.35,4.46,918300,4.32075
2015-03-11,4.37,4.39,4.31,4.36,2264500,4.22387
2015-03-10,4.46,4.50,4.36,4.37,1186200,4.23356
2015-03-09,4.49,4.53,4.40,4.46,656400,4.32075
2015-03-06,4.52,4.54,4.47,4.52,643500,4.37888
2015-03-05,4.53,4.53,4.47,4.51,756500,4.36919
2015-03-04,4.54,4.56,4.51,4.53,722200,4.38857
2015-03-03,4.61,4.67,4.49,4.53,1693600,4.38857
2015-03-02,4.57,4.65,4.555,4.63,1961300,4.48544
2015-02-27,4.45,4.57,4.39,4.56,1549100,4.41763
2015-02-26,4.51,4.51,4.23,4.42,2775900,4.282
2015-02-25,4.43,4.48,4.41,4.48,1974200,4.34013
2015-02-24,4.34,4.42,4.34,4.42,1859600,4.282
2015-02-23,4.25,4.37,4.23,4.33,683200,4.19481
2015-02-20,4.30,4.30,4.21,4.27,1019300,4.13668
2015-02-19,4.28,4.29,4.18,4.21,1200800,4.07856
2015-02-18,4.27,4.28,4.205,4.25,1392400,4.11731
2015-02-17,4.24,4.28,4.22,4.25,595000,4.11731
2015-02-16,4.29,4.315,4.22,4.24,844900,4.10762
2015-02-13,4.38,4.385,4.29,4.30,1024100,4.16575
2015-02-12,4.49,4.49,4.25,4.29,1429700,4.15606
2015-02-11,4.43,4.48,4.37,4.38,834500,4.24325
2015-02-10,4.36,4.41,4.35,4.38,1012700,4.24325
2015-02-09,4.43,4.43,4.32,4.37,655900,4.23356
2015-02-06,4.50,4.51,4.42,4.43,951100,4.29169
2015-02-05,4.37,4.53,4.37,4.47,2349800,4.33044
2015-02-04,4.45,4.51,4.38,4.40,2418600,4.26262
2015-02-03,4.41,4.45,4.34,4.43,2794000,4.29169
2015-02-02,4.44,4.48,4.40,4.40,1341600,4.26262
2015-01-30,4.40,4.44,4.39,4.39,1070800,4.25294
2015-01-29,4.40,4.40,4.37,4.38,2153100,4.24325
2015-01-28,4.47,4.49,4.41,4.41,955400,4.27231
2015-01-27,4.45,4.50,4.42,4.48,804300,4.34013
2015-01-26,4.45,4.45,4.45,4.45,000,4.31106
2015-01-23,4.34,4.45,4.32,4.45,1788300,4.31106
2015-01-22,4.32,4.33,4.30,4.31,641000,4.17543
2015-01-21,4.27,4.32,4.27,4.32,839400,4.18512
2015-01-20,4.29,4.29,4.25,4.27,681900,4.13668
2015-01-19,4.28,4.31,4.24,4.31,908800,4.17543
2015-01-16,4.20,4.29,4.20,4.26,1193400,4.127
2015-01-15,4.29,4.30,4.26,4.29,1664600,4.15606
2015-01-14,4.25,4.29,4.22,4.24,602600,4.10762
2015-01-13,4.24,4.26,4.20,4.25,449200,4.11731
2015-01-12,4.24,4.26,4.19,4.26,542200,4.127
2015-01-09,4.23,4.28,4.20,4.27,781400,4.13668
2015-01-08,4.24,4.26,4.19,4.21,651000,4.07856
2015-01-07,4.13,4.26,4.10,4.22,1420800,4.08824
2015-01-06,4.15,4.20,4.07,4.12,1648800,3.99137
2015-01-05,4.14,4.22,4.14,4.20,696400,4.06887
2015-01-02,4.13,4.185,4.13,4.16,236700,4.03012
2015-01-01,4.12,4.12,4.12,4.12,000,3.99137
2014-12-31,4.19,4.245,4.11,4.12,463000,3.99137
2014-12-30,4.30,4.305,4.17,4.19,837700,4.05918
2014-12-29,4.15,4.32,4.14,4.27,1081200,4.13668
2014-12-26,4.32,4.32,4.32,4.32,000,4.0524
2014-12-25,4.32,4.32,4.32,4.32,000,4.0524
2014-12-24,4.29,4.35,4.23,4.32,370000,4.0524
2014-12-23,4.29,4.37,4.26,4.28,546100,4.01488
2014-12-22,4.27,4.31,4.22,4.30,1731500,4.03364
2014-12-19,4.17,4.25,4.15,4.25,1971500,3.98674
2014-12-18,4.14,4.22,4.12,4.14,1858000,3.88355
2014-12-17,4.12,4.16,4.05,4.15,1360500,3.89293
2014-12-16,4.05,4.14,4.05,4.14,1023400,3.88355
2014-12-15,4.09,4.11,4.01,4.05,1686100,3.79912
2014-12-12,4.14,4.16,4.10,4.12,1379600,3.86479
2014-12-11,4.06,4.14,4.06,4.10,1039700,3.84603
2014-12-10,4.08,4.15,4.02,4.11,1163500,3.85541
2014-12-09,4.14,4.15,4.05,4.08,930700,3.82727
2014-12-08,4.16,4.21,4.13,4.16,606000,3.90231
2014-12-05,4.17,4.21,4.14,4.14,764600,3.88355
2014-12-04,4.17,4.23,4.16,4.16,702300,3.90231
2014-12-03,4.16,4.20,4.14,4.16,1688400,3.90231
2014-12-02,4.09,4.20,4.08,4.18,959900,3.92107
2014-12-01,4.15,4.17,4.08,4.11,1076100,3.85541
2014-11-28,4.14,4.18,4.07,4.15,591900,3.89293
2014-11-27,4.08,4.20,4.08,4.14,944000,3.88355
2014-11-26,4.01,4.09,4.00,4.09,781300,3.83665
2014-11-25,4.01,4.04,3.99,4.01,1618100,3.7616
2014-11-24,4.01,4.05,4.01,4.03,516700,3.78036
2014-11-21,4.06,4.08,4.02,4.03,519800,3.78036
2014-11-20,4.07,4.11,4.07,4.07,819400,3.81789
2014-11-19,4.05,4.12,4.05,4.08,1034700,3.82727
2014-11-18,4.07,4.10,4.06,4.08,595700,3.82727
2014-11-17,4.08,4.13,4.08,4.10,762000,3.84603
2014-11-14,4.15,4.15,4.10,4.11,976000,3.85541
2014-11-13,4.14,4.14,4.11,4.13,344300,3.87417
2014-11-12,4.10,4.14,4.10,4.12,616900,3.86479
2014-11-11,4.10,4.11,4.08,4.10,557100,3.84603
2014-11-10,4.11,4.12,4.07,4.08,738200,3.82727
2014-11-07,4.07,4.11,4.05,4.08,881000,3.82727
2014-11-06,4.11,4.11,4.04,4.05,1011500,3.79912
2014-11-05,4.14,4.17,4.09,4.09,830200,3.83665
2014-11-04,4.24,4.24,4.13,4.13,915600,3.87417
2014-11-03,4.08,4.13,4.07,4.11,708400,3.85541
2014-10-31,4.03,4.09,4.025,4.07,1056400,3.81789
2014-10-30,3.97,4.02,3.93,4.01,1223000,3.7616
2014-10-29,3.99,4.01,3.95,3.95,999700,3.70532
2014-10-28,3.92,4.00,3.92,3.97,1349800,3.72408
2014-10-27,3.94,3.97,3.93,3.94,626100,3.69594
2014-10-24,3.90,3.96,3.90,3.91,816200,3.6678
2014-10-23,3.86,3.94,3.86,3.90,690500,3.65842
2014-10-22,3.88,3.89,3.85,3.87,623000,3.63027
2014-10-21,3.81,3.85,3.805,3.83,1289800,3.59275
2014-10-20,3.83,3.83,3.79,3.79,263200,3.55523
2014-10-17,3.80,3.82,3.79,3.80,421200,3.56461
2014-10-16,3.74,3.79,3.72,3.77,908200,3.53647
2014-10-15,3.75,3.78,3.74,3.74,292400,3.50833
2014-10-14,3.74,3.77,3.73,3.75,772200,3.51771
2014-10-13,3.76,3.77,3.73,3.74,695000,3.50833
2014-10-10,3.77,3.81,3.74,3.79,1134700,3.55523
2014-10-09,3.83,3.85,3.82,3.84,617900,3.60213
2014-10-08,3.77,3.83,3.77,3.83,496800,3.59275
2014-10-07,3.84,3.85,3.74,3.81,744200,3.57399
2014-10-06,3.83,3.86,3.82,3.83,379300,3.59275
2014-10-03,3.82,3.85,3.77,3.85,824100,3.61151
2014-10-02,3.81,3.87,3.81,3.85,1012300,3.61151
2014-10-01,3.75,3.85,3.74,3.84,619200,3.60213
2014-09-30,3.77,3.80,3.74,3.80,733600,3.56461
2014-09-29,3.74,3.80,3.72,3.78,841400,3.54585
2014-09-26,3.77,3.775,3.73,3.76,670500,3.52709
2014-09-25,3.83,3.88,3.80,3.80,993600,3.56461
2014-09-24,3.79,3.84,3.775,3.84,995100,3.60213
2014-09-23,3.78,3.81,3.76,3.78,975100,3.54585
2014-09-22,3.79,3.80,3.74,3.77,1026100,3.53647
2014-09-19,3.82,3.84,3.80,3.80,1405300,3.56461
2014-09-18,3.79,3.84,3.78,3.83,1445500,3.59275
2014-09-17,3.87,3.88,3.80,3.82,1129900,3.58337
2014-09-16,3.88,3.88,3.85,3.87,1198200,3.63027
2014-09-15,3.92,3.93,3.86,3.89,911800,3.64904
2014-09-12,3.96,3.98,3.93,3.97,1062100,3.72408
2014-09-11,4.00,4.00,3.97,3.98,1075700,3.73346
2014-09-10,3.98,4.00,3.96,4.00,927600,3.75222
2014-09-09,4.00,4.04,3.98,4.00,787800,3.75222
2014-09-08,4.02,4.03,3.99,4.00,1528700,3.75222
2014-09-05,4.02,4.04,4.00,4.02,812900,3.77098
2014-09-04,4.09,4.10,4.01,4.04,816000,3.78974
2014-09-03,4.05,4.12,4.03,4.08,1374700,3.82727
2014-09-02,4.01,4.06,4.01,4.03,1045500,3.78036
2014-09-01,3.98,4.04,3.96,4.02,1086500,3.77098
2014-08-29,3.99,4.00,3.97,3.97,823400,3.72408
2014-08-28,3.99,4.00,3.94,3.98,861400,3.73346
2014-08-27,4.00,4.01,3.97,3.99,878300,3.74284
2014-08-26,4.00,4.03,3.99,4.00,1123600,3.75222
2014-08-25,4.00,4.05,3.99,4.05,1466400,3.79912
2014-08-22,4.01,4.03,3.98,4.02,747400,3.77098
2014-08-21,4.01,4.02,3.97,3.99,2530700,3.74284
2014-08-20,4.00,4.01,3.97,3.99,1014000,3.74284
2014-08-19,3.99,4.00,3.95,3.96,828300,3.7147
2014-08-18,3.95,3.98,3.95,3.95,470900,3.70532
2014-08-15,3.97,4.01,3.94,3.94,487800,3.69594
2014-08-14,3.92,3.97,3.92,3.94,778700,3.69594
2014-08-13,3.91,3.93,3.89,3.93,594300,3.68656
2014-08-12,3.87,3.93,3.87,3.91,648500,3.6678
2014-08-11,3.85,3.91,3.84,3.86,795600,3.62089
2014-08-08,3.88,3.90,3.83,3.84,1149400,3.60213
2014-08-07,3.89,3.90,3.87,3.89,684700,3.64904
2014-08-06,3.93,3.93,3.86,3.90,1005200,3.65842
2014-08-05,3.97,3.98,3.92,3.93,795100,3.68656
2014-08-04,3.96,3.985,3.95,3.98,380800,3.73346
2014-08-01,3.97,3.995,3.95,3.97,581700,3.72408
2014-07-31,4.02,4.04,3.99,4.01,711000,3.7616
2014-07-30,4.00,4.04,3.99,4.02,804500,3.77098
2014-07-29,3.99,4.02,3.98,4.00,491600,3.75222
2014-07-28,4.00,4.03,4.00,4.00,1974300,3.75222
2014-07-25,3.99,4.02,3.99,4.02,1026600,3.77098
2014-07-24,4.01,4.02,3.98,4.00,890000,3.75222
2014-07-23,3.99,4.01,3.98,3.99,770000,3.74284
2014-07-22,3.97,4.00,3.94,4.00,1176300,3.75222
2014-07-21,3.98,4.035,3.975,3.98,690200,3.73346
2014-07-18,3.95,4.00,3.945,4.00,471200,3.75222
2014-07-17,4.01,4.01,3.96,3.97,900100,3.72408
2014-07-16,3.93,3.985,3.925,3.96,559600,3.7147
2014-07-15,3.93,3.94,3.90,3.94,328700,3.69594
2014-07-14,3.88,3.93,3.87,3.90,604800,3.65842
2014-07-11,3.88,3.91,3.88,3.88,671400,3.63966
2014-07-10,3.88,3.90,3.87,3.90,598900,3.65842
2014-07-09,3.88,3.89,3.86,3.89,468300,3.64904
2014-07-08,3.85,3.89,3.85,3.89,524200,3.64904
2014-07-07,3.83,3.87,3.83,3.85,651700,3.61151
2014-07-04,3.87,3.89,3.815,3.84,1332600,3.60213
2014-07-03,3.88,3.90,3.85,3.88,909600,3.63966
2014-07-02,3.90,3.91,3.87,3.90,964700,3.65842
2014-07-01,3.88,3.89,3.85,3.89,762000,3.64904
2014-06-30,3.88,3.91,3.86,3.88,951300,3.63966
2014-06-27,3.93,3.94,3.88,3.88,986200,3.63966
2014-06-26,3.87,3.93,3.86,3.91,1572900,3.6678
2014-06-25,3.98,4.02,3.94,4.02,2843200,3.64294
2014-06-24,4.03,4.05,3.94,4.00,1429100,3.62481
2014-06-23,4.06,4.07,4.03,4.05,570100,3.67012
2014-06-20,4.01,4.07,3.99,4.03,1626500,3.652
2014-06-19,3.93,4.01,3.93,4.01,1413300,3.63388
2014-06-18,3.93,3.96,3.92,3.92,508900,3.55232
2014-06-17,3.91,3.96,3.91,3.94,585100,3.57044
