date,Open,High,Low,Close,Volume,Adj Close
2015-06-08,10.26,10.26,10.26,10.26,000,10.26
2015-06-05,10.15,10.32,10.15,10.26,348800,10.26
2015-06-04,10.29,10.31,10.16,10.18,605700,10.18
2015-06-03,10.25,10.28,10.15,10.26,832600,10.26
2015-06-02,10.59,10.60,10.30,10.35,668800,10.35
2015-06-01,10.45,10.57,10.29,10.57,844300,10.57
2015-05-29,10.50,10.53,10.43,10.45,865500,10.45
2015-05-28,10.56,10.58,10.40,10.46,783400,10.46
2015-05-27,10.75,10.82,10.40,10.51,1406200,10.51
2015-05-26,10.55,10.83,10.54,10.83,1519900,10.83
2015-05-25,10.41,10.57,10.39,10.54,901100,10.54
2015-05-22,10.38,10.43,10.34,10.40,700900,10.40
2015-05-21,10.47,10.47,10.29,10.40,1073500,10.40
2015-05-20,10.05,10.30,10.03,10.25,1108500,10.25
2015-05-19,10.02,10.09,9.98,10.02,661200,10.02
2015-05-18,10.00,10.11,9.95,10.01,886500,10.01
2015-05-15,9.85,9.99,9.82,9.98,806200,9.98
2015-05-14,9.75,9.76,9.53,9.75,3120300,9.75
2015-05-13,9.60,9.76,9.56,9.76,1071400,9.76
2015-05-12,9.37,9.52,9.315,9.52,1488700,9.52
2015-05-11,9.39,9.44,9.31,9.37,748000,9.37
2015-05-08,9.34,9.44,9.30,9.30,585100,9.30
2015-05-07,9.40,9.47,9.32,9.34,826900,9.34
2015-05-06,9.60,9.82,9.46,9.46,965800,9.46
2015-05-05,9.79,9.86,9.59,9.66,1236400,9.66
2015-05-04,9.56,9.645,9.55,9.59,786900,9.59
2015-05-01,9.50,9.54,9.37,9.52,668600,9.52
2015-04-30,9.50,9.56,9.37,9.44,1143700,9.44
2015-04-29,9.69,9.69,9.51,9.51,1502200,9.51
2015-04-28,9.70,9.73,9.63,9.66,1622400,9.66
2015-04-27,9.65,9.72,9.64,9.70,611500,9.70
2015-04-24,9.62,9.69,9.62,9.64,1182500,9.64
2015-04-23,9.59,9.60,9.50,9.54,1139500,9.54
2015-04-22,9.75,9.80,9.57,9.58,983200,9.58
2015-04-21,9.91,9.91,9.76,9.77,768700,9.77
2015-04-20,9.77,9.89,9.75,9.81,3217000,9.81
2015-04-17,9.91,9.91,9.80,9.80,665300,9.80
2015-04-16,9.83,10.04,9.83,9.91,2704700,9.91
2015-04-15,9.94,9.96,9.80,9.82,2314400,9.82
2015-04-14,10.00,10.10,9.92,9.97,879900,9.97
2015-04-13,10.22,10.24,10.01,10.01,484300,10.01
2015-04-10,10.25,10.27,10.165,10.19,309600,10.19
2015-04-09,10.22,10.28,10.17,10.19,668400,10.19
2015-04-08,10.22,10.34,10.20,10.22,834800,10.22
2015-04-07,10.24,10.25,10.16,10.20,1389000,10.20
2015-04-06,10.20,10.20,10.20,10.20,000,10.20
2015-04-03,10.20,10.20,10.20,10.20,000,10.20
2015-04-02,10.25,10.30,10.16,10.20,429600,10.20
2015-04-01,10.25,10.41,10.18,10.22,1531000,10.22
2015-03-31,10.03,10.35,10.02,10.33,1139600,10.33
2015-03-30,10.10,10.12,9.97,10.01,871700,10.01
2015-03-27,10.05,10.185,10.05,10.15,466500,10.15
2015-03-26,10.11,10.17,10.00,10.10,850000,10.10
2015-03-25,10.20,10.21,10.15,10.18,797300,10.18
2015-03-24,10.18,10.30,10.15,10.18,1075700,10.18
