date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,85.69,86.65,85.40,86.47,1279300,86.47
2015-06-29,86.06,86.36,85.71,85.85,1040000,85.85
2015-06-26,88.41,88.51,87.23,87.77,2673500,87.77
2015-06-25,89.93,89.96,88.42,88.86,1406900,88.86
2015-06-24,90.00,90.18,89.00,89.93,1294700,89.93
2015-06-23,88.89,89.59,88.51,89.47,1224400,89.47
2015-06-22,87.79,87.79,87.07,87.54,953700,87.54
2015-06-19,87.00,87.67,86.40,87.40,1708600,87.40
2015-06-18,87.00,87.28,85.82,85.97,1930300,85.97
2015-06-17,88.69,88.83,86.61,87.20,2116500,87.20
2015-06-16,89.82,89.82,88.00,88.20,1047300,88.20
2015-06-15,89.30,89.30,88.31,89.03,834400,89.03
2015-06-12,88.75,89.48,88.43,89.30,896200,89.30
2015-06-11,89.52,90.09,88.75,89.02,1229300,89.02
2015-06-10,91.13,91.13,88.425,89.17,1179500,89.17
2015-06-09,90.95,91.01,90.16,90.41,870000,90.41
2015-06-08,90.97,90.97,90.97,90.97,000,90.97
2015-06-05,90.37,91.66,90.16,90.97,866000,90.97
2015-06-04,91.30,91.94,90.00,90.08,1603700,90.08
2015-06-03,92.43,92.49,90.89,91.50,1529100,91.50
2015-06-02,94.62,94.71,93.05,93.05,1173000,93.05
2015-06-01,93.50,93.69,92.40,93.34,631800,93.34
2015-05-29,93.30,94.09,93.07,93.50,1903100,93.50
2015-05-28,93.22,93.22,92.47,92.60,1031700,92.60
2015-05-27,92.70,93.64,92.21,92.42,1030200,92.42
2015-05-26,92.80,93.60,92.525,93.50,740900,93.50
2015-05-25,91.34,92.93,91.23,92.80,872300,92.80
2015-05-22,92.10,92.37,90.75,91.12,740100,91.12
2015-05-21,89.70,92.00,89.70,91.64,1174400,91.64
2015-05-20,89.10,90.20,89.08,89.68,1109900,89.68
2015-05-19,88.92,89.42,88.025,88.50,877700,88.50
2015-05-18,90.00,90.00,88.09,88.18,599500,88.18
2015-05-15,89.03,89.72,88.52,89.36,658900,89.36
2015-05-14,88.08,88.68,87.59,88.00,1279700,88.00
2015-05-13,88.90,89.00,86.30,88.45,1270300,88.45
2015-05-12,88.85,89.47,88.12,88.39,1431000,88.39
2015-05-11,90.49,90.97,88.83,89.13,705100,89.13
2015-05-08,89.87,90.58,88.83,89.66,1113600,89.66
2015-05-07,89.90,90.56,89.60,90.01,999600,90.01
2015-05-06,91.00,91.73,89.88,90.08,1530800,90.08
2015-05-05,92.30,92.92,90.86,91.53,1132400,91.53
2015-05-04,90.88,92.09,90.53,91.25,894100,91.25
2015-05-01,90.52,90.90,89.55,90.01,1345400,90.01
2015-04-30,91.20,91.50,89.89,90.98,1442400,90.98
2015-04-29,92.99,93.29,91.00,91.00,2062400,91.00
2015-04-28,95.54,95.79,93.61,93.73,1821900,93.73
2015-04-27,96.30,96.30,95.11,95.28,810000,95.28
2015-04-24,94.29,95.30,94.01,95.21,2073100,95.21
