date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.57,3.64,3.54,3.64,4009900,3.64
2015-06-29,3.64,3.68,3.57,3.64,2889800,3.64
2015-06-26,3.75,3.76,3.67,3.71,3186000,3.71
2015-06-25,3.91,3.91,3.78,3.79,2934100,3.79
2015-06-24,3.92,3.92,3.86,3.90,2861100,3.90
2015-06-23,3.97,3.97,3.86,3.89,3755800,3.89
2015-06-22,3.95,3.98,3.90,3.96,4791000,3.96
2015-06-19,3.92,3.96,3.87,3.94,2696700,3.94
2015-06-18,3.92,3.92,3.84,3.87,2673700,3.87
2015-06-17,3.95,3.955,3.88,3.90,2532900,3.90
2015-06-16,3.91,3.97,3.89,3.91,2302200,3.91
2015-06-15,3.92,3.96,3.875,3.93,2363800,3.93
2015-06-12,3.90,3.96,3.85,3.95,2915100,3.95
2015-06-11,3.88,3.92,3.86,3.87,2179700,3.87
2015-06-10,3.92,3.92,3.82,3.84,1998000,3.84
2015-06-09,3.85,3.95,3.83,3.92,3221500,3.92
2015-06-08,3.86,3.86,3.86,3.86,000,3.86
2015-06-05,3.87,3.92,3.80,3.86,2229400,3.86
2015-06-04,3.94,3.95,3.80,3.84,2630800,3.84
2015-06-03,3.87,3.96,3.855,3.92,2410000,3.92
2015-06-02,4.00,4.03,3.87,3.89,4486600,3.89
2015-06-01,4.19,4.19,4.01,4.08,5553200,3.965
2015-05-29,4.20,4.25,4.15,4.21,4489300,4.09134
2015-05-28,4.28,4.28,4.14,4.18,3293100,4.06218
2015-05-27,4.14,4.29,4.12,4.29,6851800,4.16908
2015-05-26,4.16,4.20,4.13,4.16,1532200,4.04275
2015-05-25,4.16,4.22,4.14,4.18,1366400,4.06218
2015-05-22,4.19,4.29,4.15,4.17,2419100,4.05246
2015-05-21,4.15,4.22,4.13,4.21,7908900,4.09134
2015-05-20,4.08,4.11,4.03,4.09,3251500,3.97472
2015-05-19,4.13,4.16,4.08,4.10,2997000,3.98444
2015-05-18,4.18,4.24,4.13,4.15,2232300,4.03303
2015-05-15,4.17,4.205,4.14,4.17,1858700,4.05246
2015-05-14,4.06,4.17,4.05,4.17,5986500,4.05246
2015-05-13,4.06,4.20,3.98,4.06,10892000,3.94556
2015-05-12,3.91,4.065,3.86,4.04,10477600,3.92613
2015-05-11,3.79,3.81,3.74,3.75,2401300,3.6443
2015-05-08,3.70,3.81,3.67,3.77,2664500,3.66374
2015-05-07,3.65,3.735,3.65,3.71,1512900,3.60543
2015-05-06,3.72,3.78,3.715,3.72,2039100,3.61515
2015-05-05,3.86,3.89,3.75,3.79,3499100,3.68317
2015-05-04,3.77,3.86,3.77,3.86,2665500,3.7512
2015-05-01,3.66,3.77,3.655,3.76,2847800,3.65402
2015-04-30,3.70,3.72,3.61,3.65,6260200,3.54712
