date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.52,1.595,1.52,1.595,101600,1.595
2015-06-29,1.55,1.59,1.55,1.555,344000,1.555
2015-06-26,1.56,1.575,1.55,1.55,176400,1.55
2015-06-25,1.55,1.585,1.55,1.57,234500,1.57
2015-06-24,1.55,1.585,1.55,1.565,45800,1.565
2015-06-23,1.555,1.555,1.545,1.55,222900,1.55
2015-06-22,1.55,1.57,1.52,1.56,117200,1.56
2015-06-19,1.60,1.60,1.557,1.57,452200,1.57
2015-06-18,1.60,1.60,1.53,1.55,63400,1.55
2015-06-17,1.55,1.60,1.55,1.60,961300,1.60
2015-06-16,1.56,1.565,1.54,1.54,279100,1.54
2015-06-15,1.58,1.58,1.56,1.56,25400,1.56
2015-06-12,1.59,1.60,1.565,1.60,133500,1.60
2015-06-11,1.55,1.56,1.54,1.56,67300,1.56
2015-06-10,1.575,1.595,1.545,1.55,219700,1.55
2015-06-09,1.55,1.59,1.53,1.58,70900,1.58
2015-06-08,1.55,1.55,1.55,1.55,000,1.55
2015-06-05,1.55,1.56,1.55,1.55,46200,1.55
2015-06-04,1.60,1.60,1.50,1.555,122100,1.555
2015-06-03,1.60,1.62,1.59,1.60,617800,1.60
2015-06-02,1.65,1.66,1.60,1.60,115600,1.60
2015-06-01,1.735,1.735,1.585,1.60,252000,1.60
2015-05-29,1.57,1.72,1.565,1.72,177800,1.72
2015-05-28,1.575,1.605,1.55,1.60,85300,1.60
2015-05-27,1.63,1.63,1.55,1.58,137500,1.58
2015-05-26,1.65,1.655,1.635,1.635,238500,1.635
2015-05-25,1.59,1.69,1.59,1.63,92700,1.63
2015-05-22,1.55,1.625,1.55,1.58,72800,1.58
2015-05-21,1.55,1.56,1.54,1.56,225600,1.56
2015-05-20,1.55,1.55,1.527,1.55,49100,1.55
2015-05-19,1.55,1.562,1.515,1.54,92700,1.54
2015-05-18,1.53,1.55,1.50,1.54,106200,1.54
2015-05-15,1.56,1.56,1.53,1.53,277900,1.53
2015-05-14,1.57,1.57,1.55,1.55,14200,1.55
2015-05-13,1.58,1.58,1.52,1.53,122700,1.53
2015-05-12,1.55,1.58,1.545,1.58,2484900,1.58
2015-05-11,1.58,1.5925,1.53,1.55,166300,1.55
2015-05-08,1.52,1.58,1.52,1.58,1251400,1.58
2015-05-07,1.52,1.52,1.52,1.52,000,1.52
2015-05-06,1.54,1.54,1.50,1.52,56600,1.52
2015-05-05,1.55,1.55,1.51,1.54,34800,1.54
2015-05-04,1.54,1.56,1.495,1.53,70900,1.53
2015-05-01,1.57,1.60,1.53,1.53,82700,1.53
2015-04-30,1.52,1.60,1.52,1.60,122500,1.60
2015-04-29,1.48,1.53,1.48,1.52,218600,1.52
2015-04-28,1.55,1.55,1.48,1.48,81200,1.48
2015-04-27,1.53,1.58,1.53,1.54,103400,1.54
2015-04-24,1.49,1.54,1.49,1.54,326800,1.54
2015-04-23,1.50,1.50,1.485,1.49,39900,1.49
2015-04-22,1.485,1.505,1.465,1.50,550500,1.50
2015-04-21,1.44,1.48,1.41,1.48,1235400,1.48
2015-04-20,1.48,1.48,1.425,1.46,5025200,1.46
2015-04-17,1.475,1.50,1.475,1.485,302300,1.485
2015-04-16,1.44,1.495,1.42,1.47,26800,1.47
2015-04-15,1.475,1.485,1.42,1.43,374500,1.43
2015-04-14,1.45,1.507,1.435,1.475,160800,1.475
2015-04-13,1.42,1.47,1.415,1.46,184600,1.46
2015-04-10,1.45,1.45,1.402,1.42,1041600,1.42
2015-04-09,1.445,1.47,1.445,1.45,113600,1.45
2015-04-08,1.44,1.482,1.425,1.455,1108800,1.455
2015-04-07,1.405,1.50,1.40,1.485,139600,1.485
2015-04-06,1.50,1.50,1.50,1.50,000,1.50
2015-04-03,1.50,1.50,1.50,1.50,000,1.50
2015-04-02,1.51,1.51,1.47,1.50,165200,1.50
2015-04-01,1.43,1.53,1.43,1.47,464700,1.47
2015-03-31,1.44,1.475,1.43,1.475,320500,1.475
2015-03-30,1.50,1.50,1.437,1.475,104300,1.475
2015-03-27,1.455,1.49,1.45,1.485,48600,1.485
2015-03-26,1.435,1.45,1.41,1.45,1049500,1.45
2015-03-25,1.435,1.455,1.42,1.44,222300,1.44
2015-03-24,1.42,1.45,1.405,1.425,754000,1.425
2015-03-23,1.39,1.415,1.355,1.415,4514900,1.415
2015-03-20,1.365,1.41,1.335,1.41,284500,1.41
2015-03-19,1.30,1.38,1.29,1.38,606700,1.38
2015-03-18,1.30,1.30,1.295,1.30,61600,1.30
2015-03-17,1.30,1.32,1.30,1.30,2598100,1.30
2015-03-16,1.28,1.305,1.28,1.30,452500,1.30
2015-03-13,1.285,1.30,1.285,1.30,108400,1.30
2015-03-12,1.30,1.31,1.275,1.31,195900,1.31
2015-03-11,1.28,1.305,1.245,1.30,454300,1.30
2015-03-10,1.28,1.33,1.28,1.33,133200,1.33
2015-03-09,1.27,1.31,1.27,1.28,30600,1.28
2015-03-06,1.27,1.30,1.237,1.27,871500,1.27
2015-03-05,1.31,1.315,1.24,1.27,205300,1.27
2015-03-04,1.30,1.33,1.30,1.30,212800,1.30
2015-03-03,1.305,1.33,1.28,1.33,144800,1.33
2015-03-02,1.35,1.395,1.31,1.34,134000,1.34
2015-02-27,1.33,1.355,1.32,1.35,260200,1.35
2015-02-26,1.38,1.385,1.305,1.33,144200,1.33
2015-02-25,1.385,1.40,1.315,1.335,224200,1.335
2015-02-24,1.395,1.40,1.38,1.40,39600,1.40
2015-02-23,1.38,1.40,1.37,1.40,394000,1.40
2015-02-20,1.325,1.385,1.32,1.365,95700,1.365
2015-02-19,1.30,1.33,1.285,1.31,1927000,1.31
2015-02-18,1.40,1.405,1.325,1.34,2960100,1.30
2015-02-17,1.40,1.45,1.39,1.395,363100,1.35336
2015-02-16,1.30,1.405,1.30,1.40,2018500,1.35821
2015-02-13,1.25,1.27,1.225,1.25,527800,1.21269
