date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,10.20,10.39,10.10,10.31,373800,10.31
2015-06-29,10.54,10.63,10.15,10.40,459700,10.40
2015-06-26,10.71,10.77,10.45,10.74,300500,10.74
2015-06-25,11.09,11.15,10.75,10.81,256100,10.81
2015-06-24,10.52,11.12,10.48,11.06,549000,11.06
2015-06-23,10.90,11.14,10.29,10.53,693700,10.53
2015-06-22,11.05,11.14,10.83,10.85,214300,10.85
2015-06-19,10.77,11.02,10.76,11.01,333500,11.01
2015-06-18,10.52,10.69,10.50,10.66,309500,10.66
2015-06-17,10.97,10.97,10.65,10.66,353900,10.66
2015-06-16,10.90,11.01,10.84,10.88,208300,10.88
2015-06-15,11.00,11.05,10.86,10.95,271600,10.95
2015-06-12,11.12,11.12,10.91,10.97,282100,10.97
2015-06-11,11.22,11.22,10.93,11.00,342800,11.00
2015-06-10,11.15,11.19,10.76,10.90,310700,10.90
2015-06-09,11.28,11.50,11.15,11.15,180600,11.15
2015-06-08,11.25,11.25,11.25,11.25,000,11.25
2015-06-05,11.20,11.49,11.19,11.25,111800,11.25
2015-06-04,11.44,11.50,11.15,11.19,199600,11.19
2015-06-03,11.51,11.51,11.09,11.28,277400,11.28
2015-06-02,12.01,12.06,11.56,11.57,250100,11.57
2015-06-01,12.15,12.16,11.86,12.07,341900,12.07
2015-05-29,12.07,12.36,12.07,12.23,296800,12.23
2015-05-28,12.30,12.37,12.00,12.07,180100,12.07
2015-05-27,11.97,12.29,11.96,12.25,333500,12.25
2015-05-26,11.96,12.19,11.96,12.02,215200,12.02
2015-05-25,12.00,12.09,11.85,12.00,211300,12.00
2015-05-22,12.06,12.27,11.89,11.99,252600,11.99
2015-05-21,12.40,12.54,12.15,12.17,305200,12.17
2015-05-20,11.88,12.38,11.87,12.37,445700,12.37
2015-05-19,11.88,11.96,11.75,11.85,280100,11.85
2015-05-18,11.85,12.00,11.81,11.81,229400,11.81
2015-05-15,11.70,11.83,11.63,11.80,243400,11.80
2015-05-14,11.50,11.67,11.50,11.60,239900,11.60
2015-05-13,11.30,11.65,11.30,11.46,346200,11.46
2015-05-12,10.80,11.32,10.80,11.26,406300,11.26
2015-05-11,11.10,11.44,10.62,10.70,544100,10.70
2015-05-08,10.01,10.62,10.01,10.55,301400,10.55
2015-05-07,10.30,10.39,9.85,10.20,517600,10.20
2015-05-06,10.65,10.65,10.29,10.50,512800,10.50
2015-05-05,10.54,11.05,10.49,10.74,341000,10.74
2015-05-04,10.49,10.73,10.48,10.51,201400,10.51
2015-05-01,10.60,10.69,10.49,10.49,237700,10.49
2015-04-30,10.65,10.76,10.44,10.69,407900,10.69
2015-04-29,10.91,10.96,10.65,10.68,189900,10.68
2015-04-28,11.19,11.22,10.85,10.92,179800,10.92
2015-04-27,11.09,11.42,11.05,11.17,244900,11.17
2015-04-24,10.89,11.13,10.83,11.04,180300,11.04
2015-04-23,10.87,10.90,10.65,10.77,197100,10.77
2015-04-22,10.87,10.97,10.81,10.85,251800,10.85
2015-04-21,10.68,10.93,10.68,10.86,285800,10.86
2015-04-20,10.74,10.98,10.42,10.55,323400,10.55
2015-04-17,11.19,11.24,10.85,10.87,208600,10.87
2015-04-16,10.98,11.19,10.82,11.18,282300,11.18
2015-04-15,11.17,11.17,10.62,11.02,569300,11.02
2015-04-14,11.39,11.39,11.13,11.20,301900,11.20
2015-04-13,11.61,11.70,11.30,11.42,195900,11.42
2015-04-10,11.85,11.85,11.53,11.58,179000,11.58
2015-04-09,11.70,11.93,11.65,11.80,182700,11.80
2015-04-08,11.94,12.10,11.60,11.70,227000,11.70
2015-04-07,12.10,12.19,11.80,11.93,204900,11.93
2015-04-06,12.00,12.00,12.00,12.00,000,12.00
2015-04-03,12.00,12.00,12.00,12.00,000,12.00
2015-04-02,11.99,12.20,11.90,12.00,226800,12.00
2015-04-01,11.64,11.99,11.63,11.90,312100,11.90
2015-03-31,11.53,11.76,11.52,11.74,240000,11.74
2015-03-30,11.50,11.63,11.46,11.56,173100,11.56
2015-03-27,11.50,11.75,11.495,11.64,198200,11.64
2015-03-26,11.50,11.53,11.25,11.44,556800,11.44
2015-03-25,12.00,12.03,11.40,11.53,557800,11.53
2015-03-24,12.19,12.19,11.88,12.00,446500,12.00
2015-03-23,12.12,12.35,12.09,12.19,331500,12.19
2015-03-20,12.45,12.59,12.30,12.30,1973100,12.30
2015-03-19,12.20,12.57,12.15,12.46,459100,12.46
2015-03-18,12.15,12.22,12.06,12.13,293600,12.13
2015-03-17,12.03,12.26,12.00,12.11,270700,12.11
2015-03-16,12.28,12.28,12.06,12.13,194700,12.13
2015-03-13,12.20,12.29,12.15,12.25,153700,12.25
2015-03-12,12.30,12.38,12.21,12.27,188500,12.27
2015-03-11,11.94,12.24,11.61,12.21,361600,12.21
2015-03-10,12.14,12.32,12.09,12.24,263000,12.24
2015-03-09,12.10,12.35,11.92,12.01,295800,12.01
2015-03-06,11.95,12.37,11.95,12.26,400300,12.26
2015-03-05,12.25,12.265,11.80,11.95,341900,11.95
2015-03-04,12.19,12.45,12.00,12.31,325200,12.31
2015-03-03,11.95,12.50,11.80,12.21,784800,12.21
2015-03-02,12.85,12.95,12.76,12.90,3163400,12.81429
2015-02-27,12.70,13.09,12.61,13.00,327500,12.91362
2015-02-26,12.49,12.72,12.26,12.71,371100,12.62555
2015-02-25,12.00,12.49,11.65,12.45,450600,12.36728
2015-02-24,12.00,12.00,11.705,11.93,536100,11.85073
2015-02-23,11.84,12.07,11.76,12.00,314600,11.92027
2015-02-20,11.60,11.84,11.58,11.76,129200,11.68186
2015-02-19,11.67,11.89,11.55,11.66,196700,11.58253
2015-02-18,11.49,11.92,11.25,11.66,347400,11.58253
2015-02-17,11.50,11.63,11.25,11.30,335000,11.22492
2015-02-16,11.50,12.25,11.40,11.43,584700,11.35405
2015-02-13,11.40,11.50,11.18,11.45,398800,11.37392
2015-02-12,10.75,11.44,10.75,11.33,812100,11.25472
2015-02-11,10.46,10.85,10.37,10.75,593500,10.67857
2015-02-10,10.21,10.47,10.15,10.44,155300,10.37063
2015-02-09,10.11,10.24,10.06,10.21,73300,10.14216
2015-02-06,10.00,10.23,10.00,10.16,125300,10.09249
2015-02-05,9.98,10.09,9.98,10.00,128200,9.93356
2015-02-04,10.17,10.25,9.94,9.98,138000,9.91369
2015-02-03,10.28,10.39,10.05,10.17,144300,10.10243
2015-02-02,9.66,10.25,9.66,10.19,189800,10.12229
2015-01-30,9.57,9.84,9.57,9.76,124800,9.69515
2015-01-29,9.65,9.74,9.59,9.66,173100,9.59581
2015-01-28,9.75,9.75,9.66,9.69,95700,9.62561
2015-01-27,9.97,10.03,9.65,9.86,216700,9.79449
2015-01-26,9.97,9.97,9.97,9.97,000,9.90375
2015-01-23,9.84,10.09,9.83,9.97,109800,9.90375
2015-01-22,9.86,9.88,9.77,9.85,82400,9.78455
2015-01-21,9.75,9.88,9.70,9.82,109700,9.75475
2015-01-20,9.71,9.82,9.68,9.75,110000,9.68522
2015-01-19,9.92,9.97,9.67,9.75,136600,9.68522
2015-01-16,10.35,10.35,9.75,9.95,203200,9.88389
2015-01-15,10.56,10.56,10.14,10.32,150900,10.25143
2015-01-14,10.66,10.73,10.50,10.50,91400,10.43023
2015-01-13,10.40,10.69,10.33,10.68,227100,10.60904
2015-01-12,10.40,10.58,10.33,10.56,155100,10.48983
2015-01-09,10.44,10.45,10.33,10.35,96300,10.28123
2015-01-08,10.30,10.46,10.20,10.44,208000,10.37063
2015-01-07,9.94,10.36,9.92,10.34,287700,10.2713
2015-01-06,9.60,9.94,9.60,9.94,251200,9.87395
2015-01-05,9.82,9.99,9.61,9.85,193600,9.78455
2015-01-02,9.51,9.88,9.51,9.79,52400,9.72495
2015-01-01,9.75,9.75,9.75,9.75,000,9.68522
2014-12-31,9.78,9.93,9.50,9.75,47600,9.68522
2014-12-30,10.09,10.09,9.62,9.69,202000,9.62561
2014-12-29,9.85,10.09,9.69,9.95,160100,9.88389
2014-12-26,9.67,9.67,9.67,9.67,000,9.60575
2014-12-25,9.67,9.67,9.67,9.67,000,9.60575
2014-12-24,9.50,9.70,9.42,9.67,85900,9.60575
2014-12-23,9.40,9.43,9.26,9.35,230400,9.28787
2014-12-22,9.52,9.565,9.36,9.37,180700,9.30774
2014-12-19,9.25,9.45,9.19,9.35,332500,9.28787
2014-12-18,9.60,9.71,9.14,9.25,176000,9.18854
2014-12-17,9.40,9.56,9.38,9.51,186200,9.44681
2014-12-16,9.59,9.66,9.40,9.47,224800,9.40708
2014-12-15,9.10,9.60,9.01,9.49,163600,9.42694
2014-12-12,9.50,9.60,9.10,9.34,360900,9.27794
2014-12-11,9.85,9.85,9.53,9.57,241000,9.50641
2014-12-10,9.97,10.00,9.45,9.93,205400,9.86402
2014-12-09,10.20,10.23,9.96,10.05,389200,9.98322
2014-12-08,10.25,10.64,10.20,10.24,453200,10.17196
2014-12-05,10.40,10.45,10.00,10.00,561100,9.93356
2014-12-04,10.6654,10.6654,10.2189,10.2189,448600,10.151
2014-12-03,10.08,10.6852,10.0701,10.6059,624200,10.53543
2014-12-02,9.76254,9.76254,9.76254,9.76254,000,9.69767
2014-12-01,9.73278,9.89152,9.73278,9.76254,195300,9.69767
2014-11-28,10.0403,10.0403,9.73278,9.73278,185700,9.66811
2014-11-27,10.2189,10.2586,9.97089,9.97089,238600,9.90464
2014-11-26,10.1197,10.3578,10.08,10.1594,207500,10.0919
2014-11-25,9.92128,10.1098,9.91136,10.0503,175300,9.98352
2014-11-24,10.0701,10.1991,9.92128,9.96097,211500,9.89478
2014-11-21,9.87168,10.1495,9.87168,9.93121,240200,9.86522
2014-11-20,9.72286,9.99073,9.71294,9.86176,124100,9.79623
2014-11-19,9.72286,9.78239,9.69309,9.72286,166400,9.65826
2014-11-18,9.89152,9.90144,9.68317,9.7427,498500,9.67796
2014-11-17,9.73278,10.1098,9.72286,9.89152,386400,9.8258
2014-11-14,9.52443,9.77247,9.52443,9.72286,404200,9.65826
2014-11-13,9.51451,9.58396,9.42522,9.57404,76100,9.51043
2014-11-12,9.47483,9.56412,9.40538,9.40538,158100,9.34289
2014-11-11,9.47483,9.54428,9.40538,9.45498,118500,9.39216
2014-11-10,9.32601,9.49467,9.2764,9.42522,355200,9.36259
2014-11-07,9.42522,9.47483,9.2764,9.34585,301000,9.28375
2014-11-06,9.42522,9.51451,9.35577,9.42522,293900,9.36259
2014-11-05,9.73278,9.73278,9.35577,9.42522,301300,9.36259
2014-11-04,9.33593,9.80223,9.33593,9.63357,226500,9.56956
2014-11-03,9.24664,9.35577,9.10774,9.30616,149100,9.24433
2014-10-31,8.90931,9.01845,8.88947,8.95892,119500,8.89939
2014-10-30,8.8101,8.98868,8.8101,8.98868,206300,8.92895
2014-10-29,8.80018,9.42522,8.76049,8.82002,229300,8.76142
2014-10-28,8.71089,8.78034,8.6216,8.76049,137400,8.70228
2014-10-27,8.61167,8.73073,8.61167,8.64144,119100,8.58402
2014-10-24,8.5323,8.6216,8.50254,8.56207,105700,8.50518
2014-10-23,8.72081,8.77042,8.44301,8.52238,147700,8.46575
2014-10-22,8.43309,8.84979,8.40333,8.47278,274200,8.41648
2014-10-21,8.04616,8.37356,8.04616,8.25451,161100,8.19966
2014-10-20,7.93703,8.12553,7.93703,8.04616,188100,7.9927
2014-10-17,7.90726,7.92711,7.78821,7.80805,109400,7.75617
2014-10-16,8.05608,8.09577,7.86758,7.93703,202400,7.88429
2014-10-15,7.88742,8.16522,7.85766,8.03624,212300,7.98284
2014-10-14,7.63939,7.81797,7.63939,7.78821,178400,7.73646
2014-10-13,7.66915,7.67907,7.5501,7.67907,554900,7.62805
2014-10-10,7.54018,7.7386,7.49057,7.70884,222500,7.65762
2014-10-09,7.7386,7.81797,7.67411,7.689,263500,7.63791
2014-10-08,7.83781,7.8775,7.50049,7.65923,242900,7.60834
2014-10-07,7.65923,7.83781,7.54018,7.83781,168900,7.78573
2014-10-06,7.52033,7.689,7.52033,7.65923,48000,7.60834
2014-10-03,7.37151,7.58978,7.31199,7.50049,140200,7.45065
2014-10-02,7.42112,7.43104,7.29214,7.36159,58600,7.31268
2014-10-01,7.31199,7.44096,7.26734,7.43104,134400,7.38166
2014-09-30,7.17309,7.35167,7.16317,7.24254,148400,7.19442
2014-09-29,7.40128,7.40128,7.17309,7.17309,156000,7.12543
2014-09-26,7.39136,7.44096,7.21277,7.40128,166200,7.3521
2014-09-25,7.30207,7.42112,7.24254,7.4112,107300,7.36196
2014-09-24,7.25246,7.35167,7.11356,7.30207,139400,7.25355
2014-09-23,7.19293,7.33183,7.05403,7.30207,88200,7.25355
2014-09-22,7.24254,7.24254,7.14332,7.21277,101800,7.16484
2014-09-19,7.36159,7.44096,7.24254,7.26238,175000,7.21413
2014-09-18,7.2227,7.46081,7.2227,7.4112,109500,7.36196
2014-09-17,7.31199,7.31199,6.9449,7.19293,150100,7.14514
2014-09-16,7.30207,7.34175,7.19293,7.33183,119100,7.28311
2014-09-15,7.50049,7.50049,7.31199,7.31199,171500,7.26341
2014-09-12,7.49057,7.52033,7.35167,7.50049,79400,7.45065
2014-09-11,7.49057,7.67907,7.40128,7.44096,69100,7.39152
2014-09-10,7.47073,7.66915,7.36159,7.37151,98400,7.32253
2014-09-09,7.33183,7.47073,7.33183,7.47073,81100,7.42109
2014-09-08,7.44096,7.46081,7.33183,7.33183,71000,7.28311
2014-09-05,7.37151,7.47073,7.29214,7.44096,175700,7.39152
2014-09-04,7.47073,7.50049,7.36159,7.46081,137600,7.30481
2014-09-03,7.63939,7.63939,7.44096,7.44096,189100,7.28537
2014-09-02,7.58978,7.79813,7.57986,7.64931,307100,7.48936
2014-09-01,7.45088,7.61955,7.43104,7.56002,95700,7.40194
2014-08-29,7.44096,7.67907,7.32191,7.44096,169300,7.28537
2014-08-28,7.14332,7.56002,7.14332,7.53025,264000,7.37279
2014-08-27,7.04411,7.04411,6.9449,6.9449,62500,6.79968
2014-08-26,7.21277,7.21277,6.90521,7.01435,320900,6.86768
2014-08-25,7.02427,7.21277,7.02427,7.05403,120400,6.90653
2014-08-22,7.14332,7.18301,7.00443,7.02427,74400,6.87739
2014-08-21,7.01435,7.15325,7.00443,7.14332,124200,6.99395
2014-08-20,7.01435,7.05403,6.95482,6.96474,55500,6.81911
2014-08-19,7.00443,7.14332,6.98458,7.01435,92700,6.86768
2014-08-18,6.92506,7.12348,6.92506,6.9449,191800,6.79968
2014-08-15,6.91514,6.99947,6.89529,6.91514,52600,6.77055
