date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,32.06,32.33,31.61,31.85,1890500,31.85
2015-06-29,32.17,32.58,31.39,32.11,960000,32.11
2015-06-26,33.20,33.30,32.52,32.92,828100,32.92
2015-06-25,33.85,34.08,33.20,33.26,2242500,33.26
2015-06-24,33.75,34.09,33.69,33.85,961600,33.85
2015-06-23,33.62,33.87,33.14,33.68,1634800,33.68
2015-06-22,32.89,33.14,32.55,32.91,2405800,32.91
2015-06-19,32.20,32.81,32.015,32.81,1825600,32.81
2015-06-18,31.80,32.48,31.80,32.30,2348500,32.30
2015-06-17,31.04,31.43,30.91,31.25,2469600,31.25
2015-06-16,31.38,31.42,30.76,30.83,1886400,30.83
2015-06-15,31.91,31.91,31.11,31.17,1091000,31.17
2015-06-12,31.95,32.28,31.82,32.00,1860600,32.00
2015-06-11,32.40,32.40,31.99,32.21,849400,32.21
2015-06-10,32.08,32.67,31.97,32.07,963800,32.07
2015-06-09,32.18,32.27,31.54,31.77,1303900,31.77
2015-06-08,32.00,32.00,32.00,32.00,000,32.00
2015-06-05,31.85,32.40,31.71,32.00,1120500,32.00
2015-06-04,32.71,32.88,31.56,31.85,1993100,31.85
2015-06-03,32.90,32.99,32.32,32.51,2847100,32.51
2015-06-02,33.84,33.99,32.81,33.06,1089300,33.06
2015-06-01,33.70,34.20,33.04,33.51,801900,33.51
2015-05-29,33.99,34.42,33.625,33.70,2417700,33.70
2015-05-28,33.95,33.95,33.46,33.82,991000,33.82
2015-05-27,34.06,34.15,33.63,33.78,1518900,33.78
2015-05-26,33.80,34.19,33.48,34.07,1337100,34.07
2015-05-25,33.67,34.30,33.46,34.20,922100,34.20
2015-05-22,33.74,33.92,33.57,33.75,1180700,33.75
2015-05-21,33.60,33.90,33.17,33.75,1417800,33.75
2015-05-20,33.49,33.57,33.02,33.08,2107900,33.08
2015-05-19,33.35,33.48,32.735,33.16,3305800,33.16
2015-05-18,32.30,33.28,32.27,32.96,2733300,32.96
2015-05-15,32.81,32.97,32.01,32.19,2132100,32.19
2015-05-14,32.60,32.79,32.36,32.66,2888200,32.66
2015-05-13,33.09,33.16,32.59,32.80,2613500,32.80
2015-05-12,33.26,33.38,32.72,32.72,1468200,32.72
2015-05-11,33.23,33.53,32.99,33.00,1977000,33.00
2015-05-08,34.41,34.41,32.87,33.09,1632900,33.09
2015-05-07,33.95,34.48,33.52,34.00,1834500,34.00
2015-05-06,34.95,34.95,34.03,34.40,1572000,34.40
2015-05-05,35.80,35.88,35.14,35.24,1049600,35.24
2015-05-04,35.76,35.96,35.56,35.75,954100,35.75
2015-05-01,35.71,35.88,35.20,35.46,792800,35.46
2015-04-30,35.50,35.52,35.01,35.43,1645100,35.43
2015-04-29,36.03,36.04,35.56,35.74,1666600,35.74
2015-04-28,36.15,36.15,35.55,35.90,1780200,35.90
2015-04-27,35.90,35.95,35.51,35.95,2115400,35.95
2015-04-24,35.45,35.57,35.31,35.50,2126500,35.50
2015-04-23,35.15,35.29,34.99,35.29,2078500,35.29
2015-04-22,34.96,35.04,34.89,35.04,2689100,35.04
2015-04-21,35.00,35.08,34.82,34.95,2053800,34.95
2015-04-20,34.70,34.84,34.20,34.63,1342100,34.63
2015-04-17,35.10,35.10,34.80,34.93,1966800,34.93
2015-04-16,35.08,35.15,34.97,35.05,2158100,35.05
2015-04-15,35.00,35.15,34.86,34.95,3640100,34.95
2015-04-14,34.94,34.96,34.79,34.91,2590900,34.91
2015-04-13,35.00,35.00,34.865,34.92,1915000,34.92
2015-04-10,35.00,35.04,34.74,34.88,1951200,34.88
2015-04-09,34.99,35.00,34.69,34.73,4651000,34.73
2015-04-08,35.00,35.07,34.70,34.75,2691300,34.75
2015-04-07,35.19,35.19,34.69,34.94,4589500,34.94
2015-04-06,34.85,34.85,34.85,34.85,000,34.85
2015-04-03,34.85,34.85,34.85,34.85,000,34.85
2015-04-02,35.13,35.21,34.85,34.85,7943000,34.85
2015-04-01,34.93,35.13,34.76,35.13,16197100,35.13
2015-03-31,34.80,35.085,34.68,34.95,10065900,34.95
2015-03-30,34.95,35.00,33.95,34.44,152097800,34.44
2015-03-27,37.29,37.925,37.26,37.88,1335200,37.88
