date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.36,2.38,2.30,2.38,1275700,2.38
2015-06-29,2.35,2.39,2.28,2.37,1928000,2.37
2015-06-26,2.37,2.44,2.34,2.36,1563800,2.36
2015-06-25,2.44,2.44,2.39,2.41,543500,2.41
2015-06-24,2.36,2.43,2.305,2.42,1357800,2.42
2015-06-23,2.50,2.51,2.25,2.32,4523300,2.32
2015-06-22,2.47,2.55,2.47,2.49,1361500,2.49
2015-06-19,2.42,2.47,2.40,2.47,1528900,2.47
2015-06-18,2.36,2.41,2.35,2.38,1582000,2.38
2015-06-17,2.39,2.41,2.37,2.38,1400300,2.38
2015-06-16,2.28,2.40,2.28,2.36,1391000,2.36
2015-06-15,2.35,2.35,2.28,2.31,1142300,2.31
2015-06-12,2.37,2.39,2.32,2.34,389600,2.34
2015-06-11,2.33,2.42,2.33,2.39,961300,2.39
2015-06-10,2.32,2.35,2.31,2.34,876600,2.34
2015-06-09,2.31,2.34,2.30,2.32,597900,2.32
2015-06-08,2.33,2.33,2.33,2.33,000,2.33
2015-06-05,2.29,2.36,2.29,2.33,347500,2.33
2015-06-04,2.35,2.35,2.29,2.30,620700,2.30
2015-06-03,2.27,2.32,2.27,2.30,1207600,2.30
2015-06-02,2.40,2.41,2.29,2.32,925600,2.32
2015-06-01,2.45,2.45,2.37,2.41,717900,2.41
2015-05-29,2.40,2.47,2.40,2.45,1018800,2.45
2015-05-28,2.41,2.43,2.375,2.41,1116100,2.41
2015-05-27,2.41,2.48,2.38,2.39,1647400,2.39
2015-05-26,2.35,2.45,2.35,2.43,870600,2.43
2015-05-25,2.31,2.35,2.31,2.35,1453300,2.35
2015-05-22,2.35,2.35,2.31,2.32,535100,2.32
2015-05-21,2.39,2.44,2.34,2.35,1290900,2.35
2015-05-20,2.31,2.38,2.30,2.38,1555100,2.38
2015-05-19,2.31,2.35,2.28,2.30,856900,2.30
2015-05-18,2.46,2.49,2.31,2.31,1468300,2.31
2015-05-15,2.44,2.47,2.42,2.45,1195800,2.45
2015-05-14,2.37,2.45,2.35,2.43,1279100,2.43
2015-05-13,2.30,2.40,2.30,2.39,1426900,2.39
2015-05-12,2.27,2.34,2.27,2.33,1432100,2.33
2015-05-11,2.31,2.33,2.295,2.30,1218600,2.30
2015-05-08,2.26,2.32,2.26,2.30,1055400,2.30
2015-05-07,2.15,2.28,2.14,2.26,2509400,2.26
2015-05-06,2.09,2.15,2.09,2.13,820700,2.13
2015-05-05,2.18,2.18,2.09,2.09,986100,2.09
2015-05-04,2.15,2.19,2.10,2.12,1121200,2.12
2015-05-01,2.17,2.22,2.11,2.13,1848500,2.13
2015-04-30,2.10,2.24,2.10,2.20,1284000,2.20
2015-04-29,2.21,2.22,2.12,2.16,772500,2.16
2015-04-28,2.23,2.25,2.18,2.22,1014800,2.22
2015-04-27,2.24,2.255,2.20,2.23,1093700,2.23
2015-04-24,2.20,2.25,2.19,2.24,1044200,2.24
2015-04-23,2.22,2.22,2.125,2.18,1092800,2.18
2015-04-22,2.21,2.23,2.19,2.22,1475700,2.22
2015-04-21,2.16,2.225,2.14,2.21,1451000,2.21
2015-04-20,2.15,2.15,2.10,2.14,707600,2.14
2015-04-17,2.15,2.18,2.13,2.16,758700,2.16
2015-04-16,2.12,2.15,2.11,2.15,568900,2.15
2015-04-15,2.12,2.13,2.09,2.11,857700,2.11
2015-04-14,2.09,2.15,2.08,2.13,525900,2.13
2015-04-13,2.09,2.10,2.07,2.07,482600,2.07
2015-04-10,2.07,2.09,2.065,2.08,555700,2.08
2015-04-09,2.10,2.11,2.03,2.04,672100,2.04
2015-04-08,2.11,2.11,2.06,2.09,887600,2.09
2015-04-07,2.14,2.14,2.10,2.10,1032800,2.10
2015-04-06,2.15,2.15,2.15,2.15,000,2.15
